,ae,exp,pred
MnF2,7.065947798193531,9.9,2.834052201806469
BeO,4.726444332310625,10.39,5.6635556676893755
AgSO4,4.163122027240993,0.18,4.343122027240993
NaNO2,3.9440503414382966,3.06,7.004050341438297
Ba4B11O20F,3.1802482240410765,7.1,3.919751775958923
MoO3,2.9744633040990642,3.6625,0.6880366959009359
CsZn2B3O7,2.911161164446721,5.69,2.7788388355532794
AgCl,2.7177288834716706,5.13,2.4122711165283293
RbCaBO3,2.691186874048703,3.67,6.361186874048703
MgSe,2.6894635377237552,5.743333333333333,3.053869795609578
RbBa2P5O15,2.587513914588805,7.6,5.012486085411195
AlN,2.4664618788623485,6.1,3.633538121137651
Rb5BS4O16,2.4343897952373226,3.99,6.424389795237323
ZnTc,2.4231091012683024,2.37,-0.0531091012683022
RbNb4Br11,2.3767082532323474,0.46,2.8367082532323473
MnI2,2.3497790312243727,4.220000000000001,1.870220968775628
Li6Rb5B11O22,2.322513570950491,6.53,4.207486429049509
Na7Co2O6,2.314168179390439,0.495,2.809168179390439
LiCl,2.314036166546562,9.33,7.015963833453438
CaI2,2.2941751253500104,5.98,3.68582487464999
Gd2Mo3O12,2.256344072329057,4.119999999999999,1.8636559276709423
CuGaO2,2.230422009796338,1.47,3.7004220097963376
CrO2,2.2086177336256565,0.23,2.4386177336256565
Cs2Te,2.181770942517479,3.5,1.318229057482521
CsF,2.1372158561551524,10.0,7.862784143844848
LiB3O5,2.129422330968123,7.843333333333334,5.713911002365211
TiC0.9,2.1236251670955806,0.3,2.4236251670955804
Rb3CdB5O10,2.1177464355042828,2.34,4.457746435504283
Tb2O3,2.092037432176155,3.0,5.092037432176155
AgInO2,2.071695174362808,4.2,2.1283048256371924
EuO,2.0633849488032503,1.119,3.18238494880325
NiO,2.036613768738583,4.0,1.9633862312614168
Eu3Se4,2.0208814847887497,0.58,2.60088148478875
K2CeP2O8,2.019444800948893,2.46,4.479444800948893
NaB15,1.9387983321460587,0.32,2.2587983321460587
Cu3TaS4,1.9371034815008372,3.0,1.0628965184991628
KBaB5O9,1.920983461985109,3.65,5.570983461985109
Zr6O,1.905111720610311,0.18,2.085111720610311
HgSnO3,1.8841960992465956,1.6,3.4841960992465957
