,ae,exp,pred
MnF2,6.956436883226658,9.9,2.9435631167733427
BeO,4.811363669145849,10.39,5.578636330854152
AgSO4,4.5604800120343265,0.18,4.740480012034326
NaNO2,3.9440503414382966,3.06,7.004050341438297
Ba4B11O20F,3.1375468028788798,7.1,3.96245319712112
CsZn2B3O7,2.8813249868797426,5.69,2.808675013120258
MoO3,2.7875597852526317,3.6625,0.8749402147473682
AgCl,2.742538024449791,5.13,2.387461975550209
RbCaBO3,2.691186874048701,3.67,6.361186874048701
MgSe,2.689463537723756,5.743333333333333,3.053869795609577
LiCl,2.6445251606605398,9.33,6.68547483933946
RbBa2P5O15,2.587513914588805,7.6,5.012486085411195
AlN,2.5536511982243435,6.1,3.546348801775656
Rb5BS4O16,2.4343897952373217,3.99,6.424389795237322
Li6Rb5B11O22,2.434141809252478,6.53,4.095858190747522
ZnTc,2.423109101268303,2.37,-0.0531091012683025
RbNb4Br11,2.376708253232347,0.46,2.836708253232347
MnI2,2.3497790312243714,4.220000000000001,1.8702209687756293
Na7Co2O6,2.31416817939044,0.495,2.80916817939044
CaI2,2.2940252954895306,5.98,3.68597470451047
Gd2Mo3O12,2.256344072329056,4.119999999999999,1.863655927670943
Tb2O3,2.235890728025727,3.0,5.235890728025727
CuGaO2,2.2304220004831574,1.47,3.7004220004831576
Rb3CdB5O10,2.2263209261253483,2.34,4.566320926125348
CrO2,2.208617733625657,0.23,2.438617733625657
Cs2Te,2.189220215089021,3.5,1.3107797849109792
LiB3O5,2.1751391464121346,7.843333333333334,5.668194186921199
CsF,2.1743649008203505,10.0,7.8256350991796495
AgInO2,2.0716951743628087,4.2,2.1283048256371915
TiC0.9,2.063131933646518,0.3,2.363131933646518
K2CeP2O8,2.055179628358953,2.46,4.515179628358953
EuO,1.9980381615423146,1.119,3.1170381615423146
NaB15,1.98252339685418,0.32,2.30252339685418
HgSnO3,1.963830326858878,1.6,3.563830326858878
Zr6O,1.9612852838343013,0.18,2.1412852838343013
Eu3Se4,1.9517196977526767,0.58,2.531719697752677
KBaB5O9,1.920983461985109,3.65,5.570983461985109
LaF3,1.8783503321825004,6.6,4.721649667817499
NiO,1.8755701077831648,4.0,2.124429892216835
PbCoO3,1.8719379034569992,0.28,2.151937903456999
Cu3TaS4,1.8672308988408242,3.0,1.1327691011591758
As2B12,1.8366416744270382,1.51,3.346641674427038
MnP4,1.836417954609147,0.28,2.116417954609147
NH6PO4,1.8314987951642632,6.805,4.9735012048357365
Li9Ga13Te21O66,1.8274474390473188,4.45,2.6225525609526814
K2Se,1.816319888411335,1.8,3.616319888411335
PAs,1.7674523608965793,0.23,1.9974523608965793
NaCl,1.7630977041855544,8.5,6.7369022958144456
Rb3NaMo2O8,1.7514232931954927,4.84,3.088576706804507
SrS,1.749899008244455,4.779999999999999,3.0301009917555444
LiBiS2,1.740968976314198,0.16,1.900968976314198
Ca10Ge16B6O51,1.7353856072770624,5.47,3.7346143927229374
BaPrO3,1.7337513211490192,2.0,3.733751321149019
CuN3,1.72417073504776,4.17,2.44582926495224
Na2TeSe3,1.7193891328687483,1.91,3.629389132868748
BaTe,1.716074090335578,3.4,1.683925909664422
SrZrS3,1.7135020532682272,0.9,2.613502053268227
LaMg2PdH7,1.706890346467263,1.0,2.706890346467263
CuI,1.7024866972724428,3.0264,1.3239133027275574
Cr2O3,1.6853609304338233,3.4,1.7146390695661766
Na2Se,1.6792327143834607,2.0,3.6792327143834607
AgN3,1.663604515853974,3.67,5.333604515853974
K4GeS4,1.6563592449207059,0.8,2.456359244920706
CdF2,1.6549043515032649,6.0,4.345095648496735
Sr2Be2B2O7,1.653678621592463,8.0,6.346321378407537
AgO,1.6479924007759992,1.57,3.2179924007759992
DyPO4,1.633240560728364,6.38,4.746759439271636
Na2Ti3O7,1.60616716115105,3.51,5.11616716115105
AsNMg3,1.5849191889558256,1.332,2.9169191889558257
BaClBF4,1.5662225963524845,6.89,5.323777403647515
Er2Mo3O12,1.5635464030793909,1.0,2.563546403079391
AgGaO2,1.5608710438187776,2.2,3.760871043818778
Rb2Te,1.550638395530044,4.5,2.949361604469956
Ce15B8N25,1.5503237813306592,3.5,1.9496762186693408
CaTe,1.5438740759184664,4.1850000000000005,2.641125924081534
Na8CsB21O36,1.5429290137525502,4.67,3.1270709862474497
CuAlS2,1.5396534036381733,3.5,1.9603465963618267
In2P3B1O12,1.536070656245795,5.39,3.8539293437542046
CsAu,1.5234423662453231,2.3,0.7765576337546767
KI,1.522462451003328,6.132777777777778,4.61031532677445
EuAl2O4,1.5153205435952257,2.74,4.255320543595226
AgP15,1.513138722596006,1.47,2.983138722596006
GeO2,1.5048931905732097,5.576666666666667,4.071773476093457
