,ae,exp,pred
BeO,5.7473964610614345,10.39,4.642603538938566
MnF2,4.566019960366962,9.9,5.333980039633039
Na2Be4B4O11,4.487025542286059,7.3,2.8129744577139406
Sr2Be2B2O7,3.850451577503746,8.0,4.149548422496254
RbF,3.387787505176508,10.4,7.012212494823492
AgSO4,3.379398271092726,0.18,3.5593982710927263
CsF,3.311035867049628,10.0,6.688964132950372
AgF,3.287085601158055,2.8,6.087085601158055
LiCl,3.257629081201439,9.33,6.072370918798561
CrO2,3.123031904940286,0.23,3.353031904940286
KF,3.1159572820418875,10.3,7.184042717958113
NiO,3.077277595419652,4.0,0.9227224045803484
NaB15,3.0379169561495725,0.32,3.3579169561495723
RbBa2P5O15,2.972319783699904,7.6,4.627680216300096
Na7Co2O6,2.7998978807530763,0.495,3.2948978807530764
MgO,2.7894004283366733,7.745,4.955599571663327
KH2PO4,2.7640062610707172,6.975,4.210993738929282
Ba4B11O20F,2.758493529551423,7.1,4.341506470448577
RbCl,2.7143392139381834,8.278,5.563660786061817
AlN,2.678232800666766,6.1,3.4217671993332335
NH6PO4,2.677562701192799,6.805,4.127437298807201
LiRbCO3,2.659999451591138,6.28,3.6200005484088624
Rb3CdB5O10,2.6547467565986445,2.34,4.994746756598644
VO2,2.6521746655531144,0.466,3.1181746655531146
RbBr,2.623458602730115,7.45,4.826541397269885
LiB3O5,2.5934754107858975,7.843333333333334,5.249857922547436
Pb17O8Cl18,2.574075909232568,3.44,0.8659240907674319
K4GeSe4,2.4998973442678536,0.64,3.1398973442678537
CsCl,2.44726590821349,7.949999999999999,5.502734091786509
LaMg2PdH7,2.404117533893653,1.0,3.404117533893653
K4GeS4,2.4033369583499846,0.8,3.2033369583499844
V2O4,2.401790466059323,0.66,3.061790466059323
Li6Rb5B11O22,2.388637704062009,6.53,4.141362295937991
Sc2O3,2.3357678807345454,6.1,3.764232119265454
GeO2,2.3349254497058727,5.576666666666667,3.2417412169607944
La2CoVO6,2.3087971405754173,0.41,2.7187971405754174
As2B12,2.300974928336548,1.51,3.810974928336548
DyPO4,2.2954140286106766,6.38,4.084585971389323
Tl3VS4,2.2887836990323183,1.81,-0.4787836990323182
CeF3,2.2836693784820454,4.85,7.133669378482045
Li3Cs2B5O10,2.252221405079994,7.3,5.047778594920006
NaCl,2.242382574310133,8.5,6.257617425689867
EuO,2.227539799339782,1.119,3.346539799339782
Ca10Ge16B6O51,2.2228615128989118,5.47,3.247138487101088
Ba3P3O10Cl,2.211502935567572,6.89,4.6784970644324275
La2NiVO6,2.1957591121283735,0.45,2.6457591121283737
CsGeI3,2.1855411693906137,1.6,3.785541169390614
PbCoO3,2.184975199302448,0.28,2.464975199302448
MnI2,2.1723523502109554,4.220000000000001,2.0476476497890452
Si3N4,2.1715230889369836,5.1,2.928476911063016
Rb2TeBr6,2.1380296286420575,2.14,4.278029628642058
MnTe9,2.116287063824796,2.0,-0.1162870638247959
KZn4B3O9,2.10877948522545,2.32,4.42877948522545
Gd2O3,2.096327068820959,5.3,3.2036729311790406
Li4.5Cr0.5TeO6,2.088645884665036,1.79,3.878645884665036
K2CeP2O8,2.0803901241606786,2.46,4.5403901241606786
Er2Mo3O12,2.0767670482425222,1.0,3.0767670482425222
SrZrS3,2.07313652997269,0.9,2.97313652997269
Cs2TeBr6,2.0639584923550798,2.12,4.18395849235508
CsI,2.052038620199502,6.3566666666666665,4.3046280464671645
Cs6.40Na1.60Ga8Ge38,2.0390026717152794,0.221,2.2600026717152795
HfO2,2.0382310661347756,5.55,3.5117689338652243
Li4.5Mn0.5TeO6,2.0290988702562096,1.97,3.99909887025621
Ca3N2,2.01264532144425,1.55,3.5626453214442497
Rb2Te,2.0084429602769207,4.5,2.4915570397230793
Li6Fe2Te8O22,2.0024421048638135,1.98,3.9824421048638134
AgCl,1.998905437045463,5.13,3.131094562954537
Rb2TeI6,1.9736644903131157,1.4,3.3736644903131157
CaO,1.9711059903925428,7.003400000000001,5.032294009607458
Er2O3,1.9546770085048202,5.42,3.4653229914951797
Li4Rb3B7O14,1.9383318211275808,6.53,4.591668178872419
AsNMg3,1.914536735066062,1.332,3.246536735066062
CrO3,1.8989510261741303,1.4,3.29895102617413
AgPdI3O9,1.8811248002559893,1.5,3.3811248002559893
Zn3B2O6,1.8798545362997543,2.6,4.479854536299754
TiS3,1.873391183488541,0.9,2.773391183488541
Zn0.99Cd0.01Se,1.8605228718843247,3.65,1.7894771281156752
Li4Cs3B7O14,1.854098058718523,6.53,4.675901941281477
La2O3,1.8535267201600667,5.4,3.5464732798399337
As2Te3,1.8449153578062414,1.67375,-0.1711653578062413
CsCdBO3,1.8370204866968347,2.58,4.417020486696835
CuGaO2,1.8232495248946596,1.47,3.2932495248946596
TlGaS2,1.801909359968743,3.4,1.598090640031257
CsLiB6O10,1.8015478703175107,6.89,5.088452129682489
Lu2O3,1.7990316621799498,5.5,3.70096833782005
Na2B6O9F2,1.7984334381964402,7.33,5.53156656180356
Li2B4O7,1.79732583692038,7.3,5.50267416307962
LiBr,1.7934974203759086,7.725,5.931502579624091
Ba2Sb7O14H,1.7836822717097114,2.7,4.483682271709712
MnO2,1.7808590228685406,1.3,3.0808590228685406
La2MnNiO6,1.7798671013825529,1.2999999999999998,3.0798671013825527
NdB6,1.7798285306927584,4.9,3.120171469307242
Ho2Mo3O12,1.7734333555298711,1.375,3.148433355529871
PdTe2,1.766594871535417,1.8,0.0334051284645831
La2CoTiO6,1.76036838951554,1.02,2.78036838951554
K3B6O10Cl,1.7578782835452529,6.89,5.132121716454747
Y2O3,1.7549271536341116,5.6,3.845072846365888
Ba1.88Ta15O32,1.7407728328940708,0.13,1.8707728328940707
CuN3,1.7390784196189855,4.17,2.4309215803810145
PrB6,1.7371588720853182,4.9,3.162841127914682
Cs2B4SiO9,1.715379334209218,6.53,4.814620665790782
Eu3Se4,1.7133716651002562,0.58,2.2933716651002563
Mn2P2Se6,1.7074542475529104,2.5,0.7925457524470896
HgSnO3,1.7062593633467116,1.6,3.3062593633467117
Cs2TeI6,1.7027499668809094,1.5,3.2027499668809094
Ho2O3,1.696996117569963,5.42,3.723003882430037
K2Se,1.692121862042533,1.8,3.492121862042533
