,ae,exp,pred
BeO,5.747396461061506,10.39,4.642603538938495
MnF2,4.5660199603669325,9.9,5.333980039633068
Na2Be4B4O11,4.487025542286008,7.3,2.8129744577139917
Sr2Be2B2O7,3.850451577503713,8.0,4.149548422496287
RbF,3.387787505176478,10.4,7.0122124948235225
AgSO4,3.3793982710927337,0.18,3.559398271092734
CsF,3.311035867049581,10.0,6.688964132950419
AgF,3.2870856011581404,2.8,6.08708560115814
LiCl,3.2576290812014204,9.33,6.07237091879858
CrO2,3.12303190494022,0.23,3.35303190494022
KF,3.121976298202571,10.3,7.1780237017974295
NiO,3.077277595419625,4.0,0.9227224045803746
NaB15,3.0379169561495334,0.32,3.3579169561495332
RbBa2P5O15,2.972319783699911,7.6,4.627680216300089
Na7Co2O6,2.7998978807530444,0.495,3.2948978807530445
MgO,2.789400428336646,7.745,4.955599571663354
KH2PO4,2.764006261070721,6.975,4.210993738929279
Ba4B11O20F,2.7584935295514423,7.1,4.341506470448557
RbCl,2.714339213938148,8.278,5.5636607860618525
AlN,2.6782328006667466,6.1,3.421767199333253
NH6PO4,2.677562701192848,6.805,4.127437298807152
LiRbCO3,2.6599994515911107,6.28,3.6200005484088895
Rb3CdB5O10,2.6547467565986462,2.34,4.994746756598646
VO2,2.6521746655531513,0.466,3.1181746655531515
RbBr,2.623458602730026,7.45,4.826541397269974
LiB3O5,2.593475410785917,7.843333333333334,5.249857922547417
Pb17O8Cl18,2.5740759092324828,3.44,0.865924090767517
K4GeSe4,2.4998973442678762,0.64,3.1398973442678764
CsCl,2.447265908213499,7.949999999999999,5.5027340917865
LaMg2PdH7,2.404117533893733,1.0,3.404117533893733
K4GeS4,2.4033369583500246,0.8,3.203336958350025
V2O4,2.401790466059322,0.66,3.061790466059322
Li6Rb5B11O22,2.3886377040620372,6.53,4.141362295937963
Sc2O3,2.335767880734519,6.1,3.764232119265481
GeO2,2.334925449705845,5.576666666666667,3.241741216960822
La2CoVO6,2.3187360847569103,0.41,2.7287360847569104
As2B12,2.3009749283365517,1.51,3.810974928336552
DyPO4,2.2954140286106943,6.38,4.084585971389306
Tl3VS4,2.2887836990323795,1.81,-0.4787836990323795
CeF3,2.2836693784820756,4.85,7.133669378482075
Li3Cs2B5O10,2.2522214050799763,7.3,5.047778594920024
NaCl,2.242382574310094,8.5,6.257617425689906
EuO,2.2275397993398114,1.119,3.346539799339811
Ca10Ge16B6O51,2.222861512898918,5.47,3.2471384871010818
Ba3P3O10Cl,2.2115029355675633,6.89,4.678497064432436
La2NiVO6,2.1957591121283566,0.45,2.645759112128357
CsGeI3,2.185541169390635,1.6,3.785541169390635
PbCoO3,2.1849751993024134,0.28,2.464975199302413
MnI2,2.172352350210992,4.220000000000001,2.047647649789009
Si3N4,2.171523088936935,5.1,2.928476911063065
Rb2TeBr6,2.1380296286420593,2.14,4.278029628642059
MnTe9,2.116287063824817,2.0,-0.1162870638248168
KZn4B3O9,2.1087794852254373,2.32,4.428779485225437
Gd2O3,2.098569189368149,5.3,3.2014308106318508
Li4.5Cr0.5TeO6,2.0918680355943025,1.79,3.8818680355943025
K2CeP2O8,2.0803901241606697,2.46,4.54039012416067
Er2Mo3O12,2.0767670482425373,1.0,3.0767670482425373
SrZrS3,2.0731365299727247,0.9,2.9731365299727246
Cs6.40Na1.60Ga8Ge38,2.068023796852785,0.221,2.289023796852785
Cs2TeBr6,2.063958492355024,2.12,4.183958492355024
CsI,2.05203862019951,6.3566666666666665,4.3046280464671565
HfO2,2.0382310661347547,5.55,3.511768933865245
Li4.5Mn0.5TeO6,2.0290988702562114,1.97,3.999098870256211
Ca3N2,2.012645321444256,1.55,3.562645321444256
Rb2Te,2.008442960276915,4.5,2.491557039723085
Li6Fe2Te8O22,2.002442104863832,1.98,3.982442104863832
AgCl,1.9989054370455008,5.13,3.131094562954499
Rb2TeI6,1.9736644903130984,1.4,3.3736644903130983
CaO,1.9711059903925126,7.003400000000001,5.032294009607488
Er2O3,1.9546770085047873,5.42,3.4653229914952126
Li4Rb3B7O14,1.9383318211275125,6.53,4.591668178872488
AsNMg3,1.9145367350661655,1.332,3.2465367350661656
CrO3,1.8989510261741125,1.4,3.2989510261741124
AgPdI3O9,1.8811248002559893,1.5,3.3811248002559893
Zn3B2O6,1.8798545362997898,2.6,4.47985453629979
TiS3,1.8733911834885495,0.9,2.7733911834885494
Zn0.99Cd0.01Se,1.8605228718843132,3.65,1.7894771281156867
Li4Cs3B7O14,1.854098058718522,6.53,4.675901941281478
As2Te3,1.8449153578061988,1.67375,-0.1711653578061986
CsCdBO3,1.8358051665617374,2.58,4.4158051665617375
La2O3,1.8335989242060222,5.4,3.566401075793978
CuGaO2,1.8232495248946383,1.47,3.2932495248946383
Na2B6O9F2,1.8093822355109044,7.33,5.520617764489096
Li2B4O7,1.806295795970125,7.3,5.493704204029875
TlGaS2,1.8019093599687421,3.4,1.5980906400312578
CsLiB6O10,1.8015478703174974,6.89,5.088452129682502
Lu2O3,1.799829228281793,5.5,3.700170771718207
LiBr,1.793497420375897,7.725,5.9315025796241025
Ba2Sb7O14H,1.783682271709723,2.7,4.483682271709723
MnO2,1.780859022868514,1.3,3.080859022868514
La2MnNiO6,1.7798671013825897,1.2999999999999998,3.0798671013825896
NdB6,1.779828530692832,4.9,3.1201714693071683
Ho2Mo3O12,1.7734333555298898,1.375,3.14843335552989
PdTe2,1.7665948715354391,1.8,0.0334051284645608
K3B6O10Cl,1.76358554861425,6.89,5.12641445138575
La2CoTiO6,1.7603683895155373,1.02,2.7803683895155373
Y2O3,1.7549271536340827,5.6,3.845072846365917
Ba1.88Ta15O32,1.7407728328940384,0.13,1.8707728328940385
CuN3,1.7390784196189935,4.17,2.4309215803810065
PrB6,1.737158872085331,4.9,3.1628411279146693
Cs2B4SiO9,1.7153793342092571,6.53,4.814620665790743
Eu3Se4,1.7133716651002935,0.58,2.2933716651002936
Mn2P2Se6,1.7074542475529275,2.5,0.7925457524470725
HgSnO3,1.7062593633466947,1.6,3.306259363346695
Cs2TeI6,1.7027499668809076,1.5,3.2027499668809076
Ho2O3,1.6969961175699417,5.42,3.723003882430058
K2Se,1.6921218620425644,1.8,3.4921218620425645
KI,1.6892839971073963,6.132777777777778,4.443493780670382
LiCa3As2H,1.6823598687090873,1.4,3.082359868709087
Tl4CdI6,1.680946046536854,2.8,1.1190539534631458
BaPrO3,1.6776136134094095,2.0,3.6776136134094095
Li4SrB2O6,1.6654026235551136,6.67,5.004597376444886
Cs2HgI2Cl2,1.663096700633648,2.15,3.813096700633648
AsSb,1.6534045203962613,1.6,-0.0534045203962612
GeSe2O6,1.6521439210317652,5.289999999999999,3.637856078968234
LiBiS2,1.6484985895234636,0.16,1.8084985895234635
K2TeI6,1.6473242217281419,1.38,3.0273242217281418
BaSbBS4,1.635337016619859,2.34,3.975337016619859
Cs2Ba3P4O14,1.6167969332479721,6.31,4.6932030667520275
Cs3As,1.6158029326006984,0.6,2.2158029326006985
K2Al2B2O7,1.6136846760899175,6.89,5.276315323910082
Na3ZnB5O10,1.5969457327279555,3.2,4.796945732727956
Ca5B3O9F,1.5905735442199553,6.53,4.939426455780045
NaLa2TaO6,1.5889625949530264,4.5,2.9110374050469736
LiAsS2,1.5883768305326504,1.6,3.1883768305326505
Cs2AgBiCl6,1.5862949725191284,2.77,4.3562949725191285
CdSc,1.5845172949616302,1.714,0.1294827050383697
Cs3Bi,1.5756329249293146,0.625,2.2006329249293146
Rb3NaMo2O8,1.5682828053627622,4.84,3.2717171946372376
K3Bi2I9,1.5669069423303785,2.1,0.5330930576696216
MgSe,1.5641583509409154,5.743333333333333,4.179174982392418
KBaB5O9,1.5630360894625022,3.65,5.213036089462502
EuAl2O4,1.5627633234755702,2.74,4.3027633234755704
CeN,1.5609190358930773,0.7,2.2609190358930773
Cs2Sb,1.5606962073505293,0.62,2.1806962073505294
ZnS,1.5567192294582854,3.7042,2.1474807705417147
KPbB5O9,1.550537048109574,3.1,4.650537048109574
Li2B6,1.5290414916310056,2.0,3.5290414916310056
Cs6Na2Zn4Ge42,1.5246191763802777,0.297,1.8216191763802776
LiIO3,1.5066121094525826,4.1850000000000005,5.691612109452583
Ag2PdO2,1.5006114955333192,0.18,1.6806114955333191
Na3WO4Cl,1.490232223522697,4.99,3.499767776477303
Zr6O,1.4801848278458412,0.18,1.660184827845841
K2Ta15O32,1.4791198746891656,0.33,1.8091198746891657
Tl6CuTe2O10,1.47831747500538,2.3,3.77831747500538
YVTeO10,1.4734789428712776,2.2,3.6734789428712777
InAsI,1.4703359163775944,0.41,1.8803359163775943
Sr3GeSb2Se8,1.4703062940382812,0.75,2.220306294038281
Cs4BiAs3Se7,1.468705764397884,1.02,2.488705764397884
TlN3,1.4640760580581627,3.58,2.1159239419418374
KIO3,1.4627345244585843,3.8575,5.320234524458584
AlB12,1.4510575732651416,2.14,3.5910575732651417
Mg2GeSe4,1.4466638602585862,2.02,3.466663860258586
Cu2GeS3,1.435529239200095,0.53,1.965529239200095
Sn0.5GaZn3.5O6,1.4219500968964098,2.99,4.41195009689641
PrO,1.4211163526523825,0.55,1.9711163526523825
Gd2Mo3O12,1.4170321423346186,4.119999999999999,2.7029678576653806
Ba3La3Cu6O14,1.4150145492116895,1.8,3.2150145492116895
NaBr,1.4147805657795391,7.261666666666667,5.846886100887128
Cd8B5O15F,1.4101416583019426,3.14,4.550141658301943
K2Au2Sn2Se6,1.4071969562698294,2.28,0.8728030437301704
SmSe,1.4039838090100505,0.46,1.8639838090100505
Sn0.5GaZn5.5O8,1.4032690592510288,2.99,4.393269059251029
KCuThS3,1.4011279612874339,2.95,1.5488720387125663
PrCuOS,1.4008872159569081,3.03,1.6291127840430917
BaTaO2N,1.40022227988211,1.78,3.18022227988211
La3CuGeSe7,1.3952300057582832,2.0,0.6047699942417168
Eu1.83Ta15O32,1.390910055477693,0.23,1.620910055477693
CeFMoO4,1.3892250442719978,2.52,3.909225044271998
LiSbS2,1.38647801341277,1.36,2.74647801341277
Cu3TaS4,1.3864066566499882,3.0,1.6135933433500118
Ba3B1.5S6Bi0.5,1.3693552874145727,2.43,3.799355287414573
SiB3,1.3684447294576532,2.0,3.368444729457653
TeI4,1.363004149206375,1.1,2.463004149206375
TiC0.9,1.3614955370030686,0.3,1.6614955370030686
AgN3,1.3601236733581907,3.67,2.309876326641809
SrCrO4,1.359021596050035,2.45,3.809021596050035
LiZnBO3,1.3582582081370291,3.1,4.458258208137029
Sm2O3,1.3451340556266502,5.0,3.6548659443733498
Ag2ZnSiS4,1.3447882554010682,3.28,1.9352117445989316
RbCaBO3,1.3407501661148604,3.67,5.01075016611486
Cu3NbSe4,1.3343667806232333,2.45,1.1156332193767668
CsZn2B3O7,1.32962229258096,5.69,4.36037770741904
K2MnSn2Se6,1.3255966917517998,2.0,0.6744033082482002
AgInO2,1.3239933209534822,4.2,2.876006679046518
Eu2Se3,1.3192376527611631,1.02,2.339237652761163
MgGeN2,1.3160230072869918,4.300000000000001,2.983976992713009
Tb2Mo3O12,1.3145040641968517,1.505,2.8195040641968516
LiSbTe2,1.3074492682037853,0.129,1.4364492682037853
HgS,1.3043775592722182,2.1,0.7956224407277819
CuNbO3,1.3031798553202343,2.0,3.3031798553202343
NaI,1.3024670753299716,6.074,4.771532924670028
K3CdB5O10,1.3018897066286006,3.47,4.771889706628601
Pb6B2CrO12,1.300960093804943,1.8,3.100960093804943
LiAsSe2,1.294915292872677,1.2366666666666666,2.5315819595393436
Mg2Sn,1.2877205747648188,0.2723076923076923,1.5600282670725112
Pb7Bi4Se13,1.2798163231472586,0.29,1.5698163231472586
SmB66,1.2702771352934794,0.8,2.0702771352934795
TeI,1.266296259661376,1.1,2.366296259661376
Na2Se,1.2645924881389705,2.0,3.2645924881389705
K2CsSb,1.2586334002812016,1.1,2.3586334002812017
SrS,1.2523678034891748,4.779999999999999,3.5276321965108246
PbSbBS4,1.2518839864783202,1.803,3.05488398647832
BaV2SeO8,1.2483371613159293,2.13,3.378337161315929
MnO,1.2474500607096375,3.6,2.3525499392903626
SiTe2,1.2462910356945769,2.015,0.7687089643054232
YbS,1.2451797072909765,1.135,2.3801797072909765
BaB2O4,1.2445148004377318,6.4433333333333325,5.198818532895601
ZnTc,1.2433634803151372,2.37,1.126636519684863
TlGaTe2,1.2418648515000537,1.8,0.5581351484999464
CuFeS2,1.241277346580372,0.4866666666666666,1.7279440132470385
AgScO2,1.238020282735691,3.8,2.561979717264309
