,ae,exp,pred
MnF2,6.783820430303033,9.9,3.116179569696967
BeO,5.345737042929298,10.39,5.0442629570707025
AgSO4,3.802839783333332,0.18,3.982839783333332
CsF,3.796258666666655,10.0,6.203741333333345
LiCl,3.3710974444444526,9.33,5.9589025555555475
NaNO2,3.0764887999999986,3.06,6.136488799999999
MgSe,2.9962385362144546,5.743333333333333,2.7470947971188786
Li6Rb5B11O22,2.7924123333333344,6.53,3.737587666666666
EuO,2.791803168181813,1.119,3.910803168181813
CaI2,2.7731798621269825,5.98,3.206820137873018
CsI,2.7404012460317406,6.3566666666666665,3.616265420634926
AgCl,2.6377765597125062,5.13,2.4922234402874937
Ba4B11O20F,2.611484666666657,7.1,4.488515333333343
NH6PO4,2.569636874747486,6.805,4.235363125252514
Na7Co2O6,2.56291622222222,0.495,3.0579162222222203
Sr2Be2B2O7,2.514024666666659,8.0,5.485975333333341
AlN,2.4872800848484857,6.1,3.612719915151514
RbBa2P5O15,2.432938333333335,7.6,5.167061666666664
KBaB5O9,2.4235786666666725,3.65,6.0735786666666725
Rb2Te,2.3476157777777824,4.5,2.1523842222222176
MgO,2.282924547474738,7.745,5.462075452525262
PbCoO3,2.2809165212121227,0.28,2.5609165212121225
PrO,2.2680243904040402,0.55,2.81802439040404
CsZn2B3O7,2.2567216666666683,5.69,3.433278333333332
Gd2Mo3O12,2.20718466666667,4.119999999999999,1.9128153333333289
V2O4,2.205702999999993,0.66,2.8657029999999932
KF,2.192829133333321,10.3,8.10717086666668
NaB15,2.188551030769219,0.32,2.508551030769219
Ca10Ge16B6O51,2.1271952000000014,5.47,3.3428047999999984
CrO2,2.1181141393939336,0.23,2.3481141393939335
RbBr,2.074336000000004,7.45,5.375663999999996
RbF,2.063591422222201,10.4,8.3364085777778
DyPO4,2.0361158666666634,6.38,4.3438841333333365
Ba3P3O10Cl,2.017277666666663,6.89,4.8727223333333365
MnI2,1.9999128861012414,4.220000000000001,2.2200871138987592
HfO2,1.9784747151515134,5.55,3.5715252848484864
K2CeP2O8,1.9598316666666644,2.46,4.419831666666664
LiBiS2,1.9551507685592224,0.16,2.1151507685592223
CaTe,1.955143301333667,4.1850000000000005,2.2298566986663335
LiB3O5,1.938440999999992,7.843333333333334,5.904892333333342
In2P3B1O12,1.917432999999996,5.39,3.4725670000000037
NaCl,1.917237133333332,8.5,6.582762866666668
BaPrO3,1.9058846000000016,2.0,3.9058846000000016
Rb3CdB5O10,1.8809606666666783,2.34,4.220960666666678
CsCl,1.8444980888889004,7.949999999999999,6.105501911111099
KTi2F7,1.8321861999999962,6.4,4.567813800000004
MnP4,1.8303631487845478,0.28,2.110363148784548
KH2PO4,1.7967458666666651,6.975,5.1782541333333345
AgInO2,1.796493362121204,4.2,2.403506637878796
VO2,1.7765276181818155,0.466,2.2425276181818155
Rb5BS4O16,1.76906826666667,3.99,5.75906826666667
Na3WO4Cl,1.7649566666666678,4.99,3.2250433333333324
CuGaO2,1.7458996363636323,1.47,3.2158996363636323
BaTe,1.7454037081074487,3.4,1.6545962918925512
CaO,1.7442080888888958,7.003400000000001,5.259191911111105
RbNb4Br11,1.738250916666666,0.46,2.198250916666666
EuSe,1.730210436969697,3.1,1.3697895630303032
SrS,1.7276823586302514,4.779999999999999,3.052317641369748
Cu3TaS4,1.7211771476190512,3.0,1.2788228523809488
KI,1.7166030277777846,6.132777777777778,4.4161747499999935
TiC0.9,1.707021112820511,0.3,2.007021112820511
Na2B6O9F2,1.6990746666666618,7.33,5.630925333333338
K2Al2B2O7,1.6905511333333116,6.89,5.199448866666688
TlGaS2,1.678378454613165,3.4,1.7216215453868349
LiBr,1.6484753136363466,7.725,6.076524686363653
NaBiS2,1.6482718641025642,0.41,2.058271864102564
Ag2PdO2,1.6466782452380997,0.18,1.8266782452380996
LaMg2PdH7,1.6461381333333396,1.0,2.6461381333333396
CeN,1.641890899999997,0.7,2.341890899999997
BaClBF4,1.6292415333333379,6.89,5.260758466666662
EuAl2O4,1.6264519999999978,2.74,4.366451999999998
SmSe,1.6109583706378063,0.46,2.0709583706378063
Li9Ga13Te21O66,1.6102853499999994,4.45,2.839714650000001
SrSe,1.6083292395042768,4.42,2.811670760495723
CrO3,1.5991743833333287,1.4,2.9991743833333286
NiO,1.5968408424242422,4.0,2.403159157575758
FeP4,1.5806420484848482,0.32,1.9006420484848483
PAs,1.5805620928321689,0.23,1.8105620928321688
Ca3N2,1.5502920060606094,1.55,3.1002920060606094
BP,1.5483688952913761,4.2,2.651631104708624
RbCl,1.5443664000000155,8.278,6.733633599999985
ZnTc,1.5226898327395397,2.37,0.8473101672604605
HgSnO3,1.5220841272727288,1.6,3.122084127272729
LaF3,1.5148486666666887,6.6,5.085151333333311
Na8CsB21O36,1.498084333333325,4.67,3.171915666666675
Li4.5Cr0.5TeO6,1.488311333333339,1.79,3.278311333333339
ZnI2,1.481699385714292,4.53,3.0483006142857083
Cs3As,1.4804756666666652,0.6,2.0804756666666653
NaBa2Cu3S5,1.4781953166666661,0.45,1.928195316666666
K4GeS4,1.4696306666666652,0.8,2.2696306666666652
CuAlS2,1.4604174049765763,3.5,2.0395825950234237
Li3Cs2B5O10,1.4588253333333165,7.3,5.841174666666683
CuBS2,1.457733373043626,3.61,2.152266626956374
Tb2Mo3O12,1.4576239999999916,1.505,2.9626239999999915
Cs2Al2B2O7,1.454220000000018,4.13,5.584220000000018
LiSbTe2,1.448377364194143,0.129,1.577377364194143
Zr6O,1.4478262499999985,0.18,1.6278262499999985
Li4.5Mn0.5TeO6,1.440185555555553,1.97,3.410185555555553
SrZrS3,1.4243607833333343,0.9,2.324360783333334
Ce2O2FeSe2,1.4175196666666663,0.64,2.0575196666666664
AgO,1.4123445787878823,1.57,2.9823445787878824
Bi9O7.5S6,1.4100619428571446,1.27,2.6800619428571446
Cr2O3,1.4093900484848458,3.4,1.990609951515154
AsNMg3,1.4083372313131248,1.332,2.740337231313125
Al2S3,1.4079758317016333,4.1,2.6920241682983663
Li6Fe2Te8O22,1.405891666666673,1.98,3.385891666666673
AgPdI3O9,1.3987634666666704,1.5,2.8987634666666704
Na2Be4B4O11,1.3945770000000017,7.3,5.905422999999998
KUO3Cl,1.3926573333333327,2.37,3.762657333333333
La2O2FeSe2,1.3916300000000017,0.7,2.0916300000000017
CsSbTe2,1.390132577777778,0.43,1.820132577777778
BaV2SeO8,1.38904800000001,2.13,3.51904800000001
Cu3NbSe4,1.388444982539684,2.45,1.061555017460316
Ce15B8N25,1.3807537333333322,3.5,2.119246266666668
BaZn2As2,1.3701600714798545,0.23,1.6001600714798545
Cu2GeS3,1.3615138913752929,0.53,1.891513891375293
TiS3,1.3572228503884993,0.9,2.2572228503884992
Li4SrB2O6,1.355957333333322,6.67,5.314042666666678
SrTe,1.355735366350879,3.75,2.394264633649121
K4GeSe4,1.3534171111111069,0.64,1.9934171111111068
Eu3Se4,1.3262873530302999,0.58,1.9062873530303
GeO2,1.322750581818183,5.576666666666667,4.253916084848484
KZn4B3O9,1.3214510000000073,2.32,3.641451000000007
Rb3NaMo2O8,1.3185240000000054,4.84,3.5214759999999945
CaB6,1.3152169333333297,4.5,3.1847830666666703
Na2Zn3Se4O12,1.3112350969696926,4.9,3.5887649030303077
EuN,1.310031461038958,1.25,2.560031461038958
Er2Mo3O12,1.3014099999999988,1.0,2.301409999999999
Si3N4,1.2911393137085154,5.1,3.808860686291484
PdO,1.2875863259740237,0.8,2.0875863259740237
BaReH9,1.2863509692307717,3.44,2.153649030769228
YN,1.2762803337995354,1.9,3.1762803337995353
MgTe,1.2663410577164558,3.6,2.3336589422835443
LiRbCO3,1.2624565333333253,6.28,5.017543466666675
Sc2O3,1.2588308666666705,6.1,4.841169133333329
Ge0.542Si0.458,1.2536547692307716,2.238,0.9843452307692284
K8Ce2I18O53,1.2514400000000072,2.34,3.591440000000007
MnO2,1.2473913333333349,1.3,2.547391333333335
HgSe,1.2459260311428626,0.2416666666666667,1.4875926978095293
La2O2ZnSe2,1.2446971999999983,3.4,2.1553028000000016
BiCuOS,1.239620693939395,1.07,2.309620693939395
BaGa2S4,1.2352622857142888,4.125,2.8897377142857112
As2B12,1.2316208666666573,1.51,2.7416208666666573
Pb2O3,1.2290590000000061,1.67,2.899059000000006
Cu1.8S,1.218628044139194,2.3,1.081371955860806
