,ae,exp,pred
MnF2,6.870030242424242,9.9,3.0299697575757585
BeO,5.420988545454548,10.39,4.969011454545453
CsF,3.935128911111102,10.0,6.064871088888898
AgSO4,3.7051303333333303,0.18,3.8851303333333305
LiCl,3.306564666200469,9.33,6.023435333799531
NaNO2,3.2182687999999895,3.06,6.2782687999999895
MgSe,3.028845441837723,5.743333333333333,2.7144878914956103
CsI,2.7083361908888857,6.3566666666666665,3.648330475777781
Ba4B11O20F,2.6931646666666635,7.1,4.406835333333336
Li6Rb5B11O22,2.6847786666666673,6.53,3.845221333333333
AlN,2.6638811908424946,6.1,3.436118809157505
CaI2,2.639857488898654,5.98,3.3401425111013463
Na7Co2O6,2.6030282222222203,0.495,3.0980282222222204
EuO,2.5861690262626196,1.119,3.70516902626262
AgCl,2.542162460473302,5.13,2.587837539526698
NH6PO4,2.5201083111111267,6.805,4.284891688888873
Sr2Be2B2O7,2.4107473333333207,8.0,5.589252666666679
Rb2Te,2.409644666666672,4.5,2.090355333333328
NaB15,2.3941099999999897,0.32,2.7141099999999896
RbBa2P5O15,2.3859733333333333,7.6,5.214026666666666
CsZn2B3O7,2.345230000000001,5.69,3.3447699999999996
KBaB5O9,2.3383453333333413,3.65,5.988345333333341
V2O4,2.273405333333329,0.66,2.933405333333329
MgO,2.25573105050504,7.745,5.48926894949496
RbBr,2.242233100000008,7.45,5.207766899999992
PrO,2.225044538888886,0.55,2.775044538888886
PbCoO3,2.2032558181818187,0.28,2.4832558181818185
RbF,2.161440177777763,10.4,8.238559822222237
Gd2Mo3O12,2.152535000000002,4.119999999999999,1.967464999999997
KF,2.135911377777761,10.3,8.16408862222224
Ca10Ge16B6O51,2.113279200000002,5.47,3.356720799999998
DyPO4,2.082009200000001,6.38,4.297990799999999
CrO2,2.0715304727272716,0.23,2.3015304727272716
KTi2F7,2.040457199999995,6.4,4.359542800000005
LiBiS2,2.024496229653681,0.16,2.184496229653681
MnI2,2.0220883764228015,4.220000000000001,2.197911623577199
BaPrO3,1.9360153999999983,2.0,3.9360153999999983
HfO2,1.9311809999999938,5.55,3.618819000000006
CuGaO2,1.9267856666666632,1.47,3.396785666666663
CaO,1.8931792484848557,7.003400000000001,5.110220751515145
In2P3B1O12,1.8755199999999954,5.39,3.5144800000000043
NaCl,1.8680075303418793,8.5,6.631992469658121
Ba3P3O10Cl,1.8671365333333334,6.89,5.022863466666666
MnP4,1.859713732700633,0.28,2.139713732700633
AgInO2,1.8433757924242333,4.2,2.356624207575767
LiB3O5,1.8391531999999868,7.843333333333334,6.004180133333347
SrS,1.833574413692305,4.779999999999999,2.9464255863076945
LiBr,1.8286854702408526,7.725,5.896314529759147
K2CeP2O8,1.824347666666668,2.46,4.284347666666668
EuAl2O4,1.8203816666666706,2.74,4.560381666666671
RbNb4Br11,1.8079600222222223,0.46,2.2679600222222223
Rb3CdB5O10,1.7847060000000123,2.34,4.124706000000012
NaBiS2,1.7681451666666652,0.41,2.178145166666665
BaClBF4,1.7589070000000007,6.89,5.131092999999999
EuSe,1.7553883499145322,3.1,1.344611650085468
Cu3TaS4,1.7526828798534826,3.0,1.2473171201465174
Na2B6O9F2,1.7461166666666648,7.33,5.583883333333335
Ag2PdO2,1.7255710738095256,0.18,1.9055710738095255
KH2PO4,1.723594866666665,6.975,5.251405133333335
BaTe,1.7102579804761928,3.4,1.689742019523807
TiC0.9,1.709441977922075,0.3,2.009441977922075
RbCl,1.7094260166666864,8.278,6.568573983333314
CsCl,1.7048621222222327,7.949999999999999,6.245137877777767
VO2,1.6937463090909073,0.466,2.1597463090909073
CaTe,1.6850602466825406,4.1850000000000005,2.49993975331746
Na3WO4Cl,1.6731742666666714,4.99,3.316825733333329
K2Al2B2O7,1.6510891999999835,6.89,5.238910800000016
SrSe,1.651047857050508,4.42,2.768952142949492
Rb5BS4O16,1.6359641333333306,3.99,5.625964133333331
SmSe,1.634817835079366,0.46,2.094817835079366
LaF3,1.6298745333333509,6.6,4.970125466666649
NiO,1.5983245220779208,4.0,2.4016754779220792
PAs,1.58149867917638,0.23,1.81149867917638
TlGaS2,1.581371208426466,3.4,1.818628791573534
LaMg2PdH7,1.565402222222227,1.0,2.565402222222227
CeN,1.5581186273892744,0.7,2.2581186273892744
FeP4,1.5466795502497503,0.32,1.8666795502497504
K4GeS4,1.5290488888888862,0.8,2.3290488888888863
Li4.5Cr0.5TeO6,1.5276552666666752,1.79,3.317655266666675
BP,1.526158463403267,4.2,2.673841536596733
CrO3,1.5213585696969671,1.4,2.921358569696967
ZnTc,1.519350515153851,2.37,0.8506494848461491
Li9Ga13Te21O66,1.5122937333333324,4.45,2.937706266666668
Ca3N2,1.5011758060606113,1.55,3.0511758060606113
Cs3As,1.4855753333333332,0.6,2.0855753333333333
Cr2O3,1.4829778262626232,3.4,1.9170221737373767
CuAlS2,1.4751603653679632,3.5,2.0248396346320368
TiS3,1.4735806691142157,0.9,2.3735806691142156
Ce15B8N25,1.4659769333333328,3.5,2.034023066666667
NaBa2Cu3S5,1.463436000000003,0.45,1.913436000000003
