,ae,exp,pred
MnF2,5.369473838806153,9.9,4.530526161193848
PrO,4.345564079284668,0.55,4.895564079284668
BeO,3.810260429382325,10.39,6.579739570617676
Li2B6,3.4006166458129883,2.0,5.400616645812988
PrB6,3.3658250808715824,4.9,1.534174919128418
MnO2,3.3569342613220217,1.3,4.6569342613220215
Sr2Be2B2O7,3.226599693,8.0,4.773400307
BeS,3.170038299560547,4.17,7.340038299560547
AgSO4,3.0962293815612796,0.18,3.2762293815612797
CrO2,2.8251230907440186,0.23,3.0551230907440186
Ba1.88Ta15O32,2.7255409908294683,0.13,2.855540990829468
NdB6,2.708074235916138,4.9,2.1919257640838623
Cr2O3,2.6554926872253417,3.4,0.7445073127746582
KTi2F7,2.6102828025817875,6.4,3.789717197418213
NiO,2.565015196800232,4.0,1.434984803199768
Gd2Mo3O12,2.531078214645385,4.119999999999999,1.5889217853546145
AlN,2.508379554748535,6.1,3.591620445251465
Co2Te3O8,2.453280901908874,3.6,1.1467190980911257
BaPrO3,2.445742607116699,2.0,4.445742607116699
ErB6,2.4376561641693115,3.5,1.0623438358306885
NaB15,2.4277819919586183,0.32,2.747781991958618
Li4SrB2O6,2.3753828239440917,6.67,4.294617176055908
NaNO2,2.352788391113281,3.06,5.412788391113281
K2Ta15O32,2.3508538436889648,0.33,2.680853843688965
TiC0.9,2.334119510650635,0.3,2.6341195106506348
MnAl3,2.3239931297302245,0.58,2.9039931297302246
ZnO,2.251992277804288,3.402809090909091,5.654801368713379
RbBa2P5O15,2.2220130920410153,7.6,5.377986907958984
NaBa2Cu3S5,2.2202761650085447,0.45,2.670276165008545
AgF,2.167306137084961,2.8,4.967306137084961
MnI2,2.134554834365845,4.220000000000001,2.0854451656341557
Rb2Te,2.086884737014771,4.5,2.413115262985229
EuVO4,2.055586194992065,3.3499999999999996,1.2944138050079346
K2CeP2O8,2.039866008758545,2.46,4.499866008758545
AgCl,2.031898384094238,5.13,3.0981016159057617
Lu2O3,2.015463114,5.5,3.484536886
KUO3Cl,1.9902514266967772,2.37,4.360251426696777
Rb3CdB5O10,1.9732982254028322,2.34,4.313298225402832
AgInO2,1.952872705459595,4.2,2.2471272945404053
EuSe,1.949012851715088,3.1,1.150987148284912
B2O3,1.9366726684570317,4.895,6.831672668457031
BaIn2P4O14,1.9301092909999995,3.97,5.900109291
Na2Be4B4O11,1.9253757476806639,7.3,5.374624252319336
CuGaO2,1.9235866360000002,1.47,3.393586636
MgSe,1.9062628683333331,5.743333333333333,3.837070465
ZrO2,1.8635871315002444,4.99,3.126412868499756
Mg3As2,1.8278322939999998,2.4499999999999997,0.622167706
K4GeS4,1.8272189617156982,0.8,2.6272189617156982
CsCdBO3,1.8249148559570312,2.58,4.404914855957031
In2Se2O7,1.808304576873779,2.97,4.778304576873779
Ho2O3,1.775013370513916,5.42,3.644986629486084
EuO,1.774804073,1.119,2.893804073
Bi25FeO39,1.7658997058868406,2.8,1.0341002941131592
Cd8B5O15F,1.7535346603393562,3.14,4.893534660339356
Rb3NaMo2O8,1.740012969970703,4.84,3.099987030029297
K2Al2B2O7,1.7169491195678708,6.89,5.173050880432129
LaMg2PdH7,1.7019164562225342,1.0,2.701916456222534
Na3ZnB5O10,1.6747577667236326,3.2,4.874757766723633
Ba8Al10B12O41,1.6742352485656737,3.1,4.774235248565674
SmB66,1.6547817707061767,0.8,2.4547817707061768
HgSnO3,1.6430593967437743,1.6,3.2430593967437744
KZn4B3O9,1.6388646888732912,2.32,3.958864688873291
La2V2IO9,1.6280528354644774,3.63,2.0019471645355225
CsSb,1.6018938255310058,0.7050000000000001,2.306893825531006
PdTe2,1.599674153327942,1.8,0.2003258466720581
NdF3,1.591824626922607,6.15,7.741824626922607
EuH2,1.5911678314208983,1.85,3.4411678314208984
Si3N4,1.5765076637268058,5.1,3.523492336273194
BaReH9,1.5668614530563352,3.44,1.8731385469436648
Na2GdP2O8,1.5658587837219242,4.185,5.750858783721924
LiGd5P2O13,1.548092384338379,3.73,5.278092384338379
SmSe,1.5411727809906006,0.46,2.0011727809906006
PrF3,1.5225094795227054,5.6,7.122509479522705
K4GeSe4,1.520884380340576,0.64,2.160884380340576
Zn3B2O6,1.519328498840332,2.6,4.119328498840332
K3CdB5O10,1.5184614944458006,3.47,4.988461494445801
CaTe,1.5164867019653325,4.1850000000000005,2.668513298034668
Eu1.83Ta15O32,1.5008160066604614,0.23,1.7308160066604614
LaVI5O16,1.497437791824341,3.58,2.082562208175659
La2O3,1.4953369140000006,5.4,3.904663086
Sm2S3,1.486664514541626,2.98,1.493335485458374
Cs2B4SiO9,1.484572677612305,6.53,5.045427322387695
CaB6,1.483312368392944,4.5,3.016687631607056
PAs,1.482053298950195,0.23,1.712053298950195
TeI,1.4653560161590575,1.1,2.5653560161590576
CuN3,1.462553424835205,4.17,2.707446575164795
B12P2,1.4531443595886229,3.3,1.846855640411377
InAsI,1.452061142921448,0.41,1.862061142921448
Ba3La3Cu6O14,1.4498025894165039,1.8,3.249802589416504
BaB2O4,1.4494044240315747,6.4433333333333325,4.993928909301758
Hg0.01Cd0.99Se,1.432298264503479,0.29,1.722298264503479
RbNb4Br11,1.4243992948532105,0.46,1.8843992948532104
Eu3Se4,1.4201466274261474,0.58,2.0001466274261475
V2O4,1.4105046653747557,0.66,2.070504665374756
LaB6,1.397586917877197,4.1,2.7024130821228027
LiB3O5,1.3927784856160486,7.843333333333334,6.450554847717285
Mg2Sn,1.3868747370059673,0.2723076923076923,1.6591824293136597
PbN6,1.3852949142456055,3.0,4.3852949142456055
Na2Se,1.375724077224731,2.0,3.375724077224731
NaInS2,1.363861656188965,1.9,3.263861656188965
Fe2O3,1.3630144119262697,2.2,0.8369855880737305
Pb2O3,1.3579333591461182,1.67,3.027933359146118
AgO,1.357236795425415,1.57,2.927236795425415
SrZrS3,1.3488970756530763,0.9,2.248897075653076
CaO,1.3465262970000014,7.003400000000001,5.656873703
Ho2HfS5,1.3104374408721924,1.0,2.3104374408721924
Cs3W3PO13,1.3097042846679687,3.27,4.579704284667969
Cu3TaS4,1.303894043,3.0,1.696105957
Cu3YbS3,1.3028333759307862,1.56,0.2571666240692138
Er2Mo3O12,1.298973560333252,1.0,2.298973560333252
Na8CsB21O36,1.2986069488525391,4.67,5.968606948852539
Nd2HfS5,1.2909794330596924,0.7,1.9909794330596924
CeF3,1.2860320568084713,4.85,3.5639679431915283
AgGaO2,1.285190868377685,2.2,3.485190868377685
DyPO4,1.2773588943481435,6.38,5.102641105651856
Ce15B8N25,1.270331621170044,3.5,2.229668378829956
Tb2O3,1.269042969,3.0,4.269042969
LiZnBO3,1.2566136360168456,3.1,4.356613636016846
In6S7,1.255436449050904,0.8450000000000001,2.100436449050904
CsLiB6O10,1.2533890151977536,6.89,5.636610984802246
BaPdSe6,1.2522119522094726,2.15,0.8977880477905273
LaCuOS,1.2436335039138793,3.12,1.8763664960861208
CsI,1.2430516306559243,6.3566666666666665,5.113615036010742
Li4.5Ga0.5TeO6,1.231333008,4.99,3.758666992
La2HfS5,1.230436491966248,0.7,1.930436491966248
TaON,1.2252353191375729,2.5999999999999996,1.3747646808624268
LaCuOSe,1.2175875473022462,2.83,1.612412452697754
CsCaBO3,1.215924797058105,4.065,5.2809247970581055
PbSb2Se4,1.2083707332611084,1.8,0.5916292667388916
CsZn2B3O7,1.1979936981201176,5.69,4.492006301879883
La3Te4,1.1971839141845704,0.43,1.6271839141845703
PbCoO3,1.1922312688827517,0.28,1.4722312688827517
As2B12,1.1848108673095703,1.51,2.6948108673095703
LiZnN,1.184624605178833,1.945,3.129624605178833
KPbB5O9,1.1806558609008788,3.1,4.280655860900879
CuBS2,1.1750177001953124,3.61,2.4349822998046875
Li4.5Mn0.5TeO6,1.1745388793945313,1.97,3.1445388793945312
Th2GeSe2,1.1714254426956177,1.98,0.8085745573043823
CuI,1.167309373474121,3.0264,4.193709373474121
Zn3Sb2,1.160875628789266,0.1766666666666666,1.3375422954559326
YbS,1.1585354709625244,1.135,2.2935354709625244
KBaB5O9,1.1549230575561524,3.65,4.804923057556152
Mn3Ta2O8,1.1317206478118897,1.89,3.0217206478118896
SrTe,1.1283059120178223,3.75,2.6216940879821777
Cu3NbSe4,1.1276024103164675,2.45,1.3223975896835327
Tl2Hg3Se4,1.1237526607513428,1.57,0.4462473392486572
Li2CdGe,1.1233196353912358,0.99,2.113319635391236
NdCuOS,1.123145442008972,2.98,1.856854557991028
Cs2Te,1.120814561843872,3.5,2.379185438156128
Ag3AsSe3,1.115127637590681,2.0884285714285715,0.9733009338378906
GeSe2,1.1106916427612301,2.3812499999999996,1.2705583572387695
TlPSe2,1.1100377559661863,0.55,1.6600377559661863
Pb2Nb2Se4O15,1.1056422805786128,2.79,3.895642280578613
SmB6,1.1041984558105469,3.5,2.395801544189453
EuTe,1.102952868461609,2.007,0.9040471315383912
SbSi,1.0998084783554076,1.9,0.8001915216445923
Hg3ZnS2Cl4,1.092471218109131,2.65,3.742471218109131
ReO3,1.0924283981323244,2.3,3.392428398132324
La3FMo4O16,1.0907843589782722,3.7,4.790784358978272
Ir0.67S2,1.088252068,2.0,0.911747932
Th2Se5,1.0812454271316527,0.37,1.4512454271316528
Ba2Sb7O14H,1.0802209854125975,2.7,3.7802209854125977
Cr3Se4,1.0760798120498658,1.59,0.5139201879501343
