,ae,exp,pred
DyIn3S6,0.2202619362637901,1.22,1.44026193626379
K4Ba2Nb4S22,0.36139872098411185,1.77,2.131398720984112
K2Ho4Cu4S9,1.1485747828858033,2.43,1.2814252171141969
Pb0.9Mn0.1Te,0.05913853721024781,0.49,0.4308614627897522
RbInSnS4,0.024903903579037046,2.7,2.7249039035790372
PbGa2GeSe6,0.13159291105325677,1.96,2.0915929110532567
EuYb2S4,0.22417139347893178,1.6,1.3758286065210683
Hg0.01Cd0.99Se,0.5137024467334936,0.29,0.8037024467334937
VO2,2.76936419162812,0.466,3.23536419162812
InSb0.2As0.8,0.10087194914353911,0.12,0.2208719491435391
EuIn2S4,0.11563523968813127,1.5,1.3843647603118687
CdIn30Te46,0.0377431447853287,1.17,1.2077431447853286
Cu3VS4,0.6204498933971403,1.0,1.6204498933971403
NaGe3P3,1.1472432609470884,2.06,0.9127567390529115
CsDy9Cd4Se18,0.08359243461651933,1.99,2.0735924346165193
Hg0.77Cd0.23Te,0.05575499677269902,0.1649999999999999,0.2207549967726989
In4S5,0.4752909551664358,0.9,1.3752909551664358
BaGa2Se4,0.15814864063620648,3.163,3.3211486406362063
Ce2Sn3Se9,0.33628405832074254,0.3,0.6362840583207425
Ag2O,0.06108385725485688,1.5324,1.5934838572548569
CuIn5S8,0.10848238112643416,1.34,1.231517618873566
BaGa4S7,0.09955400314001794,3.54,3.639554003140018
CsCd4In5Se12,0.10012289183616652,1.62,1.7201228918361666
Cd4GdB3O10,0.11038850608985484,3.8,3.689611493910145
Ca2Si,1.044216632626766,1.9,0.855783367373234
Cs2ZnGe3Se8,0.2134879503401632,2.31,2.5234879503401633
Rb1.45Pb3.1Sb7.45Se15,0.4314400052888782,0.45,0.8814400052888782
AgIn9Te14,0.7770282234696988,1.5,0.7229717765303012
Rb3CdB5O10,2.1928218537728057,2.34,4.5328218537728056
ReSe2,0.13576785493720467,1.0699999999999998,0.9342321450627952
PbSe0.01S0.99,0.2915034095474055,0.366,0.6575034095474055
CsLu7Se11,0.39445744454667486,1.78,1.3855425554533252
SmB6,0.631613842288119,3.5,4.131613842288119
PdO,0.16354539582435512,0.8,0.6364546041756449
AgInS2,0.1028736458813504,1.9266666666666663,2.0295403125480167
Na2TeSe3,0.30450731430991396,1.91,2.214507314309914
PbTe,0.06910921278810517,0.2788333333333333,0.3479425461214385
RbMoPO6,0.3520361084669421,2.96,3.312036108466942
CaTe,0.4794876913880115,4.1850000000000005,3.705512308611989
K3Ta2AsSe11,0.20819804940114173,1.45,1.6581980494011417
CaB6,1.6419208948956827,4.5,2.8580791051043173
CoP3,0.0650882876806334,0.45,0.3849117123193666
AgInTe2,0.2907534247961211,0.945,0.6542465752038789
Cs2Cd3B16O28,0.5581037486002156,4.76,4.201896251399784
Cu3YbSe3,0.2862724152569246,0.2,0.4862724152569246
AgAlTe2,0.6890925138918738,1.85,1.1609074861081263
OsP2,0.14688693645187767,1.165,1.3118869364518777
LiH3Se2O6,0.14055864980312016,4.9,5.0405586498031205
AlN,1.5448999236574767,6.1,4.555100076342523
Na7Co2O6,2.334307741357999,0.495,2.829307741357999
PtAs2,0.2474555184702268,0.6166666666666667,0.3692111481964399
K2Sb8Se3,0.3494321994319707,1.31,0.9605678005680294
Y6ZnSi2S14,0.35319548557003166,2.38,2.7331954855700316
Ge0.838Si0.162,0.37041985642415554,1.319,0.9485801435758444
CsYZnSe3,0.009633486553240811,2.35,2.3403665134467593
Ag4Ba6Sn4S16,0.7939541464817859,2.37,1.5760458535182142
CuInS2,0.41062799019549057,1.536333333333333,1.9469613235288237
Hg2Cu3Te6O16,5.10641950697277e-05,2.56,2.5599489358049303
Pb2GeSe4O12,0.0832913472500092,4.1,4.0167086527499904
EuTb2Se4,0.3343815572171902,2.0,1.6656184427828098
InSb2Se4Br,0.05666303876286882,1.35,1.2933369612371313
Ce15B8N25,1.8065485583634466,3.5,1.6934514416365534
