,ae,exp,pred
MnF2,5.774839712314858,9.9,4.1251602876851425
BeO,4.822846566869078,10.39,5.5671534331309225
AgSO4,3.1420435094993984,0.18,3.3220435094993985
NaNO2,2.9474838690108993,3.06,6.007483869010899
AgCl,2.8349811651875774,5.13,2.2950188348124225
VO2,2.7693354534522525,0.466,3.2353354534522527
KBaB5O9,2.747954868909926,3.65,6.397954868909926
CrO2,2.747380556982805,0.23,2.977380556982805
Tb4Al2O9,2.66173116882287,4.59,1.92826883117713
PrO,2.5556300527056477,0.55,3.1056300527056475
CsZn2B3O7,2.5359679387077936,5.69,3.154032061292207
Cr2O3,2.4968427087166836,3.4,0.9031572912833165
EuO,2.4803831634678577,1.119,3.5993831634678575
AgInO2,2.4511937576122267,4.2,1.7488062423877735
EuAl2O4,2.385273249274306,2.74,5.125273249274306
Na7Co2O6,2.334552659633814,0.495,2.8295526596338143
RbBa2P5O15,2.330121496283387,7.6,5.269878503716613
NiO,2.234225551998165,4.0,1.7657744480018351
Rb3CdB5O10,2.192821853772834,2.34,4.532821853772834
Gd2Mo3O12,2.1872669738956665,4.119999999999999,1.9327330261043325
CsAu,2.173039762563143,2.3,0.1269602374368568
NaB15,2.1670426600113046,0.32,2.4870426600113045
Co2Te3O8,2.1132847585396135,3.6,1.4867152414603866
Rb2Te,2.113189960916256,4.5,2.386810039083744
TiC0.9,2.0521702016435555,0.3,2.3521702016435553
NH6PO4,2.051938597298715,6.805,4.7530614027012845
Ba4B11O20F,2.0444697009542905,7.1,5.055530299045709
DyPO4,2.027099831719794,6.38,4.352900168280206
KPbB5O9,1.9919227272935713,3.1,5.091922727293571
In2P3B1O12,1.9805136970402795,5.39,3.40948630295972
Cs2Al2B2O7,1.9760497900809098,4.13,6.10604979008091
V2O4,1.9673286536449317,0.66,2.627328653644932
CuGaO2,1.9527188420953683,1.47,3.4227188420953683
Na2Zn3Se4O12,1.9388067930350728,4.9,2.9611932069649276
Eu3Se4,1.897901914270844,0.58,2.477901914270844
KH2PO4,1.891433364107173,6.975,5.083566635892827
RbNb4Br11,1.8828692677435184,0.46,2.3428692677435183
Ho2HfS5,1.8385163006603338,1.0,2.838516300660334
MnO2,1.8352654506403032,1.3,3.1352654506403033
Mg2GeSe4,1.816180109879673,2.02,3.836180109879673
Ce15B8N25,1.8065485583634096,3.5,1.6934514416365904
PbCoO3,1.7963387502627606,0.28,2.0763387502627606
AsNMg3,1.7846708523264485,1.332,3.1166708523264486
PdTe2,1.7616439528359786,1.8,0.0383560471640214
Sc2S3,1.7517832293669788,2.0,3.751783229366979
Th2GeSe2,1.737406222258297,1.98,0.2425937777417028
InAsI,1.7289548145511164,0.41,2.1389548145511164
K8Ce2I18O53,1.727562425497985,2.34,4.067562425497985
SrZrS3,1.721357340861739,0.9,2.621357340861739
BaReH9,1.7021231978522438,3.44,1.7378768021477562
Ba1.88Ta15O32,1.700954060619639,0.13,1.8309540606196388
Ba3P3O10Cl,1.7005015939409347,6.89,5.189498406059065
Sr2Be2B2O7,1.6907247813933735,8.0,6.3092752186066265
K2Ta15O32,1.6572225658573143,0.33,1.9872225658573144
CaB6,1.6418217262177013,4.5,2.8581782737822987
LaMg2PdH7,1.6374068051193702,1.0,2.63740680511937
LiCl,1.6370634096745302,9.33,7.69293659032547
SmSe,1.6341454976128262,0.46,2.094145497612826
HgSnO3,1.624441417997533,1.6,3.224441417997533
