,ae,exp,pred
MnF2,5.774535637893239,9.9,4.1254643621067615
BeO,4.823000430233076,10.39,5.566999569766924
AgSO4,3.1420407329988804,0.18,3.3220407329988806
NaNO2,2.9479480778315597,3.06,6.00794807783156
AgCl,2.834924410235356,5.13,2.295075589764644
VO2,2.76936419162812,0.466,3.23536419162812
KBaB5O9,2.7479548689099382,3.65,6.397954868909938
CrO2,2.747580298158907,0.23,2.977580298158907
Tb4Al2O9,2.662123333662251,4.59,1.927876666337749
PrO,2.555692615833806,0.55,3.1056926158338056
CsZn2B3O7,2.5363930579394705,5.69,3.15360694206053
Cr2O3,2.4967465344432807,3.4,0.9032534655567191
EuO,2.4803831634678106,1.119,3.599383163467811
AgInO2,2.4511937576123106,4.2,1.7488062423876896
EuAl2O4,2.385212324744045,2.74,5.125212324744045
Na7Co2O6,2.334307741357999,0.495,2.829307741357999
RbBa2P5O15,2.3303857789094877,7.6,5.269614221090512
NiO,2.2342158343254397,4.0,1.76578416567456
Rb3CdB5O10,2.1928218537728057,2.34,4.5328218537728056
Gd2Mo3O12,2.1872669738956088,4.119999999999999,1.9327330261043905
CsAu,2.173106364390468,2.3,0.126893635609532
NaB15,2.167313357979805,0.32,2.487313357979805
Rb2Te,2.113338191391234,4.5,2.386661808608766
Co2Te3O8,2.1133030169267357,3.6,1.4866969830732644
NH6PO4,2.052304800401666,6.805,4.7526951995983335
TiC0.9,2.0522473671176704,0.3,2.3522473671176702
Ba4B11O20F,2.044289474312432,7.1,5.055710525687568
DyPO4,2.027304094878617,6.38,4.352695905121383
KPbB5O9,1.9921873704794684,3.1,5.0921873704794685
In2P3B1O12,1.9804167797475234,5.39,3.4095832202524763
Cs2Al2B2O7,1.9761324318214344,4.13,6.106132431821434
V2O4,1.9672371292970907,0.66,2.627237129297091
CuGaO2,1.95285744358664,1.47,3.42285744358664
Na2Zn3Se4O12,1.9388067930350923,4.9,2.961193206964908
Eu3Se4,1.8978708450967736,0.58,2.4778708450967737
KH2PO4,1.8914333641071535,6.975,5.083566635892846
RbNb4Br11,1.8828005747123888,0.46,2.342800574712389
Ho2HfS5,1.8385163006602734,1.0,2.8385163006602734
MnO2,1.8356642924025468,1.3,3.135664292402547
Mg2GeSe4,1.8162082055423783,2.02,3.8362082055423783
Ce15B8N25,1.8065485583634466,3.5,1.6934514416365534
PbCoO3,1.7964378196602897,0.28,2.0764378196602897
AsNMg3,1.7842903372071877,1.332,3.1162903372071877
PdTe2,1.7613925759434108,1.8,0.0386074240565892
Sc2S3,1.751721044402077,2.0,3.751721044402077
Th2GeSe2,1.7371955415269564,1.98,0.2428044584730435
InAsI,1.7293257777891184,0.41,2.1393257777891184
K8Ce2I18O53,1.7275406798591053,2.34,4.067540679859105
SrZrS3,1.72135734086178,0.9,2.62135734086178
BaReH9,1.7023882654301863,3.44,1.7376117345698137
Ba1.88Ta15O32,1.7010947703564399,0.13,1.83109477035644
Ba3P3O10Cl,1.7007371272560672,6.89,5.1892628727439325
Sr2Be2B2O7,1.690584131634843,8.0,6.309415868365157
K2Ta15O32,1.6571599664187864,0.33,1.9871599664187864
CaB6,1.6419208948956827,4.5,2.8580791051043173
LaMg2PdH7,1.6376185758546717,1.0,2.6376185758546717
LiCl,1.6372030885106579,9.33,7.692796911489342
SmSe,1.6340077446504542,0.46,2.094007744650454
HgSnO3,1.6246046954250266,1.6,3.2246046954250267
Eu1.83Ta15O32,1.6184078062351888,0.23,1.8484078062351887
MnI2,1.616174111247684,4.220000000000001,2.6038258887523167
EuSe,1.6133771800311527,3.1,1.4866228199688474
KZn4B3O9,1.608545384096081,2.32,3.928545384096081
Th2Se5,1.6033064080637582,0.37,1.9733064080637583
TlPSe2,1.5939239060455443,0.55,2.1439239060455444
Mn2P2Se6,1.5572511080973013,2.5,0.9427488919026988
AlN,1.5448999236574767,6.1,4.555100076342523
K2CeP2O8,1.5400305994944876,2.46,4.000030599494488
Rb3NaMo2O8,1.5350900138977943,4.84,3.3049099861022055
Ba6Al4B14O33,1.5304637844523454,3.44,4.970463784452345
Sr3Se3O8Cl,1.523208619767627,4.4,5.923208619767627
CdSc,1.4824559712659708,1.714,0.2315440287340291
Be3N2,1.479726631014615,3.8,5.279726631014615
Sm2S3,1.4760645346230232,2.98,1.5039354653769768
La2O2ZnSe2,1.473708751381301,3.4,1.926291248618699
KTi2F7,1.4718507837926138,6.4,4.9281492162073866
Cs2HgI2Cl2,1.4571416764012448,2.15,3.6071416764012447
Eu2Se3,1.4477717972820332,1.02,2.467771797282033
HgSc,1.4430226386292884,0.24,1.6830226386292884
Sm2Se3,1.4391189125327328,2.3,0.860881087467267
BaV2SeO8,1.4340174607612743,2.13,3.5640174607612742
Si3N4,1.427397731934882,5.1,3.6726022680651176
LiRbCO3,1.424190971699411,6.28,4.855809028300589
TlGaS2,1.4164701916798128,3.4,1.983529808320187
CrO3,1.4045785753793996,1.4,2.8045785753793995
PAs,1.3943959152127696,0.23,1.6243959152127696
LaZnAsO,1.3765959626682465,1.5,2.8765959626682465
Ca10Ge16B6O51,1.3765002808484992,5.47,4.093499719151501
Sm2O3,1.361170877654739,5.0,3.638829122345261
Ca2SnS4,1.3459118902471947,2.32,3.6659118902471945
CuSmSe2,1.3332215884674972,2.1,0.7667784115325029
La2HfS5,1.332780596388319,0.7,2.032780596388319
Er2Mo3O12,1.3262318671836404,1.0,2.3262318671836404
CaI2,1.3256075859800847,5.98,4.654392414019916
Rb5BS4O16,1.3235643734877183,3.99,5.3135643734877185
SmTe,1.3227249902124663,0.378,1.7007249902124664
As2B12,1.3120624352345345,1.51,2.8220624352345345
Ag3AsSe3,1.3120296687787458,2.0884285714285715,0.7763989026498257
BaSbBS4,1.3016990218972841,2.34,3.641699021897284
Cu2GeS3,1.294439208776002,0.53,1.824439208776002
Sc2O3,1.2936989221848592,6.1,4.8063010778151405
K4GeS4,1.2926485799439982,0.8,2.092648579943998
Li4.5Mn0.5TeO6,1.2920940525706566,1.97,3.2620940525706565
BP,1.2890624830394062,4.2,2.910937516960594
Tb2O3,1.2852242747433085,3.0,4.2852242747433085
CeMn0.5OSe,1.2846282188142422,2.01,0.7253717811857576
Li2MnGeS4,1.2840709690474843,3.06,1.7759290309525158
NaCdAsS3,1.277715984905333,2.93,1.6522840150946672
B12P2,1.2759782309835135,3.3,2.0240217690164863
EuCu2SnS4,1.2627624554014265,1.85,0.5872375445985736
Ba8Al10B12O41,1.2568338003684096,3.1,4.35683380036841
Tl2TeBr6,1.2559643938923544,2.06,3.3159643938923544
MgO,1.2526460920596492,7.745,6.492353907940351
AgP15,1.2510823769295298,1.47,2.72108237692953
CsI,1.2498737529712391,6.3566666666666665,5.106792913695427
AgF,1.2497688102772235,2.8,4.049768810277223
Cu3NbSe4,1.2496098915001101,2.45,1.20039010849989
AgGaO2,1.2393698196888416,2.2,3.439369819688842
La6Sb4S3O12,1.237450673814703,2.6,3.837450673814703
MnO,1.2310586456008066,3.6,2.3689413543991935
