model,r2,rmse,mape,mae
R,0.844538461,0.633132902,0.520528524,0.418605012
L,0.726389268,0.839943291,0.829231241,0.615068356
G,0.759275385,0.787850204,0.664213046,0.473853583
RF,0.842081187,0.638117033,0.531682113,0.430629014
GB,0.853262199,0.61511229,0.516374695,0.421706436
S,0.861922421,0.596684813,0.484182562,0.393419342
D,0.753229464,0.797682481,0.839501082,0.579099233
R+L,0.85003029,0.62184934,0.529310657,0.419180706
R+G,0.859651905,0.601570682,0.514724059,0.393926901
R+RF,0.870153258,0.578627314,0.488487116,0.390526671
R+GB,0.872069713,0.574341355,0.481437302,0.383971511
R+S,0.875411267,0.566790793,0.463344759,0.372574195
R+D,0.868120079,0.583139876,0.5119152,0.393008824
L+G,0.792895184,0.730766282,0.637381271,0.462136199
L+RF,0.852796641,0.616087307,0.539330008,0.428243791
L+GB,0.85484783,0.611779849,0.519937897,0.421184815
L+S,0.862298985,0.595870619,0.48829407,0.394412675
L+D,0.817009757,0.686906092,0.713170404,0.507154943
G+RF,0.854048189,0.613462677,0.542876886,0.412585737
G+GB,0.85792789,0.605254206,0.514434013,0.402629911
G+S,0.86526218,0.589424468,0.48681369,0.385228893
G+D,0.844534293,0.63314139,0.592751202,0.428489597
RF+GB,0.864798835,0.590437073,0.507612777,0.406694094
RF+S,0.868318688,0.582700612,0.473577628,0.384947808
RF+D,0.872425531,0.573542078,0.511671005,0.403417598
GB+S,0.870708196,0.577389524,0.467028633,0.381117099
GB+D,0.875892082,0.56569605,0.505959574,0.396678106
S+D,0.880241948,0.55569407,0.472739754,0.373831779
R+L+G,0.860819142,0.599063909,0.515451938,0.395403296
R+L+RF,0.871493467,0.575633426,0.486581911,0.388777707
R+L+GB,0.874824406,0.568124125,0.481996703,0.381367045
R+L+S,0.872810479,0.572676113,0.468645357,0.375332473
R+L+D,0.868734927,0.581778938,0.520268108,0.394947796
R+G+RF,0.873921818,0.570168696,0.492046629,0.380864684
R+G+GB,0.876143119,0.565123636,0.492297183,0.374761692
R+G+S,0.876702493,0.563846059,0.473500146,0.371651371
R+G+D,0.875793134,0.565921512,0.50606749,0.37861751
R+RF+GB,0.873828989,0.570378562,0.481825771,0.384255703
R+RF+S,0.876075624,0.565277595,0.460963648,0.374450068
R+RF+D,0.883258519,0.548650779,0.482136477,0.377172072
R+GB+S,0.878344494,0.560078996,0.462307526,0.369166347
R+GB+D,0.885261219,0.543924371,0.474304267,0.368187819
R+S+D,0.888698509,0.535715106,0.456850803,0.357754462
L+G+RF,0.857631842,0.605884489,0.542045317,0.410831915
L+G+GB,0.858748048,0.603504664,0.517823412,0.40372071
L+G+S,0.867689377,0.584091328,0.486048737,0.383733533
L+G+D,0.853701946,0.614189908,0.579923963,0.425732707
L+RF+GB,0.86509658,0.589786574,0.512956499,0.407427126
L+RF+S,0.870261331,0.578386464,0.473837137,0.383270025
L+RF+D,0.873987744,0.570019607,0.520247586,0.401744637
L+GB+S,0.870716952,0.577369971,0.468745767,0.381449077
L+GB+D,0.875733573,0.566057185,0.515824476,0.399078974
L+S+D,0.88007732,0.556075887,0.475613556,0.375543003
G+RF+GB,0.86728796,0.584976694,0.505997818,0.395393803
G+RF+S,0.870842216,0.577090192,0.473421022,0.381455429
G+RF+D,0.880862187,0.554253206,0.511862115,0.389002996
G+GB+S,0.871467624,0.575691303,0.466743725,0.375214832
G+GB+D,0.879224634,0.558049319,0.500410736,0.38224651
G+S+D,0.883737325,0.5475245,0.474276037,0.368300994
RF+GB+S,0.871607044,0.575378991,0.469513708,0.381907401
RF+GB+D,0.881625349,0.552475162,0.491371288,0.389302425
RF+S+D,0.88270782,0.549943319,0.464749194,0.372142483
GB+S+D,0.886718892,0.540458244,0.456216396,0.36365492
R+L+G+RF,0.875989795,0.565473313,0.489308144,0.378947914
R+L+G+GB,0.877724692,0.56150391,0.487275517,0.370871326
R+L+G+S,0.87846752,0.559795731,0.473740968,0.369372067
R+L+G+D,0.878263257,0.560265965,0.505906925,0.377294172
R+L+RF+GB,0.877684124,0.561597049,0.479263318,0.380508478
R+L+RF+S,0.876378665,0.564586014,0.457487501,0.373543951
R+L+RF+D,0.885176991,0.544123977,0.479395244,0.374077273
R+L+GB+S,0.877890622,0.561122794,0.458153841,0.369559196
R+L+GB+D,0.886166602,0.541774116,0.474010132,0.366863477
R+L+S+D,0.887303308,0.539062331,0.459188591,0.360864384
R+G+RF+GB,0.878552077,0.559600957,0.483830204,0.374142019
R+G+RF+S,0.879142162,0.55823982,0.46503063,0.370955239
R+G+RF+D,0.884741541,0.545154758,0.485435944,0.372117871
R+G+GB+S,0.878987848,0.558596093,0.462997924,0.367993495
R+G+GB+D,0.885990963,0.542191919,0.486896248,0.362948872
R+G+S+D,0.88653897,0.540887274,0.469346898,0.361040729
R+RF+GB+S,0.874900446,0.567951541,0.460114781,0.37474565
R+RF+GB+D,0.884647671,0.545376707,0.476509217,0.371363293
R+RF+S+D,0.886992072,0.539806188,0.457448785,0.361876421
R+GB+S+D,0.891717074,0.52840071,0.453287787,0.353104893
L+G+RF+GB,0.867264796,0.585027744,0.508798441,0.39650732
L+G+RF+S,0.872316331,0.573787494,0.473036604,0.379876623
L+G+RF+D,0.882794088,0.54974104,0.51376405,0.388525864
L+G+GB+S,0.87322073,0.57175178,0.466075672,0.374141283
L+G+GB+D,0.877338772,0.562389309,0.50749686,0.387959169
L+G+S+D,0.883278529,0.548603757,0.476633805,0.370145721
L+RF+GB+S,0.872105506,0.574261004,0.468283609,0.380501558
L+RF+GB+D,0.880398731,0.555330204,0.497032466,0.391422419
L+RF+S+D,0.881669313,0.552372559,0.466404573,0.374175395
L+GB+S+D,0.886853646,0.540136697,0.457647871,0.364158812
G+RF+GB+S,0.870222179,0.57847373,0.466298368,0.379397709
G+RF+GB+D,0.881394663,0.553013225,0.497552049,0.384852593
G+RF+S+D,0.883725302,0.54755281,0.46663641,0.37136456
G+GB+S+D,0.888494046,0.53620694,0.460199221,0.360075479
RF+GB+S+D,0.883304513,0.54854269,0.459555067,0.369410156
R+L+G+RF+GB,0.881408388,0.552981228,0.481092587,0.370024626
R+L+G+RF+S,0.882758308,0.549824947,0.462337419,0.365945099
R+L+G+RF+D,0.887434848,0.538747643,0.484888327,0.368467703
R+L+G+GB+S,0.881895595,0.551844157,0.459946332,0.364560042
R+L+G+GB+D,0.888085209,0.537189043,0.487537504,0.360169145
R+L+G+S+D,0.889543217,0.533678364,0.465656288,0.358142123
R+L+RF+GB+S,0.876905423,0.563381864,0.455611151,0.37183075
R+L+RF+GB+D,0.886506031,0.54096578,0.472028402,0.368763259
R+L+RF+S+D,0.886955408,0.539893747,0.452574611,0.362025777
R+L+GB+S+D,0.892435779,0.526644218,0.450034053,0.352170131
R+G+RF+GB+S,0.877874254,0.561160399,0.46053157,0.371127207
R+G+RF+GB+D,0.885046208,0.544433765,0.481232249,0.368495347
R+G+RF+S+D,0.886532211,0.540903384,0.46311636,0.362690347
R+G+GB+S+D,0.892468733,0.526563539,0.461556403,0.34942713
R+RF+GB+S+D,0.884855981,0.544884049,0.456330151,0.363503522
L+G+RF+GB+S,0.871417593,0.575803337,0.465324314,0.37794518
L+G+RF+GB+D,0.879734255,0.55687071,0.499622659,0.386709528
L+G+RF+S+D,0.882797481,0.549733085,0.468219239,0.373127704
L+RF+GB+S+D,0.882949029,0.549377555,0.458018399,0.369949138
L+G+GB+S+D,0.889531587,0.533706459,0.460451486,0.360271814
G+RF+GB+S+D,0.882973591,0.549319912,0.462795648,0.369427273
R+L+G+RF+GB+S,0.881922581,0.551781109,0.456827728,0.365696343
R+L+G+RF+GB+D,0.888178384,0.536965378,0.480159968,0.364255419
R+L+G+RF+S+D,0.889973682,0.532637442,0.458785918,0.359231152
R+L+G+GB+S+D,0.894184104,0.522346703,0.459095878,0.347731156
R+L+RF+GB+S+D,0.886836069,0.540178649,0.450506053,0.360512791
R+G+RF+GB+S+D,0.885523006,0.543303508,0.461365275,0.362625486
L+G+RF+GB+S+D,0.883470319,0.548152856,0.462520578,0.369012688
R+L+G+RF+GB+S+D,0.887795964,0.53788278,0.457657932,0.359331249
