model,r2,rmse,mape,mae
R,-1.507586612,-4.436299973,-10.48748025,-5.968361394
L,-15.28647262,-38.55000949,-76.01277595,-55.70235412
G,-11.45120255,-29.95717014,-40.98598342,-19.95433945
RF,-1.794160747,-5.258440577,-12.85494312,-9.012194517
GB,-0.490200101,-1.463770812,-9.605787819,-6.753475757
S,0.519778893,1.575871507,-2.772679844,0.407300919
D,-12.15629465,-31.57902019,-78.19265419,-46.59689928
R+L,-0.867114318,-2.575058087,-12.35157744,-6.114096217
R+G,0.254985097,0.769939456,-9.255423547,0.278814181
R+RF,1.479681872,4.554485141,-3.686365244,1.139570243
R+GB,1.703184228,5.261461105,-2.189970443,2.798985529
R+S,2.09288546,6.506938616,1.650356034,5.684175324
R+D,1.24256698,3.810130716,-8.659214559,0.51122206
L+G,-7.530368552,-20.54108458,-35.29066587,-16.9881257
L+RF,-0.544494796,-1.624601524,-14.47828691,-8.408383634
L+GB,-0.30527945,-0.914079236,-10.36211379,-6.621429111
L+S,0.563694914,1.710174118,-3.645389167,0.155842136
L+D,-4.718060273,-13.30627509,-51.37768128,-28.38445956
G+RF,-0.398535787,-1.191664459,-15.2311478,-4.444603263
G+GB,0.053925692,0.162336069,-9.193858282,-1.924321745
G+S,0.909270859,2.773477196,-3.331163483,2.48068369
G+D,-1.508072751,-4.437700118,-25.81747935,-8.470608639
RF+GB,0.855234283,2.606446293,-7.745981422,-2.953155045
RF+S,1.265729257,3.882588018,-0.521674458,2.551839403
RF+D,1.744680742,5.393303134,-8.607381756,-2.12372176
GB+S,1.54440028,4.758660681,0.868416389,3.521569866
GB+D,2.148959468,6.687518129,-7.395072384,-0.417643458
S+D,2.656252923,8.337360999,-0.343827198,5.365822384
R+L+G,0.391111469,1.183435605,-9.409923174,-0.094929995
R+L+RF,1.635980814,5.04833185,-3.281965964,1.582314138
R+L+GB,2.024444145,6.287003238,-2.308708868,3.458296781
R+L+S,1.789574336,5.536145531,0.525250182,4.985927162
R+L+D,1.314272204,4.034619781,-10.43220446,0.020378402
R+G+RF,1.919181874,5.949747934,-4.441908134,3.585467814
R+G+GB,2.178236056,6.781938815,-4.495090769,5.130418186
R+G+S,2.243471834,6.992677185,-0.505228215,5.917784827
R+G+D,2.137419929,6.650327903,-7.417978594,4.154331849
R+RF+GB,1.908355806,5.915130287,-2.272426867,2.727043395
R+RF+S,2.17036462,6.756543047,2.155771131,5.209304803
R+RF+D,3.008053787,9.499163329,-2.338377447,4.520239327
R+GB+S,2.434966539,7.614060326,1.870519308,6.546859995
R+GB+D,3.241614099,10.27879196,-0.675911097,6.794570779
R+S+D,3.642480445,11.63292362,3.028764392,9.435737673
L+G+RF,0.019399715,0.058369875,-15.05463884,-4.000629495
L+G+GB,0.149574759,0.450925961,-9.913292778,-2.200453468
L+G+S,1.19233733,3.653187222,-3.168794418,2.859228943
L+G+D,-0.438915617,-1.311622415,-23.09476717,-7.77271182
L+RF+GB,0.889958105,2.713747168,-8.880240961,-3.138719495
L+RF+S,1.492285686,4.594213762,-0.576757906,2.976564335
L+RF+D,1.926870348,5.974340486,-10.42784843,-1.700217825
L+GB+S,1.545421528,4.761886052,0.503937258,3.437530688
L+GB+D,2.130473705,6.627948393,-9.488998302,-1.025414756
L+S+D,2.637053555,8.274379638,-0.953820886,4.932632211
G+RF+GB,1.145522937,3.507144585,-7.403189988,-0.092526788
G+RF+S,1.560030147,4.808035899,-0.488433395,3.435922651
G+RF+D,2.728586828,8.575033872,-8.647946681,1.525283085
G+GB+S,1.632966968,5.03878493,0.928891074,5.015707435
G+GB+D,2.537610937,7.948858947,-6.217274961,3.235663439
G+S+D,3.063893431,9.684944925,-0.669918906,6.76592078
RF+GB+S,1.649226472,5.090301329,0.340933797,3.321507694
RF+GB+D,2.817588891,8.868325104,-4.298560045,1.449483872
RF+S+D,2.943829726,9.285956774,1.3522504,5.793461769
GB+S+D,3.411611998,10.85053522,3.163423806,7.942057919
R+L+G+RF,2.160355067,6.724259013,-3.860636811,4.070691273
R+L+G+GB,2.362683469,7.379018442,-3.429191044,6.115250444
R+L+G+S,2.449314164,7.66078547,-0.556345168,6.494782677
R+L+G+D,2.425492442,7.583219494,-7.383897004,4.489330112
R+L+RF+GB,2.357952352,7.363655127,-1.728520115,3.675639862
R+L+RF+S,2.205706164,6.870620429,2.893618766,5.438685091
R+L+RF+D,3.231791235,10.24586664,-1.756522683,5.303676502
R+L+GB+S,2.38203474,7.441884204,2.752181446,6.447411544
R+L+GB+D,3.347202394,10.63348004,-0.613477858,7.129823211
R+L+S+D,3.479768265,11.08079333,2.532545061,8.648472175
R+G+RF+GB,2.459175401,7.692913745,-2.69788816,5.287286427
R+G+RF+S,2.527992782,7.917435403,1.292512878,6.094008182
R+G+RF+D,3.181007827,10.07583769,-3.038722894,5.799692256
R+G+GB+S,2.509996247,7.858667585,1.723975471,6.843763207
R+G+GB+D,3.326718896,10.5645627,-3.348687317,8.120791479
R+G+S+D,3.390628973,10.77976613,0.376340942,8.603830879
R+RF+GB+S,2.03331213,6.315471289,2.335951897,5.134479204
R+RF+GB+D,3.17006047,10.03922673,-1.143934156,5.990710766
R+RF+S+D,3.443470969,10.95809297,2.90183662,8.392278684
R+GB+S+D,3.994513886,12.83944514,3.785050781,10.61275939
L+G+RF+GB,1.142821481,3.498723842,-7.997650878,-0.374409684
L+G+RF+S,1.731945472,5.352821316,-0.406836574,3.835591894
L+G+RF+D,2.953890565,9.319322931,-9.051651773,1.646067518
L+G+GB+S,1.837418974,5.688615702,1.070691983,5.287472495
L+G+GB+D,2.317676426,7.232970489,-7.721376931,1.789524264
L+G+S+D,3.010387356,9.506919606,-1.170379207,6.29893481
L+RF+GB+S,1.707358467,5.274715129,0.602034939,3.677391874
L+RF+GB+D,2.67453736,8.397381289,-5.500202697,0.912814976
L+RF+S+D,2.822716077,8.885249638,1.000879549,5.278837299
L+GB+S+D,3.427327367,10.903575,2.859578622,7.814499423
G+RF+GB+S,1.487719649,4.579819195,1.023422463,3.956827298
