,0
0,avg_1st_ionization_potential_(kJ/mol)
1,avg_Allred-Rockow_electronegativity
2,avg_Atomic_Number
3,avg_Atomic_Radus
4,avg_Cohesive_energy
5,avg_Critical_Temperature
6,avg_Gordy_electonegativity
7,avg_Mendele_Number
8,avg_Molar_Denstiy_(mol/ml)
9,avg_Molar_Heat_Capacity(J/mol_K)
10,avg_families
11,avg_gilmor_number_of_valence_electron
12,avg_heat_atomization(kJ/mol)
13,avg_heat_of_fusion_(kJ/mol)_
14,avg_heat_of_vaporization_(kJ/mol)_
15,avg_l_quantum_number
16,avg_metallic_valence
17,avg_number_of_valence_electrons
18,avg_outer_shell_electrons
19,avg_polarizability(A^3)
20,avg_thermal_conductivity_(W/(m_K))_
21,sum_Density_(g/mL)
22,sum_Melting_point_(K)
23,sum_Number_of_unfilled_s_valence_electrons
24,sum_abs_valence
25,sum_heat_of_vaporization_(kJ/mol)_
26,sum_metallic_valence
27,sum_polarizability(A^3)
28,sum_specific_heat_(J/g_K)_
29,sum_thermal_conductivity_(W/(m_K))_
30,sum_valence_d
31,sum_valence_f
32,range_Atomic_Radus
33,range_Atomic_Weight
34,range_Critical_Temperature
35,range_Mendele_Number
36,range_Molar_Denstiy_(mol/ml)
37,range_Molar_Heat_Capacity(J/mol_K)
38,range_Number_of_unfilled_d_valence_electrons
39,range_Number_of_unfilled_f_valence_electrons
40,range_Number_of_unfilled_p_valence_electrons
41,range_Pauling_Electronegativity
42,range_Period
43,range_Zunger_radii_sum
44,range_abs_valence
45,range_families
46,range_gilmor_number_of_valence_electron
47,range_heat_atomization(kJ/mol)
48,range_heat_of_fusion_(kJ/mol)_
49,range_heat_of_vaporization_(kJ/mol)_
50,range_ionic_radius
51,range_l_quantum_number
52,range_metallic_valence
53,range_number_of_valence_electrons
54,range_outer_shell_electrons
55,range_specific_heat_(J/g_K)_
56,range_thermal_conductivity_(W/(m_K))_
57,range_valence_d
58,range_valence_f
59,range_valence_p
