,0
0,avg_1st_ionization_potential_(kJ/mol)
1,avg_Atomic_Number
2,avg_Cohesive_energy
3,avg_Density_(g/mL)
4,avg_Gordy_electonegativity
5,avg_Molar_Denstiy_(mol/ml)
6,avg_gilmor_number_of_valence_electron
7,avg_heat_atomization(kJ/mol)
8,avg_heat_of_fusion_(kJ/mol)_
9,avg_heat_of_vaporization_(kJ/mol)_
10,avg_l_quantum_number
11,avg_metallic_valence
12,avg_number_of_valence_electrons
13,avg_outer_shell_electrons
14,avg_polarizability(A^3)
15,avg_thermal_conductivity_(W/(m_K))_
16,sum_Melting_point_(K)
17,sum_Number_of_unfilled_s_valence_electrons
18,sum_abs_valence
19,sum_metallic_valence
20,sum_valence_f
21,range_Atomic_Weight
22,range_Cohesive_energy
23,range_Critical_Temperature
24,range_Mendele_Number
25,range_Molar_Denstiy_(mol/ml)
26,range_Molar_Heat_Capacity(J/mol_K)
27,range_Number_of_unfilled_d_valence_electrons
28,range_Number_of_unfilled_f_valence_electrons
29,range_Number_of_unfilled_p_valence_electrons
30,range_Pauling_Electronegativity
31,range_heat_of_fusion_(kJ/mol)_
32,range_heat_of_vaporization_(kJ/mol)_
33,range_l_quantum_number
34,range_metallic_valence
35,range_number_of_valence_electrons
36,range_valence_d
37,range_valence_f
38,range_valence_p
