,0
0,avg_1st_ionization_potential_(kJ/mol)
1,avg_Atomic_Number
2,avg_Cohesive_energy
3,avg_Density_(g/mL)
4,avg_Gordy_electonegativity
5,avg_Mendele_Number
6,avg_Molar_Denstiy_(mol/ml)
7,avg_Molar_Heat_Capacity(J/mol_K)
8,avg_gilmor_number_of_valence_electron
9,avg_heat_atomization(kJ/mol)
10,avg_heat_of_fusion_(kJ/mol)_
11,avg_heat_of_vaporization_(kJ/mol)_
12,avg_l_quantum_number
13,avg_metallic_valence
14,avg_number_of_valence_electrons
15,avg_polarizability(A^3)
16,avg_thermal_conductivity_(W/(m_K))_
17,sum_Density_(g/mL)
18,sum_Melting_point_(K)
19,sum_Number_of_unfilled_s_valence_electrons
20,sum_abs_valence
21,sum_metallic_valence
22,sum_valence_d
23,sum_valence_f
24,range_Atomic_Weight
25,range_Critical_Temperature
26,range_Mendele_Number
27,range_Molar_Denstiy_(mol/ml)
28,range_Molar_Heat_Capacity(J/mol_K)
29,range_Number_of_unfilled_d_valence_electrons
30,range_Number_of_unfilled_f_valence_electrons
31,range_Number_of_unfilled_p_valence_electrons
32,range_Number_of_unfilled_s_valence_electrons
33,range_Pauling_Electronegativity
34,range_families
35,range_heat_atomization(kJ/mol)
36,range_heat_of_fusion_(kJ/mol)_
37,range_heat_of_vaporization_(kJ/mol)_
38,range_l_quantum_number
39,range_metallic_valence
40,range_number_of_valence_electrons
41,range_valence_d
42,range_valence_f
43,range_valence_p
