,Mendele_Number,polarizability(A^3),outer_shell_electrons,number_of_valence_electrons,l_quantum_number,ionic_radius,heat_of_vaporization_(kJ/mol)_,heat_of_fusion_(kJ/mol)_,heat_atomization(kJ/mol),group,gilmor_number_of_valence_electron,families,metallic_valence,1st_ionization_potential_(kJ/mol),Allred-Rockow_electronegativity,Atomic_Number,Atomic_Radus,Atomic_Weight,Boiling_Point_(K),Cohesive_energy,Covalent_Radius,Critical_Temperature,Density_(g/mL),Gordy_electonegativity,Melting_point_(K),,Molar_Denstiy_(mol/ml),Molar_Heat_Capacity(J/mol_K),Nagle_electonegativity,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_s_valence_electrons,Orbital_Radius(pm),Pauling_Electronegativity,Period,Zunger_radii_sum,abs_valence,specific_heat_(J/g_K)_,thermal_conductivity_(W/(m_K))_,valence_d,valence_f,valence_p,valence_s
Ag,65,7.9,1,11,0,1.6,250.58,11.3,284,11,2,4,5.44,731,1.87,47,1.65,107.87,2485.15,2.95,1.53,7480,10.5,3.85,1235.15,,0.1,25.35,1.45,0,14,6,1,128.6,1.93,5,2.38,0,0.24,429,10,0,0,1
Al,73,8.3,3,3,1,1.25,293.4,10.79,326,13,3,5,3,578,1.61,13,1.18,26.98,2740.15,3.39,1.18,8550,2.7,3.52,933.15,,0.1,24.28,1.55,10,14,5,0,131.2,1.61,3,1.68,1,0.9,237,0,0,1,2
Ar,100,1.59,0,0,1,0.71,6.45,1.19,0,18,0,9,0,1521,3.24,18,0.71,39.95,87.45,0.08,0.97,150.69,0,7.96,83.95,,0,20.77,3.18,10,14,6,2,65.9,0,3,0,6,0.52,0.02,0,0,0,0
As,84,4.3,5,5,1,1.15,34.76,27.7,302,15,5,6,3,947,2.21,33,1.14,74.92,890.15,2.96,1.19,2100,5.73,5.17,1090.15,,0.08,24.72,2.11,10,14,3,0,100.1,2.18,4,1.42,3,0.33,50,0,0,3,2
Au,66,6.1,1,11,2,1.35,334.4,12.55,366,11,2,4,5.44,890,1.92,79,1.74,196.96653999999998,3353.15,3.81,1.44,6200,19.3,7.9791,1337.15,,0.098,25.21171712,1.53,0,0,6,1,118.7,2.54,6,2.66,0,0.128,317,10,14,0,1
B,72,3,3,3,1,0.85,489.7,50.2,573,13,3,6,3,801,2.05,5,0.87,10.81,4275,5.81,0.82,3284,2.34,4.6,2352.15,,0.22,11.03,2.02,10,14,5,0,77.6,2.04,2,0.8,1,1.02,27,0,0,1,2
Ba,9,39.7,2,2,0,2.15,142,7.75,180,2,2,2,2,503,0.88,56,2.53,137.33,1913.15,1.9,1.98,3270,3.5,4.47,998.15,,0.03,28.01,0.98,10,14,6,0,206,0.89,6,3.4,2,0.2,18.4,0,0,0,2
Be,67,5.6,2,2,0,1.05,292.4,7.95,324,2,2,2,2,899,1.58,4,1.12,9.01,3243.15,3.32,0.9,13000,1.85,3.79,1551.15,,0.21,16.4,1.55,10,14,6,0,104,1.57,2,1.08,2,1.82,200,0,0,0,2
Bi,86,7.4,5,5,1,1.6,104.8,11.3,207,15,5,5,3,703,2.01,83,1.43,208.98037,1833.15,2.18,1.46,4620,9.75,4.8288,544.15,,0.0467,25.0776444,1.83,0,0,3,0,129.5,2.02,6,1.9969999999999999,3,0.12,7.87,10,14,3,2
Br,95,3.1,7,7,1,1.15,15.44,5.29,112,17,7,8,0,1140,2.69,35,0.94,79.9,331.95,1.22,1.14,584,3.12,6.41,265.95,,0.04,37.79,2.56,10,14,1,0,85.1,2.96,4,1.2,5,0.47,0.12,0,0,5,2
C,77,1.8,4,4,1,0.7,355.8,105,717,14,4,7,4,1086,2.54,6,0.67,12.01,5100.15,7.37,0.77,6743,2.25,5.62,3640.15,,0.19,8.53,2.55,10,14,4,0,62,2.55,2,0.64,2,0.71,129,0,0,2,2
Ca,7,22.8,2,2,0,1.8,153.3,8.54,178,2,2,2,2,590,1.03,20,1.94,40.08,1757.15,1.84,1.74,2880,1.55,3.01,1112.15,,0.04,25.25,1.11,10,14,6,0,169,1,4,3,2,0.63,200,0,0,0,2
Cd,70,7.2,2,12,0,1.55,99.57,6.19,112,12,1,4,4.44,868,1.52,48,1.61,112.41,1038.15,1.16,1.48,2960,8.65,3.92,594.05,,0.08,25.85,1.45,0,14,6,0,118.4,1.69,5,2.22,0,0.23,96.8,10,0,0,2
Ce,15,29.6,2,3,3,1.85,414,5.46,419,3,3,3,3.2,534,1.09,58,1.85,140.12,3530.15,4.32,1.65,10400,6.66,4.57,1071.15,,0.05,26.62,1.05,9,13,6,0,197.8,1.12,6,4.5,1,0.19,11.4,1,1,0,2
Cl,94,2.2,7,7,1,1,10.2,3.23,121,17,7,8,0,1251,2.87,17,0.79,35.45,238.55,1.4,0.99,416.96,0,6.84,172.15,,0,17.02,2.82,10,14,1,0,72.5,3.16,3,1.01,5,0.48,0.01,0,0,5,2
