,metallic_valence
Ag,5.44
Al,3
Ar,0
As,3
Au,5.44
B,3
Ba,2
Be,2
Bi,3
Br,0
C,4
Ca,2
Cd,4.44
Ce,3.2
Cl,0
Co,5.78
Cr,5.78
Cs,1
Cu,5.44
Dy,3
Er,3
Eu,2
F,0
Fe,5.78
Ga,3.44
Gd,3
Ge,4
H,0
He,0
Hf,4
Hg,4.44
Ho,3
I,0
In,3.44
Ir,5.78
K,1
Kr,0
La,3
Li,1
Lu,3
Mg,2
Mn,5.78
Mo,5.78
N,3
Na,1
Nb,5
Nd,3.1
Ne,0
Ni,5.78
O,0
Os,5.78
P,3
Pb,2.44
Pd,5.78
Pm,3
Pr,3.1
Pt,5.78
Rb,1
Re,5.78
Rh,5.78
Ru,5.78
S,2
Sb,3
Sc,3
Se,2
Si,4
Sm,2.8
Sn,4
Sr,2
Ta,5
Tb,3
Tc,5.78
Te,2
Th,4
Ti,4
Tl,3.44
Tm,3
U,5.78
V,5
W,5.78
Xe,0
Y,3
Yb,2
Zn,4.44
Zr,4
