,var_name
3,avg_Density_(g/mL)
11,avg_metallic_valence
0,avg_1st_ionization_potential_(kJ/mol)
34,range_metallic_valence
30,range_Pauling_Electronegativity
5,avg_Molar_Denstiy_(mol/ml)
31,range_heat_of_fusion_(kJ/mol)_
10,avg_l_quantum_number
13,avg_outer_shell_electrons
1,avg_Atomic_Number
35,range_number_of_valence_electrons
25,range_Molar_Denstiy_(mol/ml)
26,range_Molar_Heat_Capacity(J/mol_K)
4,avg_Gordy_electonegativity
22,range_Cohesive_energy
6,avg_gilmor_number_of_valence_electron
7,avg_heat_atomization(kJ/mol)
27,range_Number_of_unfilled_d_valence_electrons
23,range_Critical_Temperature
33,range_l_quantum_number
29,range_Number_of_unfilled_p_valence_electrons
14,avg_polarizability(A^3)
12,avg_number_of_valence_electrons
36,range_valence_d
32,range_heat_of_vaporization_(kJ/mol)_
16,sum_Melting_point_(K)
15,avg_thermal_conductivity_(W/(m_K))_
2,avg_Cohesive_energy
17,sum_Number_of_unfilled_s_valence_electrons
9,avg_heat_of_vaporization_(kJ/mol)_
38,range_valence_p
18,sum_abs_valence
21,range_Atomic_Weight
20,sum_valence_f
8,avg_heat_of_fusion_(kJ/mol)_
19,sum_metallic_valence
37,range_valence_f
24,range_Mendele_Number
28,range_Number_of_unfilled_f_valence_electrons
