,var_name
57,range_valence_d
38,range_Number_of_unfilled_d_valence_electrons
39,range_Number_of_unfilled_f_valence_electrons
58,range_valence_f
40,range_Number_of_unfilled_p_valence_electrons
59,range_valence_p
0,avg_1st_ionization_potential_(kJ/mol)
35,range_Mendele_Number
52,range_metallic_valence
41,range_Pauling_Electronegativity
14,avg_heat_of_vaporization_(kJ/mol)_
26,sum_metallic_valence
2,avg_Atomic_Number
8,avg_Molar_Denstiy_(mol/ml)
10,avg_families
7,avg_Mendele_Number
12,avg_heat_atomization(kJ/mol)
22,sum_Melting_point_(K)
16,avg_metallic_valence
49,range_heat_of_vaporization_(kJ/mol)_
6,avg_Gordy_electonegativity
11,avg_gilmor_number_of_valence_electron
4,avg_Cohesive_energy
53,range_number_of_valence_electrons
19,avg_polarizability(A^3)
18,avg_outer_shell_electrons
28,sum_specific_heat_(J/g_K)_
42,range_Period
1,avg_Allred-Rockow_electronegativity
45,range_families
15,avg_l_quantum_number
9,avg_Molar_Heat_Capacity(J/mol_K)
51,range_l_quantum_number
47,range_heat_atomization(kJ/mol)
27,sum_polarizability(A^3)
32,range_Atomic_Radus
33,range_Atomic_Weight
17,avg_number_of_valence_electrons
30,sum_valence_d
29,sum_thermal_conductivity_(W/(m_K))_
20,avg_thermal_conductivity_(W/(m_K))_
31,sum_valence_f
24,sum_abs_valence
3,avg_Atomic_Radus
54,range_outer_shell_electrons
50,range_ionic_radius
37,range_Molar_Heat_Capacity(J/mol_K)
5,avg_Critical_Temperature
56,range_thermal_conductivity_(W/(m_K))_
21,sum_Density_(g/mL)
44,range_abs_valence
13,avg_heat_of_fusion_(kJ/mol)_
34,range_Critical_Temperature
48,range_heat_of_fusion_(kJ/mol)_
23,sum_Number_of_unfilled_s_valence_electrons
46,range_gilmor_number_of_valence_electron
36,range_Molar_Denstiy_(mol/ml)
55,range_specific_heat_(J/g_K)_
25,sum_heat_of_vaporization_(kJ/mol)_
43,range_Zunger_radii_sum
