,var_name
119,range_metallic_valence
6,avg_Cohesive_energy
28,avg_heat_atomization(kJ/mol)
33,avg_metallic_valence
99,range_Molar_Denstiy_(mol/ml)
9,avg_Density_(g/mL)
0,avg_1st_ionization_potential_(kJ/mol)
118,range_l_quantum_number
98,range_Mendele_Number
38,avg_thermal_conductivity_(W/(m_K))_
127,range_valence_p
104,range_Number_of_unfilled_p_valence_electrons
120,range_number_of_valence_electrons
30,avg_heat_of_vaporization_(kJ/mol)_
95,range_Density_(g/mL)
115,range_heat_of_fusion_(kJ/mol)_
116,range_heat_of_vaporization_(kJ/mol)_
107,range_Pauling_Electronegativity
91,range_Boiling_Point_(K)
111,range_families
24,avg_abs_valence
2,avg_Atomic_Number
5,avg_Boiling_Point_(K)
8,avg_Critical_Temperature
94,range_Critical_Temperature
22,avg_Period
4,avg_Atomic_Weight
92,range_Cohesive_energy
112,range_gilmor_number_of_valence_electron
109,range_Zunger_radii_sum
25,avg_families
125,range_valence_d
102,range_Number_of_unfilled_d_valence_electrons
32,avg_l_quantum_number
113,range_group
86,range_1st_ionization_potential_(kJ/mol)
10,avg_Gordy_electonegativity
110,range_abs_valence
117,range_ionic_radius
87,range_Allred-Rockow_electronegativity
39,avg_valence_d
16,avg_Number_of_unfilled_d_valence_electrons
114,range_heat_atomization(kJ/mol)
96,range_Gordy_electonegativity
124,range_thermal_conductivity_(W/(m_K))_
26,avg_gilmor_number_of_valence_electron
14,avg_Molar_Heat_Capacity(J/mol_K)
35,avg_outer_shell_electrons
103,range_Number_of_unfilled_f_valence_electrons
126,range_valence_f
100,range_Molar_Heat_Capacity(J/mol_K)
52,sum_Density_(g/mL)
82,sum_valence_d
13,avg_Molar_Denstiy_(mol/ml)
29,avg_heat_of_fusion_(kJ/mol)_
89,range_Atomic_Radus
105,range_Number_of_unfilled_s_valence_electrons
128,range_valence_s
101,range_Nagle_electonegativity
93,range_Covalent_Radius
34,avg_number_of_valence_electrons
27,avg_group
36,avg_polarizability(A^3)
122,range_polarizability(A^3)
18,avg_Number_of_unfilled_p_valence_electrons
41,avg_valence_p
121,range_outer_shell_electrons
90,range_Atomic_Weight
97,range_Melting_point_(K)
42,avg_valence_s
19,avg_Number_of_unfilled_s_valence_electrons
17,avg_Number_of_unfilled_f_valence_electrons
40,avg_valence_f
23,avg_Zunger_radii_sum
62,sum_Number_of_unfilled_s_valence_electrons
88,range_Atomic_Number
108,range_Period
12,avg_Mendele_Number
37,avg_specific_heat_(J/g_K)_
3,avg_Atomic_Radus
11,avg_Melting_point_(K)
106,range_Orbital_Radius(pm)
123,range_specific_heat_(J/g_K)_
7,avg_Covalent_Radius
21,avg_Pauling_Electronegativity
1,avg_Allred-Rockow_electronegativity
31,avg_ionic_radius
20,avg_Orbital_Radius(pm)
15,avg_Nagle_electonegativity
79,sum_polarizability(A^3)
59,sum_Number_of_unfilled_d_valence_electrons
80,sum_specific_heat_(J/g_K)_
58,sum_Nagle_electonegativity
43,sum_1st_ionization_potential_(kJ/mol)
75,sum_l_quantum_number
54,sum_Melting_point_(K)
81,sum_thermal_conductivity_(W/(m_K))_
44,sum_Allred-Rockow_electronegativity
83,sum_valence_f
53,sum_Gordy_electonegativity
45,sum_Atomic_Number
47,sum_Atomic_Weight
51,sum_Critical_Temperature
66,sum_Zunger_radii_sum
76,sum_metallic_valence
64,sum_Pauling_Electronegativity
57,sum_Molar_Heat_Capacity(J/mol_K)
70,sum_group
46,sum_Atomic_Radus
73,sum_heat_of_vaporization_(kJ/mol)_
77,sum_number_of_valence_electrons
60,sum_Number_of_unfilled_f_valence_electrons
55,sum_Mendele_Number
67,sum_abs_valence
63,sum_Orbital_Radius(pm)
69,sum_gilmor_number_of_valence_electron
48,sum_Boiling_Point_(K)
65,sum_Period
68,sum_families
61,sum_Number_of_unfilled_p_valence_electrons
84,sum_valence_p
85,sum_valence_s
74,sum_ionic_radius
50,sum_Covalent_Radius
78,sum_outer_shell_electrons
49,sum_Cohesive_energy
71,sum_heat_atomization(kJ/mol)
56,sum_Molar_Denstiy_(mol/ml)
72,sum_heat_of_fusion_(kJ/mol)_
