,var_name
1,avg_Atomic_Number
12,avg_metallic_valence
38,range_metallic_valence
0,avg_1st_ionization_potential_(kJ/mol)
26,range_Molar_Denstiy_(mol/ml)
2,avg_Cohesive_energy
25,range_Mendele_Number
6,avg_Molar_Heat_Capacity(J/mol_K)
32,range_Pauling_Electronegativity
37,range_l_quantum_number
7,avg_gilmor_number_of_valence_electron
3,avg_Gordy_electonegativity
39,range_number_of_valence_electrons
21,sum_valence_d
35,range_heat_of_fusion_(kJ/mol)_
8,avg_heat_atomization(kJ/mol)
42,range_valence_p
30,range_Number_of_unfilled_p_valence_electrons
34,range_heat_atomization(kJ/mol)
10,avg_heat_of_vaporization_(kJ/mol)_
33,range_families
23,range_Atomic_Weight
13,avg_number_of_valence_electrons
24,range_Critical_Temperature
31,range_Number_of_unfilled_s_valence_electrons
9,avg_heat_of_fusion_(kJ/mol)_
15,avg_thermal_conductivity_(W/(m_K))_
27,range_Molar_Heat_Capacity(J/mol_K)
5,avg_Molar_Denstiy_(mol/ml)
11,avg_l_quantum_number
36,range_heat_of_vaporization_(kJ/mol)_
14,avg_polarizability(A^3)
29,range_Number_of_unfilled_f_valence_electrons
41,range_valence_f
40,range_valence_d
28,range_Number_of_unfilled_d_valence_electrons
4,avg_Mendele_Number
20,sum_metallic_valence
16,sum_Density_(g/mL)
18,sum_Number_of_unfilled_s_valence_electrons
19,sum_abs_valence
22,sum_valence_f
17,sum_Melting_point_(K)
