,material_id,composition,band_gap
0,1329,DyIn3S6,1.22
2,2108,K2Ho4Cu4S9,2.43
3,3354,Pb0.9Mn0.1Te,0.49
4,3671,RbInSnS4,2.7
5,3401,PbGa2GeSe6,1.96
7,1805,Hg0.01Cd0.99Se,0.29
8,4589,VO2,0.466
9,2031,InSb0.2As0.8,0.12
10,1460,EuIn2S4,1.5
11,715,CdIn30Te46,1.17
13,3066,NaGe3P3,2.06
14,1033,CsDy9Cd4Se18,1.99
15,1822,Hg0.77Cd0.23Te,0.1649999999999999
16,2004,In4S5,0.9
17,377,BaGa2Se4,3.163
18,761,Ce2Sn3Se9,0.3
19,21,Ag2O,1.5324
20,1251,CuIn5S8,1.34
21,381,BaGa4S7,3.54
22,1023,CsCd4In5Se12,1.62
23,683,Cd4GdB3O10,3.8
24,566,Ca2Si,1.9
25,972,Cs2ZnGe3Se8,2.31
26,3555,Rb1.45Pb3.1Sb7.45Se15,0.45
28,3601,Rb3CdB5O10,2.34
29,3716,ReSe2,1.0699999999999998
30,3417,PbSe0.01S0.99,0.366
31,1064,CsLu7Se11,1.78
32,3911,SmB6,3.5
33,3434,PdO,0.8
34,83,AgInS2,1.9266666666666663
36,3424,PbTe,0.2788333333333333
37,3676,RbMoPO6,2.96
38,653,CaTe,4.1850000000000005
39,2151,K3Ta2AsSe11,1.45
40,611,CaB6,4.5
41,876,CoP3,0.45
42,85,AgInTe2,0.945
43,934,Cs2Cd3B16O28,4.76
44,1206,Cu3YbSe3,0.2
45,50,AgAlTe2,1.85
46,3259,OsP2,1.165
47,2661,LiH3Se2O6,4.9
48,143,AlN,6.1
49,3032,Na7Co2O6,0.495
51,2124,K2Sb8Se3,1.31
52,4629,Y6ZnSi2S14,2.38
53,1710,Ge0.838Si0.162,1.319
55,37,Ag4Ba6Sn4S16,2.37
56,1254,CuInS2,1.536333333333333
57,1833,Hg2Cu3Te6O16,2.56
58,3368,Pb2GeSe4O12,4.1
59,1495,EuTb2Se4,2.0
60,2042,InSb2Se4Br,1.35
61,746,Ce15B8N25,3.5
63,1654,GaVTe2O8,3.0
64,2212,KCuThS3,2.95
65,2348,LaB6,4.1
66,1966,In0.6As0.6Ga0.4P0.4,1.25
67,2482,Li2ZnGeSe4,1.86
68,78,AgIn5S8,1.76
69,252,Ba2ScTaO6,4.19
70,1000,Cs6.40Na1.60Ga8Ge38,0.221
71,2209,KCu3S2,1.459
72,735,CdSe,1.858412
74,476,Bi2AsO4Cl,3.43
75,3333,Pb0.995TeGa0.005,0.37
76,4109,Ta1.33Zr0.67O0.12N3.03,1.71
77,3728,RhSSe,0.7
79,634,CaMg2N2,3.25
80,3849,SiAs,1.5
81,2953,NH6PO4,6.805
82,512,Bi3F3I4O13,3.7
84,2540,Li4Cs3B7O14,6.53
85,2992,Na2Mo2Se2O11,3.1
86,3474,Pr2GeSe5,1.8
87,865,CoAs3,0.4
88,926,Cs2AgBiBr6,2.19
89,1319,DyB6,3.3
91,783,Ce4InSbSe9,1.69
92,2795,Mg2Ge,1.67
93,473,Bi25FeO39,2.8
94,577,Ca3B2N4,4.0
95,3574,Rb2CuNbS4,2.64
96,3759,SbI3,2.348
97,692,Cd5Ga2S2Te6,1.29
98,551,Ca10Ge16B6O51,5.47
99,1101,CsYTe3O8,3.4
100,101,AgSbTe2,0.4766666666666666
101,1302,Dy3GaS6,2.81
102,2177,K9Bi13S24,1.4
103,2242,KPSe6,2.16
104,2092,K2CuGa3Se6,1.72
105,3286,Pb0.75Sn0.25Te,0.04
106,2218,KGaSe2,2.6
107,408,BaReH9,3.44
108,3643,RbCaBO3,3.67
109,348,Ba8Sn4S15,2.31
111,4377,Tl4CuTeO6,2.2
112,213,Ba2GaBiSe5,2.21
113,3907,SmAs,1.03
114,3407,PbI2,2.534777777777778
115,3297,Pb0.85Sn0.15Se,0.135
116,1561,Ga0.58As0.58Zn0.42Se0.42,1.67
117,2279,La2BaTe5O14,3.81
118,2413,Li2B12Si2,2.27
119,1131,Cu0.5Pb1.75GeS4,1.48
120,1622,GaAs0.15Sb0.85,1.1
121,4409,TlHg6S4Br5,3.03
122,1611,Ga2Se3,2.07
123,4426,TlSbS2,1.69
124,4811,Zn2MoTeO7,4.1
125,3396,PbCdP4O12,4.859999999999999
126,1633,GaAs0.7Sb0.3,0.67
127,935,Cs2Cd3Te4,2.48
128,1050,CsInGeSe4,2.32
129,814,CeFMoO4,2.52
130,64,AgF,2.8
132,717,CdMoSb4O10,3.4
133,1358,Er2O3,5.42
134,2285,La2Ga2GeS8,2.78
135,303,Ba3V2Se4O16,2.87
137,4192,TbIn3S6,1.2
138,389,BaIn2S4,3.057
139,2292,La2MnNiO6,1.2999999999999998
140,2334,La4FeSb2S10,1.0
141,1626,GaAs0.3P0.7,2.16
143,2950,MoO3,3.6625
144,24,Ag2S,1.0325
145,285,Ba3La3Cu6O14,1.8
146,4375,Tl3VS4,1.81
147,4347,Tl2AuPS4,2.2
149,3266,OsSbSe,0.4
150,258,Ba2V2Te2O11,3.16
151,1540,FeSc2,0.77
152,2376,LaMg2PdH7,1.0
153,1570,Ga0.75P0.75Zn0.25Se0.25,2.18
155,3089,NaSbP2S6,2.21
156,676,Cd3BiP3O12,3.9
157,360,BaB2O4,6.4433333333333325
158,1124,Cu0.3Ga1.7S2.7,2.575
160,3483,Pr2Te4O11,3.65
161,1048,CsI,6.3566666666666665
162,2281,La2CoVO6,0.41
164,4421,TlPSe2,0.55
165,4339,TiTe2,1.0
166,1076,CsPbPO4,4.39
167,2965,Na2BaGeSe4,2.25
168,1648,GaSb,0.7782533333333334
169,3054,NaCd4P3,1.1
170,4,Ag0.4Cd0.5In2.2Te4,0.19
171,256,Ba2SnSe5,1.8
172,382,BaGa4Se7,2.64
173,693,Cd6P7,0.85
174,14,Ag2Ga2SiS6,2.35
176,4556,V2O4,0.66
177,3287,Pb0.77Sn0.23Te,0.044
178,1597,Ga1.005Sb0.995Te0.015,0.684
179,82,AgInO2,4.2
180,334,Ba5In4Te4S7,2.13
181,2114,K2Mo2Se2O11,3.3
182,3204,NdLuSe3,1.61
183,4335,TiS3,0.9
184,9,Ag2.7Ba6Sn4.3S16,1.48
185,3629,RbAg2SbS4,2.3
186,2067,K10Zn4Sn4S17,3.1500000000000004
187,53,AgAsTe2,0.8
188,97,AgS,1.1414285714285717
189,2226,KI,6.132777777777778
190,275,Ba3Dy2P4S16,3.28
191,522,Bi7F11O5,4.05
192,3651,RbCu2AsS3,1.96
193,500,Bi2Te1.2Se1.8,0.28
194,4352,Tl2GeTe3,0.365
196,3151,Nd2Se3,1.725
197,1643,GaGeTe,1.1
199,3466,Pr1.29Lu0.71S3,1.38
200,4154,Tb2O3,3.0
201,730,CdS0.8Se0.2,2.23
202,3372,Pb2Nb2Se4O15,2.79
203,3425,PbTe0.01Se0.99,0.256
204,3627,Rb8Ga8Si38,1.18
205,2676,LiInTe2,1.46
206,354,BaAl4Se7,3.4
207,939,Cs2Cu3DyTe4,1.38
208,3414,PbSbO2Br,2.67
209,1613,Ga2Te3O9,4.145
210,302,Ba3ThSe7,1.96
211,166,AsSI,2.05
212,940,Cs2CuNbSe4,2.19
213,191,Ba2AgInS4,2.32
214,3314,Pb0.94Se0.94Ge0.06Te0.06,0.28
216,1196,Cu3SmTe3,0.23
217,394,BaLa2In2S7,1.87
218,4787,Zn0.3S0.3Ga0.7P0.7,2.3
219,1403,Eu1.83Ta15O32,0.23
220,1425,Eu3Se4,0.58
221,1278,CuZn2InSe4,1.1
222,1965,In0.6Al0.4P,2.12
223,1249,CuIn3Se5,0.6
224,535,BiOCl,3.455
225,1167,Cu2Te,1.0725
226,3698,RbYbZnSe3,2.07
227,3444,PdTe2,1.8
228,29,Ag2ZnSiS4,3.28
229,2003,In4As5O12Br3,4.22
230,738,CdSnAs2,0.3633333333333333
231,1862,HgBrCl,3.4
232,3611,Rb3Ta2AsS11,2.21
233,415,BaSn2S5,2.35
234,4314,TiC0.9,0.3
235,3163,Nd3Te4,1.6
236,3178,NdAs,1.04
237,3358,Pb0.9Sn0.1Se,0.1233333333333333
238,957,Cs2PdP2Se6,1.6
240,1275,CuSmSe2,2.1
241,1562,Ga0.5Al0.5As,2.12
242,4385,TlAsS2,2.185
243,390,BaIn2Se4,2.625
244,705,CdGa2Se4,2.376666666666667
245,1637,GaAs0.99Sb0.01,0.7
246,3276,PSe,2.5
247,1588,Ga0.99Sb0.99Zn0.01Te0.01,0.72
248,2672,LiInS2,3.573333333333333
249,1483,EuSb2S4,1.2
250,712,CdIn2S4,2.3600000000000003
252,841,CeScO3,3.2
253,386,BaHgSe2,1.56
