,ae,exp,mp
MnF2,7.3637,9.9,2.5363
RbF,4.8756,10.4,5.5244
CsF,4.7374,10.0,5.2626
GeO2,4.360966666666667,5.576666666666667,1.2157
KF,4.3506,10.3,5.949400000000001
NaF,4.296,10.5,6.204
MgF2,4.276,11.1,6.824
AgCl,4.1777999999999995,5.13,0.9522000000000002
InAgO2,3.9653,4.2,0.2347000000000001
Ta2O5,3.9363,4.2,0.2637
Sr2Be2B2O7,3.9201999999999995,8.0,4.0798000000000005
NaCl,3.4962999999999997,8.5,5.0037
KCl,3.473,8.5,5.027
RbCl,3.4392000000000005,8.278,4.8388
CaO,3.3738999999999986,7.004,3.630100000000001
Ni2Te3O8,3.3324,3.84,0.5076
MgO,3.3158000000000003,7.745,4.4292
KBr,3.2775999999999996,7.6,4.3224
RbBr,3.258,7.45,4.192
CaS,3.211433333333334,5.593333333333334,2.3819
NaBr,3.1738333333333326,7.263333333333333,4.0895
MgSe,3.1668333333333334,5.743333333333333,2.5765
CdF2,3.1022999999999996,6.0,2.8977000000000004
LiCl,3.08,9.33,6.25
MnI2,3.049200000000001,4.220000000000001,1.1707999999999998
LiF,2.9838999999999984,11.7,8.7161
CsCl,2.9616,7.949999999999999,4.9883999999999995
BP,2.956500000000001,4.2,1.2434999999999992
SnO2,2.9480999999999997,3.6,0.6519000000000004
BeO,2.9261,10.39,7.463900000000001
CaSe,2.8622,4.9350000000000005,2.0728000000000004
CaF2,2.8443000000000005,9.96,7.1157
ZnSnO3,2.8190000000000004,3.9,1.0809999999999995
LiBr,2.789999999999999,7.725,4.9350000000000005
Cs2Li3(BO2)5,2.7645999999999997,7.3,4.5354
CsBr,2.7508,6.99,4.2392
Ca10Ge16(B2O17)3,2.7436,5.47,2.7264
BaSnO3,2.7276000000000002,3.1,0.3723999999999998
BaO,2.7094,4.8,2.0906
CuCl,2.6995285714285715,3.2564285714285717,0.5569000000000002
ZnO,2.680481818181818,3.4031818181818183,0.7227
EuAl2O4,2.6408000000000005,2.74,0.0991999999999997
CuN3,2.6317,4.17,1.5383
CaTe,2.6315000000000004,4.1850000000000005,1.5535
Rb2Te,2.6234,4.5,1.8766
ZnHg3(SCl2)2,2.6108,2.65,0.0392
ErN,2.5757000000000003,2.7,0.1242999999999998
TlCuCl3,2.5656999999999996,2.98,0.4143000000000001
BaF2,2.5396,9.1425,6.6029
CuBr,2.51165,2.99875,0.4870999999999998
NaI,2.505299999999999,6.074,3.5687000000000006
CsI,2.5010666666666665,6.3566666666666665,3.8556
CuHg(SeO3)2,2.4909,3.25,0.7590999999999999
Ga2O3,2.462200000000001,4.470000000000001,2.0077999999999996
SrO,2.4601999999999995,5.734999999999999,3.2748
CeMoO4F,2.4184999999999994,2.52,0.1015000000000005
RbI,2.4084999999999996,6.185,3.7765
LiGaO2,2.4018999999999995,5.6,3.1981
UHg3(TeCl3)2,2.4002,2.6,0.1998000000000002
Rb5Li6(BO2)11,2.3817000000000004,6.53,4.1483
CsCeCdSe3,2.3816,2.4,0.0183999999999997
SrSnO3,2.3634999999999997,4.1,1.7365
Dy2S3,2.3612,2.955,0.5937999999999999
Gd2O3,2.3588999999999993,5.3,2.9411000000000005
Cu3Hg2(Te3O8)2,2.3448,2.56,0.2151999999999998
Na2Be4B4O11,2.316699999999999,7.3,4.983300000000001
DyN,2.3069000000000006,2.35,0.0430999999999994
K2Al2B2O7,2.2950999999999997,6.89,4.5949
Ca5B3O9F,2.2931999999999997,6.53,4.236800000000001
MnO,2.289500000000001,3.6,1.310499999999999
SrS,2.2829999999999995,4.779999999999999,2.497
KI,2.2820333333333336,6.133333333333334,3.8513
Sc2O3,2.2764999999999995,6.1,3.8235
Sm2S3,2.2359,2.98,0.7441
CdCl2,2.2256,5.75,3.5244
Ho2(MoO4)3,2.2001,1.375,3.5751
CeBiW2O9,2.1923000000000004,2.34,0.1476999999999995
AlAgO2,2.1909000000000005,3.6,1.4090999999999996
SrSe,2.1887,4.42,2.2313
CsZn2B3O7,2.1769000000000003,5.69,3.5131
CeTl2P2S7,2.1671,2.4,0.2328999999999998
LiCdBO3,2.1644000000000005,4.28,2.1155999999999997
CsB3O5,2.1159999999999997,7.42,5.304
Cu2O,2.1006333333333336,2.6133333333333333,0.5126999999999997
AgN3,2.0986000000000002,3.67,1.5714
CaI2,2.0829000000000004,5.98,3.8971
Eu(GaSe2)2,2.0764000000000005,2.16,0.0835999999999996
CaSnO3,2.0699000000000005,4.4,2.3301
Tb2(MoO4)3,2.0613,1.505,3.5663
AlN,2.0532999999999992,6.1,4.0467
Mg2Si,2.052,2.27,0.2179999999999999
CdSnO3,2.0238,3.0,0.9762
Gd2S3,2.0233,2.55,0.5267
Eu(GaS2)2,2.0157,2.25,0.2343000000000001
Cs3Li4(BO2)7,2.0083,6.53,4.5217
Ba3Gd2(PS4)4,2.0056000000000003,3.41,1.4044
PrF3,1.9968000000000004,5.6,7.5968
SrTe,1.9884,3.75,1.7616
Sm2Se3,1.9263,2.3,0.3736999999999999
Ba(BO2)2,1.9209333333333332,6.4433333333333325,4.522399999999999
Ce10Se14O,1.9207000000000003,1.93,0.0092999999999996
K4GeS4,1.9132999999999998,0.8,2.7133
LiB3,1.9081000000000001,2.0,0.0918999999999998
HgBr2,1.9072999999999998,3.59,1.6827
PrBN2,1.8937999999999997,4.0,2.1062000000000003
Nd2S3,1.8904,2.65,0.7595999999999998
In2O3,1.8711000000000002,2.8,0.9288999999999996
CuBS2,1.8675000000000004,3.61,1.7424999999999995
Pr2S3,1.8624999999999998,2.64,0.7775000000000003
BSb,1.8493999999999997,2.6,0.7506000000000004
TlInS2,1.8426999999999998,2.3175,0.4748000000000001
K2FeGe3Se8,1.8368,1.95,0.1131999999999999
Na2EuGeSe4,1.8249,2.0,0.1751
AlCuS2,1.8243999999999998,3.5,1.6756000000000002
TlN3,1.8216,3.58,1.7584
BaTe,1.807,3.4,1.593
Tb2EuSe4,1.8066999999999998,2.0,0.1933000000000002
AgBr,1.7896,2.52,0.7303999999999999
Cs3Nb9(TeO8)4,1.7864,3.22,1.4336000000000002
HfS3,1.7840666666666665,2.9166666666666665,1.1326
NaInSe2,1.7808000000000002,2.8,1.0191999999999997
KAg2PS4,1.7759,3.02,1.2441
ZnCu2SiSe4,1.7751000000000001,2.33,0.5549
KLiCO3,1.7705000000000002,6.32,4.5495
HoN,1.769166666666667,1.856666666666667,0.0874999999999999
MoO3,1.7527000000000001,3.6625,1.9098
Gd2Se3,1.751,2.2,0.4490000000000003
YN,1.7489999999999992,1.9,0.1510000000000007
Ba3P3ClO10,1.7435,6.89,5.1465
BaS,1.7412,3.89,2.1488
GaCuS2,1.7372571428571426,2.442857142857143,0.7056000000000004
La2S3,1.7342,2.77,1.0358
ZnCu2GeS4,1.7306000000000004,2.1,0.3693999999999997
Tl4CuTeO6,1.7302000000000008,2.2,0.4697999999999993
Cs2Te,1.7259999999999998,3.5,1.7740000000000002
Cs2SiB4O9,1.7179000000000002,6.53,4.8121
GaN,1.7141250000000001,3.440625,1.7264999999999997
ZrS2,1.7082,2.75,1.0418
AlCuSe2,1.7078000000000002,2.6,0.8921999999999999
MgCu2GeS4,1.7074999999999991,2.36,0.6525000000000007
NiO,1.6991000000000005,4.0,2.3008999999999995
Rb2GeB4O9,1.6951,5.54,3.8449
GaAgS2,1.6938,2.656,0.9622000000000002
Eu(HoSe2)2,1.6857999999999997,1.8,0.1142000000000003
ZnS,1.6845000000000003,3.704,2.0195
RbAg2SbS4,1.6822,2.3,0.6177999999999999
CsLi(B3O5)2,1.6818999999999997,6.89,5.2081
BaSe,1.6778666666666668,3.626666666666667,1.9488
HfS2,1.6763,2.9,1.2237
ScAgO2,1.6735999999999995,3.8,2.1264000000000003
ZrSe2,1.6703999999999999,2.0,0.3296000000000001
HfSe2,1.6658,2.2,0.5342000000000002
MgGeN2,1.6642000000000006,4.300000000000001,2.6358
BaZnSO,1.6633,3.9,2.2367
CdCu2GeS4,1.6615000000000002,2.05,0.3884999999999996
Dy2(MoO4)3,1.6610999999999998,1.92,3.5810999999999997
NaSc(SeO3)2,1.6587,5.5,3.8413
In5AgS8,1.6565000000000005,1.76,0.1034999999999994
In2HgS4,1.6532999999999998,2.0,0.3467000000000002
Eu(DySe2)2,1.6342999999999999,1.8,0.1657000000000001
Li2B4O7,1.6319999999999997,7.3,5.668
KAg2SbS4,1.6304000000000003,2.2,0.5695999999999999
ZnI2,1.6223999999999998,4.53,2.9076000000000004
GaAgO2,1.6167000000000002,2.2,0.5832999999999999
CdBr2,1.6148999999999996,4.47,2.8551
TlGaS2,1.6115,3.4,1.7885
ZnSe,1.6080750000000001,2.774375,1.1663
Eu(TmSe2)2,1.6057,1.8,0.1943000000000001
KSm2CuS4,1.6007999999999996,2.17,0.5692000000000004
ZnSi(AgS2)2,1.5940999999999992,3.28,1.6859000000000006
Cs2Ba3(P2O7)2,1.5850999999999997,6.31,4.7249
HgCl2,1.5814000000000004,4.45,2.8686
Ca3Ti2(SiO4)3,1.5806999999999998,1.65,0.0693000000000001
La2O3,1.5752000000000002,5.4,3.8248
UHg4(AsCl3)2,1.5736999999999999,1.9,0.3263
GaCuSe2,1.5735333333333332,1.6133333333333333,0.0398
LiIn(IO3)4,1.5712999999999995,4.27,2.6987
SrTiO3,1.5636999999999996,3.4124999999999996,1.8488
Ge(SeO3)2,1.561999999999999,5.289999999999999,3.728
K2Ho4Cu4S9,1.5612999999999997,2.43,0.8687000000000005
Eu(LuSe2)2,1.5571999999999997,1.7,0.1428000000000002
AgI,1.5557666666666663,2.931666666666666,1.3759
InAgS2,1.5493666666666663,1.9266666666666663,0.3772999999999999
CeO2,1.5453000000000001,3.41,1.8647
KP(HO2)2,1.5424999999999995,6.975,5.4325
ZnCu2SiS4,1.5399999999999996,3.15,1.6100000000000003
HfO2,1.5335,5.55,4.0165
Ca3(BN2)2,1.5285999999999995,4.0,2.4714000000000005
MgCu2SiS4,1.5269000000000004,3.2,1.6730999999999998
K3B6ClO10,1.5171000000000001,6.89,5.3729
Li2Ga2GeS6,1.5160999999999998,3.65,2.1339
Ag2GeS3,1.5153999999999996,1.98,0.4646000000000003
Rb3Zn(BO2)5,1.5152,2.66,4.1752
K2Ge3(BO5)2,1.5116999999999998,5.38,3.8683
Eu(ErSe2)2,1.5041999999999998,1.7,0.1958000000000002
