,compound,mp
830,LaSb,0.0
811,La3GaCuSe7,0.0
802,La2MnNiO6,0.0
797,KZrPSe6,0.0
791,KTi2F7,0.0
763,KEuAsS4,0.0
757,KCeSe4,0.0
718,K2Ta15O32,0.0
207,Bi12PO20,0.0
677,K10Mn4Sn4S17,0.0
676,K(GeSe2)2,0.0
669,InSb,0.0
665,InN,0.0
663,InCuTe2,0.0
662,InCuSe2,0.0
661,InCuS2,0.0
656,InAs,0.0
654,InAgSe2,0.0
539,FeI2,0.0
261,CaB6,0.0
560,GaBi,0.0
572,GaSb,0.0
574,GaTc,0.0
582,Gd2ZrS5,0.0
814,La3Te4,0.0
584,GdAs,0.0
586,GdN,0.0
588,GdTe,0.0
622,HgS,0.0
624,HgTe,0.0
639,In2Se,0.0
234,BiSe,0.0
585,GdB6,0.0
538,FeCuTe2,0.0
817,La4Fe(SbSe5)2,0.0
829,LaP,0.0
1019,NiTe,0.0
147,Ba3La3(Cu3O7)2,0.0
1017,NiP2,0.0
1014,Ni(CN)2,0.0
1013,NdTe2,0.0
1007,NdB6,0.0
1006,NdAs,0.0
1004,Nd3Te4,0.0
1002,Nd2Te3,0.0
996,NbSe2,0.0
975,NaNO2,0.0
959,NaB15,0.0
956,Na7(CoO3)2,0.0
926,MnTe,0.0
925,MnSi,0.0
924,MnSe,0.0
923,MnPSe3,0.0
831,LaSi2,0.0
189,BaPrO3,0.0
836,Li2CdGe,0.0
839,Li2FeGeS4,0.0
840,Li2FeSnS4,0.0
842,Li2HgGe,0.0
821,LaB6,0.0
850,Li2ZnGe,0.0
893,LuP,0.0
896,Mg2Pb,0.0
898,Mg2Sn,0.0
914,Mn(SbO2)2,0.0
917,Mn15Si26,0.0
167,BaB6,0.0
866,LiEuH3,0.0
537,FeCuSe2,0.0
536,FeCuS2,0.0
531,FeAgTe2,0.0
327,Ce4(GeS4)3,0.0
329,CeF3,0.0
331,CeN,0.0
333,CeScO3,0.0
336,CoAs3,0.0
337,CoAsS,0.0
340,CoP3,0.0
342,CoPbO3,0.0
343,CoSb2,0.0
346,Cr2O3,0.0
347,Cr2S3,0.0
348,Cr3Se4,0.0
495,ErTe,0.0
350,CrO2,0.0
494,ErSe2,0.0
353,CrSb2,0.0
354,CrSi2,0.0
401,CsBi2,0.0
408,CsCeHgSe3,0.0
447,Cu2GeSe3,0.0
451,Cu2Te,0.0
452,Cu2Te3O8,0.0
454,Cu3AsS4,0.0
326,Ce3MoO7,0.0
455,Cu3AsSe4,0.0
458,Cu3SbSe4,0.0
459,Cu4Sn7S16,0.0
483,DyAs,0.0
484,DyB6,0.0
491,ErB6,0.0
355,CrTe2,0.0
457,Cu3SbS4,0.0
325,Ce3LuSe6,0.0
324,Ce2Te3,0.0
323,Ce2Se3,0.0
515,Eu3Sb4S9,0.0
516,Eu3Sb4Se9,0.0
518,EuCu2SnS4,0.0
519,EuH2,0.0
521,EuN,0.0
522,EuO,0.0
514,Eu3S4,0.0
279,Cd3As2,0.0
524,EuSe,0.0
525,EuTe,0.0
526,EuVO4,0.0
528,Fe2O3,0.0
529,Fe2Te3,0.0
530,FeAgSe2,0.0
523,EuS,0.0
1020,OsS2,0.0
513,Eu3(InP2)2,0.0
294,CdCu2GeSe4,0.0
322,Ce2S3,0.0
321,Ce2Fe(SeO)2,0.0
320,Ce15B8N25,0.0
501,Eu(GaTe2)2,0.0
503,Eu(InS2)2,0.0
507,Eu(SbSe2)2,0.0
292,CdCu(SeO3)2,0.0
305,CdO,0.0
509,Eu2Ga2GeS7,0.0
510,Eu2O3,0.0
511,Eu2Se3,0.0
512,Eu2SnSe5,0.0
296,CdCu2SnSe4,0.0
295,CdCu2SnS4,0.0
304,CdIn,0.0
1046,PbO2,0.0
382,Cs3As,0.0
13,Ag7AsSe6,0.0
1279,TaN,0.0
1405,Zn2In2S5,0.0
6,Ag2S,0.0
34,AgSbTe2,0.0
33,AgSbSe2,0.0
1261,SrGe2,0.0
43,AlBi,0.0
1258,SrB6,0.0
1238,SnO,0.0
1235,SnHgO3,0.0
5,Ag2PdO2,0.0
31,AgSO4,0.0
4,Ag2O,0.0
1226,SmTe,0.0
1225,SmSe,0.0
1224,SmSb,0.0
1223,SmS,0.0
1222,SmP,0.0
1218,SmB6,0.0
1217,SmAs,0.0
1214,Sm3Te4,0.0
1293,Te2Os,0.0
1294,Te2Pd,0.0
1297,TeAs,0.0
1443,Zr3O,0.0
1372,V2Bi4O11,0.0
1371,UP2S7,0.0
1370,UO2,0.0
1369,UO,0.0
1392,Y4US5O3,0.0
1366,TmAs,0.0
1362,TlSbSe2,0.0
1361,TlSbS2,0.0
1358,TlN,0.0
1348,TlCuSe2,0.0
28,AgO,0.0
1346,TlCr5Se8,0.0
1343,TlCdS2,0.0
1338,TlAgTe2,0.0
1337,TlAgSe2,0.0
1441,ZnSnSb2,0.0
1326,Tl2O3,0.0
1318,TiTe2,0.0
1317,TiSe2,0.0
1051,PdO,0.0
1315,TiS2,0.0
1313,TiNiSb,0.0
1438,ZnSnAs2,0.0
1204,SiTe2,0.0
1411,Zn3(InS3)2,0.0
1444,ZrC,0.0
1154,Sb2Pt,0.0
1446,ZrNiSb,0.0
1147,ReSi2,0.0
1424,ZnCu2SnSe4,0.0
1144,ReO3,0.0
1425,ZnCu2SnTe4,0.0
1123,RbCuSnS3,0.0
17,AgAsSe2,0.0
1070,PrTe2,0.0
1069,PrSb,0.0
1068,PrO,0.0
1062,PrB6,0.0
1061,PrAs,0.0
1054,PdSe,0.0
1052,PdS,0.0
1162,SbAs,0.0
1420,ZnCu2GeSe4,0.0
1149,RhSe2,0.0
1186,ScN,0.0
1183,ScCd,0.0
25,AgF,0.0
1185,ScHg,0.0
1192,SeS,0.0
162,Ba6Sn6Se13,9.999999999976694e-05
429,CsNa2Sb,9.999999999976694e-05
277,Cd12Ge17(B4O29)2,0.0001000000000002
15,Ag8SnSe6,0.0009999999999998
1426,ZnGeAs2,0.0011999999999998
280,Cd3P2,0.0018000000000002
1155,Sb2Ru,0.0034999999999989
314,CdSnAs2,0.0062999999999999
298,CdGeAs2,0.0085000000000001
319,Ce10Se14O,0.0092999999999996
1188,ScSbPd,0.0155000000000002
407,CsCeCdSe3,0.0183999999999997
309,CdSb,0.0200999999999997
396,CsAg5Te3,0.0200999999999997
11,Ag5IO6,0.0205000000000001
1433,ZnSb,0.0282
1429,ZnHg3(SCl2)2,0.0392
565,GaCuSe2,0.0398
1245,SnTe,0.0419
485,DyN,0.0430999999999994
1191,ScTlTe2,0.0445999999999999
675,IrSe2,0.0517000000000003
449,Cu2Se,0.0518999999999998
490,Er2Te3,0.0521000000000002
496,Eu(BiSe2)2,0.0541
253,Ca2Sn,0.0559000000000002
7,Ag2SnSe3,0.0586000000000002
655,InAgTe2,0.0649999999999999
20,AgBiPbS3,0.0682999999999998
258,Ca3Ti2(SiO4)3,0.0693000000000001
54,As2Pt,0.0785
504,Eu(InSe2)2,0.0786000000000002
816,La4Fe(SbS5)2,0.0799000000000003
500,Eu(GaSe2)2,0.0835999999999996
257,Ca3Sb2,0.0853999999999999
450,Cu2SnSe3,0.0857999999999998
630,HoN,0.0874999999999999
1105,Rb3Sb,0.0878000000000001
885,LiSbS2,0.0910999999999999
858,LiB3,0.0918999999999998
517,EuAl2O4,0.0991999999999997
330,CeMoO4F,0.1015000000000005
647,In5AgS8,0.1034999999999994
1400,YSbPt,0.1097999999999999
446,Cu2GeS3,0.1110999999999995
581,Gd2Te3,0.1129999999999995
689,K2FeGe3Se8,0.1131999999999999
502,Eu(HoSe2)2,0.1142000000000003
646,In4Te3,0.1223999999999998
493,ErN,0.1242999999999998
1,Ag2GeSe3,0.1251
520,EuIn2(GeIr)4,0.1271000000000004
1158,Sb2Te3,0.1314000000000001
288,CdAs2,0.1331999999999999
506,Eu(SbS2)2,0.1394999999999999
1207,Sm2Mn3(SbS3)4,0.1398000000000001
505,Eu(LuSe2)2,0.1428000000000002
328,CeBiW2O9,0.1476999999999995
1345,TlCr5S8,0.1494999999999997
645,In4Se3,0.1504000000000003
1397,YN,0.1510000000000007
1423,ZnCu2SiTe4,0.1589999999999998
649,In5CuS8,0.1614000000000004
344,CoSb3,0.1633000000000004
1413,Zn3As2,0.1646999999999998
497,Eu(DySe2)2,0.1657000000000001
567,GaGeTe,0.1672000000000002
894,Mg2Ge,0.1689000000000002
933,Na2EuGeSe4,0.1751
887,LiSbTe2,0.1759000000000004
278,Cd2InCuTe4,0.1765999999999996
648,In5AgTe8,0.1787999999999998
383,Cs3Bi,0.1789999999999998
559,GaAs,0.1861000000000001
558,GaAgTe2,0.1926000000000001
1286,Tb2EuSe4,0.1933000000000002
508,Eu(TmSe2)2,0.1943000000000001
498,Eu(ErSe2)2,0.1958000000000002
1363,TlSe,0.1979999999999999
1367,UHg3(TeCl3)2,0.1998000000000002
566,GaCuTe2,0.2057999999999999
1233,SnGe,0.2086999999999998
1383,VO2,0.2122
233,BiSbTe3,0.2132999999999993
456,Cu3Hg2(Te3O8)2,0.2151999999999998
897,Mg2Si,0.2179999999999999
1321,Tl2Cu2SnS4,0.2195
1417,ZnAs2,0.2240999999999998
1316,TiS3,0.2261000000000006
886,LiSbSe2,0.2286999999999999
334,CeTl2P2S7,0.2328999999999998
499,Eu(GaS2)2,0.2343000000000001
652,InAgO2,0.2347000000000001
1018,NiS2,0.2404000000000001
35,AgTe,0.2411000000000003
1308,ThTeO,0.2423999999999999
1406,Zn2InCuSe4,0.2425000000000001
557,GaAgSe2,0.2491999999999997
22,AgBiSe2,0.2615999999999996
55,As2Rh,0.2625000000000002
1274,Ta2O5,0.2637
1187,ScNiSb,0.2679
316,CdSnP2,0.2694999999999998
642,In3CuSe5,0.2720000000000002
371,Cs2Sb,0.2839
1295,Te2Ru,0.2847000000000008
591,Ge2Sb2Te5,0.2878999999999996
703,K2MnSnSe4,0.2896000000000001
1398,YNiSb,0.2945000000000002
1416,ZnAs,0.2952999999999997
87,Ba(ZnAs)2,0.2974000000000001
463,CuBiSeO,0.3006000000000002
1151,RuSe2,0.3137999999999996
1414,Zn3P2,0.3144
650,In6S7,0.3186
1136,RbNb4Br11,0.3233000000000001
1368,UHg4(AsCl3)2,0.3263
1450,ZrSe2,0.3296000000000001
216,Bi2Te3,0.3388
196,BaTaNO2,0.3398000000000003
1023,P2Pd,0.3418999999999998
852,Li3Bi,0.3428999999999997
1153,Sb2Os,0.3447000000000013
634,In2HgS4,0.3467000000000002
1380,VFeSb,0.3487
881,LiMgBi,0.3587000000000002
345,CoSbS,0.3673999999999999
487,Er(CuTe)3,0.3683999999999994
1419,ZnCu2GeS4,0.3693999999999997
1026,P2Rh,0.3704999999999998
195,BaSnO3,0.3723999999999998
1210,Sm2Se3,0.3736999999999999
214,Bi2Se3,0.3769
653,InAgS2,0.3772999999999999
592,Ge3Ru2,0.3814000000000002
1073,PtS,0.3848000000000002
293,CdCu2GeS4,0.3884999999999996
1364,Tm(CuTe)3,0.3903000000000007
915,Mn(SbSe2)2,0.3928000000000002
951,Na3Sb,0.3946
338,CoAsSe,0.3947000000000003
1451,ZrSe3,0.3979000000000003
1055,PdSe2,0.4001000000000001
312,CdSiAs2,0.4001999999999999
1312,TiFe2Si,0.4015999999999984
92,Ba2DyGaTe5,0.4117999999999999
64,AsPRu,0.4142999999999999
1347,TlCuCl3,0.4143000000000001
96,Ba2ErGaTe5,0.4189000000000002
1148,Rh2S3,0.4203000000000001
1053,PdS2,0.4209999999999998
132,Ba2YGaTe5,0.4222000000000001
1048,PbSe,0.4256999999999999
1203,SiSn,0.4291999999999998
1296,Te3As2,0.4326000000000007
1229,Sn3Ir2Se3,0.4375999999999997
339,CoP2,0.4377999999999993
533,FeAsSe,0.4485999999999999
580,Gd2Se3,0.4490000000000003
56,As2Ru,0.4492000000000002
115,Ba2NaCu3S5,0.4504000000000001
173,BaCu2SnSe4,0.4529999999999998
666,InP,0.4546000000000001
62,AsP,0.4581999999999997
673,InSe,0.4590000000000001
