,range_metallic_valence,avg_Cohesive_energy,avg_heat_atomization(kJ/mol),range_l_quantum_number,avg_1st_ionization_potential_(kJ/mol),avg_metallic_valence,range_valence_p,range_Number_of_unfilled_p_valence_electrons,avg_thermal_conductivity_(W/(m_K))_,range_Density_(g/mL),range_number_of_valence_electrons,avg_Density_(g/mL),range_gilmor_number_of_valence_electron,range_Molar_Denstiy_(mol/ml),avg_heat_of_vaporization_(kJ/mol)_,avg_Gordy_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_valence_d,range_heat_of_fusion_(kJ/mol)_,range_Mendele_Number,range_Gordy_electonegativity,range_abs_valence,avg_Critical_Temperature,range_Molar_Heat_Capacity(J/mol_K),range_Pauling_Electronegativity,range_group,range_1st_ionization_potential_(kJ/mol),range_Boiling_Point_(K),range_Critical_Temperature,range_families,range_Allred-Rockow_electronegativity,range_heat_atomization(kJ/mol),avg_Atomic_Number,range_heat_of_vaporization_(kJ/mol)_,avg_Atomic_Weight,range_Cohesive_energy,avg_l_quantum_number,avg_abs_valence,avg_Period,range_valence_s,range_Number_of_unfilled_s_valence_electrons,range_Atomic_Radus,avg_polarizability(A^3),avg_Molar_Heat_Capacity(J/mol_K),avg_valence_d,avg_Number_of_unfilled_d_valence_electrons,range_Zunger_radii_sum,avg_group,range_thermal_conductivity_(W/(m_K))_,range_Covalent_Radius,avg_number_of_valence_electrons,sum_valence_d,sum_Density_(g/mL),range_Atomic_Weight,avg_outer_shell_electrons,range_Atomic_Number,avg_families,avg_Molar_Denstiy_(mol/ml),avg_gilmor_number_of_valence_electron,avg_heat_of_fusion_(kJ/mol)_,range_outer_shell_electrons,range_Number_of_unfilled_f_valence_electrons,range_valence_f,range_Period,avg_Boiling_Point_(K),range_ionic_radius,avg_valence_p,avg_Number_of_unfilled_p_valence_electrons,range_polarizability(A^3),range_Melting_point_(K),avg_Number_of_unfilled_f_valence_electrons,avg_valence_f,avg_Number_of_unfilled_s_valence_electrons,avg_valence_s,sum_Melting_point_(K),avg_Melting_point_(K),range_Nagle_electonegativity,avg_Pauling_Electronegativity,avg_Atomic_Radus,sum_thermal_conductivity_(W/(m_K))_,avg_Mendele_Number,sum_metallic_valence,sum_Number_of_unfilled_s_valence_electrons,avg_Covalent_Radius,avg_Zunger_radii_sum,range_specific_heat_(J/g_K)_,range_Orbital_Radius(pm),avg_Nagle_electonegativity,sum_valence_f,sum_Gordy_electonegativity,avg_Allred-Rockow_electronegativity,sum_Nagle_electonegativity,sum_l_quantum_number,sum_Molar_Denstiy_(mol/ml),avg_Orbital_Radius(pm),sum_Atomic_Number,sum_Number_of_unfilled_d_valence_electrons,sum_Molar_Heat_Capacity(J/mol_K),sum_polarizability(A^3),avg_ionic_radius,avg_specific_heat_(J/g_K)_,sum_1st_ionization_potential_(kJ/mol),sum_Number_of_unfilled_p_valence_electrons,sum_Atomic_Weight,sum_Critical_Temperature,sum_Zunger_radii_sum,sum_Allred-Rockow_electronegativity,sum_group,sum_Pauling_Electronegativity,sum_specific_heat_(J/g_K)_,sum_Boiling_Point_(K),sum_Period,sum_abs_valence,sum_Orbital_Radius(pm),sum_heat_of_fusion_(kJ/mol)_,sum_Atomic_Radus,sum_Number_of_unfilled_f_valence_electrons,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_valence_s,sum_valence_p,sum_Covalent_Radius,sum_outer_shell_electrons,sum_families,sum_Mendele_Number,sum_number_of_valence_electrons,sum_Cohesive_energy,sum_gilmor_number_of_valence_electron,sum_heat_atomization(kJ/mol)
0,3.4400000000000004,3.05,297.0,1.0,870.6666666666666,3.48,4.0,4.0,153.1183333333333,8.43,7.0,5.421666666666667,4.0,0.04,143.57666666666668,4.9816666666666665,10.0,10.0,35.22,23.0,1.9999999999999996,4.0,4550.333333333333,2.580000000000002,0.6500000000000001,5.0,269.0,2385.3,7086.0,3.0,0.7199999999999998,98.0,29.0,321.09999999999997,64.09333333333333,1.0,0.6666666666666666,2.3333333333333335,3.833333333333333,1.0,1.0,0.7699999999999999,5.1,23.708333333333332,3.333333333333333,6.666666666666666,1.2799999999999998,14.0,428.73,0.51,7.333333333333333,20.0,32.53,75.80000000000001,4.0,31.0,5.833333333333333,0.075,4.333333333333333,10.783333333333331,5.0,0.0,0.0,2.0,1704.4999999999998,0.6000000000000001,2.3333333333333335,3.6666666666666665,5.0,849.2,14.0,0.0,0.3333333333333333,1.6666666666666663,4848.700000000001,808.1166666666667,1.0400000000000005,2.2683333333333335,1.1983333333333333,918.71,78.83333333333333,20.880000000000003,2.0,1.2233333333333334,1.6033333333333333,0.47,47.599999999999994,2.03,0.0,29.889999999999997,2.25,12.18,4.0,0.45,101.53333333333332,174.0,40.0,142.25,30.6,1.2416666666666667,0.4883333333333333,5224.0,22.0,384.56000000000006,27302.0,9.62,13.5,84.0,13.61,2.9299999999999997,10227.0,23.0,14.0,609.2,64.7,7.1899999999999995,84.0,861.4599999999999,7.45,10.0,14.0,7.34,24.0,35.0,473.0,44.0,18.3,26.0,1782.0
1,3.4400000000000004,2.855,271.0,1.0,841.1666666666666,3.48,4.0,4.0,153.2433333333333,5.71,7.0,6.781666666666666,4.0,0.04,157.52666666666667,4.9366666666666665,10.0,10.0,30.249999999999996,24.0,1.9099999999999997,4.0,4771.833333333333,2.110000000000003,0.6199999999999999,5.0,210.0,2145.0,6643.0,3.0,0.56,150.0,38.0,293.2,87.53833333333333,1.39,0.6666666666666666,2.3333333333333335,4.333333333333333,1.0,1.0,0.6199999999999999,5.55,24.958333333333332,3.333333333333333,6.666666666666666,1.09,14.0,428.48,0.3700000000000001,7.333333333333333,20.0,40.69,35.260000000000005,4.0,15.0,5.833333333333333,0.075,4.333333333333333,13.268333333333333,5.0,0.0,0.0,1.0,1824.65,0.4500000000000002,2.3333333333333335,3.6666666666666665,4.1000000000000005,745.0000000000001,14.0,0.0,0.3333333333333333,1.6666666666666663,5161.3,860.2166666666667,0.8600000000000001,2.253333333333333,1.2733333333333334,919.46,79.33333333333333,20.880000000000003,2.0,1.2933333333333334,1.6983333333333333,0.08,36.8,1.94,0.0,29.62,2.17,11.64,4.0,0.45,106.93333333333332,228.0,40.0,149.75,33.3,1.3166666666666669,0.2933333333333333,5047.0,22.0,525.23,28631.0,10.19,13.02,84.0,13.52,1.76,10947.9,26.0,14.0,641.5999999999999,79.61,7.64,84.0,945.16,7.9,10.0,14.0,7.76,24.0,35.0,476.0,44.0,17.13,26.0,1626.0
2,5.44,1.572857142857143,151.0,2.0,928.7142857142856,2.1885714285714286,5.0,5.0,124.02,8.57,5.0,7.745714285714285,6.0,0.06,91.91271428571427,5.6667,0.0,0.0,9.005,31.0,4.3969000000000005,5.0,2852.9999999999995,2.532009999999996,0.7300000000000002,6.0,277.0,2028.0,6661.0,4.0,0.5999999999999999,223.0,55.14285714285714,229.83,131.99,2.28,0.8571428571428571,2.8571428571428568,5.142857142857142,1.0,1.0,0.56,5.885714285714285,26.74600142857143,9.999999999999998,0.0,0.8200000000000001,14.57142857142857,428.55,0.1999999999999999,8.857142857142858,70.0,54.22,92.72,4.571428571428571,33.0,6.285714285714286,0.0610428571428571,4.714285714285714,8.025,6.0,14.0,14.0,1.0,1061.292857142857,0.2000000000000001,2.8571428571428568,3.1428571428571423,2.9000000000000004,1000.9,12.0,2.0,0.2857142857142857,1.7142857142857142,4251.15,607.3071428571429,0.8200000000000001,2.357142857142857,1.3728571428571428,868.14,83.57142857142857,15.32,2.0,1.41,1.9328571428571428,0.1009999999999999,24.19999999999999,1.9314285714285715,14.0,39.6669,2.1342857142857143,13.52,6.0,0.4273,112.48571428571428,386.0,0.0,187.22201,41.2,1.4714285714285713,0.2084285714285714,6501.0,22.0,923.93,19971.0,13.53,14.94,102.0,16.5,1.459,7429.049999999999,36.0,20.0,787.4,56.175,9.61,84.0,643.389,10.3,12.0,20.0,9.87,32.0,44.0,585.0,62.0,11.010000000000002,33.0,1057.0
3,5.78,2.563809523809524,244.76190476190476,2.0,1170.190476190476,0.7933333333333332,5.0,5.0,47.53428571428571,10.5,5.0,2.4247619047619047,5.0,0.11,58.56666666666666,7.245238095238094,10.0,10.0,31.78,46.0,4.819999999999999,5.0,1421.4342857142856,12.44,1.51,11.0,630.0,4795.0,9295.42,4.0,2.1399999999999997,551.0,21.9047619047619,594.59,49.68,5.71,0.9523809523809524,3.8571428571428568,3.0,1.0,1.0,1.42,2.8409523809523805,18.543333333333333,3.095238095238095,6.904761904761904,2.25,15.238095238095235,428.97,0.8,6.666666666666666,65.0,50.92,110.9,5.476190476190476,45.0,6.761904761904761,0.0223809523809523,5.714285714285714,4.236190476190476,6.0,0.0,0.0,3.0,616.4833333333333,1.0,3.619047619047618,2.3809523809523805,12.010000000000002,2835.4,13.999999999999998,0.0,0.1428571428571428,1.857142857142857,7673.550000000001,365.4071428571429,2.3600000000000003,3.0866666666666664,0.7866666666666665,998.22,84.85714285714286,16.66,3.0,0.9547619047619048,0.9723809523809523,0.7100000000000001,107.0,3.0438095238095233,0.0,152.14999999999998,3.104285714285714,63.92,20.0,0.47,69.37142857142857,460.0,145.0,389.41,59.66,0.888095238095238,0.6880952380952381,24574.0,50.0,1043.28,29850.12,20.42,65.19,320.0,64.82,14.45,12946.15,63.0,81.0,1456.8,88.96,16.52,294.0,1229.9,18.65,39.0,76.0,20.049999999999997,115.0,142.0,1782.0,140.0,53.84,120.0,5140.0
4,5.44,2.84,272.3333333333333,1.0,925.3333333333331,3.626666666666667,4.0,4.0,286.01,10.5,5.0,7.0,4.0,0.1,168.19,5.356666666666666,10.0,10.0,11.08,22.0,4.52,4.0,5038.193333333333,10.63,1.51,5.0,583.0,2395.0,7325.42,3.0,1.7399999999999998,35.0,34.0,247.17,77.24666666666666,0.33,0.3333333333333333,1.3333333333333333,4.0,1.0,1.0,1.17,5.53,21.806666666666665,6.666666666666666,3.333333333333333,1.91,12.666666666666666,428.97,0.8,9.333333333333332,20.0,21.0,91.87,2.6666666666666665,39.0,5.0,0.0666666666666666,3.333333333333333,7.606666666666667,5.0,0.0,0.0,3.0,1686.8166666666666,1.0,1.3333333333333333,4.666666666666667,7.11,1180.4,13.999999999999998,0.0,0.6666666666666666,1.3333333333333333,2525.05,841.6833333333334,2.17,2.433333333333333,1.2599999999999998,858.03,72.33333333333333,10.88,2.0,1.2633333333333334,1.7433333333333332,0.68,83.6,2.173333333333333,0.0,16.07,2.4499999999999997,6.52,1.0,0.2,100.73333333333332,102.0,10.0,65.42,16.59,1.2666666666666666,0.4666666666666666,2776.0,14.0,231.74,15114.58,5.2299999999999995,7.35,38.0,7.3,1.4,5060.45,12.0,4.0,302.2,22.82,3.78,42.0,504.5700000000001,3.8,4.0,4.0,3.79,8.0,15.0,217.0,28.0,8.52,10.0,817.0
5,5.78,3.006,288.8,2.0,978.8,3.3320000000000003,4.0,4.0,185.97200000000004,12.0,5.0,6.6000000000000005,4.0,0.11,172.996,5.646,10.0,10.0,17.380000000000003,25.0,4.579999999999999,4.0,4473.832,10.82,1.51,6.0,583.0,3323.0,7325.42,3.0,2.0199999999999996,129.0,31.2,353.59,70.83200000000001,1.27,0.8,1.6,3.8,2.0,2.0,1.21,4.436,21.136000000000003,6.0,4.0,1.98,12.8,428.97,0.8,8.8,30.0,33.0,91.87,2.8000000000000003,39.0,5.200000000000001,0.062,3.8000000000000007,8.128,6.0,0.0,0.0,3.0,1712.75,1.0,1.6,4.4,7.11,1772.4,14.0,0.0,0.8,1.2000000000000002,4406.950000000001,881.3900000000001,2.17,2.588,1.19,929.86,73.2,16.66,4.0,1.166,1.63,0.68,83.6,2.35,0.0,28.229999999999997,2.51,11.75,4.0,0.31,80.78,156.0,20.0,105.68,22.18,1.16,0.512,4894.0,22.0,354.16,22369.16,8.15,12.55,64.0,12.94,2.56,8563.75,19.0,8.0,403.9,40.64,5.95,70.0,864.9800000000001,5.8,6.0,8.0,5.83,14.0,26.0,366.0,44.0,15.03,19.0,1444.0
6,3.4400000000000004,2.916666666666667,282.3333333333333,1.0,820.6666666666666,4.293333333333334,4.0,4.0,286.09,8.43,5.0,7.69,4.0,0.04,170.32000000000002,4.516666666666666,10.0,10.0,9.58,23.0,1.9999999999999996,4.0,5424.666666666666,2.580000000000002,0.6500000000000001,5.0,269.0,1767.3000000000002,6166.0,3.0,0.7199999999999998,5.0,36.666666666666664,240.78,82.60333333333332,0.1,0.3333333333333333,1.3333333333333333,4.333333333333333,1.0,1.0,0.7699999999999999,6.233333333333333,24.49,6.666666666666666,3.333333333333333,1.2799999999999998,12.666666666666666,428.73,0.51,9.333333333333332,20.0,23.07,75.80000000000001,2.6666666666666665,31.0,5.0,0.0866666666666666,3.333333333333333,8.106666666666666,5.0,0.0,0.0,2.0,1896.05,0.6000000000000001,1.3333333333333333,4.666666666666667,5.0,849.2,13.999999999999998,0.0,0.6666666666666666,1.3333333333333333,2856.25,952.0833333333334,1.0400000000000005,2.1466666666666665,1.393333333333333,858.27,72.66666666666666,12.88,2.0,1.36,1.9533333333333331,0.47,47.599999999999994,1.7966666666666666,0.0,13.55,2.11,5.390000000000001,1.0,0.26,112.73333333333332,110.0,10.0,73.47,18.7,1.4,0.3966666666666666,2462.0,14.0,247.81,16274.0,5.859999999999999,6.33,38.0,6.4399999999999995,1.19,5688.150000000001,13.0,4.0,338.2,24.32,4.18,42.0,510.96,4.2,4.0,4.0,4.08,8.0,15.0,218.0,28.0,8.75,10.0,847.0
7,3.4400000000000004,2.736666666666667,258.5,1.0,832.3333333333333,3.48,4.0,4.0,154.36,5.71,7.0,7.113333333333333,4.0,0.04,151.67666666666665,4.928333333333333,10.0,10.0,4.61,24.0,1.9099999999999997,4.0,4340.0,1.6799999999999995,0.6199999999999999,5.0,232.0,1585.0,5723.0,3.0,0.6100000000000001,75.0,41.0,258.1,95.22166666666666,0.6800000000000002,0.6666666666666666,2.3333333333333335,4.5,1.0,1.0,0.6199999999999999,5.816666666666666,25.576666666666668,5.0,5.0,1.09,14.0,428.48,0.3700000000000001,7.333333333333333,30.0,42.68,39.75,3.6666666666666665,16.0,5.666666666666666,0.0733333333333333,4.333333333333333,8.283333333333333,5.0,0.0,0.0,1.0,1731.3166666666668,0.4500000000000002,2.3333333333333335,3.6666666666666665,4.1000000000000005,745.0000000000001,14.0,0.0,0.3333333333333333,1.6666666666666663,4445.9,740.9833333333333,0.8600000000000001,2.245,1.3066666666666666,926.16,79.5,20.880000000000003,2.0,1.325,1.7516666666666665,0.09,36.8,1.9216666666666664,0.0,29.57,2.1416666666666666,11.53,4.0,0.44,109.43333333333332,246.0,30.0,153.46,34.9,1.35,0.2783333333333333,4994.0,22.0,571.3299999999999,26040.0,10.51,12.85,84.0,13.47,1.67,10387.9,27.0,14.0,656.5999999999999,49.7,7.84,84.0,910.06,8.1,10.0,14.0,7.949999999999999,22.0,34.0,477.0,44.0,16.42,26.0,1551.0
8,3.4400000000000004,2.9085714285714284,284.4285714285714,1.0,877.1428571428571,3.617142857142857,4.0,4.0,191.11571428571423,8.43,6.0,6.2057142857142855,4.0,0.04,116.55714285714286,4.895714285714285,10.0,10.0,25.98,23.0,1.9999999999999996,4.0,4068.857142857142,2.580000000000002,0.6500000000000001,5.0,269.0,1767.3000000000002,6166.0,3.0,0.7199999999999998,23.0,31.714285714285715,240.78,70.67714285714285,0.1099999999999998,0.5714285714285714,2.142857142857143,4.0,1.0,1.0,0.7699999999999999,5.242857142857143,24.154285714285713,4.285714285714286,5.7142857142857135,1.2799999999999998,13.714285714285715,428.73,0.51,8.0,30.0,43.440000000000005,75.80000000000001,3.714285714285714,31.0,5.571428571428571,0.0799999999999999,4.142857142857142,9.537142857142856,5.0,0.0,0.0,2.0,1499.8785714285714,0.6000000000000001,2.142857142857143,3.8571428571428568,5.0,849.2,14.0,0.0,0.4285714285714285,1.5714285714285712,5953.450000000001,850.4928571428571,1.0400000000000005,2.244285714285714,1.2471428571428569,1337.81,77.57142857142857,25.32,3.0,1.262857142857143,1.694285714285714,0.47,47.599999999999994,1.99,0.0,34.269999999999996,2.227142857142857,13.93,4.0,0.56,104.12857142857143,222.0,40.0,169.08,36.7,1.2785714285714285,0.4542857142857142,6140.0,27.0,494.74,28482.0,11.86,15.59,96.0,15.71,3.1799999999999997,10499.15,28.0,15.0,728.9,66.76,8.729999999999999,98.0,815.9,8.950000000000001,11.0,15.0,8.84,26.0,39.0,543.0,56.0,20.360000000000003,29.0,1991.0
9,3.4400000000000004,2.741428571428571,262.1428571428571,1.0,851.8571428571429,3.617142857142857,4.0,4.0,191.22285714285712,5.71,6.0,7.371428571428572,4.0,0.04,128.51428571428573,4.857142857142857,10.0,10.0,21.01,24.0,1.9099999999999997,4.0,4258.714285714285,0.6300000000000026,0.6199999999999999,5.0,216.0,1595.0,5723.0,3.0,0.56,75.0,39.42857142857143,215.82,90.77285714285712,0.5,0.5714285714285714,2.142857142857143,4.428571428571429,1.0,1.0,0.6199999999999999,5.628571428571428,25.22571428571428,4.285714285714286,5.7142857142857135,1.09,13.714285714285715,428.48,0.3700000000000001,8.0,30.0,51.60000000000001,32.95,3.714285714285714,14.0,5.571428571428571,0.0799999999999999,4.142857142857142,11.667142857142856,5.0,0.0,0.0,1.0,1602.8642857142854,0.4500000000000002,2.142857142857143,3.8571428571428568,4.1000000000000005,745.0000000000001,14.0,0.0,0.4285714285714285,1.5714285714285712,6266.05,895.15,0.8600000000000001,2.2314285714285713,1.3114285714285714,1338.56,78.0,25.32,3.0,1.3228571428571427,1.7757142857142854,0.09,36.8,1.9128571428571428,0.0,34.0,2.1585714285714284,13.39,4.0,0.56,108.75714285714284,276.0,40.0,176.58,39.400000000000006,1.3428571428571427,0.2871428571428571,5963.0,27.0,635.4100000000001,29811.0,12.43,15.11,96.0,15.62,2.01,11220.05,31.0,15.0,761.3,81.67000000000002,9.18,98.0,899.6,9.4,11.0,15.0,9.259999999999998,26.0,39.0,546.0,56.0,19.19,29.0,1835.0
