,range_Atomic_Radus,range_metallic_valence,range_l_quantum_number,range_number_of_valence_electrons,range_Molar_Denstiy_(mol/ml),avg_1st_ionization_potential_(kJ/mol),range_Melting_point_(K),range_gilmor_number_of_valence_electron,avg_Cohesive_energy,avg_metallic_valence,range_Boiling_Point_(K),range_Number_of_unfilled_p_valence_electrons,range_valence_p,avg_heat_atomization(kJ/mol),avg_Density_(g/mL),range_Mendele_Number,range_Density_(g/mL),avg_number_of_valence_electrons,range_abs_valence,avg_thermal_conductivity_(W/(m_K))_,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,avg_Molar_Heat_Capacity(J/mol_K),sum_Molar_Denstiy_(mol/ml),avg_l_quantum_number,avg_polarizability(A^3),sum_Density_(g/mL),range_thermal_conductivity_(W/(m_K))_,range_Molar_Heat_Capacity(J/mol_K),range_heat_of_fusion_(kJ/mol)_,range_Covalent_Radius,range_Zunger_radii_sum,range_Critical_Temperature,range_Number_of_unfilled_d_valence_electrons,range_valence_d,avg_abs_valence,avg_Number_of_unfilled_p_valence_electrons,avg_valence_p,range_heat_of_vaporization_(kJ/mol)_,avg_gilmor_number_of_valence_electron,range_group,sum_valence_f,sum_specific_heat_(J/g_K)_,range_Cohesive_energy,avg_Period,range_Period,range_Pauling_Electronegativity,range_valence_f,range_Number_of_unfilled_f_valence_electrons,avg_Molar_Denstiy_(mol/ml),range_Atomic_Weight,range_polarizability(A^3),range_Gordy_electonegativity,avg_Atomic_Radus,range_valence_s,range_Number_of_unfilled_s_valence_electrons,avg_Number_of_unfilled_d_valence_electrons,avg_valence_d,sum_metallic_valence,avg_Critical_Temperature,sum_valence_d,avg_heat_of_vaporization_(kJ/mol)_,range_outer_shell_electrons,avg_Atomic_Number,range_heat_atomization(kJ/mol),avg_Melting_point_(K),range_families,avg_Gordy_electonegativity,avg_Atomic_Weight,avg_Zunger_radii_sum,avg_Boiling_Point_(K),range_Nagle_electonegativity,avg_families,avg_outer_shell_electrons,avg_Allred-Rockow_electronegativity,range_Atomic_Number,avg_valence_f,avg_Number_of_unfilled_f_valence_electrons,avg_Nagle_electonegativity,avg_valence_s,avg_Number_of_unfilled_s_valence_electrons,avg_Mendele_Number,avg_specific_heat_(J/g_K)_,avg_heat_of_fusion_(kJ/mol)_,avg_group,avg_Covalent_Radius,sum_thermal_conductivity_(W/(m_K))_,sum_Number_of_unfilled_s_valence_electrons,avg_Pauling_Electronegativity,sum_Zunger_radii_sum,sum_l_quantum_number,avg_Orbital_Radius(pm),avg_ionic_radius,range_ionic_radius,sum_Boiling_Point_(K),range_specific_heat_(J/g_K)_,sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_heat_of_vaporization_(kJ/mol)_,sum_polarizability(A^3),range_Orbital_Radius(pm),sum_abs_valence,sum_number_of_valence_electrons,sum_Mendele_Number,sum_Pauling_Electronegativity,sum_Allred-Rockow_electronegativity,sum_heat_of_fusion_(kJ/mol)_,sum_Atomic_Number,sum_Number_of_unfilled_p_valence_electrons,sum_Atomic_Weight,sum_Melting_point_(K),sum_Critical_Temperature,sum_Gordy_electonegativity,sum_Molar_Heat_Capacity(J/mol_K),sum_group,sum_1st_ionization_potential_(kJ/mol),sum_Cohesive_energy,sum_Period,sum_families,sum_valence_s,sum_outer_shell_electrons,sum_valence_p,sum_Orbital_Radius(pm),sum_Atomic_Radus,sum_ionic_radius,sum_heat_atomization(kJ/mol),sum_gilmor_number_of_valence_electron,sum_Covalent_Radius,sum_Number_of_unfilled_f_valence_electrons
0,0.7699999999999999,3.4400000000000004,1.0,7.0,0.04,870.6666666666666,849.2,4.0,3.05,3.48,2385.3,4.0,4.0,297.0,5.421666666666667,23.0,8.43,7.333333333333333,4.0,153.1183333333333,269.0,0.7199999999999998,23.708333333333332,0.45,0.6666666666666666,5.1,32.53,428.73,2.580000000000002,35.22,0.51,1.2799999999999998,7086.0,10.0,10.0,2.3333333333333335,3.6666666666666665,2.3333333333333335,321.09999999999997,4.333333333333333,5.0,0.0,2.9299999999999997,1.0,3.833333333333333,2.0,0.6500000000000001,0.0,0.0,0.075,75.80000000000001,5.0,1.9999999999999996,1.1983333333333333,1.0,1.0,6.666666666666666,3.333333333333333,20.880000000000003,4550.333333333333,20.0,143.57666666666668,5.0,29.0,98.0,808.1166666666667,3.0,4.9816666666666665,64.09333333333333,1.6033333333333333,1704.4999999999998,1.0400000000000005,5.833333333333333,4.0,2.25,31.0,0.0,14.0,2.03,1.6666666666666663,0.3333333333333333,78.83333333333333,0.4883333333333333,10.783333333333331,14.0,1.2233333333333334,918.71,2.0,2.2683333333333335,9.62,4.0,101.53333333333332,1.2416666666666667,0.6000000000000001,10227.0,0.47,12.18,40.0,861.4599999999999,30.6,47.599999999999994,14.0,44.0,473.0,13.61,13.5,64.7,174.0,22.0,384.56000000000006,4848.700000000001,27302.0,29.889999999999997,142.25,84.0,5224.0,18.3,23.0,35.0,10.0,24.0,14.0,609.2,7.1899999999999995,7.45,1782.0,26.0,7.34,84.0
1,0.6199999999999999,3.4400000000000004,1.0,7.0,0.04,841.1666666666666,745.0000000000001,4.0,2.855,3.48,2145.0,4.0,4.0,271.0,6.781666666666666,24.0,5.71,7.333333333333333,4.0,153.2433333333333,210.0,0.56,24.958333333333332,0.45,0.6666666666666666,5.55,40.69,428.48,2.110000000000003,30.249999999999996,0.3700000000000001,1.09,6643.0,10.0,10.0,2.3333333333333335,3.6666666666666665,2.3333333333333335,293.2,4.333333333333333,5.0,0.0,1.76,1.39,4.333333333333333,1.0,0.6199999999999999,0.0,0.0,0.075,35.260000000000005,4.1000000000000005,1.9099999999999997,1.2733333333333334,1.0,1.0,6.666666666666666,3.333333333333333,20.880000000000003,4771.833333333333,20.0,157.52666666666667,5.0,38.0,150.0,860.2166666666667,3.0,4.9366666666666665,87.53833333333333,1.6983333333333333,1824.65,0.8600000000000001,5.833333333333333,4.0,2.17,15.0,0.0,14.0,1.94,1.6666666666666663,0.3333333333333333,79.33333333333333,0.2933333333333333,13.268333333333333,14.0,1.2933333333333334,919.46,2.0,2.253333333333333,10.19,4.0,106.93333333333332,1.3166666666666669,0.4500000000000002,10947.9,0.08,11.64,40.0,945.16,33.3,36.8,14.0,44.0,476.0,13.52,13.02,79.61,228.0,22.0,525.23,5161.3,28631.0,29.62,149.75,84.0,5047.0,17.13,26.0,35.0,10.0,24.0,14.0,641.5999999999999,7.64,7.9,1626.0,26.0,7.76,84.0
2,0.56,5.44,2.0,5.0,0.06,928.7142857142856,1000.9,6.0,1.572857142857143,2.1885714285714286,2028.0,5.0,5.0,151.0,7.745714285714285,31.0,8.57,8.857142857142858,5.0,124.02,277.0,0.5999999999999999,26.74600142857143,0.4273,0.8571428571428571,5.885714285714285,54.22,428.55,2.532009999999996,9.005,0.1999999999999999,0.8200000000000001,6661.0,0.0,0.0,2.8571428571428568,3.1428571428571423,2.8571428571428568,229.83,4.714285714285714,6.0,14.0,1.459,2.28,5.142857142857142,1.0,0.7300000000000002,14.0,14.0,0.0610428571428571,92.72,2.9000000000000004,4.3969000000000005,1.3728571428571428,1.0,1.0,0.0,9.999999999999998,15.32,2852.9999999999995,70.0,91.91271428571427,6.0,55.14285714285714,223.0,607.3071428571429,4.0,5.6667,131.99,1.9328571428571428,1061.292857142857,0.8200000000000001,6.285714285714286,4.571428571428571,2.1342857142857143,33.0,2.0,12.0,1.9314285714285715,1.7142857142857142,0.2857142857142857,83.57142857142857,0.2084285714285714,8.025,14.57142857142857,1.41,868.14,2.0,2.357142857142857,13.53,6.0,112.48571428571428,1.4714285714285713,0.2000000000000001,7429.049999999999,0.1009999999999999,13.52,0.0,643.389,41.2,24.19999999999999,20.0,62.0,585.0,16.5,14.94,56.175,386.0,22.0,923.93,4251.15,19971.0,39.6669,187.22201,102.0,6501.0,11.010000000000002,36.0,44.0,12.0,32.0,20.0,787.4,9.61,10.3,1057.0,33.0,9.87,84.0
3,1.42,5.78,2.0,5.0,0.11,1170.190476190476,2835.4,5.0,2.563809523809524,0.7933333333333332,4795.0,5.0,5.0,244.76190476190476,2.4247619047619047,46.0,10.5,6.666666666666666,5.0,47.53428571428571,630.0,2.1399999999999997,18.543333333333333,0.47,0.9523809523809524,2.8409523809523805,50.92,428.97,12.44,31.78,0.8,2.25,9295.42,10.0,10.0,3.8571428571428568,2.3809523809523805,3.619047619047618,594.59,5.714285714285714,11.0,0.0,14.45,5.71,3.0,3.0,1.51,0.0,0.0,0.0223809523809523,110.9,12.010000000000002,4.819999999999999,0.7866666666666665,1.0,1.0,6.904761904761904,3.095238095238095,16.66,1421.4342857142856,65.0,58.56666666666666,6.0,21.9047619047619,551.0,365.4071428571429,4.0,7.245238095238094,49.68,0.9723809523809523,616.4833333333333,2.3600000000000003,6.761904761904761,5.476190476190476,3.104285714285714,45.0,0.0,13.999999999999998,3.0438095238095233,1.857142857142857,0.1428571428571428,84.85714285714286,0.6880952380952381,4.236190476190476,15.238095238095235,0.9547619047619048,998.22,3.0,3.0866666666666664,20.42,20.0,69.37142857142857,0.888095238095238,1.0,12946.15,0.7100000000000001,63.92,145.0,1229.9,59.66,107.0,81.0,140.0,1782.0,64.82,65.19,88.96,460.0,50.0,1043.28,7673.550000000001,29850.12,152.14999999999998,389.41,320.0,24574.0,53.84,63.0,142.0,39.0,115.0,76.0,1456.8,16.52,18.65,5140.0,120.0,20.049999999999997,294.0
4,1.17,5.44,1.0,5.0,0.1,925.3333333333331,1180.4,4.0,2.84,3.626666666666667,2395.0,4.0,4.0,272.3333333333333,7.0,22.0,10.5,9.333333333333332,4.0,286.01,583.0,1.7399999999999998,21.806666666666665,0.2,0.3333333333333333,5.53,21.0,428.97,10.63,11.08,0.8,1.91,7325.42,10.0,10.0,1.3333333333333333,4.666666666666667,1.3333333333333333,247.17,3.333333333333333,5.0,0.0,1.4,0.33,4.0,3.0,1.51,0.0,0.0,0.0666666666666666,91.87,7.11,4.52,1.2599999999999998,1.0,1.0,3.333333333333333,6.666666666666666,10.88,5038.193333333333,20.0,168.19,5.0,34.0,35.0,841.6833333333334,3.0,5.356666666666666,77.24666666666666,1.7433333333333332,1686.8166666666666,2.17,5.0,2.6666666666666665,2.4499999999999997,39.0,0.0,13.999999999999998,2.173333333333333,1.3333333333333333,0.6666666666666666,72.33333333333333,0.4666666666666666,7.606666666666667,12.666666666666666,1.2633333333333334,858.03,2.0,2.433333333333333,5.2299999999999995,1.0,100.73333333333332,1.2666666666666666,1.0,5060.45,0.68,6.52,10.0,504.5700000000001,16.59,83.6,4.0,28.0,217.0,7.3,7.35,22.82,102.0,14.0,231.74,2525.05,15114.58,16.07,65.42,38.0,2776.0,8.52,12.0,15.0,4.0,8.0,4.0,302.2,3.78,3.8,817.0,10.0,3.79,42.0
5,1.21,5.78,2.0,5.0,0.11,978.8,1772.4,4.0,3.006,3.3320000000000003,3323.0,4.0,4.0,288.8,6.6000000000000005,25.0,12.0,8.8,4.0,185.97200000000004,583.0,2.0199999999999996,21.136000000000003,0.31,0.8,4.436,33.0,428.97,10.82,17.380000000000003,0.8,1.98,7325.42,10.0,10.0,1.6,4.4,1.6,353.59,3.8000000000000007,6.0,0.0,2.56,1.27,3.8,3.0,1.51,0.0,0.0,0.062,91.87,7.11,4.579999999999999,1.19,2.0,2.0,4.0,6.0,16.66,4473.832,30.0,172.996,6.0,31.2,129.0,881.3900000000001,3.0,5.646,70.83200000000001,1.63,1712.75,2.17,5.200000000000001,2.8000000000000003,2.51,39.0,0.0,14.0,2.35,1.2000000000000002,0.8,73.2,0.512,8.128,12.8,1.166,929.86,4.0,2.588,8.15,4.0,80.78,1.16,1.0,8563.75,0.68,11.75,20.0,864.9800000000001,22.18,83.6,8.0,44.0,366.0,12.94,12.55,40.64,156.0,22.0,354.16,4406.950000000001,22369.16,28.229999999999997,105.68,64.0,4894.0,15.03,19.0,26.0,6.0,14.0,8.0,403.9,5.95,5.8,1444.0,19.0,5.83,70.0
6,0.7699999999999999,3.4400000000000004,1.0,5.0,0.04,820.6666666666666,849.2,4.0,2.916666666666667,4.293333333333334,1767.3000000000002,4.0,4.0,282.3333333333333,7.69,23.0,8.43,9.333333333333332,4.0,286.09,269.0,0.7199999999999998,24.49,0.26,0.3333333333333333,6.233333333333333,23.07,428.73,2.580000000000002,9.58,0.51,1.2799999999999998,6166.0,10.0,10.0,1.3333333333333333,4.666666666666667,1.3333333333333333,240.78,3.333333333333333,5.0,0.0,1.19,0.1,4.333333333333333,2.0,0.6500000000000001,0.0,0.0,0.0866666666666666,75.80000000000001,5.0,1.9999999999999996,1.393333333333333,1.0,1.0,3.333333333333333,6.666666666666666,12.88,5424.666666666666,20.0,170.32000000000002,5.0,36.666666666666664,5.0,952.0833333333334,3.0,4.516666666666666,82.60333333333332,1.9533333333333331,1896.05,1.0400000000000005,5.0,2.6666666666666665,2.11,31.0,0.0,13.999999999999998,1.7966666666666666,1.3333333333333333,0.6666666666666666,72.66666666666666,0.3966666666666666,8.106666666666666,12.666666666666666,1.36,858.27,2.0,2.1466666666666665,5.859999999999999,1.0,112.73333333333332,1.4,0.6000000000000001,5688.150000000001,0.47,5.390000000000001,10.0,510.96,18.7,47.599999999999994,4.0,28.0,218.0,6.4399999999999995,6.33,24.32,110.0,14.0,247.81,2856.25,16274.0,13.55,73.47,38.0,2462.0,8.75,13.0,15.0,4.0,8.0,4.0,338.2,4.18,4.2,847.0,10.0,4.08,42.0
7,0.6199999999999999,3.4400000000000004,1.0,7.0,0.04,832.3333333333333,745.0000000000001,4.0,2.736666666666667,3.48,1585.0,4.0,4.0,258.5,7.113333333333333,24.0,5.71,7.333333333333333,4.0,154.36,232.0,0.6100000000000001,25.576666666666668,0.44,0.6666666666666666,5.816666666666666,42.68,428.48,1.6799999999999995,4.61,0.3700000000000001,1.09,5723.0,10.0,10.0,2.3333333333333335,3.6666666666666665,2.3333333333333335,258.1,4.333333333333333,5.0,0.0,1.67,0.6800000000000002,4.5,1.0,0.6199999999999999,0.0,0.0,0.0733333333333333,39.75,4.1000000000000005,1.9099999999999997,1.3066666666666666,1.0,1.0,5.0,5.0,20.880000000000003,4340.0,30.0,151.67666666666665,5.0,41.0,75.0,740.9833333333333,3.0,4.928333333333333,95.22166666666666,1.7516666666666665,1731.3166666666668,0.8600000000000001,5.666666666666666,3.6666666666666665,2.1416666666666666,16.0,0.0,14.0,1.9216666666666664,1.6666666666666663,0.3333333333333333,79.5,0.2783333333333333,8.283333333333333,14.0,1.325,926.16,2.0,2.245,10.51,4.0,109.43333333333332,1.35,0.4500000000000002,10387.9,0.09,11.53,30.0,910.06,34.9,36.8,14.0,44.0,477.0,13.47,12.85,49.7,246.0,22.0,571.3299999999999,4445.9,26040.0,29.57,153.46,84.0,4994.0,16.42,27.0,34.0,10.0,22.0,14.0,656.5999999999999,7.84,8.1,1551.0,26.0,7.949999999999999,84.0
8,0.7699999999999999,3.4400000000000004,1.0,6.0,0.04,877.1428571428571,849.2,4.0,2.9085714285714284,3.617142857142857,1767.3000000000002,4.0,4.0,284.4285714285714,6.2057142857142855,23.0,8.43,8.0,4.0,191.11571428571423,269.0,0.7199999999999998,24.154285714285713,0.56,0.5714285714285714,5.242857142857143,43.440000000000005,428.73,2.580000000000002,25.98,0.51,1.2799999999999998,6166.0,10.0,10.0,2.142857142857143,3.8571428571428568,2.142857142857143,240.78,4.142857142857142,5.0,0.0,3.1799999999999997,0.1099999999999998,4.0,2.0,0.6500000000000001,0.0,0.0,0.0799999999999999,75.80000000000001,5.0,1.9999999999999996,1.2471428571428569,1.0,1.0,5.7142857142857135,4.285714285714286,25.32,4068.857142857142,30.0,116.55714285714286,5.0,31.714285714285715,23.0,850.4928571428571,3.0,4.895714285714285,70.67714285714285,1.694285714285714,1499.8785714285714,1.0400000000000005,5.571428571428571,3.714285714285714,2.227142857142857,31.0,0.0,14.0,1.99,1.5714285714285712,0.4285714285714285,77.57142857142857,0.4542857142857142,9.537142857142856,13.714285714285715,1.262857142857143,1337.81,3.0,2.244285714285714,11.86,4.0,104.12857142857143,1.2785714285714285,0.6000000000000001,10499.15,0.47,13.93,40.0,815.9,36.7,47.599999999999994,15.0,56.0,543.0,15.71,15.59,66.76,222.0,27.0,494.74,5953.450000000001,28482.0,34.269999999999996,169.08,96.0,6140.0,20.360000000000003,28.0,39.0,11.0,26.0,15.0,728.9,8.729999999999999,8.950000000000001,1991.0,29.0,8.84,98.0
9,0.6199999999999999,3.4400000000000004,1.0,6.0,0.04,851.8571428571429,745.0000000000001,4.0,2.741428571428571,3.617142857142857,1595.0,4.0,4.0,262.1428571428571,7.371428571428572,24.0,5.71,8.0,4.0,191.22285714285712,216.0,0.56,25.22571428571428,0.56,0.5714285714285714,5.628571428571428,51.60000000000001,428.48,0.6300000000000026,21.01,0.3700000000000001,1.09,5723.0,10.0,10.0,2.142857142857143,3.8571428571428568,2.142857142857143,215.82,4.142857142857142,5.0,0.0,2.01,0.5,4.428571428571429,1.0,0.6199999999999999,0.0,0.0,0.0799999999999999,32.95,4.1000000000000005,1.9099999999999997,1.3114285714285714,1.0,1.0,5.7142857142857135,4.285714285714286,25.32,4258.714285714285,30.0,128.51428571428573,5.0,39.42857142857143,75.0,895.15,3.0,4.857142857142857,90.77285714285712,1.7757142857142854,1602.8642857142854,0.8600000000000001,5.571428571428571,3.714285714285714,2.1585714285714284,14.0,0.0,14.0,1.9128571428571428,1.5714285714285712,0.4285714285714285,78.0,0.2871428571428571,11.667142857142856,13.714285714285715,1.3228571428571427,1338.56,3.0,2.2314285714285713,12.43,4.0,108.75714285714284,1.3428571428571427,0.4500000000000002,11220.05,0.09,13.39,40.0,899.6,39.400000000000006,36.8,15.0,56.0,546.0,15.62,15.11,81.67000000000002,276.0,27.0,635.4100000000001,6266.05,29811.0,34.0,176.58,96.0,5963.0,19.19,31.0,39.0,11.0,26.0,15.0,761.3,9.18,9.4,1835.0,29.0,9.259999999999998,98.0
