,formula,target
0,Ag2GeS3,1.98
1,Ag2GeSe3,0.905
2,Ag2HgI4,2.47
3,Ag2Mo(I2O7)2,3.06
4,Ag2SnSe3,0.7833333333333333
5,Ag3AsS3,2.07375
6,Ag3AsSe3,2.0900000000000003
7,Ag3SbS3,2.0483333333333333
8,Ag5IO6,1.4
9,Ag7AsS6,1.0
10,Ag8GeS6,1.18
11,AgAsS2,2.2
12,AgBi(PS3)2,1.7
13,AgBi(PSe3)2,1.4
14,AgBiPbS3,1.2
15,AgBiS2,0.9
16,AgBiSe2,0.34
17,AgBr,2.52
18,AgCl,5.13
19,AgI,2.9316666666666666
20,AgN3,3.67
21,AgP15,1.47
22,AgPd(IO3)3,1.5
23,AgSbS2,1.9233333333333331
24,AgTe,0.79
25,Al2S3,4.1
26,Al2Se3,3.125
27,Al2Te3,2.35
28,AlAgO2,3.6
29,AlAgS2,3.13
30,AlAgSe2,2.55
31,AlAgTe2,1.85
32,AlCuS2,3.5
33,AlCuSe2,2.6
34,AlCuTe2,2.06
35,AlN,6.1
36,AlP,2.7972727272727274
37,AlSb,1.6526666666666665
38,AlV(TeO4)2,2.9
39,As2Ir,1.0
40,As2O3,4.0
41,As2Os,0.91
42,As2Pt,0.6166666666666667
43,As2Rh,1.15
44,As2Ru,0.8
45,As2S3,2.4166666666666665
46,As2Se3,1.7857142857142858
47,AsBr3,2.6
48,AsI3,2.4333333333333336
49,AsOsS,1.3
50,AsP,0.23
51,AsPPt,0.4
52,AsPRu,0.8
53,AsRuS,1.2
54,AsS,2.4
55,AsSeI,1.76
56,B2Mo(PbO2)6,2.9
57,B2O3,4.895
58,B2Se2O7,4.64
59,B3Pb10Br3O13,3.25
60,B3Pb3NO10,3.64
61,B4C,1.64
62,B6As,1.51
63,B6P,3.3
64,BAs,1.455
65,BH(PbO2)2,3.76
66,BP,4.2
67,BPb7Br3O7,2.62
68,BSb,2.6
69,BSbPbS4,1.8
70,Ba(BO2)2,6.4433333333333325
71,Ba(GaS2)2,4.13
72,Ba(GaSe2)2,3.16
73,Ba(InS2)2,3.06
74,Ba(InSe2)2,2.63
75,Ba(ZnAs)2,0.23
76,Ba12In4S19,2.56
77,Ba2B6H4O13,6.53
78,Ba2Cd(BO2)6,4.59
79,Ba2DyGaSe5,2.35
80,Ba2DyGaTe5,1.13
81,Ba2DyInSe5,2.27
82,Ba2DyInTe5,1.35
83,Ba2ErGaSe5,1.95
84,Ba2ErGaTe5,1.15
85,Ba2ErInSe5,2.29
86,Ba2ErInTe5,1.35
87,Ba2GaAsSe5,1.39
88,Ba2GaBiS5,2.38
89,Ba2GaBiSe5,2.21
90,Ba2GaBiTe5,1.43
91,Ba2GaS4,2.55
92,Ba2GaSbSe5,2.51
93,Ba2GaSbTe5,1.66
94,Ba2GaSe4,1.63
95,Ba2GdGaSe5,1.87
96,Ba2GdGaTe5,1.12
97,Ba2HgS5,2.4
98,Ba2In2S5,2.47
99,Ba2In2Se5,2.12
100,Ba2InAgS4,2.32
101,Ba2InBiS5,1.55
102,Ba2InSbSe5,1.92
103,Ba2NaCu3S5,0.45
104,Ba2NdGaS5,2.12
105,Ba2NdGaSe5,2.18
106,Ba2NdInSe5,2.2
107,Ba2NdInTe5,1.37
108,Ba2ScTaO6,4.19
109,Ba2SmGaSe5,2.27
110,Ba2SmGaTe5,1.04
111,Ba2SmInSe5,2.22
112,Ba2SmTaO6,3.02
113,Ba2SnSe4,1.9
114,Ba2SnSe5,1.8
115,Ba2TaInO6,4.17
116,Ba2ThCu2Se5,1.75
117,Ba2V2Te2O11,3.16
118,Ba2V2ZnO8,3.48
119,Ba2YGaSe5,2.31
120,Ba2YGaTe5,1.08
121,Ba2YInSe5,2.31
122,Ba2YInTe5,1.36
123,Ba2ZnSe3,2.75
124,Ba2ZnTe3,2.1
125,Ba3Bi2TeO9,2.3
126,Ba3Cd(SnS4)2,2.75
127,Ba3Dy2(PS4)4,3.28
128,Ba3Er2(PS4)4,3.3
129,Ba3FeS4Br,1.65
130,Ba3Gd2(PS4)4,3.41
131,Ba3GeS5,3.0
132,Ba3Ho2(PS4)4,3.3
133,Ba3In2(PO4)4,3.87
134,Ba3InS4Cl,3.42
135,Ba3MgTa2O9,4.28
136,Ba3Nb2Se9,1.3
137,Ba3P3ClO10,6.89
138,Ba3Sb2S7,2.4
139,Ba3Ta2Se9,1.6
140,Ba3Ta2ZnO9,4.32
141,Ba3Tb2(PS4)4,3.37
142,Ba3ThSe7,1.96
143,Ba3V2(SeO4)4,2.87
144,Ba4Ga4SnSe12,2.16
145,Ba4LiGa5Se12,2.65
146,Ba5(Ga2Se5)2,2.2
147,Ba5(GaSe4)2,2.51
148,Ba5In4Te4S7,2.13
149,Ba8Al10B12O41,3.1
150,Ba8Sn4S15,2.31
151,BaAgSbS3,2.2
152,BaAl4Se7,3.4
153,BaBClF4,6.89
154,BaBSbS4,2.34
155,BaBiClO2,3.71
156,BaCaB2O5,5.6
157,BaCdSnS4,2.3
158,BaCu2SnSe4,0.48
159,BaCuTeF,2.3
160,BaF2,9.1425
161,BaGa2GeS6,3.245
162,BaGa2GeSe6,2.515
163,BaGa2SiS6,3.75
164,BaGa2SiSe6,2.88
165,BaGa4S7,3.54
166,BaGa4Se7,2.64
167,BaGe2,1.0
168,BaHgS2,1.93
169,BaIn2(P2O7)2,3.97
