,formula,target
0,Ag2GeS3,0.4646000000000003
1,Ag2GeSe3,0.1251
2,Ag2HgI4,1.2763999999999998
3,Ag2Mo(I2O7)2,1.9610999999999996
4,Ag2SnSe3,0.0586000000000002
5,Ag3AsS3,1.6277999999999997
6,Ag3AsSe3,0.8906000000000001
7,Ag3SbS3,1.5142
8,Ag5IO6,0.0205000000000001
9,Ag7AsS6,0.5009999999999999
10,Ag8GeS6,0.6102000000000003
11,AgAsS2,1.4968
12,AgBi(PS3)2,1.1837999999999995
13,AgBi(PSe3)2,1.2778
14,AgBiPbS3,0.0682999999999998
15,AgBiS2,0.4917999999999995
16,AgBiSe2,0.2615999999999996
17,AgBr,0.7303999999999999
18,AgCl,0.9522000000000002
19,AgI,1.3759
20,AgN3,1.5714
21,AgP15,1.2132000000000005
22,AgPd(IO3)3,1.4039000000000006
23,AgSbS2,1.3716000000000002
24,AgTe,0.2411000000000003
25,Al2S3,3.0435000000000003
26,Al2Se3,1.8004000000000002
27,Al2Te3,1.7992000000000004
28,AlAgO2,1.4090999999999996
29,AlAgS2,1.8992
30,AlAgSe2,1.1351999999999998
31,AlAgTe2,1.0469000000000004
32,AlCuS2,1.6756000000000002
33,AlCuSe2,0.8921999999999999
34,AlCuTe2,1.0186000000000002
35,AlN,4.0467
36,AlP,1.6294000000000004
37,AlSb,1.2255000000000005
38,AlV(TeO4)2,2.8360999999999996
39,As2Ir,0.8155000000000001
40,As2O3,4.0339
41,As2Os,0.6646999999999998
42,As2Pt,0.0785
43,As2Rh,0.2625000000000002
44,As2Ru,0.4492000000000002
45,As2S3,1.9873
46,As2Se3,1.4466
47,AsBr3,3.1271000000000004
48,AsI3,2.2375000000000003
49,AsOsS,1.1795
50,AsP,0.4581999999999997
51,AsPPt,0.7984
52,AsPRu,0.4142999999999999
53,AsRuS,0.9146
54,AsS,1.9674000000000005
55,AsSeI,1.2345000000000002
56,B2Mo(PbO2)6,2.4454
57,B2O3,6.3017
58,B2Se2O7,3.9418
59,B3Pb10Br3O13,2.4353999999999996
60,B3Pb3NO10,3.0129
61,B4C,3.0415
62,B6As,2.6454000000000004
63,B6P,2.4757
64,BAs,1.2036999999999995
65,BH(PbO2)2,3.0854
66,BP,1.2434999999999992
67,BPb7Br3O7,1.9254
68,BSb,0.7506000000000004
69,BSbPbS4,2.1522
70,Ba(BO2)2,4.522399999999999
71,Ba(GaS2)2,2.9073
72,Ba(GaSe2)2,1.8578
73,Ba(InS2)2,2.2042
74,Ba(InSe2)2,1.687
75,Ba(ZnAs)2,0.2974000000000001
76,Ba12In4S19,1.978
77,Ba2B6H4O13,5.2372
78,Ba2Cd(BO2)6,4.3316
79,Ba2DyGaSe5,1.6672
80,Ba2DyGaTe5,0.4117999999999999
81,Ba2DyInSe5,1.1264000000000003
82,Ba2DyInTe5,0.7071000000000005
83,Ba2ErGaSe5,1.6730999999999998
84,Ba2ErGaTe5,0.4189000000000002
85,Ba2ErInSe5,1.1854
86,Ba2ErInTe5,0.7491000000000003
87,Ba2GaAsSe5,1.8703
88,Ba2GaBiS5,2.391
89,Ba2GaBiSe5,1.7506
90,Ba2GaBiTe5,1.0651999999999997
91,Ba2GaS4,1.8917
92,Ba2GaSbSe5,1.8067
93,Ba2GaSbTe5,0.9728
94,Ba2GaSe4,1.0042
95,Ba2GdGaSe5,1.3594000000000002
96,Ba2GdGaTe5,0.7637
97,Ba2HgS5,1.6693000000000002
98,Ba2In2S5,1.9866
99,Ba2In2Se5,1.3945
100,Ba2InAgS4,1.7053999999999996
101,Ba2InBiS5,1.4528999999999996
102,Ba2InSbSe5,0.7680000000000002
103,Ba2NaCu3S5,0.4504000000000001
104,Ba2NdGaS5,1.8105
105,Ba2NdGaSe5,1.6574000000000002
106,Ba2NdInSe5,1.0692000000000004
107,Ba2NdInTe5,0.6662999999999997
108,Ba2ScTaO6,3.0173000000000005
109,Ba2SmGaSe5,1.7080000000000002
110,Ba2SmGaTe5,1.0132
111,Ba2SmInSe5,1.0779999999999998
112,Ba2SmTaO6,3.3634000000000004
113,Ba2SnSe4,1.2645999999999995
114,Ba2SnSe5,1.1384
115,Ba2TaInO6,3.945899999999999
116,Ba2ThCu2Se5,0.7546000000000004
117,Ba2V2Te2O11,3.2676000000000003
118,Ba2V2ZnO8,3.4336
119,Ba2YGaSe5,1.6616
120,Ba2YGaTe5,0.4222000000000001
121,Ba2YInSe5,1.1767999999999996
122,Ba2YInTe5,0.4731999999999998
123,Ba2ZnSe3,1.6214000000000002
124,Ba2ZnTe3,1.2922000000000002
125,Ba3Bi2TeO9,2.1188
126,Ba3Cd(SnS4)2,2.0791000000000004
127,Ba3Dy2(PS4)4,2.3736000000000006
128,Ba3Er2(PS4)4,2.3777000000000004
129,Ba3FeS4Br,0.4962
130,Ba3Gd2(PS4)4,1.4044
131,Ba3GeS5,2.0632
132,Ba3Ho2(PS4)4,2.3798999999999997
133,Ba3In2(PO4)4,3.7254
134,Ba3InS4Cl,2.8257
135,Ba3MgTa2O9,3.2733
136,Ba3Nb2Se9,1.0023
137,Ba3P3ClO10,5.1465
138,Ba3Sb2S7,1.9021999999999997
139,Ba3Ta2Se9,1.202
140,Ba3Ta2ZnO9,3.3488
141,Ba3Tb2(PS4)4,2.3711
142,Ba3ThSe7,0.923
143,Ba3V2(SeO4)4,2.6965000000000003
144,Ba4Ga4SnSe12,1.3292000000000002
145,Ba4LiGa5Se12,1.7354
146,Ba5(Ga2Se5)2,2.0136000000000003
147,Ba5(GaSe4)2,1.8701
148,Ba5In4Te4S7,1.1328999999999998
149,Ba8Al10B12O41,4.4373
150,Ba8Sn4S15,2.0554
151,BaAgSbS3,1.4228999999999998
152,BaAl4Se7,2.3933
153,BaBClF4,5.9817
154,BaBSbS4,2.3423000000000003
155,BaBiClO2,3.1773999999999996
156,BaCaB2O5,4.4673
157,BaCdSnS4,2.1963999999999997
158,BaCu2SnSe4,0.4529999999999998
159,BaCuTeF,0.9884000000000004
160,BaF2,6.6029
161,BaGa2GeS6,2.7663
162,BaGa2GeSe6,1.9186
163,BaGa2SiS6,3.0907
164,BaGa2SiSe6,2.3893999999999997
165,BaGa4S7,2.5800000000000005
166,BaGa4Se7,1.4955999999999998
167,BaGe2,0.5255000000000001
168,BaHgS2,1.1569
169,BaIn2(P2O7)2,4.0047999999999995
170,BaLa2Te5O14,3.2283
171,BaNaB5O9,5.0076
172,BaO,2.0906
173,BaPd(IO3)4,1.9057999999999995
174,BaReH9,3.8349
175,BaS,2.1488
176,BaSe,1.9488
177,BaSi2,0.7812999999999999
178,BaSn2S5,1.5453
179,BaSnO3,0.3723999999999998
180,BaTaNO2,0.3398000000000003
181,BaTe,1.593
182,BaTeMo2O9,2.6494999999999997
183,BaTiO3,2.2929999999999997
184,BaV2SeO8,2.0881000000000003
185,BaZnSO,2.2367
186,Be3N2,3.3145000000000007
187,BeO,7.463900000000001
188,BeS,3.1453
189,BeSe,2.6636999999999995
190,BeTe,2.0172999999999996
191,Bi2(MoO4)3,2.4798
192,Bi2CO5,2.2747
193,Bi2I4O13,3.0737
194,Bi2Mo2Se2O13,2.8105
195,Bi2O3,2.1944999999999997
196,Bi2S3,1.3617999999999997
197,Bi2Se3,0.3769
198,Bi2Te2Se,0.5441999999999996
199,Bi2Te3,0.3388
200,Bi4Pb7Se13,0.5369000000000002
201,Bi5IO7,2.7325000000000004
202,Bi7O5F11,3.9069
203,BiBPbO4,2.8773
204,BiBr3,2.8833
205,BiBrO,2.2251
206,BiClO,2.5681000000000003
207,BiI3,2.5349
208,BiIO,1.473
209,BiP3(PbO4)3,3.6994
210,BiPO4,3.7758
211,BiPbBrO2,1.5539000000000005
212,BiPbClO2,2.0736999999999997
213,BiSBr,2.032
214,BiSCl,1.9636000000000005
215,BiSI,1.8669
216,BiSbTe3,0.2132999999999993
217,BiSeBr,1.6912
218,BiSeI,1.5764000000000005
219,BiTeI,1.2325
220,BiTeNO6,2.8005
221,CBr4,2.9265
222,CI4,1.1181
223,Ca(BiO2)2,2.4507
224,Ca(GdS2)2,1.4034
225,Ca(LaS2)2,2.1455
226,Ca(NdS2)2,2.0612999999999997
227,Ca(PrS2)2,2.0570000000000004
228,Ca(SmS2)2,2.0833999999999997
229,Ca10Ge16(B2O17)3,2.7264
230,Ca2Bi2O5,2.4956999999999994
231,Ca2CdAs2,0.8529999999999998
232,Ca2Ge,0.5756000000000001
233,Ca2ScSbO6,3.6318
234,Ca2Si,0.5509000000000004
235,Ca2Sn,0.0559000000000002
236,Ca2SnS4,2.2605
237,Ca3(BN2)2,2.4714000000000005
238,Ca3N2,1.1111
239,Ca3Sb2,0.0853999999999999
240,Ca3Ti2(SiO4)3,0.0693000000000001
241,Ca4Bi6O13,1.8461999999999996
242,Ca5B3O9F,4.236800000000001
243,CaF2,7.1157
244,CaI2,3.8971
245,CaMg2N2,1.9968999999999997
246,CaO,3.630100000000001
247,CaS,2.3819
248,CaSe,2.0728000000000004
249,CaSnO3,2.3301
250,CaTaNO2,1.6121999999999996
251,CaTe,1.5535
252,CaZnSO,2.6853
253,Cd(GaS2)2,2.1205
254,Cd(GaSe2)2,1.3487
255,Cd(InS2)2,1.0503999999999998
256,Cd(InSe2)2,0.9564
257,Cd(InTe2)2,0.8481000000000005
258,Cd2InCuTe4,0.1765999999999996
259,Cd4As2Br3,0.9704
260,Cd4As2I3,1.1746
261,Cd4P2Br3,1.3992999999999998
262,Cd4P2Cl3,1.3836
263,Cd4P2I3,1.379
264,Cd4Sb2I3,1.1312000000000002
265,CdAg2GeS4,0.9337
266,CdAs2,0.1331999999999999
267,CdBiClO2,2.8427
268,CdBr2,2.8551
269,CdCl2,3.5244
270,CdCu2GeS4,0.3884999999999996
271,CdF2,2.8977000000000004
272,CdGeAs2,0.0085000000000001
273,CdGeP2,0.6455000000000002
274,CdHg4(AsI2)2,0.4617
275,CdHg6(As2Br3)2,1.3414
276,CdI2,2.3382
277,CdIClO3,3.3467
278,CdP2,1.4556
279,CdP4,0.6551
280,CdS,1.125
281,CdSb,0.0200999999999997
282,CdSb2Se3Br2,1.1429
283,CdSe,0.5724
284,CdSiAs2,0.4001999999999999
285,CdSiP2,1.4257
286,CdSnAs2,0.0062999999999999
287,CdSnO3,0.9762
288,CdSnP2,0.2694999999999998
289,CdTe,0.5846000000000002
290,CdTeO3,3.0793
291,Ce10Se14O,0.0092999999999996
292,CeBiW2O9,0.1476999999999995
293,CeMoO4F,0.1015000000000005
294,CeO2,1.8647
295,CeTl2P2S7,0.2328999999999998
296,Co2Te3O8,2.4752
297,CoAsSe,0.3947000000000003
298,CoP2,0.4377999999999993
299,CoPS,1.1231
300,CoSb3,0.1633000000000004
301,CoSbS,0.3673999999999999
302,CrB2(PbO2)6,1.8898
303,CrO3,2.2885
304,CrPbO4,2.1744000000000003
305,Cs2AgBiBr6,1.3547
306,Cs2AgBiCl6,1.8663
307,Cs2Al2B2O7,4.2490000000000006
308,Cs2Ba3(P2O7)2,4.7249
309,Cs2Cd3(B4O7)4,4.5525
310,Cs2Cd3Te4,1.5586999999999998
311,Cs2Cu2Sb2S5,1.1042999999999998
312,Cs2Hg3I8,1.7313999999999998
313,Cs2Hg3S4,1.7324999999999997
314,Cs2Hg6S7,0.6230999999999998
315,Cs2Li3(BO2)5,4.5354
316,Cs2MgGe3Se8,1.4687
317,Cs2MgSn3Se8,1.4299
318,Cs2NbCuSe4,1.6350999999999998
319,Cs2PdSe8,1.1887
320,Cs2Sb,0.2839
321,Cs2SiB4O9,4.8121
322,Cs2Sn3(SbS5)2,1.8595
323,Cs2Te,1.7740000000000002
324,Cs2TeBr6,2.1121
325,Cs2TeI6,1.3877
326,Cs2Th(PS3)3,2.2752999999999997
327,Cs2Ti(AgS2)2,1.6053000000000002
328,Cs2VAgS4,1.3867
329,Cs2ZnGe3Se8,1.4028
330,Cs2ZnSn3Se8,1.2553000000000003
331,Cs3Bi,0.1789999999999998
332,Cs3Bi2Br9,2.5995999999999997
333,Cs3Bi2I9,2.3796
334,Cs3Li4(BO2)7,4.5217
335,Cs3Nb2AsSe11,1.0014
336,Cs3Nb9(TeO8)4,1.4336000000000002
337,Cs3Sb,0.6126
338,Cs3Sb2Br9,1.9837
339,Cs3Sb2I9,1.8679
340,Cs4BiAs3Se7,1.4739000000000002
341,Cs4Ge(PSe3)4,1.3838
342,Cs4Zr3S14,1.4329000000000005
343,CsAg2AsS3,1.6273000000000002
344,CsAg5Te3,0.0200999999999997
345,CsAgSb4S7,1.6887
346,CsAsSe2,1.6394
347,CsAu,1.0233
348,CsB3O5,5.304
349,CsBi3Se5,0.9987999999999996
350,CsBiS2,1.5773
351,CsBiSe2,0.9529999999999998
352,CsBr,4.2392
353,CsCdBO3,1.6462
354,CsCeCdSe3,0.0183999999999997
355,CsCl,4.9883999999999995
356,CsCu2AsS3,1.3532000000000002
357,CsErZnSe3,2.1566
358,CsF,5.2626
359,CsGaS3,2.4313
360,CsGdZnTe3,0.8742999999999999
361,CsGeB3O7,4.5981
362,CsGeI3,0.9905000000000002
363,CsH3(SeO3)2,4.1517
364,CsI,3.8556000000000004
365,CsInHgS3,1.3790000000000002
366,CsInS2,2.1704
367,CsInSe2,1.6302
368,CsInTe2,1.3522000000000003
369,CsInTe3O8,3.066
370,CsK2Sb,0.8633999999999997
371,CsLaHgSe3,1.4545
