,formula,target
323,Cs2Te,3.5
1160,UHg3(TeCl3)2,2.6
138,Ba3Sb2S7,2.4
996,SbPbIO2,2.48
370,CsK2Sb,1.1
977,RbY(TeO3)2,3.6
63,B6P,3.3
503,HfHg4(PCl3)2,3.26
85,Ba2ErInSe5,2.29
432,Eu(GaSe2)2,2.16
128,Ba3Er2(PS4)4,3.3
978,ReS2,1.1433333333333333
768,MgCu2GeS4,2.36
42,As2Pt,0.6166666666666667
390,CsZn2B3O7,5.69
334,Cs3Li4(BO2)7,6.53
919,Rb2Cu2Sb2S5,1.6
1060,Sr(NdS2)2,2.45
394,Cu2SnSe3,0.7649999999999999
929,Rb2TeBr6,2.14
1128,Tl2Hg3Te4,0.9
45,As2S3,2.4166666666666665
641,KCl,8.5
613,K3Cd(BO2)5,3.47
330,Cs2ZnSn3Se8,2.12
895,PdSe2,0.4
217,BiSeBr,1.6666666666666667
250,CaTaNO2,2.4
649,KIO3,3.8575
811,Na4Mg(SiSe3)2,2.85
9,Ag7AsS6,1.0
248,CaSe,4.9350000000000005
912,Rb2BaNb2Se11,1.53
373,CsLu7S11,1.86
350,CsBiS2,1.4166666666666667
952,RbAg5(PS4)2,2.4
1180,Y3GaS6,2.88
893,Pd(IO3)2,1.31
939,Rb3Nb2AsSe11,1.5
125,Ba3Bi2TeO9,2.3
89,Ba2GaBiSe5,2.21
542,In5AgTe8,0.47
264,Cd4Sb2I3,1.83
104,Ba2NdGaS5,2.12
1014,ScTlS2,1.51
107,Ba2NdInTe5,1.37
56,B2Mo(PbO2)6,2.9
221,CBr4,3.7
479,Gd2(MoO4)3,4.119999999999999
1038,Sm4InSbS9,2.13
775,MgTe,3.6
1026,SiSe2,1.7299999999999998
202,Bi7O5F11,4.05
1003,SbTeOs,0.05
458,Ga2Te3,1.4
794,Na2In2GeSe6,2.47
973,RbSbSe2,1.62
586,K2La2Ti3O10,3.05
1138,Tl4CuTeO6,2.2
1002,SbTeI,1.2650000000000001
1093,Tb(CuSe)3,0.16
1189,Zn(GaSe2)2,1.72
857,NdCuSO,2.98
860,NdLuSe3,1.61
998,SbSBr,2.1999999999999997
810,Na4Mg(GeSe3)2,2.53
276,CdI2,3.8
1196,Zn2TeMoO7,4.1
1129,Tl2PAuS4,2.2
1046,SnBr2,3.45
629,KAg2PS4,3.02
408,CuSbPbS3,1.31
812,Na5Gd(MoO4)4,3.38
407,CuPS3,2.2
822,NaI,6.074
547,InAgS2,1.9266666666666665
1120,TiO2,3.3
207,BiI3,1.9314285714285713
231,Ca2CdAs2,0.95
175,BaS,3.8899999999999997
