,formula,target
323,Cs2Te,1.7740000000000002
1160,UHg3(TeCl3)2,0.1998000000000002
138,Ba3Sb2S7,1.9021999999999997
996,SbPbIO2,1.4366000000000003
370,CsK2Sb,0.8633999999999997
977,RbY(TeO3)2,3.1745
63,B6P,2.4757
503,HfHg4(PCl3)2,2.0914
85,Ba2ErInSe5,1.1854
432,Eu(GaSe2)2,0.0835999999999996
128,Ba3Er2(PS4)4,2.3777000000000004
978,ReS2,1.3202000000000005
768,MgCu2GeS4,0.6525000000000007
42,As2Pt,0.0785
390,CsZn2B3O7,3.5131
334,Cs3Li4(BO2)7,4.5217
919,Rb2Cu2Sb2S5,1.1696
1060,Sr(NdS2)2,2.1031999999999997
394,Cu2SnSe3,0.0857999999999998
929,Rb2TeBr6,2.101
1128,Tl2Hg3Te4,0.9897
45,As2S3,1.9873
641,KCl,5.027
613,K3Cd(BO2)5,3.818
330,Cs2ZnSn3Se8,1.2553000000000003
895,PdSe2,0.4001000000000001
217,BiSeBr,1.6912
250,CaTaNO2,1.6121999999999996
649,KIO3,2.8533
811,Na4Mg(SiSe3)2,2.7632000000000003
9,Ag7AsS6,0.5009999999999999
248,CaSe,2.0728000000000004
912,Rb2BaNb2Se11,1.2878
373,CsLu7S11,2.0317999999999996
350,CsBiS2,1.5773
952,RbAg5(PS4)2,1.1624999999999996
1180,Y3GaS6,2.0555000000000003
893,Pd(IO3)2,0.9186
939,Rb3Nb2AsSe11,1.1729
125,Ba3Bi2TeO9,2.1188
89,Ba2GaBiSe5,1.7506
542,In5AgTe8,0.1787999999999998
264,Cd4Sb2I3,1.1312000000000002
104,Ba2NdGaS5,1.8105
1014,ScTlS2,0.9331000000000004
107,Ba2NdInTe5,0.6662999999999997
56,B2Mo(PbO2)6,2.4454
221,CBr4,2.9265
479,Gd2(MoO4)3,3.1014
1038,Sm4InSbS9,2.1754
775,MgTe,2.3186
1026,SiSe2,2.4771
202,Bi7O5F11,3.9069
1003,SbTeOs,0.8576000000000015
458,Ga2Te3,0.6375000000000002
794,Na2In2GeSe6,1.3672000000000002
973,RbSbSe2,1.5375
586,K2La2Ti3O10,2.0397999999999996
1138,Tl4CuTeO6,0.4697999999999993
1002,SbTeI,0.8429000000000002
1093,Tb(CuSe)3,1.1848
1189,Zn(GaSe2)2,1.4000999999999997
857,NdCuSO,1.6179999999999994
860,NdLuSe3,0.4956
998,SbSBr,1.7767
810,Na4Mg(GeSe3)2,1.8221
276,CdI2,2.3382
1196,Zn2TeMoO7,3.4519
1129,Tl2PAuS4,1.2994000000000003
1046,SnBr2,2.5387
629,KAg2PS4,1.2441
408,CuSbPbS3,0.7698
812,Na5Gd(MoO4)4,3.3896
407,CuPS3,1.1555
822,NaI,3.5687000000000006
547,InAgS2,0.3772999999999999
1120,TiO2,2.0586
207,BiI3,2.5349
231,Ca2CdAs2,0.8529999999999998
175,BaS,2.1488
11,AgAsS2,1.4968
132,Ba3Ho2(PS4)4,2.3798999999999997
765,Mg3P2,1.6067999999999998
1105,TeI,0.7871000000000001
303,CrO3,2.2885
760,Mg2GeSe4,1.4937999999999998
401,CuBr,0.4870999999999998
69,BSbPbS4,2.1522
904,PrLuSe3,0.4935
710,Li2Ga2GeS6,2.1339
927,Rb2Sn3(SbS5)2,1.8255
112,Ba2SmTaO6,3.3634000000000004
445,FeP4,0.8049
274,CdHg4(AsI2)2,0.4617
