,Feature,Importance
33,avg_metallic_valence,0.4323375329586885
9,avg_Density_(g/mL),0.1281794494478613
16,avg_Number_of_unfilled_d_valence_electrons,0.01570918855739875
111,range_families,0.01519569218197803
35,avg_outer_shell_electrons,0.014775122924864818
8,avg_Critical_Temperature,0.01392835430666687
118,range_l_quantum_number,0.013185317947265178
100,range_Molar_Heat_Capacity(J/mol_K),0.012420800659290026
32,avg_l_quantum_number,0.011179437283191821
18,avg_Number_of_unfilled_p_valence_electrons,0.010226227750058292
10,avg_Gordy_electonegativity,0.010104058915754463
109,range_Zunger_radii_sum,0.009436612821018297
86,range_1st_ionization_potential_(kJ/mol),0.009235674584714713
115,range_heat_of_fusion_(kJ/mol)_,0.008955384757107169
119,range_metallic_valence,0.00848717633498452
94,range_Critical_Temperature,0.008386419353283872
110,range_abs_valence,0.008131609674541556
124,range_thermal_conductivity_(W/(m_K))_,0.00747640253048839
24,avg_abs_valence,0.007385736089702898
95,range_Density_(g/mL),0.007379448371759804
96,range_Gordy_electonegativity,0.00725905202872977
39,avg_valence_d,0.006772737942061512
97,range_Melting_point_(K),0.006655342301224463
98,range_Mendele_Number,0.006559848177075922
11,avg_Melting_point_(K),0.0064991776673990476
3,avg_Atomic_Radus,0.0064786101786643525
21,avg_Pauling_Electronegativity,0.0059994334920783175
29,avg_heat_of_fusion_(kJ/mol)_,0.005564875093027444
38,avg_thermal_conductivity_(W/(m_K))_,0.0055478531709579944
6,avg_Cohesive_energy,0.005532981771029512
23,avg_Zunger_radii_sum,0.00529453626428197
101,range_Nagle_electonegativity,0.005280955254602037
12,avg_Mendele_Number,0.005275857116307398
28,avg_heat_atomization(kJ/mol),0.004964320417960019
89,range_Atomic_Radus,0.004621568981286264
4,avg_Atomic_Weight,0.004300103938723395
13,avg_Molar_Denstiy_(mol/ml),0.004271495492558087
5,avg_Boiling_Point_(K),0.0042134444186019
71,sum_heat_atomization(kJ/mol),0.004016443560637858
91,range_Boiling_Point_(K),0.0038966252209006406
41,avg_valence_p,0.0038848045420065494
14,avg_Molar_Heat_Capacity(J/mol_K),0.003708895904072994
92,range_Cohesive_energy,0.0036181737358517273
37,avg_specific_heat_(J/g_K)_,0.003568193386731142
87,range_Allred-Rockow_electronegativity,0.0033669416133775133
80,sum_specific_heat_(J/g_K)_,0.0033278226091915247
90,range_Atomic_Weight,0.0031957372140113283
0,avg_1st_ionization_potential_(kJ/mol),0.003184419134468783
116,range_heat_of_vaporization_(kJ/mol)_,0.0031602511520266653
42,avg_valence_s,0.003116350119372017
72,sum_heat_of_fusion_(kJ/mol)_,0.0030989057769173923
1,avg_Allred-Rockow_electronegativity,0.0030312430791884556
2,avg_Atomic_Number,0.0030202038782284877
36,avg_polarizability(A^3),0.00297633700764226
34,avg_number_of_valence_electrons,0.002877413714736948
76,sum_metallic_valence,0.0028316800868626907
25,avg_families,0.0026573269345603226
84,sum_valence_p,0.0026334835477831147
