,Feature,Importance
33,avg_metallic_valence,0.30753255894361325
9,avg_Density_(g/mL),0.18148310828556297
52,sum_Density_(g/mL),0.03201314762659439
82,sum_valence_d,0.030452075893418157
71,sum_heat_atomization(kJ/mol),0.027952571976035148
95,range_Density_(g/mL),0.019661512691708908
39,avg_valence_d,0.01424826634500404
49,sum_Cohesive_energy,0.010490343019645944
119,range_metallic_valence,0.010093852940072472
10,avg_Gordy_electonegativity,0.009671975409599715
107,range_Pauling_Electronegativity,0.009626726654431208
115,range_heat_of_fusion_(kJ/mol)_,0.008949189845880496
0,avg_1st_ionization_potential_(kJ/mol),0.00889205675306326
16,avg_Number_of_unfilled_d_valence_electrons,0.0088761283104492
15,avg_Nagle_electonegativity,0.008584003020022305
86,range_1st_ionization_potential_(kJ/mol),0.008241877198080394
22,avg_Period,0.007938111517910488
24,avg_abs_valence,0.007636321779685661
23,avg_Zunger_radii_sum,0.007408204717212942
101,range_Nagle_electonegativity,0.007006532195643115
51,sum_Critical_Temperature,0.006653702986552624
14,avg_Molar_Heat_Capacity(J/mol_K),0.006228805825720579
96,range_Gordy_electonegativity,0.006058105547466669
29,avg_heat_of_fusion_(kJ/mol)_,0.005581038078061423
92,range_Cohesive_energy,0.005486754112326456
76,sum_metallic_valence,0.0054031975781595794
18,avg_Number_of_unfilled_p_valence_electrons,0.005369417419366738
38,avg_thermal_conductivity_(W/(m_K))_,0.005178841112627812
21,avg_Pauling_Electronegativity,0.005082775113661593
34,avg_number_of_valence_electrons,0.0048863006308783145
1,avg_Allred-Rockow_electronegativity,0.004734739177248789
100,range_Molar_Heat_Capacity(J/mol_K),0.004678925172775876
41,avg_valence_p,0.004547132273827572
8,avg_Critical_Temperature,0.004532780234971689
28,avg_heat_atomization(kJ/mol),0.0045297862647261855
26,avg_gilmor_number_of_valence_electron,0.004488724393167246
94,range_Critical_Temperature,0.004303442744582534
31,avg_ionic_radius,0.0040847384930135485
6,avg_Cohesive_energy,0.004046962148194874
4,avg_Atomic_Weight,0.004045733305836657
87,range_Allred-Rockow_electronegativity,0.004028930963073579
99,range_Molar_Denstiy_(mol/ml),0.004009847022816357
13,avg_Molar_Denstiy_(mol/ml),0.003996253034203354
7,avg_Covalent_Radius,0.0039304012088614
20,avg_Orbital_Radius(pm),0.003900470776559618
12,avg_Mendele_Number,0.0037339836111060804
5,avg_Boiling_Point_(K),0.0037238914109862
72,sum_heat_of_fusion_(kJ/mol)_,0.0036418626967169533
11,avg_Melting_point_(K),0.003631003895559648
27,avg_group,0.0034821511367817554
37,avg_specific_heat_(J/g_K)_,0.003473938284611687
35,avg_outer_shell_electrons,0.0033977354721208804
114,range_heat_atomization(kJ/mol),0.0033546712794875295
2,avg_Atomic_Number,0.0032575473828357674
32,avg_l_quantum_number,0.0032342400166104927
124,range_thermal_conductivity_(W/(m_K))_,0.003123051018171428
127,range_valence_p,0.0029109181609603633
36,avg_polarizability(A^3),0.0028722087874973106
123,range_specific_heat_(J/g_K)_,0.002864138155455575
3,avg_Atomic_Radus,0.002799061234872348
81,sum_thermal_conductivity_(W/(m_K))_,0.002759265646145479
104,range_Number_of_unfilled_p_valence_electrons,0.002755918548069857
120,range_number_of_valence_electrons,0.002737622197145002
53,sum_Gordy_electonegativity,0.0027097492075890267
47,sum_Atomic_Weight,0.0026711915276639874
58,sum_Nagle_electonegativity,0.0026324231730852138
61,sum_Number_of_unfilled_p_valence_electrons,0.002602940725406199
91,range_Boiling_Point_(K),0.002553327512443509
97,range_Melting_point_(K),0.0025532775001395757
48,sum_Boiling_Point_(K),0.0025405736079818484
30,avg_heat_of_vaporization_(kJ/mol)_,0.002532862341679554
57,sum_Molar_Heat_Capacity(J/mol_K),0.002304014712665962
90,range_Atomic_Weight,0.0022997266432390404
80,sum_specific_heat_(J/g_K)_,0.0022307657413933313
102,range_Number_of_unfilled_d_valence_electrons,0.0020651501703525823
88,range_Atomic_Number,0.0020319447511134526
84,sum_valence_p,0.0020302927879385533
93,range_Covalent_Radius,0.0019935161723132404
125,range_valence_d,0.0019763305772874944
116,range_heat_of_vaporization_(kJ/mol)_,0.0019341531561511804
112,range_gilmor_number_of_valence_electron,0.001909500552657723
55,sum_Mendele_Number,0.0018964268937564145
56,sum_Molar_Denstiy_(mol/ml),0.0018733908083858268
98,range_Mendele_Number,0.0018487998938524115
59,sum_Number_of_unfilled_d_valence_electrons,0.0017673049170569544
54,sum_Melting_point_(K),0.0017528665151449847
73,sum_heat_of_vaporization_(kJ/mol)_,0.00174951838402902
89,range_Atomic_Radus,0.0017475070549176793
64,sum_Pauling_Electronegativity,0.0017199711827693557
43,sum_1st_ionization_potential_(kJ/mol),0.0016653774693152106
110,range_abs_valence,0.0016606406065063505
79,sum_polarizability(A^3),0.001656074636145126
75,sum_l_quantum_number,0.0016041308961858764
19,avg_Number_of_unfilled_s_valence_electrons,0.0016006675812713354
25,avg_families,0.001505368913272893
85,sum_valence_s,0.0014484724747834239
109,range_Zunger_radii_sum,0.0014395020550259285
118,range_l_quantum_number,0.0013654163581906186
