,Feature,Importance
33,avg_metallic_valence,0.4349939739805598
9,avg_Density_(g/mL),0.10590557873388168
86,range_1st_ionization_potential_(kJ/mol),0.015801540600547767
39,avg_valence_d,0.01373660825061614
107,range_Pauling_Electronegativity,0.012155529205091163
35,avg_outer_shell_electrons,0.010991283339467868
8,avg_Critical_Temperature,0.0108364355685047
16,avg_Number_of_unfilled_d_valence_electrons,0.010828803289035538
101,range_Nagle_electonegativity,0.009321236342518434
32,avg_l_quantum_number,0.009237488390216469
10,avg_Gordy_electonegativity,0.008700938412527216
100,range_Molar_Heat_Capacity(J/mol_K),0.008321326528398638
11,avg_Melting_point_(K),0.007886297762190846
24,avg_abs_valence,0.007755873209624181
111,range_families,0.007601981960184274
29,avg_heat_of_fusion_(kJ/mol)_,0.007492191894318384
82,sum_valence_d,0.007425476049010019
13,avg_Molar_Denstiy_(mol/ml),0.007059076468342609
109,range_Zunger_radii_sum,0.006856831552069383
94,range_Critical_Temperature,0.006737112881724536
5,avg_Boiling_Point_(K),0.006296337976790131
115,range_heat_of_fusion_(kJ/mol)_,0.006276767363784975
14,avg_Molar_Heat_Capacity(J/mol_K),0.006214929754026869
25,avg_families,0.005972827345159214
110,range_abs_valence,0.0059713284785926505
38,avg_thermal_conductivity_(W/(m_K))_,0.0058209180529321105
119,range_metallic_valence,0.005420626602821796
28,avg_heat_atomization(kJ/mol),0.005407644231529426
72,sum_heat_of_fusion_(kJ/mol)_,0.005183137321506674
0,avg_1st_ionization_potential_(kJ/mol),0.005180278598186238
6,avg_Cohesive_energy,0.0051764260938411575
21,avg_Pauling_Electronegativity,0.005139407899354334
23,avg_Zunger_radii_sum,0.004807621641231359
52,sum_Density_(g/mL),0.004794073185976732
124,range_thermal_conductivity_(W/(m_K))_,0.004791245279185997
95,range_Density_(g/mL),0.004724387912789954
37,avg_specific_heat_(J/g_K)_,0.004708185561110096
3,avg_Atomic_Radus,0.004509045511989404
15,avg_Nagle_electonegativity,0.004498744601026516
96,range_Gordy_electonegativity,0.00449152313596473
98,range_Mendele_Number,0.0044459134395090465
4,avg_Atomic_Weight,0.004383847234954965
36,avg_polarizability(A^3),0.004220248471394022
41,avg_valence_p,0.004197765954582625
26,avg_gilmor_number_of_valence_electron,0.004193045853748542
34,avg_number_of_valence_electrons,0.004099405531000816
12,avg_Mendele_Number,0.004097143511402677
22,avg_Period,0.004063746913449077
81,sum_thermal_conductivity_(W/(m_K))_,0.00403548610367014
18,avg_Number_of_unfilled_p_valence_electrons,0.00396781354025007
30,avg_heat_of_vaporization_(kJ/mol)_,0.003959271095211601
97,range_Melting_point_(K),0.003875857755513303
1,avg_Allred-Rockow_electronegativity,0.0038477580217078948
89,range_Atomic_Radus,0.0037242064077869295
118,range_l_quantum_number,0.0036886370079343297
123,range_specific_heat_(J/g_K)_,0.003655693013531231
92,range_Cohesive_energy,0.00364236562411306
91,range_Boiling_Point_(K),0.0034129875087217675
114,range_heat_atomization(kJ/mol),0.003322244845372676
2,avg_Atomic_Number,0.003306013606641956
80,sum_specific_heat_(J/g_K)_,0.003272532269798204
99,range_Molar_Denstiy_(mol/ml),0.0030431944123897516
90,range_Atomic_Weight,0.0030157869282427196
84,sum_valence_p,0.0027222688405535932
27,avg_group,0.0026468696242881425
66,sum_Zunger_radii_sum,0.0026306323622203413
93,range_Covalent_Radius,0.002628111233002091
7,avg_Covalent_Radius,0.00260054211898408
87,range_Allred-Rockow_electronegativity,0.0025577095432225343
63,sum_Orbital_Radius(pm),0.0025562099605290554
76,sum_metallic_valence,0.0025497582104582733
116,range_heat_of_vaporization_(kJ/mol)_,0.002542814453118589
79,sum_polarizability(A^3),0.00253528990459342
51,sum_Critical_Temperature,0.002522032420987115
31,avg_ionic_radius,0.0024527704133694176
112,range_gilmor_number_of_valence_electron,0.002394799066586578
88,range_Atomic_Number,0.002353535249174381
47,sum_Atomic_Weight,0.002268599257642756
56,sum_Molar_Denstiy_(mol/ml),0.0022590069983757033
71,sum_heat_atomization(kJ/mol),0.0021999283025360772
78,sum_outer_shell_electrons,0.0021877991088335453
73,sum_heat_of_vaporization_(kJ/mol)_,0.002101449311279194
20,avg_Orbital_Radius(pm),0.0020369057809520074
46,sum_Atomic_Radus,0.002010563980494177
45,sum_Atomic_Number,0.0019712175083383245
122,range_polarizability(A^3),0.0018163479573340038
54,sum_Melting_point_(K),0.0017606683691558673
74,sum_ionic_radius,0.0017429411142854117
49,sum_Cohesive_energy,0.0016945507028882489
120,range_number_of_valence_electrons,0.0016355508823542638
113,range_group,0.0016167142734085712
