,var_name,importance
33,avg_metallic_valence,0.44511619988607204
9,avg_Density_(g/mL),0.2763966378086016
16,avg_Number_of_unfilled_d_valence_electrons,0.06970172563068944
8,avg_Critical_Temperature,0.06904833897356985
111,range_families,0.053154261189691375
35,avg_outer_shell_electrons,0.04842208610996687
100,range_Molar_Heat_Capacity(J/mol_K),0.04099156638528122
94,range_Critical_Temperature,0.04080761855706938
124,range_thermal_conductivity_(W/(m_K))_,0.04003703966780857
119,range_metallic_valence,0.039938918887680544
38,avg_thermal_conductivity_(W/(m_K))_,0.03916159640920365
32,avg_l_quantum_number,0.03644137391888371
96,range_Gordy_electonegativity,0.03528511465759705
89,range_Atomic_Radus,0.03449688257344372
5,avg_Boiling_Point_(K),0.034175342518025564
18,avg_Number_of_unfilled_p_valence_electrons,0.03285680584024817
109,range_Zunger_radii_sum,0.03258637816540044
3,avg_Atomic_Radus,0.032531102637735856
115,range_heat_of_fusion_(kJ/mol)_,0.03207857492908364
91,range_Boiling_Point_(K),0.031970504313863224
12,avg_Mendele_Number,0.03159681010270945
95,range_Density_(g/mL),0.031507137303761965
0,avg_1st_ionization_potential_(kJ/mol),0.0309850910260765
26,avg_gilmor_number_of_valence_electron,0.030567764816715897
24,avg_abs_valence,0.03055037561328678
29,avg_heat_of_fusion_(kJ/mol)_,0.029914414653834966
98,range_Mendele_Number,0.029344749256364877
1,avg_Allred-Rockow_electronegativity,0.02899322862501445
110,range_abs_valence,0.02840039923314779
6,avg_Cohesive_energy,0.02801995747382181
11,avg_Melting_point_(K),0.027019315409130856
116,range_heat_of_vaporization_(kJ/mol)_,0.02485798188571954
48,sum_Boiling_Point_(K),0.024127223918588448
118,range_l_quantum_number,0.023686406668627806
28,avg_heat_atomization(kJ/mol),0.023491833899148926
39,avg_valence_d,0.023184263845808156
36,avg_polarizability(A^3),0.022539351212774034
97,range_Melting_point_(K),0.021936355052170873
81,sum_thermal_conductivity_(W/(m_K))_,0.0210300087874206
13,avg_Molar_Denstiy_(mol/ml),0.02053169179298669
21,avg_Pauling_Electronegativity,0.02049839090972834
76,sum_metallic_valence,0.020094748253290405
86,range_1st_ionization_potential_(kJ/mol),0.018880475264713727
10,avg_Gordy_electonegativity,0.01741726617029944
114,range_heat_atomization(kJ/mol),0.017297453037706766
52,sum_Density_(g/mL),0.01611099439482437
61,sum_Number_of_unfilled_p_valence_electrons,0.015974994983309863
82,sum_valence_d,0.015669449633115746
90,range_Atomic_Weight,0.01515441588274829
25,avg_families,0.0148727976374118
72,sum_heat_of_fusion_(kJ/mol)_,0.014631957652015243
73,sum_heat_of_vaporization_(kJ/mol)_,0.014478678216556361
107,range_Pauling_Electronegativity,0.014458930653879496
99,range_Molar_Denstiy_(mol/ml),0.014250868471314602
92,range_Cohesive_energy,0.014062499017252792
87,range_Allred-Rockow_electronegativity,0.013967221061628492
67,sum_abs_valence,0.013944393012223616
58,sum_Nagle_electonegativity,0.013942763514782982
23,avg_Zunger_radii_sum,0.013677751612189603
71,sum_heat_atomization(kJ/mol),0.0136608998726224
7,avg_Covalent_Radius,0.013536374228322304
59,sum_Number_of_unfilled_d_valence_electrons,0.013010687774505144
49,sum_Cohesive_energy,0.012921075564015106
37,avg_specific_heat_(J/g_K)_,0.01281664274068835
41,avg_valence_p,0.012369391438081235
14,avg_Molar_Heat_Capacity(J/mol_K),0.011985009183680765
