,var_name,importance
119,range_metallic_valence,0.16194541225239867
6,avg_Cohesive_energy,0.10685357029050654
28,avg_heat_atomization(kJ/mol),0.10389871989557367
118,range_l_quantum_number,0.10279498086002495
0,avg_1st_ionization_potential_(kJ/mol),0.0974000591536433
33,avg_metallic_valence,0.09316076926389849
127,range_valence_p,0.07488480530799631
104,range_Number_of_unfilled_p_valence_electrons,0.0748848053079963
38,avg_thermal_conductivity_(W/(m_K))_,0.07460612448245281
95,range_Density_(g/mL),0.07324188060558882
120,range_number_of_valence_electrons,0.07308121182213002
9,avg_Density_(g/mL),0.06298804325443817
112,range_gilmor_number_of_valence_electron,0.05298353170033001
99,range_Molar_Denstiy_(mol/ml),0.04977064020647219
30,avg_heat_of_vaporization_(kJ/mol)_,0.048742570478634166
10,avg_Gordy_electonegativity,0.0473885454046853
102,range_Number_of_unfilled_d_valence_electrons,0.04631223335404867
125,range_valence_d,0.046312233354048424
115,range_heat_of_fusion_(kJ/mol)_,0.04514954112171897
98,range_Mendele_Number,0.044013830731291434
96,range_Gordy_electonegativity,0.04337587409053492
110,range_abs_valence,0.04216914017404283
8,avg_Critical_Temperature,0.041617140329536
100,range_Molar_Heat_Capacity(J/mol_K),0.04149468712979003
107,range_Pauling_Electronegativity,0.040877676651193254
113,range_group,0.03949293295238778
86,range_1st_ionization_potential_(kJ/mol),0.0381298689930272
91,range_Boiling_Point_(K),0.037272551038477576
94,range_Critical_Temperature,0.035208394486558464
111,range_families,0.03490257166503632
87,range_Allred-Rockow_electronegativity,0.034117778920639774
114,range_heat_atomization(kJ/mol),0.03351619050143961
2,avg_Atomic_Number,0.03246245305689015
116,range_heat_of_vaporization_(kJ/mol)_,0.0322557941525913
4,avg_Atomic_Weight,0.03215729611818171
92,range_Cohesive_energy,0.0321010849734442
32,avg_l_quantum_number,0.03092794165009961
24,avg_abs_valence,0.030180840848445932
22,avg_Period,0.029628722250018107
128,range_valence_s,0.029217897323509056
105,range_Number_of_unfilled_s_valence_electrons,0.029217897323508747
89,range_Atomic_Radus,0.029143379093310585
36,avg_polarizability(A^3),0.028780519438704667
14,avg_Molar_Heat_Capacity(J/mol_K),0.02781739875242121
39,avg_valence_d,0.027567223806799178
16,avg_Number_of_unfilled_d_valence_electrons,0.027567223806799063
109,range_Zunger_radii_sum,0.027162186404808726
27,avg_group,0.026776502355115795
124,range_thermal_conductivity_(W/(m_K))_,0.02610449397510043
93,range_Covalent_Radius,0.026025857058597834
34,avg_number_of_valence_electrons,0.025793626654701675
82,sum_valence_d,0.02571286634222375
52,sum_Density_(g/mL),0.025648984373935545
90,range_Atomic_Weight,0.024995583143734235
35,avg_outer_shell_electrons,0.02304549226907176
88,range_Atomic_Number,0.02279318012205808
25,avg_families,0.02259821448611623
13,avg_Molar_Denstiy_(mol/ml),0.022197223121100403
26,avg_gilmor_number_of_valence_electron,0.022158898479564766
29,avg_heat_of_fusion_(kJ/mol)_,0.02203508703646322
121,range_outer_shell_electrons,0.021615914577674682
103,range_Number_of_unfilled_f_valence_electrons,0.020961782452104838
126,range_valence_f,0.02096178245210483
108,range_Period,0.020310721978256834
5,avg_Boiling_Point_(K),0.019678950444968674
117,range_ionic_radius,0.01960631470830859
41,avg_valence_p,0.019538137356704798
18,avg_Number_of_unfilled_p_valence_electrons,0.019538137356704757
122,range_polarizability(A^3),0.018683330104906852
97,range_Melting_point_(K),0.01752669991072156
17,avg_Number_of_unfilled_f_valence_electrons,0.017125877791981572
40,avg_valence_f,0.01712587779198157
19,avg_Number_of_unfilled_s_valence_electrons,0.016898668143705817
42,avg_valence_s,0.016898668143705782
54,sum_Melting_point_(K),0.0161972247749492
11,avg_Melting_point_(K),0.01619253201171366
101,range_Nagle_electonegativity,0.015885024646112328
21,avg_Pauling_Electronegativity,0.015738756766759718
3,avg_Atomic_Radus,0.014878920601633433
