,var_name,importance
43,sum_1st_ionization_potential_(kJ/mol),0.2675486647872539
8,avg_Critical_Temperature,0.24026716955792934
86,range_1st_ionization_potential_(kJ/mol),0.17382064608255715
51,sum_Critical_Temperature,0.15210314895191018
47,sum_Atomic_Weight,0.08468901355450484
94,range_Critical_Temperature,0.08305202013993337
54,sum_Melting_point_(K),0.05670612886943745
71,sum_heat_atomization(kJ/mol),0.05417651184514714
48,sum_Boiling_Point_(K),0.027889952036326493
0,avg_1st_ionization_potential_(kJ/mol),0.020586385219463134
91,range_Boiling_Point_(K),0.01981555667138283
5,avg_Boiling_Point_(K),0.017898014231130077
55,sum_Mendele_Number,0.011842491912806941
11,avg_Melting_point_(K),0.008422393660939187
73,sum_heat_of_vaporization_(kJ/mol)_,0.00693248474057564
90,range_Atomic_Weight,0.0058337059867556666
45,sum_Atomic_Number,0.005525931505221915
28,avg_heat_atomization(kJ/mol),0.005282823999819231
81,sum_thermal_conductivity_(W/(m_K))_,0.005227371835583328
97,range_Melting_point_(K),0.003995409237208825
114,range_heat_atomization(kJ/mol),0.003248356993259471
106,range_Orbital_Radius(pm),0.002941855134672833
98,range_Mendele_Number,0.002140305702105716
124,range_thermal_conductivity_(W/(m_K))_,0.0017043668706770876
116,range_heat_of_vaporization_(kJ/mol)_,0.0015319116180679381
4,avg_Atomic_Weight,0.0011218395307615813
63,sum_Orbital_Radius(pm),0.0007940336415533267
20,avg_Orbital_Radius(pm),0.0007310131549599808
38,avg_thermal_conductivity_(W/(m_K))_,0.0006060896328381804
88,range_Atomic_Number,0.0005834440523863948
57,sum_Molar_Heat_Capacity(J/mol_K),0.00030592362944543706
122,range_polarizability(A^3),0.000296157511458206
79,sum_polarizability(A^3),0.0002771487233419356
82,sum_valence_d,0.0002527115245571143
59,sum_Number_of_unfilled_d_valence_electrons,0.00020383682575125794
30,avg_heat_of_vaporization_(kJ/mol)_,0.00018267929542497007
52,sum_Density_(g/mL),0.00016782049469853398
12,avg_Mendele_Number,0.0001392497817229499
2,avg_Atomic_Number,0.00012159532035316278
70,sum_group,9.365878578772024e-05
83,sum_valence_f,8.548780120315458e-05
126,range_valence_f,7.807111747025753e-05
103,range_Number_of_unfilled_f_valence_electrons,7.807111746990225e-05
113,range_group,6.632196438405291e-05
36,avg_polarizability(A^3),5.4067635695675965e-05
60,sum_Number_of_unfilled_f_valence_electrons,5.369487846356158e-05
102,range_Number_of_unfilled_d_valence_electrons,3.244800742479015e-05
125,range_valence_d,3.244800742470133e-05
95,range_Density_(g/mL),2.605969377450501e-05
77,sum_number_of_valence_electrons,2.3625007727112734e-05
76,sum_metallic_valence,1.7290944114156658e-05
17,avg_Number_of_unfilled_f_valence_electrons,1.7069159360738607e-05
65,sum_Period,1.200294473999719e-05
16,avg_Number_of_unfilled_d_valence_electrons,1.1379929560439983e-05
40,avg_valence_f,1.0655967699413349e-05
39,avg_valence_d,8.269196569266057e-06
9,avg_Density_(g/mL),8.069533910637361e-06
68,sum_families,7.674852611838646e-06
69,sum_gilmor_number_of_valence_electron,6.9655229686049754e-06
14,avg_Molar_Heat_Capacity(J/mol_K),6.270858986268113e-06
115,range_heat_of_fusion_(kJ/mol)_,6.2060366070482155e-06
111,range_families,5.8255877681490095e-06
112,range_gilmor_number_of_valence_electron,5.552431999955587e-06
120,range_number_of_valence_electrons,3.5180210529284215e-06
127,range_valence_p,3.426887691537761e-06
104,range_Number_of_unfilled_p_valence_electrons,3.4268876913601255e-06
67,sum_abs_valence,3.2392638621425718e-06
100,range_Molar_Heat_Capacity(J/mol_K),2.9607038783630025e-06
72,sum_heat_of_fusion_(kJ/mol)_,2.829536656590026e-06
27,avg_group,2.8281872245905502e-06
84,sum_valence_p,2.4687712782300865e-06
121,range_outer_shell_electrons,1.544995086633083e-06
53,sum_Gordy_electonegativity,1.2793093634333452e-06
33,avg_metallic_valence,1.1617948518671816e-06
96,range_Gordy_electonegativity,1.1573810660525652e-06
107,range_Pauling_Electronegativity,9.883384918696336e-07
119,range_metallic_valence,9.497823829529572e-07
49,sum_Cohesive_energy,8.282247920599062e-07
75,sum_l_quantum_number,7.321984487274058e-07
87,range_Allred-Rockow_electronegativity,7.227534526643708e-07
29,avg_heat_of_fusion_(kJ/mol)_,4.523005062817553e-07
108,range_Period,4.379992511127639e-07
78,sum_outer_shell_electrons,4.1996048257830763e-07
61,sum_Number_of_unfilled_p_valence_electrons,4.1536739383563057e-07
101,range_Nagle_electonegativity,3.922043187221114e-07
62,sum_Number_of_unfilled_s_valence_electrons,3.8424608660436733e-07
109,range_Zunger_radii_sum,3.818652884457485e-07
74,sum_ionic_radius,3.8132187408779216e-07
34,avg_number_of_valence_electrons,3.285143195586038e-07
35,avg_outer_shell_electrons,2.7220303928654487e-07
66,sum_Zunger_radii_sum,2.642272629360676e-07
80,sum_specific_heat_(J/g_K)_,2.4342766435925256e-07
110,range_abs_valence,2.4322729600401163e-07
89,range_Atomic_Radus,2.353094240570286e-07
64,sum_Pauling_Electronegativity,2.0859148305296671e-07
50,sum_Covalent_Radius,1.9938276151210134e-07
118,range_l_quantum_number,1.8916873636420917e-07
6,avg_Cohesive_energy,1.668471860782894e-07
10,avg_Gordy_electonegativity,1.4213265202567272e-07
92,range_Cohesive_energy,1.3181420717156555e-07
22,avg_Period,1.257049570879687e-07
23,avg_Zunger_radii_sum,1.0684314974973574e-07
25,avg_families,1.0150881207815488e-07
18,avg_Number_of_unfilled_p_valence_electrons,8.867288395775219e-08
58,sum_Nagle_electonegativity,8.311671813032717e-08
26,avg_gilmor_number_of_valence_electron,7.943999911219634e-08
32,avg_l_quantum_number,7.900578927744206e-08
46,sum_Atomic_Radus,7.689725641801815e-08
93,range_Covalent_Radius,6.530890223066521e-08
44,sum_Allred-Rockow_electronegativity,5.849718875960974e-08
41,avg_valence_p,5.664543193395488e-08
3,avg_Atomic_Radus,5.5916170949021905e-08
24,avg_abs_valence,5.442558239643347e-08
85,sum_valence_s,5.0140844642942994e-08
128,range_valence_s,4.8527841745027445e-08
105,range_Number_of_unfilled_s_valence_electrons,4.852784131204047e-08
117,range_ionic_radius,3.8285122583303635e-08
7,avg_Covalent_Radius,3.68713235610052e-08
31,avg_ionic_radius,3.541740146717487e-08
42,avg_valence_s,2.1641558889395895e-08
123,range_specific_heat_(J/g_K)_,1.4900907074899549e-08
15,avg_Nagle_electonegativity,1.2889249678682545e-08
21,avg_Pauling_Electronegativity,1.2658384695996006e-08
1,avg_Allred-Rockow_electronegativity,9.343669882255768e-09
19,avg_Number_of_unfilled_s_valence_electrons,4.490416549707277e-09
37,avg_specific_heat_(J/g_K)_,4.048332813422206e-09
56,sum_Molar_Denstiy_(mol/ml),2.9605046303338158e-09
13,avg_Molar_Denstiy_(mol/ml),6.863333235074265e-11
99,range_Molar_Denstiy_(mol/ml),4.400523279102231e-11
