Formula,Material ID,density,density_atomic,avg_Density_(g/mL),sum_Density_(g/mL),range_Density_(g/mL)
Ag2GeS3,mp-9900,4.767775067,22.32333477,5.421666666666667,32.53,8.43
Ag2GeSe3,mp-1096802,5.642427207,25.76340347,6.781666666666666,40.69,5.71
Ag2HgI4,mp-1229122,5.746625629,38.14028494,7.7457142857142856,54.22,8.57
Ag2Mo(I2O7)2,mp-1203404,5.307991705,15.54185657,2.4247619047619047,50.92,10.5
Ag2SnSe3,mp-1096812,5.688196752,27.79761461,7.113333333333333,42.68,5.71
Ag3AsS3,mp-561620,5.393890423,21.7575234,6.2057142857142855,43.440000000000005,8.43
Ag3AsSe3,mp-662599,6.331067759,23.80814418,7.371428571428572,51.60000000000001,5.71
Ag3SbS3,mp-555269,5.802740887,22.13931289,6.3428571428571425,44.4,8.43
Ag5IO6,mp-554648,7.370315629,14.31115105,4.785833333333334,57.43,10.5
Ag7AsS6,mp-15077,5.62606129,21.55424281,6.546428571428572,91.65,8.43
Ag8GeS6,mp-9770,6.204443919,20.12587079,6.782666666666667,101.74,8.43
AgAsS2,mp-13740,4.454054202,23.01386308,5.0925,20.37,8.43
AgBi(PS3)2,mp-556434,4.147865929,22.86662321,3.6310000000000002,36.31,8.68
AgBi(PSe3)2,mp-569126,4.996191649,28.33563742,5.263,52.63,8.68
AgBiPbS3,mp-1229121,7.057910391,24.32114397,6.3100000000000005,37.86,9.33
AgBiS2,mp-1172905,6.996772733,22.60434464,6.0975,24.39,8.43
AgBiSe2,mp-27916,7.943634553,24.81143243,7.4575,29.83,5.71
AgBr,mp-23231,6.444350902,24.19196894,6.8100000000000005,13.620000000000001,7.38
AgCl,mp-22922,5.582622712,21.31529067,5.25,10.5,10.5
AgI,mp-580941,5.809898806,33.55042862,7.715,15.43,5.57
AgN3,mp-2247,4.322439137,14.39553976,2.625,10.5,10.5
AgP15,mp-1195243,2.777913859,21.3878232,2.3625,37.8,8.68
AgPd(IO3)3,mp-1193499,5.273246956,16.62207212,2.6635714285714283,37.29,12
AgSbS2,mp-3922,5.037409127,24.20872292,5.3325000000000005,21.330000000000002,8.43
AgTe,mp-568761,7.276716901,26.86679655,8.370000000000001,16.740000000000002,4.26
Al2S3,mp-1228491,2.289530183,21.78118072,2.322,11.61,0.6300000000000003
Al2Se3,mp-11674,3.824586749,25.25534515,3.954,19.770000000000003,2.09
Al2Te3,mp-29502,4.155653863,34.90483936,4.824,24.119999999999997,3.54
AlAgO2,mp-9631,6.306938397,10.98229042,3.3,13.2,10.5
AlAgS2,mp-5782,3.900206525,21.17923931,4.335,17.34,8.43
AlAgSe2,mp-14091,4.941582477,24.59513682,5.695,22.78,7.8
AlAgTe2,mp-14092,5.285977139,30.63259695,6.42,25.68,7.8
AlCuS2,mp-4979,3.507737278,18.30345779,3.95,15.8,6.890000000000001
AlCuSe2,mp-8016,4.781385838,21.57098683,5.3100000000000005,21.240000000000002,6.260000000000001
AlCuTe2,mp-8017,5.249753009,27.33909973,6.035,24.14,6.260000000000001
AlN,mp-661,3.200889713,10.63182077,1.35,2.7,2.7
AlP,mp-1550,2.348192311,20.49172896,2.2600000000000002,4.5200000000000005,0.8800000000000001
AlSb,mp-2624,4.175546636,29.57590433,4.695,9.39,3.99
AlV(TeO4)2,mp-1194859,4.64336743,13.74191003,1.7741666666666667,21.29,6.24
As2Ir,mp-15649,10.71025663,17.67789341,11.286666666666665,33.86,16.669999999999998
As2O3,mp-1582,4.117486464,15.95747194,2.2920000000000003,11.46,5.73
As2Os,mp-2455,11.02793169,17.06892552,11.353333333333333,34.06,16.87
As2Pt,mp-2513,10.56259894,18.07525761,10.953333333333333,32.86,15.669999999999998
As2Rh,mp-15954,8.009504853,17.46670979,7.953333333333333,23.86,6.67
As2Ru,mp-766,8.231194674,16.87285129,7.953333333333333,23.86,6.67
As2S3,mp-1189572,3.10444588,26.32070642,3.534,17.67,3.6600000000000006
As2Se3,mp-909,4.573186525,28.08409314,5.166,25.830000000000002,0.9400000000000004
AsBr3,mp-23317,3.726935401,35.04631341,3.7725,15.09,2.6100000000000003
AsI3,mp-23218,4.447894936,42.52571976,5.13,20.52,0.8000000000000007
AsOsS,mp-1214793,10.01630017,16.42455355,10.133333333333333,30.400000000000002,20.53
AsP,mp-1228799,3.811700292,23.06626599,3.7750000000000004,7.550000000000001,3.91
AsPPt,mp-1228792,9.681762038,17.20719799,9.649999999999999,28.95,19.58
AsPRu,mp-1228753,7.141666143,16.04079786,6.6499999999999995,19.950000000000003,10.58
AsRuS,mp-1214786,7.088232344,16.24693321,6.7333333333333325,20.200000000000003,10.33
AsS,mp-542810,3.260272138,27.24549078,3.9000000000000004,7.800000000000001,3.6600000000000006
AsSeI,mp-505373,4.697280997,33.08695952,5.15,15.45,0.9400000000000004
B2Mo(PbO2)6,mp-1196917,7.441138601,16.50035505,3.9657142857142857,83.28,11.4
B2O3,mp-306,2.561902769,9.025093639,0.9359999999999999,4.68,2.34
B2Se2O7,mp-558521,3.578819756,12.29734787,1.2963636363636364,14.26,4.79
B3Pb10Br3O13,mp-1229254,7.026553509,20.79757789,4.4958620689655175,130.38,11.4
B3Pb3NO10,mp-1200969,5.969686709,13.54866949,2.4247058823529417,41.22,11.4
B4C,mp-1238815,2.541908945,7.219187621,2.322,11.61,0.09
B6As,mp-624,3.589969113,9.236958533,2.824285714285714,19.77,3.3900000000000006
B6P,mp-28395,2.607392551,8.719475535,2.265714285714285,15.86,0.5199999999999998
BAs,mp-10044,5.087631341,13.99102274,4.035,8.07,3.3900000000000006
BH(PbO2)2,mp-1105235,6.186756877,16.44689884,3.1425,25.14,11.4
BP,mp-1479,2.981368783,11.63647216,2.08,4.16,0.5199999999999998
BPb7Br3O7,mp-1201413,7.402369027,22.59353639,5.083333333333334,91.5,11.4
BSb,mp-997618,5.974007196,18.42476226,4.515000000000001,9.030000000000001,4.3500000000000005
BSbPbS4,mp-1228703,4.409238874,25.18036663,4.101428571428571,28.71,9.33
Ba(BO2)2,mp-540659,3.688629575,14.33794358,1.1685714285714286,8.18,3.5
Ba(GaS2)2,mp-849286,3.873010546,24.80805903,3.3685714285714283,23.58,3.8300000000000005
Ba(GaSe2)2,mp-7841,4.745645848,29.62285458,4.9228571428571435,34.46,2.4000000000000004
Ba(InS2)2,mp-21943,4.096007203,28.68079283,3.7714285714285714,26.4,5.24
Ba(InSe2)2,mp-21766,4.901912837,33.04310827,5.325714285714286,37.28,3.8099999999999996
Ba(ZnAs)2,mp-7427,5.942561358,23.35981721,5.844000000000001,29.22,3.63
Ba12In4S19,mp-1229044,4.316618699,29.85630395,3.1591428571428573,110.57,5.24
Ba2B6H4O13,mp-1199077,3.682959448,9.947003821,0.8416,21.04,3.5
Ba2Cd(BO2)6,mp-1190588,3.977258358,12.80207823,1.4138095238095238,29.689999999999998,8.65
Ba2DyGaSe5,mp-1105698,5.486259274,30.3236344,5.044444444444444,45.400000000000006,5.050000000000001
Ba2DyGaTe5,mp-1105922,5.758294934,36.6835632,5.85,52.650000000000006,5.050000000000001
Ba2DyInSe5,mp-1106127,5.63657566,30.99107583,5.2011111111111115,46.81,5.050000000000001
Ba2DyInTe5,mp-1189860,5.833766718,37.6352038,6.006666666666667,54.06,5.050000000000001
Ba2ErGaSe5,mp-1105790,5.559083875,30.0843413,5.102222222222222,45.92,5.57
Ba2ErGaTe5,mp-1105724,5.741174962,36.94589237,5.907777777777778,53.17,5.57
Ba2ErInSe5,mp-1188122,5.73183021,30.62923942,5.2588888888888885,47.33,5.57
Ba2ErInTe5,mp-1106146,5.908495985,37.30781168,6.064444444444444,54.58,5.57
Ba2GaAsSe5,mp-1195309,4.920215179,30.52808059,4.731111111111112,42.58,2.4000000000000004
Ba2GaBiS5,mp-1201906,4.681831121,28.12521368,3.6666666666666665,33,7.68
Ba2GaBiSe5,mp-1203584,5.585604244,31.3196475,5.177777777777778,46.599999999999994,6.25
Ba2GaBiTe5,mp-1202829,5.85834404,37.52094622,5.983333333333333,53.85,6.25
Ba2GaS4,mp-1199702,4.016998936,27.91110675,3.025714285714286,21.18,3.8300000000000005
Ba2GaSbSe5,mp-1203387,5.090691303,31.20334826,4.837777777777777,43.54,3.1900000000000004
Ba2GaSbTe5,mp-1200935,5.484344678,37.14538039,5.643333333333333,50.790000000000006,3.1900000000000004
Ba2GaSe4,mp-1195574,4.895537405,31.99170504,4.58,32.06,2.4000000000000004
Ba2GdGaSe5,mp-1190156,5.426839558,30.47716279,4.972222222222222,44.75,4.4
Ba2GdGaTe5,mp-1105573,5.693151254,36.93317092,5.777777777777778,52,4.4
Ba2HgS5,mp-1194545,4.635298641,28.46060296,3.85625,30.85,11.43
Ba2In2S5,mp-22841,4.32390258,28.35964736,3.552222222222222,31.97,5.24
Ba2In2Se5,mp-573635,5.108878848,32.47013927,5.0633333333333335,45.56999999999999,3.8099999999999996
Ba2InAgS4,mp-1197611,4.674343859,27.7801977,4.1362499999999995,33.089999999999996,8.43
Ba2InBiS5,mp-864638,4.952783994,28.26647076,3.823333333333333,34.41,7.68
Ba2InSbSe5,mp-1189339,5.335144886,31.3331391,4.9944444444444445,44.95,3.8099999999999996
Ba2NaCu3S5,mp-1191092,4.483815716,21.83685721,4.109090909090909,45.2,7.990000000000001
Ba2NdGaS5,mp-1228486,4.671603696,25.62995337,3.3611111111111107,30.25,4.93
Ba2NdGaSe5,mp-1205363,5.212666251,31.26895764,4.872222222222222,43.849999999999994,3.5
Ba2NdInSe5,mp-1190093,5.431090138,31.5433659,5.028888888888889,45.26,3.8099999999999996
Ba2NdInTe5,mp-1205400,5.644110423,38.30299248,5.834444444444444,52.510000000000005,3.8099999999999996
Ba2ScTaO6,mp-1205823,6.892776028,14.37159045,2.6590000000000003,26.590000000000003,16.6
Ba2SmGaSe5,mp-1189376,5.303750481,30.94478866,4.93,44.370000000000005,4.02
Ba2SmGaTe5,mp-1189729,5.614611851,37.22339121,5.735555555555555,51.620000000000005,4.02
Ba2SmInSe5,mp-1188304,5.512588291,31.28179575,5.086666666666667,45.78,4.02
Ba2SmTaO6,mp-1214622,7.21098816,16.16462434,3.112,31.12,16.6
Ba2SnSe4,mp-1192595,5.044381488,33.35141854,4.781428571428572,33.47,3.8099999999999996
Ba2SnSe5,mp-31307,5.132330094,31.87580224,4.7825,38.26,3.8099999999999996
Ba2TaInO6,mp-1079630,7.468428663,14.81717664,3.091,30.91,16.6
Ba2ThCu2Se5,mp-1078405,6.261531608,27.27773525,6.057,60.57000000000001,8.2
Ba2V2Te2O11,mp-1204192,4.618947953,17.08140288,1.8647058823529412,31.7,6.24
Ba2V2ZnO8,mp-556688,4.549200979,16.00297304,2.0269230769230773,26.349999999999998,7.13
Ba2YGaSe5,mp-1106265,5.040133287,30.31365871,4.591111111111111,41.31999999999999,2.4000000000000004
Ba2YGaTe5,mp-1189739,5.400295371,36.60102317,5.3966666666666665,48.57,2.74
Ba2YInSe5,mp-1205397,5.183298715,31.08157805,4.747777777777777,42.73,3.8099999999999996
Ba2YInTe5,mp-1106096,5.432501272,37.91560257,5.553333333333333,49.980000000000004,3.8099999999999996
Ba2ZnSe3,mp-1190528,5.247394475,30.42895527,4.75,28.5,3.63
Ba2ZnTe3,mp-1190380,5.361872684,37.3110392,5.475,32.849999999999994,3.63
Ba3Bi2TeO9,mp-556407,7.149560034,17.05600733,2.416,36.24,9.75
Ba3Cd(SnS4)2,mp-1228659,4.040900363,29.89044019,3.5949999999999998,50.33,6.58
Ba3Dy2(PS4)4,mp-560798,3.527533144,25.87010445,2.7199999999999998,68,6.73
Ba3Er2(PS4)4,mp-560534,3.577075079,25.68854421,2.7615999999999996,69.03999999999999,7.25
Ba3FeS4Br,mp-1195713,4.314988795,28.90461487,3.3066666666666666,29.76,5.790000000000001
Ba3Gd2(PS4)4,mp-684036,3.494891192,25.9121728,2.668,66.69999999999999,6.08
Ba3GeS5,mp-1200759,4.201872296,28.31959854,2.9077777777777776,26.17,3.2500000000000004
Ba3Ho2(PS4)4,mp-559171,3.551301135,25.78787287,2.74,68.5,6.98
Ba3In2(PO4)4,mp-1200796,4.530775529,14.97531458,1.2959999999999998,32.4,7.31
Ba3InS4Cl,mp-1205371,4.37779933,29.1019418,2.8988888888888886,26.089999999999996,7.31
Ba3MgTa2O9,mp-6325,7.37008353,14.15199386,3.0293333333333337,45.440000000000005,16.6
Ba3Nb2Se9,mp-1195033,5.232618064,29.65881307,5.053571428571429,70.75,5.07
Ba3P3ClO10,mp-1194911,3.919151912,17.45511718,0.9388235294117648,15.96,3.5
Ba3Sb2S7,mp-1195624,4.009674196,30.36824696,3.1975,38.370000000000005,4.620000000000001
Ba3Ta2Se9,mp-1195068,5.933794719,29.67383306,6.200714285714286,86.81,13.100000000000001
Ba3Ta2ZnO9,mp-1214475,7.661767592,14.20712589,3.388666666666667,50.830000000000005,16.6
Ba3Tb2(PS4)4,mp-554264,3.496627944,25.96295192,2.6944,67.36,6.41
Ba3ThSe7,mp-1095255,5.577608409,32.38976956,5.066363636363636,55.730000000000004,8.2
Ba3V2(SeO4)4,mp-1200758,4.281210993,16.84418702,1.6752,41.879999999999995,6.11
Ba4Ga4SnSe12,mp-1195344,4.895372109,30.60008664,4.8757142857142854,102.39000000000001,3.8099999999999996
Ba4LiGa5Se12,mp-1197353,4.838203395,28.89836791,4.614545454545454,101.52000000000001,5.36
Ba5(Ga2Se5)2,mp-1228123,5.140361656,29.84079357,4.684210526315789,89,2.4000000000000004
Ba5(GaSe4)2,mp-1204617,5.145584642,31.3624108,4.508,67.62,2.4000000000000004
Ba5In4Te4S7,mp-1105201,4.718509679,33.09391088,4.3095,86.18999999999998,5.24
Ba8Al10B12O41,mp-1019529,3.718468324,13.54878474,1.1701408450704225,83.08,3.5
Ba8Sn4S15,mp-1195594,4.197042015,30.10464957,3.27,88.28999999999999,5.24
BaAgSbS3,mp-1190401,4.632952647,27.66698545,4.483333333333333,26.9,8.43
BaAl4Se7,mp-1191234,4.129855151,26.73753172,3.985833333333334,47.83,2.09
BaBClF4,mp-1103527,3.548292507,17.35443938,0.8342857142857143,5.84,3.5
BaBSbS4,mp-866301,3.609817021,26.16503471,2.9728571428571424,20.810000000000002,4.620000000000001
BaBiClO2,mp-552806,5.919370303,23.21406773,2.6500000000000004,13.25,9.75
BaCaB2O5,mp-1019542,3.617093119,14.23273813,1.081111111111111,9.73,3.5
BaCdSnS4,mp-12306,4.108386333,28.68011817,3.9628571428571426,27.740000000000002,6.58
BaCu2SnSe4,mp-12364,5.299959512,27.37439145,5.98625,47.89,5.460000000000001
BaCuTeF,mp-13287,6.120271073,23.56880246,4.675000000000001,18.700000000000003,8.96
BaF2,mp-1029,4.825907156,20.10896745,1.1666666666666665,3.5,3.5
BaGa2GeS6,mp-1227983,3.723094554,24.16497982,3.3040000000000003,33.04,3.8300000000000005
BaGa2GeSe6,mp-1227970,4.882512154,27.9960578,4.936,49.36,2.4000000000000004
BaGa2SiS6,mp-1227993,3.54653449,23.2818985,3.005,30.05,3.8300000000000005
BaGa2SiSe6,mp-1227978,4.675939636,27.65062293,4.6370000000000005,46.370000000000005,3.5700000000000003
BaGa4S7,mp-4309,3.824823525,23.17893883,3.4658333333333333,41.59,3.8300000000000005
BaGa4Se7,mp-1191072,4.989722287,26.87125272,5.0525,60.63,2.4000000000000004
BaGe2,mp-2139,5.064587687,30.88635528,4.713333333333333,14.14,1.8200000000000003
BaHgS2,mp-28007,5.803646073,28.75841935,5.285,21.14,11.43
BaIn2(P2O7)2,mp-1205018,4.050559711,13.95498814,1.2095238095238094,25.4,7.31
BaLa2Te5O14,mp-559703,5.601331849,17.20957177,2.1363636363636367,47,6.24
BaNaB5O9,mp-1019554,3.068945462,12.11901131,1.0106249999999999,16.169999999999998,3.5
BaO,mp-1342,5.859229671,21.7267876,1.75,3.5,3.5
BaPd(IO3)4,mp-1106270,4.870003425,17.86996555,1.9566666666666666,35.22,12
BaReH9,mp-28911,4.820811221,10.41515317,2.2272727272727275,24.5,21
BaS,mp-1500,4.190346372,33.56310059,2.785,5.57,1.4300000000000002
BaSe,mp-1253,4.847306733,37.0466563,4.145,8.29,1.29
BaSi2,mp-1477,3.602765206,29.72818284,2.7199999999999998,8.16,1.17
BaSn2S5,mp-1202711,4.245772344,26.15860812,3.55875,28.47,5.24
BaSnO3,mp-3163,7.097114448,14.22725619,2.162,10.809999999999999,7.31
BaTaNO2,mp-1227303,8.542674057,14.16188416,4.0200000000000005,20.1,16.6
BaTe,mp-1000,4.937715826,44.54707893,4.87,9.74,2.74
BaTeMo2O9,mp-19049,5.118940605,14.99190202,2.3184615384615386,30.14,10.2
BaTiO3,mp-5777,5.905237275,13.11462148,1.608,8.04,4.54
BaV2SeO8,mp-1200210,4.139667185,14.91413665,1.7091666666666667,20.51,6.11
BaZnSO,mp-548469,5.165024818,20.15788291,3.175,12.7,7.13
Be3N2,mp-18337,2.724295336,6.710916011,1.11,5.550000000000001,1.85
BeO,mp-2542,3.019437109,6.877558222,0.925,1.85,1.85
BeS,mp-422,2.36179233,14.44036052,1.96,3.92,0.21999999999999975
BeSe,mp-1541,4.233530574,17.2528865,3.3200000000000003,6.640000000000001,2.94
BeTe,mp-252,4.996636953,22.70025492,4.045,8.09,4.390000000000001
Bi2(MoO4)3,mp-23388,6.291529074,13.9383318,2.947058823529412,50.099999999999994,10.2
Bi2CO5,mp-556210,7.860438033,13.46653032,2.71875,21.75,9.75
Bi2I4O13,mp-1204764,6.334366205,15.64015346,2.0642105263157893,39.22,9.75
Bi2Mo2Se2O13,mp-1200193,5.824205482,14.6419427,2.6042105263157893,49.48,10.2
Bi2O3,mp-23262,9.438175801,16.39603117,3.9000000000000004,19.5,9.75
Bi2S3,mp-22856,6.602026285,25.86405311,5.142,25.71,7.68
Bi2Se3,mp-541837,7.164344933,30.3555661,6.774000000000001,33.870000000000005,4.96
