,avg_Density_(g/mL),avg_metallic_valence,sum_valence_d,avg_abs_valence,range_Pauling_Electronegativity,range_metallic_valence,sum_heat_atomization(kJ/mol),range_Molar_Heat_Capacity(J/mol_K),sum_Critical_Temperature,range_heat_of_fusion_(kJ/mol)_,avg_Gordy_electonegativity,avg_Orbital_Radius(pm),avg_Number_of_unfilled_d_valence_electrons,range_Critical_Temperature,avg_thermal_conductivity_(W/(m_K))_,avg_Critical_Temperature,avg_Period,range_thermal_conductivity_(W/(m_K))_,range_heat_of_vaporization_(kJ/mol)_,sum_Number_of_unfilled_p_valence_electrons,range_1st_ionization_potential_(kJ/mol),avg_Cohesive_energy,avg_Melting_point_(K),avg_Zunger_radii_sum,avg_Atomic_Weight,range_Cohesive_energy,range_Atomic_Radus,range_specific_heat_(J/g_K)_,avg_Number_of_unfilled_p_valence_electrons,avg_valence_d,avg_Molar_Denstiy_(mol/ml),range_Density_(g/mL),range_gilmor_number_of_valence_electron,range_Atomic_Weight,avg_Nagle_electonegativity,avg_1st_ionization_potential_(kJ/mol),avg_Pauling_Electronegativity,sum_Cohesive_energy,avg_gilmor_number_of_valence_electron,avg_valence_p,sum_Density_(g/mL),range_Molar_Denstiy_(mol/ml),range_Gordy_electonegativity,avg_Mendele_Number,avg_heat_of_fusion_(kJ/mol)_,avg_heat_atomization(kJ/mol),range_Melting_point_(K),sum_heat_of_vaporization_(kJ/mol)_,sum_specific_heat_(J/g_K)_,range_Allred-Rockow_electronegativity,avg_heat_of_vaporization_(kJ/mol)_,range_Number_of_unfilled_p_valence_electrons,range_l_quantum_number,range_Boiling_Point_(K),avg_outer_shell_electrons,sum_Nagle_electonegativity,range_Zunger_radii_sum,avg_l_quantum_number,avg_number_of_valence_electrons,avg_specific_heat_(J/g_K)_,sum_1st_ionization_potential_(kJ/mol),range_Nagle_electonegativity,sum_Gordy_electonegativity,avg_Atomic_Number,avg_polarizability(A^3),avg_Allred-Rockow_electronegativity,range_abs_valence,sum_Allred-Rockow_electronegativity,sum_abs_valence,range_number_of_valence_electrons,sum_thermal_conductivity_(W/(m_K))_,sum_Covalent_Radius,sum_Boiling_Point_(K),avg_ionic_radius,range_heat_atomization(kJ/mol),avg_Boiling_Point_(K),avg_families,sum_polarizability(A^3),range_Orbital_Radius(pm),avg_group,sum_valence_f,sum_heat_of_fusion_(kJ/mol)_,sum_valence_p,sum_Number_of_unfilled_s_valence_electrons,range_polarizability(A^3),avg_Molar_Heat_Capacity(J/mol_K),sum_Zunger_radii_sum,range_Atomic_Number,sum_metallic_valence,range_Mendele_Number,avg_Atomic_Radus,avg_Covalent_Radius,range_ionic_radius,range_Covalent_Radius,range_valence_p,sum_Atomic_Weight,sum_Molar_Heat_Capacity(J/mol_K),sum_Molar_Denstiy_(mol/ml),avg_Number_of_unfilled_s_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,sum_group,sum_l_quantum_number,range_valence_d,sum_Mendele_Number,sum_gilmor_number_of_valence_electron,sum_number_of_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,range_Number_of_unfilled_d_valence_electrons,sum_Melting_point_(K),sum_Atomic_Radus,range_valence_s,sum_ionic_radius,sum_outer_shell_electrons,range_families,range_group,range_Number_of_unfilled_s_valence_electrons,sum_Number_of_unfilled_d_valence_electrons,range_Period,avg_valence_f,sum_Period,sum_Number_of_unfilled_f_valence_electrons,avg_valence_s,sum_Atomic_Number,range_outer_shell_electrons,range_Number_of_unfilled_f_valence_electrons,range_valence_f,sum_families,sum_valence_s
0,5.421666666666667,3.48,20.0,2.3333333333333335,0.6500000000000001,3.4400000000000004,1782.0,2.580000000000002,27302.0,35.22,4.9816666666666665,101.53333333333332,6.666666666666666,7086.0,153.1183333333333,4550.333333333333,3.833333333333333,428.73,321.09999999999997,22.0,269.0,3.05,808.1166666666667,1.6033333333333333,64.09333333333333,1.0,0.7699999999999999,0.47,3.6666666666666665,3.333333333333333,0.075,8.43,4.0,75.80000000000001,2.03,870.6666666666666,2.2683333333333335,18.3,4.333333333333333,2.3333333333333335,32.53,0.04,1.9999999999999996,78.83333333333333,10.783333333333331,297.0,849.2,861.4599999999999,2.9299999999999997,0.7199999999999998,143.57666666666668,4.0,1.0,2385.3,4.0,12.18,1.2799999999999998,0.6666666666666666,7.333333333333333,0.4883333333333333,5224.0,1.0400000000000005,29.889999999999997,29.0,5.1,2.25,4.0,13.5,14.0,7.0,918.71,7.34,10227.0,1.2416666666666667,98.0,1704.4999999999998,5.833333333333333,30.6,47.599999999999994,14.0,0.0,64.7,14.0,2.0,5.0,23.708333333333332,9.62,31.0,20.880000000000003,23.0,1.1983333333333333,1.2233333333333334,0.6000000000000001,0.51,4.0,384.56000000000006,142.25,0.45,0.3333333333333333,14.0,84.0,4.0,10.0,473.0,26.0,44.0,609.2,13.61,10.0,4848.700000000001,7.1899999999999995,1.0,7.45,24.0,3.0,5.0,1.0,40.0,2.0,0.0,23.0,84.0,1.6666666666666663,174.0,5.0,0.0,0.0,35.0,10.0
1,6.781666666666666,3.48,20.0,2.3333333333333335,0.6199999999999999,3.4400000000000004,1626.0,2.110000000000003,28631.0,30.249999999999996,4.9366666666666665,106.93333333333332,6.666666666666666,6643.0,153.2433333333333,4771.833333333333,4.333333333333333,428.48,293.2,22.0,210.0,2.855,860.2166666666667,1.6983333333333333,87.53833333333333,1.39,0.6199999999999999,0.08,3.6666666666666665,3.333333333333333,0.075,5.71,4.0,35.260000000000005,1.94,841.1666666666666,2.253333333333333,17.13,4.333333333333333,2.3333333333333335,40.69,0.04,1.9099999999999997,79.33333333333333,13.268333333333333,271.0,745.0000000000001,945.16,1.76,0.56,157.52666666666667,4.0,1.0,2145.0,4.0,11.64,1.09,0.6666666666666666,7.333333333333333,0.2933333333333333,5047.0,0.8600000000000001,29.62,38.0,5.55,2.17,4.0,13.02,14.0,7.0,919.46,7.76,10947.9,1.3166666666666669,150.0,1824.65,5.833333333333333,33.3,36.8,14.0,0.0,79.61,14.0,2.0,4.1000000000000005,24.958333333333332,10.19,15.0,20.880000000000003,24.0,1.2733333333333334,1.2933333333333334,0.4500000000000002,0.3700000000000001,4.0,525.23,149.75,0.45,0.3333333333333333,14.0,84.0,4.0,10.0,476.0,26.0,44.0,641.5999999999999,13.52,10.0,5161.3,7.64,1.0,7.9,24.0,3.0,5.0,1.0,40.0,1.0,0.0,26.0,84.0,1.6666666666666663,228.0,5.0,0.0,0.0,35.0,10.0
2,7.745714285714285,2.1885714285714286,70.0,2.8571428571428568,0.7300000000000002,5.44,1057.0,2.532009999999996,19971.0,9.005,5.6667,112.48571428571428,0.0,6661.0,124.02,2852.9999999999995,5.142857142857142,428.55,229.83,22.0,277.0,1.572857142857143,607.3071428571429,1.9328571428571428,131.99,2.28,0.56,0.1009999999999999,3.1428571428571423,9.999999999999998,0.0610428571428571,8.57,6.0,92.72,1.9314285714285715,928.7142857142856,2.357142857142857,11.010000000000002,4.714285714285714,2.8571428571428568,54.22,0.06,4.3969000000000005,83.57142857142857,8.025,151.0,1000.9,643.389,1.459,0.5999999999999999,91.91271428571427,5.0,2.0,2028.0,4.571428571428571,13.52,0.8200000000000001,0.8571428571428571,8.857142857142858,0.2084285714285714,6501.0,0.8200000000000001,39.6669,55.14285714285714,5.885714285714285,2.1342857142857143,5.0,14.94,20.0,5.0,868.14,9.87,7429.049999999999,1.4714285714285713,223.0,1061.292857142857,6.285714285714286,41.2,24.19999999999999,14.57142857142857,14.0,56.175,20.0,2.0,2.9000000000000004,26.74600142857143,13.53,33.0,15.32,31.0,1.3728571428571428,1.41,0.2000000000000001,0.1999999999999999,5.0,923.93,187.22201,0.4273,0.2857142857142857,12.0,102.0,6.0,0.0,585.0,33.0,62.0,787.4,16.5,0.0,4251.15,9.61,1.0,10.3,32.0,4.0,6.0,1.0,0.0,1.0,2.0,36.0,84.0,1.7142857142857142,386.0,6.0,14.0,14.0,44.0,12.0
3,2.4247619047619047,0.7933333333333332,65.0,3.8571428571428568,1.51,5.78,5140.0,12.44,29850.12,31.78,7.245238095238094,69.37142857142857,6.904761904761904,9295.42,47.53428571428571,1421.4342857142856,3.0,428.97,594.59,50.0,630.0,2.563809523809524,365.4071428571429,0.9723809523809523,49.68,5.71,1.42,0.7100000000000001,2.3809523809523805,3.095238095238095,0.0223809523809523,10.5,5.0,110.9,3.0438095238095233,1170.190476190476,3.0866666666666664,53.84,5.714285714285714,3.619047619047618,50.92,0.11,4.819999999999999,84.85714285714286,4.236190476190476,244.76190476190476,2835.4,1229.9,14.45,2.1399999999999997,58.56666666666666,5.0,2.0,4795.0,5.476190476190476,63.92,2.25,0.9523809523809524,6.666666666666666,0.6880952380952381,24574.0,2.3600000000000003,152.14999999999998,21.9047619047619,2.8409523809523805,3.104285714285714,5.0,65.19,81.0,5.0,998.22,20.049999999999997,12946.15,0.888095238095238,551.0,616.4833333333333,6.761904761904761,59.66,107.0,15.238095238095235,0.0,88.96,76.0,3.0,12.010000000000002,18.543333333333333,20.42,45.0,16.66,46.0,0.7866666666666665,0.9547619047619048,1.0,0.8,5.0,1043.28,389.41,0.47,0.1428571428571428,13.999999999999998,320.0,20.0,10.0,1782.0,120.0,140.0,1456.8,64.82,10.0,7673.550000000001,16.52,1.0,18.65,115.0,4.0,11.0,1.0,145.0,3.0,0.0,63.0,294.0,1.857142857142857,460.0,6.0,0.0,0.0,142.0,39.0
4,7.0,3.626666666666667,20.0,1.3333333333333333,1.51,5.44,817.0,10.63,15114.58,11.08,5.356666666666666,100.73333333333332,3.333333333333333,7325.42,286.01,5038.193333333333,4.0,428.97,247.17,14.0,583.0,2.84,841.6833333333334,1.7433333333333332,77.24666666666666,0.33,1.17,0.68,4.666666666666667,6.666666666666666,0.0666666666666666,10.5,4.0,91.87,2.173333333333333,925.3333333333331,2.433333333333333,8.52,3.333333333333333,1.3333333333333333,21.0,0.1,4.52,72.33333333333333,7.606666666666667,272.3333333333333,1180.4,504.5700000000001,1.4,1.7399999999999998,168.19,4.0,1.0,2395.0,2.6666666666666665,6.52,1.91,0.3333333333333333,9.333333333333332,0.4666666666666666,2776.0,2.17,16.07,34.0,5.53,2.4499999999999997,4.0,7.35,4.0,5.0,858.03,3.79,5060.45,1.2666666666666666,35.0,1686.8166666666666,5.0,16.59,83.6,12.666666666666666,0.0,22.82,4.0,2.0,7.11,21.806666666666665,5.2299999999999995,39.0,10.88,22.0,1.2599999999999998,1.2633333333333334,1.0,0.8,4.0,231.74,65.42,0.2,0.6666666666666666,13.999999999999998,38.0,1.0,10.0,217.0,10.0,28.0,302.2,7.3,10.0,2525.05,3.78,1.0,3.8,8.0,3.0,5.0,1.0,10.0,3.0,0.0,12.0,42.0,1.3333333333333333,102.0,5.0,0.0,0.0,15.0,4.0
5,6.6000000000000005,3.3320000000000003,30.0,1.6,1.51,5.78,1444.0,10.82,22369.16,17.380000000000003,5.646,80.78,4.0,7325.42,185.97200000000004,4473.832,3.8,428.97,353.59,22.0,583.0,3.006,881.3900000000001,1.63,70.83200000000001,1.27,1.21,0.68,4.4,6.0,0.062,12.0,4.0,91.87,2.35,978.8,2.588,15.03,3.8000000000000007,1.6,33.0,0.11,4.579999999999999,73.2,8.128,288.8,1772.4,864.9800000000001,2.56,2.0199999999999996,172.996,4.0,2.0,3323.0,2.8000000000000003,11.75,1.98,0.8,8.8,0.512,4894.0,2.17,28.229999999999997,31.2,4.436,2.51,4.0,12.55,8.0,5.0,929.86,5.83,8563.75,1.16,129.0,1712.75,5.200000000000001,22.18,83.6,12.8,0.0,40.64,8.0,4.0,7.11,21.136000000000003,8.15,39.0,16.66,25.0,1.19,1.166,1.0,0.8,4.0,354.16,105.68,0.31,0.8,14.0,64.0,4.0,10.0,366.0,19.0,44.0,403.9,12.94,10.0,4406.950000000001,5.95,2.0,5.8,14.0,3.0,6.0,2.0,20.0,3.0,0.0,19.0,70.0,1.2000000000000002,156.0,6.0,0.0,0.0,26.0,6.0
6,7.69,4.293333333333334,20.0,1.3333333333333333,0.6500000000000001,3.4400000000000004,847.0,2.580000000000002,16274.0,9.58,4.516666666666666,112.73333333333332,3.333333333333333,6166.0,286.09,5424.666666666666,4.333333333333333,428.73,240.78,14.0,269.0,2.916666666666667,952.0833333333334,1.9533333333333331,82.60333333333332,0.1,0.7699999999999999,0.47,4.666666666666667,6.666666666666666,0.0866666666666666,8.43,4.0,75.80000000000001,1.7966666666666666,820.6666666666666,2.1466666666666665,8.75,3.333333333333333,1.3333333333333333,23.07,0.04,1.9999999999999996,72.66666666666666,8.106666666666666,282.3333333333333,849.2,510.96,1.19,0.7199999999999998,170.32000000000002,4.0,1.0,1767.3000000000002,2.6666666666666665,5.390000000000001,1.2799999999999998,0.3333333333333333,9.333333333333332,0.3966666666666666,2462.0,1.0400000000000005,13.55,36.666666666666664,6.233333333333333,2.11,4.0,6.33,4.0,5.0,858.27,4.08,5688.150000000001,1.4,5.0,1896.05,5.0,18.7,47.599999999999994,12.666666666666666,0.0,24.32,4.0,2.0,5.0,24.49,5.859999999999999,31.0,12.88,23.0,1.393333333333333,1.36,0.6000000000000001,0.51,4.0,247.81,73.47,0.26,0.6666666666666666,13.999999999999998,38.0,1.0,10.0,218.0,10.0,28.0,338.2,6.4399999999999995,10.0,2856.25,4.18,1.0,4.2,8.0,3.0,5.0,1.0,10.0,2.0,0.0,13.0,42.0,1.3333333333333333,110.0,5.0,0.0,0.0,15.0,4.0
7,7.113333333333333,3.48,30.0,2.3333333333333335,0.6199999999999999,3.4400000000000004,1551.0,1.6799999999999995,26040.0,4.61,4.928333333333333,109.43333333333332,5.0,5723.0,154.36,4340.0,4.5,428.48,258.1,22.0,232.0,2.736666666666667,740.9833333333333,1.7516666666666665,95.22166666666666,0.6800000000000002,0.6199999999999999,0.09,3.6666666666666665,5.0,0.0733333333333333,5.71,4.0,39.75,1.9216666666666664,832.3333333333333,2.245,16.42,4.333333333333333,2.3333333333333335,42.68,0.04,1.9099999999999997,79.5,8.283333333333333,258.5,745.0000000000001,910.06,1.67,0.6100000000000001,151.67666666666665,4.0,1.0,1585.0,3.6666666666666665,11.53,1.09,0.6666666666666666,7.333333333333333,0.2783333333333333,4994.0,0.8600000000000001,29.57,41.0,5.816666666666666,2.1416666666666666,4.0,12.85,14.0,7.0,926.16,7.949999999999999,10387.9,1.35,75.0,1731.3166666666668,5.666666666666666,34.9,36.8,14.0,0.0,49.7,14.0,2.0,4.1000000000000005,25.576666666666668,10.51,16.0,20.880000000000003,24.0,1.3066666666666666,1.325,0.4500000000000002,0.3700000000000001,4.0,571.3299999999999,153.46,0.44,0.3333333333333333,14.0,84.0,4.0,10.0,477.0,26.0,44.0,656.5999999999999,13.47,10.0,4445.9,7.84,1.0,8.1,22.0,3.0,5.0,1.0,30.0,1.0,0.0,27.0,84.0,1.6666666666666663,246.0,5.0,0.0,0.0,34.0,10.0
8,6.2057142857142855,3.617142857142857,30.0,2.142857142857143,0.6500000000000001,3.4400000000000004,1991.0,2.580000000000002,28482.0,25.98,4.895714285714285,104.12857142857143,5.7142857142857135,6166.0,191.11571428571423,4068.857142857142,4.0,428.73,240.78,27.0,269.0,2.9085714285714284,850.4928571428571,1.694285714285714,70.67714285714285,0.1099999999999998,0.7699999999999999,0.47,3.8571428571428568,4.285714285714286,0.0799999999999999,8.43,4.0,75.80000000000001,1.99,877.1428571428571,2.244285714285714,20.360000000000003,4.142857142857142,2.142857142857143,43.440000000000005,0.04,1.9999999999999996,77.57142857142857,9.537142857142856,284.4285714285714,849.2,815.9,3.1799999999999997,0.7199999999999998,116.55714285714286,4.0,1.0,1767.3000000000002,3.714285714285714,13.93,1.2799999999999998,0.5714285714285714,8.0,0.4542857142857142,6140.0,1.0400000000000005,34.269999999999996,31.714285714285715,5.242857142857143,2.227142857142857,4.0,15.59,15.0,6.0,1337.81,8.84,10499.15,1.2785714285714285,23.0,1499.8785714285714,5.571428571428571,36.7,47.599999999999994,13.714285714285715,0.0,66.76,15.0,3.0,5.0,24.154285714285713,11.86,31.0,25.32,23.0,1.2471428571428569,1.262857142857143,0.6000000000000001,0.51,4.0,494.74,169.08,0.56,0.4285714285714285,14.0,96.0,4.0,10.0,543.0,29.0,56.0,728.9,15.71,10.0,5953.450000000001,8.729999999999999,1.0,8.950000000000001,26.0,3.0,5.0,1.0,40.0,2.0,0.0,28.0,98.0,1.5714285714285712,222.0,5.0,0.0,0.0,39.0,11.0
9,7.371428571428572,3.617142857142857,30.0,2.142857142857143,0.6199999999999999,3.4400000000000004,1835.0,0.6300000000000026,29811.0,21.01,4.857142857142857,108.75714285714284,5.7142857142857135,5723.0,191.22285714285712,4258.714285714285,4.428571428571429,428.48,215.82,27.0,216.0,2.741428571428571,895.15,1.7757142857142854,90.77285714285712,0.5,0.6199999999999999,0.09,3.8571428571428568,4.285714285714286,0.0799999999999999,5.71,4.0,32.95,1.9128571428571428,851.8571428571429,2.2314285714285713,19.19,4.142857142857142,2.142857142857143,51.60000000000001,0.04,1.9099999999999997,78.0,11.667142857142856,262.1428571428571,745.0000000000001,899.6,2.01,0.56,128.51428571428573,4.0,1.0,1595.0,3.714285714285714,13.39,1.09,0.5714285714285714,8.0,0.2871428571428571,5963.0,0.8600000000000001,34.0,39.42857142857143,5.628571428571428,2.1585714285714284,4.0,15.11,15.0,6.0,1338.56,9.259999999999998,11220.05,1.3428571428571427,75.0,1602.8642857142854,5.571428571428571,39.400000000000006,36.8,13.714285714285715,0.0,81.67000000000002,15.0,3.0,4.1000000000000005,25.22571428571428,12.43,14.0,25.32,24.0,1.3114285714285714,1.3228571428571427,0.4500000000000002,0.3700000000000001,4.0,635.4100000000001,176.58,0.56,0.4285714285714285,14.0,96.0,4.0,10.0,546.0,29.0,56.0,761.3,15.62,10.0,6266.05,9.18,1.0,9.4,26.0,3.0,5.0,1.0,40.0,1.0,0.0,31.0,98.0,1.5714285714285712,276.0,5.0,0.0,0.0,39.0,11.0
