,avg_metallic_valence,avg_Density_(g/mL),avg_Number_of_unfilled_d_valence_electrons,avg_Critical_Temperature,range_Atomic_Radus,range_heat_of_fusion_(kJ/mol)_,avg_valence_d,range_1st_ionization_potential_(kJ/mol),range_Melting_point_(K),avg_thermal_conductivity_(W/(m_K))_,avg_Atomic_Radus,sum_Boiling_Point_(K),avg_Boiling_Point_(K),range_Critical_Temperature,range_Gordy_electonegativity,sum_metallic_valence,avg_Cohesive_energy,avg_abs_valence,avg_heat_of_fusion_(kJ/mol)_,range_Molar_Heat_Capacity(J/mol_K),avg_outer_shell_electrons,range_metallic_valence,range_Zunger_radii_sum,range_thermal_conductivity_(W/(m_K))_,avg_Mendele_Number,range_Pauling_Electronegativity,avg_Pauling_Electronegativity,avg_Melting_point_(K),range_Boiling_Point_(K),range_heat_atomization(kJ/mol),sum_Number_of_unfilled_d_valence_electrons,sum_Critical_Temperature,range_Molar_Denstiy_(mol/ml),avg_l_quantum_number,sum_thermal_conductivity_(W/(m_K))_,sum_abs_valence,sum_valence_d,avg_Molar_Denstiy_(mol/ml),range_Mendele_Number,sum_heat_of_fusion_(kJ/mol)_,avg_group,range_specific_heat_(J/g_K)_,avg_gilmor_number_of_valence_electron,range_heat_of_vaporization_(kJ/mol)_,avg_Number_of_unfilled_s_valence_electrons,avg_specific_heat_(J/g_K)_,avg_Zunger_radii_sum,sum_Atomic_Radus,sum_specific_heat_(J/g_K)_,avg_polarizability(A^3),avg_Allred-Rockow_electronegativity,avg_1st_ionization_potential_(kJ/mol),avg_Gordy_electonegativity,avg_heat_of_vaporization_(kJ/mol)_,avg_Orbital_Radius(pm),range_Density_(g/mL),sum_heat_of_vaporization_(kJ/mol)_,range_Nagle_electonegativity,range_abs_valence,avg_heat_atomization(kJ/mol),sum_Melting_point_(K),range_Covalent_Radius,sum_Density_(g/mL),sum_Gordy_electonegativity,range_Atomic_Weight,sum_valence_p,avg_families,sum_polarizability(A^3),avg_Molar_Heat_Capacity(J/mol_K),avg_Atomic_Weight,sum_Cohesive_energy,range_Cohesive_energy,avg_Covalent_Radius,range_Atomic_Number,avg_Period,avg_Number_of_unfilled_p_valence_electrons,range_l_quantum_number,avg_valence_p,avg_Nagle_electonegativity,sum_heat_atomization(kJ/mol),sum_Mendele_Number,range_Orbital_Radius(pm),avg_number_of_valence_electrons,sum_Molar_Denstiy_(mol/ml),range_Allred-Rockow_electronegativity,sum_Zunger_radii_sum,range_number_of_valence_electrons,sum_valence_f,sum_ionic_radius,sum_1st_ionization_potential_(kJ/mol),avg_ionic_radius,avg_Atomic_Number,sum_Covalent_Radius,sum_Atomic_Weight,sum_l_quantum_number,range_ionic_radius,range_gilmor_number_of_valence_electron,avg_valence_s,range_valence_p,sum_Number_of_unfilled_p_valence_electrons,sum_Allred-Rockow_electronegativity,sum_Pauling_Electronegativity,range_polarizability(A^3),sum_Nagle_electonegativity,sum_valence_s,sum_Orbital_Radius(pm),sum_number_of_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,sum_Molar_Heat_Capacity(J/mol_K),sum_gilmor_number_of_valence_electron,sum_outer_shell_electrons,sum_group,sum_Atomic_Number,sum_Number_of_unfilled_s_valence_electrons,range_group,sum_Period,range_valence_d,sum_families,sum_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Number_of_unfilled_d_valence_electrons,avg_valence_f,range_outer_shell_electrons,range_valence_f,range_Period,range_valence_s,range_families,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_f_valence_electrons
0,3.48,5.421666666666667,6.666666666666666,4550.333333333333,0.7699999999999999,35.22,3.333333333333333,269.0,849.2,153.1183333333333,1.1983333333333333,10227.0,1704.4999999999998,7086.0,1.9999999999999996,20.880000000000003,3.05,2.3333333333333335,10.783333333333331,2.580000000000002,4.0,3.4400000000000004,1.2799999999999998,428.73,78.83333333333333,0.6500000000000001,2.2683333333333335,808.1166666666667,2385.3,98.0,40.0,27302.0,0.04,0.6666666666666666,918.71,14.0,20.0,0.075,23.0,64.7,14.0,0.47,4.333333333333333,321.09999999999997,0.3333333333333333,0.4883333333333333,1.6033333333333333,7.1899999999999995,2.9299999999999997,5.1,2.25,870.6666666666666,4.9816666666666665,143.57666666666668,101.53333333333332,8.43,861.4599999999999,1.0400000000000005,4.0,297.0,4848.700000000001,0.51,32.53,29.889999999999997,75.80000000000001,14.0,5.833333333333333,30.6,23.708333333333332,64.09333333333333,18.3,1.0,1.2233333333333334,31.0,3.833333333333333,3.6666666666666665,1.0,2.3333333333333335,2.03,1782.0,473.0,47.599999999999994,7.333333333333333,0.45,0.7199999999999998,9.62,7.0,0.0,7.45,5224.0,1.2416666666666667,29.0,7.34,384.56000000000006,4.0,0.6000000000000001,4.0,1.6666666666666663,4.0,22.0,13.5,13.61,5.0,12.18,10.0,609.2,44.0,14.0,142.25,26.0,24.0,84.0,174.0,2.0,5.0,23.0,10.0,35.0,84.0,1.0,10.0,0.0,5.0,0.0,2.0,1.0,3.0,4.0,0.0
1,3.48,6.781666666666666,6.666666666666666,4771.833333333333,0.6199999999999999,30.249999999999996,3.333333333333333,210.0,745.0000000000001,153.2433333333333,1.2733333333333334,10947.9,1824.65,6643.0,1.9099999999999997,20.880000000000003,2.855,2.3333333333333335,13.268333333333333,2.110000000000003,4.0,3.4400000000000004,1.09,428.48,79.33333333333333,0.6199999999999999,2.253333333333333,860.2166666666667,2145.0,150.0,40.0,28631.0,0.04,0.6666666666666666,919.46,14.0,20.0,0.075,24.0,79.61,14.0,0.08,4.333333333333333,293.2,0.3333333333333333,0.2933333333333333,1.6983333333333333,7.64,1.76,5.55,2.17,841.1666666666666,4.9366666666666665,157.52666666666667,106.93333333333332,5.71,945.16,0.8600000000000001,4.0,271.0,5161.3,0.3700000000000001,40.69,29.62,35.260000000000005,14.0,5.833333333333333,33.3,24.958333333333332,87.53833333333333,17.13,1.39,1.2933333333333334,15.0,4.333333333333333,3.6666666666666665,1.0,2.3333333333333335,1.94,1626.0,476.0,36.8,7.333333333333333,0.45,0.56,10.19,7.0,0.0,7.9,5047.0,1.3166666666666669,38.0,7.76,525.23,4.0,0.4500000000000002,4.0,1.6666666666666663,4.0,22.0,13.02,13.52,4.1000000000000005,11.64,10.0,641.5999999999999,44.0,14.0,149.75,26.0,24.0,84.0,228.0,2.0,5.0,26.0,10.0,35.0,84.0,1.0,10.0,0.0,5.0,0.0,1.0,1.0,3.0,4.0,0.0
2,2.1885714285714286,7.745714285714285,0.0,2852.9999999999995,0.56,9.005,9.999999999999998,277.0,1000.9,124.02,1.3728571428571428,7429.049999999999,1061.292857142857,6661.0,4.3969000000000005,15.32,1.572857142857143,2.8571428571428568,8.025,2.532009999999996,4.571428571428571,5.44,0.8200000000000001,428.55,83.57142857142857,0.7300000000000002,2.357142857142857,607.3071428571429,2028.0,223.0,0.0,19971.0,0.06,0.8571428571428571,868.14,20.0,70.0,0.0610428571428571,31.0,56.175,14.57142857142857,0.1009999999999999,4.714285714285714,229.83,0.2857142857142857,0.2084285714285714,1.9328571428571428,9.61,1.459,5.885714285714285,2.1342857142857143,928.7142857142856,5.6667,91.91271428571427,112.48571428571428,8.57,643.389,0.8200000000000001,5.0,151.0,4251.15,0.1999999999999999,54.22,39.6669,92.72,20.0,6.285714285714286,41.2,26.74600142857143,131.99,11.010000000000002,2.28,1.41,33.0,5.142857142857142,3.1428571428571423,2.0,2.8571428571428568,1.9314285714285715,1057.0,585.0,24.19999999999999,8.857142857142858,0.4273,0.5999999999999999,13.53,5.0,14.0,10.3,6501.0,1.4714285714285713,55.14285714285714,9.87,923.93,6.0,0.2000000000000001,6.0,1.7142857142857142,5.0,22.0,14.94,16.5,2.9000000000000004,13.52,12.0,787.4,62.0,12.0,187.22201,33.0,32.0,102.0,386.0,2.0,6.0,36.0,0.0,44.0,84.0,1.0,0.0,2.0,6.0,14.0,1.0,1.0,4.0,5.0,14.0
3,0.7933333333333332,2.4247619047619047,6.904761904761904,1421.4342857142856,1.42,31.78,3.095238095238095,630.0,2835.4,47.53428571428571,0.7866666666666665,12946.15,616.4833333333333,9295.42,4.819999999999999,16.66,2.563809523809524,3.8571428571428568,4.236190476190476,12.44,5.476190476190476,5.78,2.25,428.97,84.85714285714286,1.51,3.0866666666666664,365.4071428571429,4795.0,551.0,145.0,29850.12,0.11,0.9523809523809524,998.22,81.0,65.0,0.0223809523809523,46.0,88.96,15.238095238095235,0.7100000000000001,5.714285714285714,594.59,0.1428571428571428,0.6880952380952381,0.9723809523809523,16.52,14.45,2.8409523809523805,3.104285714285714,1170.190476190476,7.245238095238094,58.56666666666666,69.37142857142857,10.5,1229.9,2.3600000000000003,5.0,244.76190476190476,7673.550000000001,0.8,50.92,152.14999999999998,110.9,76.0,6.761904761904761,59.66,18.543333333333333,49.68,53.84,5.71,0.9547619047619048,45.0,3.0,2.3809523809523805,2.0,3.619047619047618,3.0438095238095233,5140.0,1782.0,107.0,6.666666666666666,0.47,2.1399999999999997,20.42,5.0,0.0,18.65,24574.0,0.888095238095238,21.9047619047619,20.049999999999997,1043.28,20.0,1.0,5.0,1.857142857142857,5.0,50.0,65.19,64.82,12.010000000000002,63.92,39.0,1456.8,140.0,13.999999999999998,389.41,120.0,115.0,320.0,460.0,3.0,11.0,63.0,10.0,142.0,294.0,1.0,10.0,0.0,6.0,0.0,3.0,1.0,4.0,5.0,0.0
4,3.48,7.113333333333333,5.0,4340.0,0.6199999999999999,4.61,5.0,232.0,745.0000000000001,154.36,1.3066666666666666,10387.9,1731.3166666666668,5723.0,1.9099999999999997,20.880000000000003,2.736666666666667,2.3333333333333335,8.283333333333333,1.6799999999999995,3.6666666666666665,3.4400000000000004,1.09,428.48,79.5,0.6199999999999999,2.245,740.9833333333333,1585.0,75.0,30.0,26040.0,0.04,0.6666666666666666,926.16,14.0,30.0,0.0733333333333333,24.0,49.7,14.0,0.09,4.333333333333333,258.1,0.3333333333333333,0.2783333333333333,1.7516666666666665,7.84,1.67,5.816666666666666,2.1416666666666666,832.3333333333333,4.928333333333333,151.67666666666665,109.43333333333332,5.71,910.06,0.8600000000000001,4.0,258.5,4445.9,0.3700000000000001,42.68,29.57,39.75,14.0,5.666666666666666,34.9,25.576666666666668,95.22166666666666,16.42,0.6800000000000002,1.325,16.0,4.5,3.6666666666666665,1.0,2.3333333333333335,1.9216666666666664,1551.0,477.0,36.8,7.333333333333333,0.44,0.6100000000000001,10.51,7.0,0.0,8.1,4994.0,1.35,41.0,7.949999999999999,571.3299999999999,4.0,0.4500000000000002,4.0,1.6666666666666663,4.0,22.0,12.85,13.47,4.1000000000000005,11.53,10.0,656.5999999999999,44.0,14.0,153.46,26.0,22.0,84.0,246.0,2.0,5.0,27.0,10.0,34.0,84.0,1.0,10.0,0.0,5.0,0.0,1.0,1.0,3.0,4.0,0.0
5,3.617142857142857,6.2057142857142855,5.7142857142857135,4068.857142857142,0.7699999999999999,25.98,4.285714285714286,269.0,849.2,191.11571428571423,1.2471428571428569,10499.15,1499.8785714285714,6166.0,1.9999999999999996,25.32,2.9085714285714284,2.142857142857143,9.537142857142856,2.580000000000002,3.714285714285714,3.4400000000000004,1.2799999999999998,428.73,77.57142857142857,0.6500000000000001,2.244285714285714,850.4928571428571,1767.3000000000002,23.0,40.0,28482.0,0.04,0.5714285714285714,1337.81,15.0,30.0,0.0799999999999999,23.0,66.76,13.714285714285715,0.47,4.142857142857142,240.78,0.4285714285714285,0.4542857142857142,1.694285714285714,8.729999999999999,3.1799999999999997,5.242857142857143,2.227142857142857,877.1428571428571,4.895714285714285,116.55714285714286,104.12857142857143,8.43,815.9,1.0400000000000005,4.0,284.4285714285714,5953.450000000001,0.51,43.440000000000005,34.269999999999996,75.80000000000001,15.0,5.571428571428571,36.7,24.154285714285713,70.67714285714285,20.360000000000003,0.1099999999999998,1.262857142857143,31.0,4.0,3.8571428571428568,1.0,2.142857142857143,1.99,1991.0,543.0,47.599999999999994,8.0,0.56,0.7199999999999998,11.86,6.0,0.0,8.950000000000001,6140.0,1.2785714285714285,31.714285714285715,8.84,494.74,4.0,0.6000000000000001,4.0,1.5714285714285712,4.0,27.0,15.59,15.71,5.0,13.93,11.0,728.9,56.0,14.0,169.08,29.0,26.0,96.0,222.0,3.0,5.0,28.0,10.0,39.0,98.0,1.0,10.0,0.0,5.0,0.0,2.0,1.0,3.0,4.0,0.0
6,3.617142857142857,7.371428571428572,5.7142857142857135,4258.714285714285,0.6199999999999999,21.01,4.285714285714286,216.0,745.0000000000001,191.22285714285712,1.3114285714285714,11220.05,1602.8642857142854,5723.0,1.9099999999999997,25.32,2.741428571428571,2.142857142857143,11.667142857142856,0.6300000000000026,3.714285714285714,3.4400000000000004,1.09,428.48,78.0,0.6199999999999999,2.2314285714285713,895.15,1595.0,75.0,40.0,29811.0,0.04,0.5714285714285714,1338.56,15.0,30.0,0.0799999999999999,24.0,81.67000000000002,13.714285714285715,0.09,4.142857142857142,215.82,0.4285714285714285,0.2871428571428571,1.7757142857142854,9.18,2.01,5.628571428571428,2.1585714285714284,851.8571428571429,4.857142857142857,128.51428571428573,108.75714285714284,5.71,899.6,0.8600000000000001,4.0,262.1428571428571,6266.05,0.3700000000000001,51.60000000000001,34.0,32.95,15.0,5.571428571428571,39.400000000000006,25.22571428571428,90.77285714285712,19.19,0.5,1.3228571428571427,14.0,4.428571428571429,3.8571428571428568,1.0,2.142857142857143,1.9128571428571428,1835.0,546.0,36.8,8.0,0.56,0.56,12.43,6.0,0.0,9.4,5963.0,1.3428571428571427,39.42857142857143,9.259999999999998,635.4100000000001,4.0,0.4500000000000002,4.0,1.5714285714285712,4.0,27.0,15.11,15.62,4.1000000000000005,13.39,11.0,761.3,56.0,14.0,176.58,29.0,26.0,96.0,276.0,3.0,5.0,31.0,10.0,39.0,98.0,1.0,10.0,0.0,5.0,0.0,1.0,1.0,3.0,4.0,0.0
7,3.617142857142857,6.3428571428571425,4.285714285714286,4493.142857142857,0.7699999999999999,18.15,5.7142857142857135,269.0,849.2,187.44428571428568,1.274285714285714,11832.15,1690.307142857143,6166.0,1.9999999999999996,25.32,2.878571428571428,2.142857142857143,8.418571428571427,2.8000000000000007,3.2857142857142856,3.4400000000000004,1.2799999999999998,428.73,77.71428571428572,0.6500000000000001,2.2257142857142855,823.9214285714286,1767.3000000000002,22.0,30.0,31452.0,0.05,0.5714285714285714,1312.11,15.0,40.0,0.0757142857142857,23.0,58.93000000000001,13.714285714285715,0.5,4.142857142857142,240.78,0.4285714285714285,0.4371428571428571,1.7442857142857142,8.92,3.0599999999999996,5.571428571428571,2.194285714285714,861.0,4.87142857142857,122.61142857142858,106.87142857142857,8.43,858.28,1.0400000000000005,4.0,278.7142857142857,5767.450000000001,0.51,44.4,34.099999999999994,89.69,15.0,5.571428571428571,39.0,24.275714285714283,77.36857142857143,20.15,0.2000000000000001,1.2899999999999998,35.0,4.142857142857142,3.8571428571428568,1.0,2.142857142857143,1.957142857142857,1951.0,544.0,47.599999999999994,8.0,0.53,0.7199999999999998,12.21,6.0,0.0,9.25,6027.0,1.3214285714285714,34.285714285714285,9.03,541.58,4.0,0.6000000000000001,4.0,1.5714285714285712,4.0,27.0,15.36,15.58,5.0,13.7,11.0,748.0999999999999,56.0,14.0,169.93,29.0,23.0,96.0,240.0,3.0,5.0,29.0,10.0,39.0,98.0,1.0,10.0,0.0,5.0,0.0,2.0,1.0,3.0,4.0,0.0
8,2.266666666666667,4.785833333333334,5.0,3262.206666666667,1.17,11.08,5.0,583.0,1180.4,178.80249999999998,1.0233333333333334,13423.8,1118.65,7325.42,4.52,27.200000000000003,2.631666666666667,2.4166666666666665,5.470000000000001,12.44,4.0,5.44,1.91,428.97,78.58333333333334,1.51,2.7458333333333336,574.2416666666667,2395.0,177.0,60.0,39146.48,0.1,0.5833333333333334,2145.6299999999997,29.0,60.0,0.045,31.0,65.63999999999999,14.0,0.7100000000000001,4.416666666666666,247.17,0.4166666666666667,0.5775,1.3591666666666669,12.28,6.930000000000001,4.1033333333333335,2.7808333333333333,1045.5833333333337,6.283333333333333,107.84250000000002,84.78333333333333,10.5,1294.11,2.17,5.0,251.75,6890.9,0.8,57.43,75.4,110.9,29.0,5.833333333333334,49.24,20.185833333333335,63.52083333333334,31.58,1.84,1.1133333333333333,45.0,3.5,3.5833333333333335,1.0,2.4166666666666665,2.6033333333333335,3021.0,943.0,83.6,8.166666666666668,0.54,1.7399999999999998,16.31,5.0,0.0,13.0,12547.0,1.0833333333333337,28.0,13.36,762.25,7.0,1.0,5.0,1.5833333333333337,5.0,43.0,33.370000000000005,32.95,7.11,31.24,19.0,1017.4,98.0,14.0,242.23,53.0,48.0,168.0,336.0,5.0,6.0,42.0,10.0,70.0,168.0,1.0,10.0,0.0,6.0,0.0,3.0,1.0,4.0,5.0,0.0
9,3.791428571428572,6.546428571428572,5.0,4453.142857142857,0.7699999999999999,25.98,5.0,269.0,849.2,218.18714285714287,1.2835714285714284,22593.300000000003,1613.807142857143,6166.0,1.9999999999999996,53.080000000000005,2.907857142857143,1.9285714285714284,8.365714285714287,2.580000000000002,3.4285714285714284,3.4400000000000004,1.2799999999999998,428.73,76.21428571428572,0.6500000000000001,2.226428571428571,860.85,1767.3000000000002,23.0,70.0,62344.0,0.04,0.5,3054.62,27.0,70.0,0.0814285714285714,23.0,117.12,13.428571428571429,0.47,3.928571428571429,240.78,0.5,0.4478571428571428,1.762857142857143,17.97,6.27,5.5,2.202857142857143,861.7142857142857,4.801428571428572,131.97285714285715,106.16428571428573,8.43,1847.62,1.0400000000000005,4.0,283.1428571428571,12051.9,0.51,91.65,67.22,75.80000000000001,27.0,5.428571428571429,77.0,24.199285714285715,73.03071428571428,40.71000000000001,0.1099999999999998,1.2871428571428571,31.0,4.071428571428571,4.071428571428571,1.0,1.9285714285714284,1.9428571428571428,3964.0,1067.0,47.599999999999994,8.428571428571427,1.14,0.7199999999999998,24.68,6.0,0.0,18.35,12064.0,1.3107142857142855,32.714285714285715,18.02,1022.43,7.0,0.6000000000000001,4.0,1.5,4.0,57.0,30.84,31.17,5.0,27.200000000000003,21.0,1486.3,118.0,14.0,338.79,55.0,48.0,188.0,458.0,7.0,5.0,57.0,10.0,76.0,196.0,1.0,10.0,0.0,5.0,0.0,2.0,1.0,3.0,4.0,0.0
