,avg_metallic_valence,avg_Density_(g/mL),avg_outer_shell_electrons,avg_Critical_Temperature,range_1st_ionization_potential_(kJ/mol),range_Pauling_Electronegativity,avg_l_quantum_number,avg_valence_d,range_families,range_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Melting_point_(K),range_Molar_Heat_Capacity(J/mol_K),avg_abs_valence,range_metallic_valence,avg_families,range_Critical_Temperature,range_Mendele_Number,range_heat_of_fusion_(kJ/mol)_,range_Atomic_Radus,avg_thermal_conductivity_(W/(m_K))_,avg_Boiling_Point_(K),avg_heat_of_fusion_(kJ/mol)_,avg_Molar_Denstiy_(mol/ml),range_thermal_conductivity_(W/(m_K))_,avg_Molar_Heat_Capacity(J/mol_K),avg_Atomic_Radus,range_Gordy_electonegativity,range_Density_(g/mL),avg_Zunger_radii_sum,range_specific_heat_(J/g_K)_,avg_1st_ionization_potential_(kJ/mol),range_Boiling_Point_(K),avg_Cohesive_energy,avg_specific_heat_(J/g_K)_,avg_heat_atomization(kJ/mol),avg_Mendele_Number,sum_valence_d,avg_Gordy_electonegativity,avg_gilmor_number_of_valence_electron,avg_heat_of_vaporization_(kJ/mol)_,range_gilmor_number_of_valence_electron,avg_valence_p,sum_specific_heat_(J/g_K)_,range_Zunger_radii_sum,avg_polarizability(A^3),range_Melting_point_(K),sum_Density_(g/mL),avg_Number_of_unfilled_p_valence_electrons,avg_Nagle_electonegativity,avg_number_of_valence_electrons,avg_Pauling_Electronegativity,avg_Allred-Rockow_electronegativity,avg_Atomic_Weight,range_Molar_Denstiy_(mol/ml),range_group,range_abs_valence,sum_thermal_conductivity_(W/(m_K))_,sum_heat_of_fusion_(kJ/mol)_,range_Cohesive_energy,avg_Covalent_Radius,range_heat_atomization(kJ/mol),sum_outer_shell_electrons,range_heat_of_vaporization_(kJ/mol)_,avg_group,sum_polarizability(A^3),range_Covalent_Radius,range_Atomic_Weight,avg_Atomic_Number,sum_valence_p,avg_Period,range_Allred-Rockow_electronegativity,range_polarizability(A^3),avg_ionic_radius,sum_Critical_Temperature,range_l_quantum_number,sum_metallic_valence,avg_Orbital_Radius(pm),sum_heat_of_vaporization_(kJ/mol)_,sum_Molar_Denstiy_(mol/ml),sum_Cohesive_energy,sum_heat_atomization(kJ/mol),range_Atomic_Number,sum_Number_of_unfilled_d_valence_electrons,sum_abs_valence,range_Orbital_Radius(pm),range_number_of_valence_electrons,sum_Melting_point_(K),sum_Orbital_Radius(pm),sum_Atomic_Weight,sum_Zunger_radii_sum,sum_Boiling_Point_(K),sum_Molar_Heat_Capacity(J/mol_K),sum_Mendele_Number,sum_Atomic_Radus,avg_valence_s,sum_valence_f,avg_Number_of_unfilled_s_valence_electrons,sum_Atomic_Number,sum_Covalent_Radius,range_ionic_radius,sum_1st_ionization_potential_(kJ/mol),sum_Gordy_electonegativity,sum_ionic_radius,sum_Nagle_electonegativity,sum_group,sum_Number_of_unfilled_s_valence_electrons,sum_number_of_valence_electrons,sum_Pauling_Electronegativity,range_valence_d,avg_valence_f,range_Period,sum_l_quantum_number,range_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,sum_Allred-Rockow_electronegativity,range_outer_shell_electrons,sum_gilmor_number_of_valence_electron,sum_Number_of_unfilled_p_valence_electrons,sum_Period,sum_families,range_valence_f,range_Number_of_unfilled_p_valence_electrons,range_valence_p,sum_Number_of_unfilled_f_valence_electrons,sum_valence_s,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_valence_s
0,3.48,5.421666666666667,4.0,4550.333333333333,269.0,0.6500000000000001,0.6666666666666666,3.333333333333333,3.0,1.0400000000000005,6.666666666666666,808.1166666666667,2.580000000000002,2.3333333333333335,3.4400000000000004,5.833333333333333,7086.0,23.0,35.22,0.7699999999999999,153.1183333333333,1704.4999999999998,10.783333333333331,0.075,428.73,23.708333333333332,1.1983333333333333,1.9999999999999996,8.43,1.6033333333333333,0.47,870.6666666666666,2385.3,3.05,0.4883333333333333,297.0,78.83333333333333,20.0,4.9816666666666665,4.333333333333333,143.57666666666668,4.0,2.3333333333333335,2.9299999999999997,1.2799999999999998,5.1,849.2,32.53,3.6666666666666665,2.03,7.333333333333333,2.2683333333333335,2.25,64.09333333333333,0.04,5.0,4.0,918.71,64.7,1.0,1.2233333333333334,98.0,24.0,321.09999999999997,14.0,30.6,0.51,75.80000000000001,29.0,14.0,3.833333333333333,0.7199999999999998,5.0,1.2416666666666667,27302.0,1.0,20.880000000000003,101.53333333333332,861.4599999999999,0.45,18.3,1782.0,31.0,40.0,14.0,47.599999999999994,7.0,4848.700000000001,609.2,384.56000000000006,9.62,10227.0,142.25,473.0,7.1899999999999995,1.6666666666666663,0.0,0.3333333333333333,174.0,7.34,0.6000000000000001,5224.0,29.889999999999997,7.45,12.18,84.0,2.0,44.0,13.61,10.0,0.0,2.0,4.0,10.0,14.0,13.5,5.0,26.0,22.0,23.0,35.0,0.0,4.0,4.0,84.0,10.0,0.0,1.0,1.0
1,3.48,6.781666666666666,4.0,4771.833333333333,210.0,0.6199999999999999,0.6666666666666666,3.333333333333333,3.0,0.8600000000000001,6.666666666666666,860.2166666666667,2.110000000000003,2.3333333333333335,3.4400000000000004,5.833333333333333,6643.0,24.0,30.249999999999996,0.6199999999999999,153.2433333333333,1824.65,13.268333333333333,0.075,428.48,24.958333333333332,1.2733333333333334,1.9099999999999997,5.71,1.6983333333333333,0.08,841.1666666666666,2145.0,2.855,0.2933333333333333,271.0,79.33333333333333,20.0,4.9366666666666665,4.333333333333333,157.52666666666667,4.0,2.3333333333333335,1.76,1.09,5.55,745.0000000000001,40.69,3.6666666666666665,1.94,7.333333333333333,2.253333333333333,2.17,87.53833333333333,0.04,5.0,4.0,919.46,79.61,1.39,1.2933333333333334,150.0,24.0,293.2,14.0,33.3,0.3700000000000001,35.260000000000005,38.0,14.0,4.333333333333333,0.56,4.1000000000000005,1.3166666666666669,28631.0,1.0,20.880000000000003,106.93333333333332,945.16,0.45,17.13,1626.0,15.0,40.0,14.0,36.8,7.0,5161.3,641.5999999999999,525.23,10.19,10947.9,149.75,476.0,7.64,1.6666666666666663,0.0,0.3333333333333333,228.0,7.76,0.4500000000000002,5047.0,29.62,7.9,11.64,84.0,2.0,44.0,13.52,10.0,0.0,1.0,4.0,10.0,14.0,13.02,5.0,26.0,22.0,26.0,35.0,0.0,4.0,4.0,84.0,10.0,0.0,1.0,1.0
2,2.1885714285714286,7.745714285714285,4.571428571428571,2852.9999999999995,277.0,0.7300000000000002,0.8571428571428571,9.999999999999998,4.0,0.8200000000000001,0.0,607.3071428571429,2.532009999999996,2.8571428571428568,5.44,6.285714285714286,6661.0,31.0,9.005,0.56,124.02,1061.292857142857,8.025,0.0610428571428571,428.55,26.74600142857143,1.3728571428571428,4.3969000000000005,8.57,1.9328571428571428,0.1009999999999999,928.7142857142856,2028.0,1.572857142857143,0.2084285714285714,151.0,83.57142857142857,70.0,5.6667,4.714285714285714,91.91271428571427,6.0,2.8571428571428568,1.459,0.8200000000000001,5.885714285714285,1000.9,54.22,3.1428571428571423,1.9314285714285715,8.857142857142858,2.357142857142857,2.1342857142857143,131.99,0.06,6.0,5.0,868.14,56.175,2.28,1.41,223.0,32.0,229.83,14.57142857142857,41.2,0.1999999999999999,92.72,55.14285714285714,20.0,5.142857142857142,0.5999999999999999,2.9000000000000004,1.4714285714285713,19971.0,2.0,15.32,112.48571428571428,643.389,0.4273,11.010000000000002,1057.0,33.0,0.0,20.0,24.19999999999999,5.0,4251.15,787.4,923.93,13.53,7429.049999999999,187.22201,585.0,9.61,1.7142857142857142,14.0,0.2857142857142857,386.0,9.87,0.2000000000000001,6501.0,39.6669,10.3,13.52,102.0,2.0,62.0,16.5,0.0,2.0,1.0,6.0,0.0,12.0,14.94,6.0,33.0,22.0,36.0,44.0,14.0,5.0,5.0,84.0,12.0,14.0,1.0,1.0
3,0.7933333333333332,2.4247619047619047,5.476190476190476,1421.4342857142856,630.0,1.51,0.9523809523809524,3.095238095238095,4.0,2.3600000000000003,6.904761904761904,365.4071428571429,12.44,3.8571428571428568,5.78,6.761904761904761,9295.42,46.0,31.78,1.42,47.53428571428571,616.4833333333333,4.236190476190476,0.0223809523809523,428.97,18.543333333333333,0.7866666666666665,4.819999999999999,10.5,0.9723809523809523,0.7100000000000001,1170.190476190476,4795.0,2.563809523809524,0.6880952380952381,244.76190476190476,84.85714285714286,65.0,7.245238095238094,5.714285714285714,58.56666666666666,5.0,3.619047619047618,14.45,2.25,2.8409523809523805,2835.4,50.92,2.3809523809523805,3.0438095238095233,6.666666666666666,3.0866666666666664,3.104285714285714,49.68,0.11,11.0,5.0,998.22,88.96,5.71,0.9547619047619048,551.0,115.0,594.59,15.238095238095235,59.66,0.8,110.9,21.9047619047619,76.0,3.0,2.1399999999999997,12.010000000000002,0.888095238095238,29850.12,2.0,16.66,69.37142857142857,1229.9,0.47,53.84,5140.0,45.0,145.0,81.0,107.0,5.0,7673.550000000001,1456.8,1043.28,20.42,12946.15,389.41,1782.0,16.52,1.857142857142857,0.0,0.1428571428571428,460.0,20.049999999999997,1.0,24574.0,152.14999999999998,18.65,63.92,320.0,3.0,140.0,64.82,10.0,0.0,3.0,20.0,10.0,13.999999999999998,65.19,6.0,120.0,50.0,63.0,142.0,0.0,5.0,5.0,294.0,39.0,0.0,1.0,1.0
4,3.626666666666667,7.0,2.6666666666666665,5038.193333333333,583.0,1.51,0.3333333333333333,6.666666666666666,3.0,2.17,3.333333333333333,841.6833333333334,10.63,1.3333333333333333,5.44,5.0,7325.42,22.0,11.08,1.17,286.01,1686.8166666666666,7.606666666666667,0.0666666666666666,428.97,21.806666666666665,1.2599999999999998,4.52,10.5,1.7433333333333332,0.68,925.3333333333331,2395.0,2.84,0.4666666666666666,272.3333333333333,72.33333333333333,20.0,5.356666666666666,3.333333333333333,168.19,4.0,1.3333333333333333,1.4,1.91,5.53,1180.4,21.0,4.666666666666667,2.173333333333333,9.333333333333332,2.433333333333333,2.4499999999999997,77.24666666666666,0.1,5.0,4.0,858.03,22.82,0.33,1.2633333333333334,35.0,8.0,247.17,12.666666666666666,16.59,0.8,91.87,34.0,4.0,4.0,1.7399999999999998,7.11,1.2666666666666666,15114.58,1.0,10.88,100.73333333333332,504.5700000000001,0.2,8.52,817.0,39.0,10.0,4.0,83.6,5.0,2525.05,302.2,231.74,5.2299999999999995,5060.45,65.42,217.0,3.78,1.3333333333333333,0.0,0.6666666666666666,102.0,3.79,1.0,2776.0,16.07,3.8,6.52,38.0,2.0,28.0,7.3,10.0,0.0,3.0,1.0,10.0,13.999999999999998,7.35,5.0,10.0,14.0,12.0,15.0,0.0,4.0,4.0,42.0,4.0,0.0,1.0,1.0
5,3.3320000000000003,6.6000000000000005,2.8000000000000003,4473.832,583.0,1.51,0.8,6.0,3.0,2.17,4.0,881.3900000000001,10.82,1.6,5.78,5.200000000000001,7325.42,25.0,17.380000000000003,1.21,185.97200000000004,1712.75,8.128,0.062,428.97,21.136000000000003,1.19,4.579999999999999,12.0,1.63,0.68,978.8,3323.0,3.006,0.512,288.8,73.2,30.0,5.646,3.8000000000000007,172.996,4.0,1.6,2.56,1.98,4.436,1772.4,33.0,4.4,2.35,8.8,2.588,2.51,70.83200000000001,0.11,6.0,4.0,929.86,40.64,1.27,1.166,129.0,14.0,353.59,12.8,22.18,0.8,91.87,31.2,8.0,3.8,2.0199999999999996,7.11,1.16,22369.16,2.0,16.66,80.78,864.9800000000001,0.31,15.03,1444.0,39.0,20.0,8.0,83.6,5.0,4406.950000000001,403.9,354.16,8.15,8563.75,105.68,366.0,5.95,1.2000000000000002,0.0,0.8,156.0,5.83,1.0,4894.0,28.229999999999997,5.8,11.75,64.0,4.0,44.0,12.94,10.0,0.0,3.0,4.0,10.0,14.0,12.55,6.0,19.0,22.0,19.0,26.0,0.0,4.0,4.0,70.0,6.0,0.0,2.0,2.0
6,4.293333333333334,7.69,2.6666666666666665,5424.666666666666,269.0,0.6500000000000001,0.3333333333333333,6.666666666666666,3.0,1.0400000000000005,3.333333333333333,952.0833333333334,2.580000000000002,1.3333333333333333,3.4400000000000004,5.0,6166.0,23.0,9.58,0.7699999999999999,286.09,1896.05,8.106666666666666,0.0866666666666666,428.73,24.49,1.393333333333333,1.9999999999999996,8.43,1.9533333333333331,0.47,820.6666666666666,1767.3000000000002,2.916666666666667,0.3966666666666666,282.3333333333333,72.66666666666666,20.0,4.516666666666666,3.333333333333333,170.32000000000002,4.0,1.3333333333333333,1.19,1.2799999999999998,6.233333333333333,849.2,23.07,4.666666666666667,1.7966666666666666,9.333333333333332,2.1466666666666665,2.11,82.60333333333332,0.04,5.0,4.0,858.27,24.32,0.1,1.36,5.0,8.0,240.78,12.666666666666666,18.7,0.51,75.80000000000001,36.666666666666664,4.0,4.333333333333333,0.7199999999999998,5.0,1.4,16274.0,1.0,12.88,112.73333333333332,510.96,0.26,8.75,847.0,31.0,10.0,4.0,47.599999999999994,5.0,2856.25,338.2,247.81,5.859999999999999,5688.150000000001,73.47,218.0,4.18,1.3333333333333333,0.0,0.6666666666666666,110.0,4.08,0.6000000000000001,2462.0,13.55,4.2,5.390000000000001,38.0,2.0,28.0,6.4399999999999995,10.0,0.0,2.0,1.0,10.0,13.999999999999998,6.33,5.0,10.0,14.0,13.0,15.0,0.0,4.0,4.0,42.0,4.0,0.0,1.0,1.0
7,3.48,7.113333333333333,3.6666666666666665,4340.0,232.0,0.6199999999999999,0.6666666666666666,5.0,3.0,0.8600000000000001,5.0,740.9833333333333,1.6799999999999995,2.3333333333333335,3.4400000000000004,5.666666666666666,5723.0,24.0,4.61,0.6199999999999999,154.36,1731.3166666666668,8.283333333333333,0.0733333333333333,428.48,25.576666666666668,1.3066666666666666,1.9099999999999997,5.71,1.7516666666666665,0.09,832.3333333333333,1585.0,2.736666666666667,0.2783333333333333,258.5,79.5,30.0,4.928333333333333,4.333333333333333,151.67666666666665,4.0,2.3333333333333335,1.67,1.09,5.816666666666666,745.0000000000001,42.68,3.6666666666666665,1.9216666666666664,7.333333333333333,2.245,2.1416666666666666,95.22166666666666,0.04,5.0,4.0,926.16,49.7,0.6800000000000002,1.325,75.0,22.0,258.1,14.0,34.9,0.3700000000000001,39.75,41.0,14.0,4.5,0.6100000000000001,4.1000000000000005,1.35,26040.0,1.0,20.880000000000003,109.43333333333332,910.06,0.44,16.42,1551.0,16.0,30.0,14.0,36.8,7.0,4445.9,656.5999999999999,571.3299999999999,10.51,10387.9,153.46,477.0,7.84,1.6666666666666663,0.0,0.3333333333333333,246.0,7.949999999999999,0.4500000000000002,4994.0,29.57,8.1,11.53,84.0,2.0,44.0,13.47,10.0,0.0,1.0,4.0,10.0,14.0,12.85,5.0,26.0,22.0,27.0,34.0,0.0,4.0,4.0,84.0,10.0,0.0,1.0,1.0
8,3.617142857142857,6.2057142857142855,3.714285714285714,4068.857142857142,269.0,0.6500000000000001,0.5714285714285714,4.285714285714286,3.0,1.0400000000000005,5.7142857142857135,850.4928571428571,2.580000000000002,2.142857142857143,3.4400000000000004,5.571428571428571,6166.0,23.0,25.98,0.7699999999999999,191.11571428571423,1499.8785714285714,9.537142857142856,0.0799999999999999,428.73,24.154285714285713,1.2471428571428569,1.9999999999999996,8.43,1.694285714285714,0.47,877.1428571428571,1767.3000000000002,2.9085714285714284,0.4542857142857142,284.4285714285714,77.57142857142857,30.0,4.895714285714285,4.142857142857142,116.55714285714286,4.0,2.142857142857143,3.1799999999999997,1.2799999999999998,5.242857142857143,849.2,43.440000000000005,3.8571428571428568,1.99,8.0,2.244285714285714,2.227142857142857,70.67714285714285,0.04,5.0,4.0,1337.81,66.76,0.1099999999999998,1.262857142857143,23.0,26.0,240.78,13.714285714285715,36.7,0.51,75.80000000000001,31.714285714285715,15.0,4.0,0.7199999999999998,5.0,1.2785714285714285,28482.0,1.0,25.32,104.12857142857143,815.9,0.56,20.360000000000003,1991.0,31.0,40.0,15.0,47.599999999999994,6.0,5953.450000000001,728.9,494.74,11.86,10499.15,169.08,543.0,8.729999999999999,1.5714285714285712,0.0,0.4285714285714285,222.0,8.84,0.6000000000000001,6140.0,34.269999999999996,8.950000000000001,13.93,96.0,3.0,56.0,15.71,10.0,0.0,2.0,4.0,10.0,14.0,15.59,5.0,29.0,27.0,28.0,39.0,0.0,4.0,4.0,98.0,11.0,0.0,1.0,1.0
9,3.617142857142857,7.371428571428572,3.714285714285714,4258.714285714285,216.0,0.6199999999999999,0.5714285714285714,4.285714285714286,3.0,0.8600000000000001,5.7142857142857135,895.15,0.6300000000000026,2.142857142857143,3.4400000000000004,5.571428571428571,5723.0,24.0,21.01,0.6199999999999999,191.22285714285712,1602.8642857142854,11.667142857142856,0.0799999999999999,428.48,25.22571428571428,1.3114285714285714,1.9099999999999997,5.71,1.7757142857142854,0.09,851.8571428571429,1595.0,2.741428571428571,0.2871428571428571,262.1428571428571,78.0,30.0,4.857142857142857,4.142857142857142,128.51428571428573,4.0,2.142857142857143,2.01,1.09,5.628571428571428,745.0000000000001,51.60000000000001,3.8571428571428568,1.9128571428571428,8.0,2.2314285714285713,2.1585714285714284,90.77285714285712,0.04,5.0,4.0,1338.56,81.67000000000002,0.5,1.3228571428571427,75.0,26.0,215.82,13.714285714285715,39.400000000000006,0.3700000000000001,32.95,39.42857142857143,15.0,4.428571428571429,0.56,4.1000000000000005,1.3428571428571427,29811.0,1.0,25.32,108.75714285714284,899.6,0.56,19.19,1835.0,14.0,40.0,15.0,36.8,6.0,6266.05,761.3,635.4100000000001,12.43,11220.05,176.58,546.0,9.18,1.5714285714285712,0.0,0.4285714285714285,276.0,9.259999999999998,0.4500000000000002,5963.0,34.0,9.4,13.39,96.0,3.0,56.0,15.62,10.0,0.0,1.0,4.0,10.0,14.0,15.11,5.0,29.0,27.0,31.0,39.0,0.0,4.0,4.0,98.0,11.0,0.0,1.0,1.0
