Formula,Material ID,formula_unit_mass,volume,density,estimate_formula_unit_mass
Ag2GeS3,mp-9900,769.1428,267.8800172376773,4.767775067226901,1277.19166719411
Ag2GeSe3,mp-1096802,1050.5128,309.1608416617966,5.642427207102897,1744.4175443633521
Ag2HgI4,mp-1229122,923.94428,266.9819945542102,5.746625628681051,1534.2455723016092
Ag2Mo(I2O7)2,mp-1203404,2086.5717600000003,652.7579761325347,5.30799170509228,3464.833922744319
Ag2SnSe3,mp-1096812,4570.611199999999,1334.2855014743436,5.688196752084279,7589.678455839505
Ag3AsS3,mp-561620,1978.8848,609.2106551768919,5.393890423250709,3286.0155187009273
Ag3AsSe3,mp-662599,7624.874400000001,1999.8841113957092,6.331067758862241,12661.401819118237
Ag3SbS3,mp-555269,2166.2384,619.9007608841648,5.802740886522704,3597.1234907690773
Ag5IO6,mp-554648,1524.4837400000001,343.4676252786343,7.370315629057774,2531.464806666477
Ag7AsS6,mp-15077,4089.556,1207.0375974621934,5.62606129032458,6790.867503048429
Ag8GeS6,mp-9770,4511.9024,1207.5522476673805,6.204443918976512,7492.190199886298
AgAsS2,mp-13740,1481.5188,552.3327139333244,4.454054201829025,2460.119845302352
AgBi(PS3)2,mp-556434,1142.3722480000001,457.3324642244417,4.147865928609672,1896.9537464036637
AgBi(PSe3)2,mp-569126,1705.112248,566.7127483749094,4.996191648875751,2831.4055007421475
AgBiPbS3,mp-1229121,620.2436,145.92686384687448,7.057910390573253,1029.938728608624
AgBiS2,mp-1172905,1142.9358,271.2521356624077,6.996772732797138,1897.889546515724
AgBiSe2,mp-27916,1424.3058,297.73718917118396,7.9436345532406545,2365.115423684966
AgBr,mp-23231,187.7722,48.383937881431955,6.444350901853475,311.8030737214285
AgCl,mp-22922,143.3212,42.630581348524416,5.582622712233539,237.99045167199188
AgI,mp-580941,939.09068,268.4034289336924,5.809898805745882,1559.3967612199592
AgN3,mp-2247,299.77660000000003,115.16431806585773,4.322439136641746,497.7907555525215
AgP15,mp-1195243,1144.9492599999999,684.410342322954,2.7779138594717816,1901.2329755047604
AgPd(IO3)3,mp-1193499,1477.99242,465.41801932070825,5.273246955781274,2454.264153548675
AgSbS2,mp-3922,1175.0328,387.33956674979146,5.037409127368563,1951.1878689363843
AgTe,mp-568761,3767.4912,859.737489564989,7.276716900919564,6256.066320671713
Al2S3,mp-1228491,300.31615439999996,217.81180719136236,2.2895301826964203,498.6867067122773
Al2Se3,mp-11674,581.6861544,252.55345149639967,3.8245867485017886,965.9125838815194
Al2Te3,mp-29502,3494.1046175999995,1396.1935742271558,4.155653863056866,5802.097220312253
AlAgO2,mp-9631,333.69707719999997,87.85832335519181,6.30693839740901,554.1170331008361
AlAgS2,mp-5782,397.9594772,169.43391449112184,3.900206524762423,660.8272588143119
AlAgSe2,mp-14091,585.5394772,196.76109454324234,4.941582476882666,972.31117692714
AlAgTe2,mp-14092,780.0994771999999,245.06077562489892,5.285977139432593,1295.3856577248357
AlCuS2,mp-4979,309.3150772,146.42766229382923,3.5077372781402407,513.6297695789949
AlCuSe2,mp-8016,496.89507719999995,172.56789465764706,4.781385838476759,825.1136876918229
AlCuTe2,mp-8017,691.4550772,218.71279783515297,5.249753008760489,1148.1881684895188
