Formula,Material ID,formula_unit_mass,volume,density,estimate_density
Ag2GeS3,mp-9900,769.1428,267.8800172376773,4.767775067226901,4.767777747224823
Ag2GeSe3,mp-1096802,1050.5128,309.1608416617966,5.642427207102897,5.6424303787485774
Ag2HgI4,mp-1229122,923.94428,266.9819945542102,5.746625628681051,5.746628858897353
Ag2Mo(I2O7)2,mp-1203404,2086.5717600000003,652.7579761325347,5.30799170509228,5.307994688749551
Ag2SnSe3,mp-1096812,4570.611199999999,1334.2855014743436,5.688196752084279,5.6881999494573225
Ag3AsS3,mp-561620,1978.8848,609.2106551768919,5.393890423250709,5.3938934551922175
Ag3AsSe3,mp-662599,7624.874400000001,1999.8841113957092,6.331067758862241,6.331071317597332
Ag3SbS3,mp-555269,2166.2384,619.9007608841648,5.802740886522704,5.802744148281763
Ag5IO6,mp-554648,1524.4837400000001,343.4676252786343,7.370315629057774,7.370319771960972
Ag7AsS6,mp-15077,4089.556,1207.0375974621934,5.62606129032458,5.626064452770869
Ag8GeS6,mp-9770,4511.9024,1207.5522476673805,6.204443918976512,6.2044474065355075
AgAsS2,mp-13740,1481.5188,552.3327139333244,4.454054201829025,4.454056705482372
AgBi(PS3)2,mp-556434,1142.3722480000001,457.3324642244417,4.147865928609672,4.147868260152565
AgBi(PSe3)2,mp-569126,1705.112248,566.7127483749094,4.996191648875751,4.996194457268146
AgBiPbS3,mp-1229121,620.2436,145.92686384687448,7.057910390573253,7.0579143578713985
AgBiS2,mp-1172905,1142.9358,271.2521356624077,6.996772732797138,6.996776665729401
AgBiSe2,mp-27916,1424.3058,297.73718917118396,7.9436345532406545,7.943639018410215
AgBr,mp-23231,187.7722,48.383937881431955,6.444350901853475,6.44435452426577
AgCl,mp-22922,143.3212,42.630581348524416,5.582622712233539,5.582625850262716
AgI,mp-580941,939.09068,268.4034289336924,5.809898805745882,5.809902071528456
AgN3,mp-2247,299.77660000000003,115.16431806585773,4.322439136641746,4.322441566313395
