Formula,Material ID,a,b,c,avg_lattice,volume,density
Ag2GeS3,mp-9900,6.44584315,6.877781965287755,6.877783162950538,6.7338027594127645,267.8800172376773,4.767775067226901
Ag2GeSe3,mp-1096802,7.219082353701193,7.219082353701193,6.79972824,7.079297649134129,309.1608416617966,5.642427207102897
Ag2HgI4,mp-1229122,7.8496100836218305,7.8496100836218305,7.8496100836218305,7.8496100836218305,266.9819945542102,5.746625628681051
Ag2Mo(I2O7)2,mp-1203404,7.0246999361773454,7.0246999361773454,17.76058118750918,10.603327019954625,652.7579761325347,5.30799170509228
Ag2SnSe3,mp-1096812,7.4025962440352995,7.4025962440352995,28.12003028226073,14.308407590110443,1334.2855014743436,5.688196752084279
Ag3AsS3,mp-561620,6.798717428846717,6.798717428846717,16.978420394995585,10.191951750896338,609.2106551768919,5.393890423250709
Ag3AsSe3,mp-662599,8.237619,11.502629,21.106004,13.615417333333333,1999.8841113957092,6.331067758862241
Ag3SbS3,mp-555269,15.96725416,6.270943931663298,6.903645611507789,9.71394790105703,619.9007608841648,5.802740886522704
Ag5IO6,mp-554648,11.482982645955797,11.482982645955797,11.482982312502008,11.482982534804535,343.4676252786343,7.370315629057774
Ag7AsS6,mp-15077,10.647319,10.647319,10.647319,10.647319,1207.0375974621934,5.62606129032458
Ag8GeS6,mp-9770,7.49334839,10.62364144,15.16898778,11.095325870000002,1207.5522476673805,6.204443918976512
AgAsS2,mp-13740,8.706295448291712,8.706295448291712,8.706295695251569,8.706295530611664,552.3327139333244,4.454054201829025
AgBi(PS3)2,mp-556434,6.4432323606361575,7.309027292053072,9.78534094595244,7.845866866213889,457.3324642244417,4.147865928609672
AgBi(PSe3)2,mp-569126,14.861635384210784,14.861635384210784,14.861635414442718,14.861635394288095,566.7127483749094,4.996191648875751
AgBiPbS3,mp-1229121,7.092525281926389,7.092525281926389,7.092525281926389,7.092525281926389,145.92686384687448,7.057910390573253
AgBiS2,mp-1172905,4.048440965014681,4.048440965014681,19.110277,9.069052976676454,271.2521356624077,6.996772732797138
AgBiSe2,mp-27916,4.17172187,4.171721263929564,19.75476391,9.36606901464319,297.73718917118396,7.9436345532406545
AgBr,mp-23231,4.0901443391195125,4.090145303000964,4.09014583,4.090145157373492,48.383937881431955,6.444350901853475
AgCl,mp-22922,3.921137907804589,3.9211372723398488,3.92113719,3.921137456714813,42.630581348524416,5.582622712233539
AgI,mp-580941,4.50627558,4.5062760801161925,15.26236861,8.09164009003873,268.4034289336924,5.809898805745882
AgN3,mp-2247,5.350296863202733,5.350296863202733,5.350296863202733,5.350296863202733,115.16431806585773,4.322439136641746
AgP15,mp-1195243,7.141303399805232,9.077815992131823,11.472064858883266,9.23039475027344,684.410342322954,2.7779138594717816
AgPd(IO3)3,mp-1193499,7.473371496452187,8.196688592493556,8.787439175831375,8.152499754925707,465.41801932070825,5.273246955781274
AgSbS2,mp-3922,4.62089793,6.801795097316418,13.246779909540734,8.223157645619052,387.33956674979146,5.037409127368563
AgTe,mp-568761,4.78356307,8.96352613,20.0509739,11.266021033333333,859.737489564989,7.276716900919564
Al2S3,mp-1228491,6.488002119483309,6.488002119483309,7.023954188972549,6.666652809313057,217.81180719136236,2.2895301826964203
Al2Se3,mp-11674,6.77603462,6.796515763144811,7.380781423650373,6.984443935598395,252.55345149639967,3.8245867485017886
