,Feature,Importance
33,avg_Number_of_electrons_forming_covalent_bonds,0.2717164050395589
9,avg_Density_(g/mL),0.17177817046019767
16,avg_Number_of_unfilled_d_valence_electrons,0.06704709908167276
82,sum_valence_d,0.03925810565635588
61,sum_Number_of_unfilled_p_valence_electrons,0.03017109906720834
71,sum_heat_atomization(kJ/mol),0.021190126238222074
51,sum_Critical_Temperature,0.015911784859720054
49,sum_Cohesive_energy,0.015632875251200523
52,sum_Density_(g/mL),0.015424073020341322
39,avg_valence_d,0.014260505427977197
107,range_Pauling_Electronegativity,0.013373044115352978
115,range_heat_of_fusion_(kJ/mol)_,0.013273698498371695
86,range_1st_ionization_potential_(kJ/mol),0.012867106321161174
119,range_Number_of_electrons_forming_covalent_bonds,0.011893672154781397
24,avg_abs_valence,0.010654078130894336
76,sum_Number_of_electrons_forming_covalent_bonds,0.009745191038846171
0,avg_1st_ionization_potential_(kJ/mol),0.009468991604789345
95,range_Density_(g/mL),0.00874326294541549
91,range_Boiling_Point_(K),0.007935465943347908
38,avg_thermal_conductivity_(W/(m_K))_,0.00753699328765721
10,avg_Gordy_electonegativity,0.007349032600819372
31,avg_ionic_radius,0.007312214250713546
14,avg_Molar_Heat_Capacity(J/mol_K),0.00668893844298525
72,sum_heat_of_fusion_(kJ/mol)_,0.0066619171356851565
23,avg_Zunger_radii_sum,0.006521338413832788
26,avg_gilmor_number_of_valence_electron,0.0059453004313801084
87,range_Allred-Rockow_electronegativity,0.0056736354433623674
96,range_Gordy_electonegativity,0.005487181268911819
94,range_Critical_Temperature,0.0054583157171682
11,avg_Melting_point_(K),0.005325741506736087
101,range_Nagle_electonegativity,0.0049074134902709005
2,avg_Atomic_Number,0.004552418129923108
102,range_Number_of_unfilled_d_valence_electrons,0.004435305399424865
29,avg_heat_of_fusion_(kJ/mol)_,0.0041860874019121735
99,range_Molar_Denstiy_(mol/ml),0.004176940137434546
100,range_Molar_Heat_Capacity(J/mol_K),0.004143516264622892
13,avg_Molar_Denstiy_(mol/ml),0.004043670403580253
6,avg_Cohesive_energy,0.0039062452287562735
98,range_Mendele_Number,0.0037281028351803117
28,avg_heat_atomization(kJ/mol),0.003684328647614022
35,avg_outer_shell_electrons,0.003609000823458612
34,avg_number_of_valence_electrons,0.0036051969169776776
12,avg_Mendele_Number,0.003407835200943712
123,range_specific_heat_(J/g_K)_,0.0033977808348002315
111,range_families,0.0033232707640764537
8,avg_Critical_Temperature,0.003180104634056454
125,range_valence_d,0.003037170062179071
92,range_Cohesive_energy,0.0029775008025828427
90,range_Atomic_Weight,0.0029754499933489532
41,avg_valence_p,0.002933396289373335
124,range_thermal_conductivity_(W/(m_K))_,0.0029000549723556617
15,avg_Nagle_electonegativity,0.0027681681265831204
64,sum_Pauling_Electronegativity,0.0027671432348973656
4,avg_Atomic_Weight,0.0027564279152571813
66,sum_Zunger_radii_sum,0.002756226912895387
48,sum_Boiling_Point_(K),0.0027540416948808187
18,avg_Number_of_unfilled_p_valence_electrons,0.0027529298480321518
21,avg_Pauling_Electronegativity,0.0026678292049188957
110,range_abs_valence,0.0025837356844000746
81,sum_thermal_conductivity_(W/(m_K))_,0.0024641451814376566
116,range_heat_of_vaporization_(kJ/mol)_,0.0024608255742228193
7,avg_Covalent_Radius,0.0024368457481072905
47,sum_Atomic_Weight,0.002421265522306471
37,avg_specific_heat_(J/g_K)_,0.0024206960298335713
53,sum_Gordy_electonegativity,0.002385678330091191
1,avg_Allred-Rockow_electronegativity,0.0023758747200308193
79,sum_polarizability(A^3),0.0023382488114454085
56,sum_Molar_Denstiy_(mol/ml),0.0023041011158791646
5,avg_Boiling_Point_(K),0.0021732976962043037
36,avg_polarizability(A^3),0.0020854202361813333
105,range_Number_of_unfilled_s_valence_electrons,0.002010523558894083
88,range_Atomic_Number,0.0019923241832468523
20,avg_Orbital_Radius(pm),0.0018458506711913195
30,avg_heat_of_vaporization_(kJ/mol)_,0.001785326266950635
32,avg_l_quantum_number,0.001752163734794894
120,range_number_of_valence_electrons,0.0017034129343610077
42,avg_valence_s,0.0016109644542075326
97,range_Melting_point_(K),0.001560775832161418
25,avg_families,0.0015402943998080174
114,range_heat_atomization(kJ/mol),0.0015048755136704375
62,sum_Number_of_unfilled_s_valence_electrons,0.0014792651046778484
93,range_Covalent_Radius,0.0012264511633169708
89,range_Atomic_Radus,0.0011700880853005588
128,range_valence_s,0.0011672042879144343
73,sum_heat_of_vaporization_(kJ/mol)_,0.0011111788239379133
54,sum_Melting_point_(K),0.0010772984230591393
57,sum_Molar_Heat_Capacity(J/mol_K),0.000958894388283562
109,range_Zunger_radii_sum,0.0009487308550895445
104,range_Number_of_unfilled_p_valence_electrons,0.0009398269900006366
27,avg_group,0.0009354175185467961
43,sum_1st_ionization_potential_(kJ/mol),0.0009234736531426105
17,avg_Number_of_unfilled_f_valence_electrons,0.0009005499331526786
84,sum_valence_p,0.000881771309436275
80,sum_specific_heat_(J/g_K)_,0.0008200438076206707
19,avg_Number_of_unfilled_s_valence_electrons,0.0007958244661596975
67,sum_abs_valence,0.0007742373034953059
3,avg_Atomic_Radus,0.0006948380203608711
50,sum_Covalent_Radius,0.0006886746627743633
122,range_polarizability(A^3),0.0006727892668954613
55,sum_Mendele_Number,0.0006615939556011581
58,sum_Nagle_electonegativity,0.000592376479826439
44,sum_Allred-Rockow_electronegativity,0.0005635427456670871
59,sum_Number_of_unfilled_d_valence_electrons,0.0005188347784290954
127,range_valence_p,0.0005121171886450684
22,avg_Period,0.0005101874041987469
118,range_l_quantum_number,0.0005071666293925013
75,sum_l_quantum_number,0.000474937121549403
117,range_ionic_radius,0.0004653846693378123
83,sum_valence_f,0.00037646230814070814
74,sum_ionic_radius,0.0003528712520784216
63,sum_Orbital_Radius(pm),0.0003515741165117476
85,sum_valence_s,0.0003163815865895644
45,sum_Atomic_Number,0.000298833658191296
65,sum_Period,0.00026889314427892716
108,range_Period,0.00023801670411158113
121,range_outer_shell_electrons,0.0002209512774048954
46,sum_Atomic_Radus,0.00021058047358726392
70,sum_group,0.00020883824895397333
113,range_group,0.00019924135450420405
112,range_gilmor_number_of_valence_electron,0.00019755287136626618
106,range_Orbital_Radius(pm),0.00019404098443273266
78,sum_outer_shell_electrons,0.00019148681132817634
60,sum_Number_of_unfilled_f_valence_electrons,0.00017323208935974768
77,sum_number_of_valence_electrons,0.0001719673172637012
69,sum_gilmor_number_of_valence_electron,0.00016276175905640558
126,range_valence_f,0.00015882037529487165
40,avg_valence_f,0.00014050964187718514
68,sum_families,0.00011537748880306429
103,range_Number_of_unfilled_f_valence_electrons,8.334177662195418e-05
