,Feature,Importance
33,avg_Number_of_electrons_forming_covalent_bonds,0.47184149484110044
9,avg_Density_(g/mL),0.11104837108222386
39,avg_valence_d,0.035077990322311285
16,avg_Number_of_unfilled_d_valence_electrons,0.033907992803897266
82,sum_valence_d,0.02089908568618629
86,range_1st_ionization_potential_(kJ/mol),0.014169994826693066
107,range_Pauling_Electronegativity,0.012861627388973373
115,range_heat_of_fusion_(kJ/mol)_,0.01218554056749349
84,sum_valence_p,0.011154195208020225
100,range_Molar_Heat_Capacity(J/mol_K),0.009191715305547818
8,avg_Critical_Temperature,0.008038303030451908
94,range_Critical_Temperature,0.007684913443853539
6,avg_Cohesive_energy,0.0072948584577700835
76,sum_Number_of_electrons_forming_covalent_bonds,0.005911949983237199
124,range_thermal_conductivity_(W/(m_K))_,0.005824490450494213
5,avg_Boiling_Point_(K),0.00580595874882093
10,avg_Gordy_electonegativity,0.0057052930151203374
109,range_Zunger_radii_sum,0.005700156905688032
96,range_Gordy_electonegativity,0.005626239444879421
29,avg_heat_of_fusion_(kJ/mol)_,0.00529740741630117
101,range_Nagle_electonegativity,0.005195791997098112
13,avg_Molar_Denstiy_(mol/ml),0.005158842678308344
35,avg_outer_shell_electrons,0.0050653992475336515
97,range_Melting_point_(K),0.005033796622968275
72,sum_heat_of_fusion_(kJ/mol)_,0.005000230983644405
3,avg_Atomic_Radus,0.004941348539871375
11,avg_Melting_point_(K),0.004937815091015524
12,avg_Mendele_Number,0.004886932785550331
119,range_Number_of_electrons_forming_covalent_bonds,0.00467310049104338
38,avg_thermal_conductivity_(W/(m_K))_,0.0044317174020587335
24,avg_abs_valence,0.004143806498024388
114,range_heat_atomization(kJ/mol),0.004114878158724286
89,range_Atomic_Radus,0.004025003245418558
21,avg_Pauling_Electronegativity,0.0038346531745362717
110,range_abs_valence,0.00377613784757242
7,avg_Covalent_Radius,0.003748238649879044
15,avg_Nagle_electonegativity,0.0037313497575839276
4,avg_Atomic_Weight,0.003511491979900449
123,range_specific_heat_(J/g_K)_,0.0034820548118842903
36,avg_polarizability(A^3),0.0034303259761775022
32,avg_l_quantum_number,0.003258022937840696
99,range_Molar_Denstiy_(mol/ml),0.0032167852244713233
22,avg_Period,0.0031460700980243616
95,range_Density_(g/mL),0.0031345056758840533
14,avg_Molar_Heat_Capacity(J/mol_K),0.0031195499407487793
