,Feature,Importance
9,avg_Density_(g/mL),0.055819975624228864
33,avg_metallic_valence,0.052522325608775455
15,avg_Nagle_electonegativity,0.033534612239830765
86,range_1st_ionization_potential_(kJ/mol),0.02859466489107946
101,range_Nagle_electonegativity,0.027277121080490595
52,sum_Density_(g/mL),0.02637486316844883
107,range_Pauling_Electronegativity,0.026065096306456294
76,sum_metallic_valence,0.025496897396272398
0,avg_1st_ionization_potential_(kJ/mol),0.025431100601923776
14,avg_Molar_Heat_Capacity(J/mol_K),0.0247059577477437
1,avg_Allred-Rockow_electronegativity,0.022490707037275244
87,range_Allred-Rockow_electronegativity,0.021975314149031533
49,sum_Cohesive_energy,0.01783140656430003
51,sum_Critical_Temperature,0.017534193137413074
16,avg_Number_of_unfilled_d_valence_electrons,0.016718683995569267
71,sum_heat_atomization(kJ/mol),0.015895282687337857
100,range_Molar_Heat_Capacity(J/mol_K),0.01573094550318436
22,avg_Period,0.014832086202470729
82,sum_valence_d,0.01431176868384183
95,range_Density_(g/mL),0.014086590103479874
48,sum_Boiling_Point_(K),0.014074124475983822
21,avg_Pauling_Electronegativity,0.012771126086553466
10,avg_Gordy_electonegativity,0.012208474665552986
39,avg_valence_d,0.012165630990997624
96,range_Gordy_electonegativity,0.011257909624751023
8,avg_Critical_Temperature,0.010823160531523582
31,avg_ionic_radius,0.010491696728912203
102,range_Number_of_unfilled_d_valence_electrons,0.01031935112051875
125,range_valence_d,0.010158891638297729
37,avg_specific_heat_(J/g_K)_,0.009936502599961327
4,avg_Atomic_Weight,0.00973599102264903
2,avg_Atomic_Number,0.009717201934244106
7,avg_Covalent_Radius,0.009562414866861657
23,avg_Zunger_radii_sum,0.009368335941649715
13,avg_Molar_Denstiy_(mol/ml),0.0091346234900526
28,avg_heat_atomization(kJ/mol),0.008821041046431185
11,avg_Melting_point_(K),0.008481523957616166
20,avg_Orbital_Radius(pm),0.008292621118861095
29,avg_heat_of_fusion_(kJ/mol)_,0.008271122702110178
56,sum_Molar_Denstiy_(mol/ml),0.008166129675237667
72,sum_heat_of_fusion_(kJ/mol)_,0.008139119940590656
3,avg_Atomic_Radus,0.007822484368644963
54,sum_Melting_point_(K),0.007664099969653836
6,avg_Cohesive_energy,0.007069539883866458
32,avg_l_quantum_number,0.0070244145217875555
61,sum_Number_of_unfilled_p_valence_electrons,0.0063288719152935595
115,range_heat_of_fusion_(kJ/mol)_,0.005912854926732025
34,avg_number_of_valence_electrons,0.005703497015775947
5,avg_Boiling_Point_(K),0.005483002411973495
68,sum_families,0.00537419393208063
24,avg_abs_valence,0.004907001230063779
47,sum_Atomic_Weight,0.004903235586518787
119,range_metallic_valence,0.004856661387932287
73,sum_heat_of_vaporization_(kJ/mol)_,0.004846959336788117
44,sum_Allred-Rockow_electronegativity,0.004750822282810442
93,range_Covalent_Radius,0.004649167674921512
123,range_specific_heat_(J/g_K)_,0.0045923836479983965
98,range_Mendele_Number,0.004532451422589462
45,sum_Atomic_Number,0.004459831501196345
90,range_Atomic_Weight,0.004362788108967872
12,avg_Mendele_Number,0.00427688865325979
113,range_group,0.004203369521376107
35,avg_outer_shell_electrons,0.004144404362972664
64,sum_Pauling_Electronegativity,0.004125582325828025
85,sum_valence_s,0.003941842862541845
36,avg_polarizability(A^3),0.003936318202777752
57,sum_Molar_Heat_Capacity(J/mol_K),0.003915868283768373
99,range_Molar_Denstiy_(mol/ml),0.0039011725510051448
92,range_Cohesive_energy,0.0038119191015164693
111,range_families,0.003769377722281375
94,range_Critical_Temperature,0.0037323718382817335
55,sum_Mendele_Number,0.0037059694124850686
58,sum_Nagle_electonegativity,0.0036353008964725613
117,range_ionic_radius,0.003615953270159414
114,range_heat_atomization(kJ/mol),0.003564320944937661
65,sum_Period,0.0034869050541091167
50,sum_Covalent_Radius,0.0034685312107073482
63,sum_Orbital_Radius(pm),0.0034510499353338545
26,avg_gilmor_number_of_valence_electron,0.003425573274343063
80,sum_specific_heat_(J/g_K)_,0.003287666801182136
25,avg_families,0.003276342983066009
127,range_valence_p,0.003264158186318333
30,avg_heat_of_vaporization_(kJ/mol)_,0.003232762662657616
27,avg_group,0.003222307174478576
75,sum_l_quantum_number,0.003159258605848098
38,avg_thermal_conductivity_(W/(m_K))_,0.0031035903490354176
18,avg_Number_of_unfilled_p_valence_electrons,0.003098942455810117
53,sum_Gordy_electonegativity,0.003033260118064489
112,range_gilmor_number_of_valence_electron,0.0030303584026349193
41,avg_valence_p,0.00302308284511421
122,range_polarizability(A^3),0.003020450509210758
46,sum_Atomic_Radus,0.003011391653727929
104,range_Number_of_unfilled_p_valence_electrons,0.002989559440795674
66,sum_Zunger_radii_sum,0.002983510266898749
97,range_Melting_point_(K),0.002975489192729376
81,sum_thermal_conductivity_(W/(m_K))_,0.0029403073697297295
124,range_thermal_conductivity_(W/(m_K))_,0.0029023028928150344
43,sum_1st_ionization_potential_(kJ/mol),0.0028226019003258053
89,range_Atomic_Radus,0.0027975292878354274
74,sum_ionic_radius,0.002774223527550172
88,range_Atomic_Number,0.0027740290424702243
120,range_number_of_valence_electrons,0.0027307628252269773
91,range_Boiling_Point_(K),0.002603710676602424
70,sum_group,0.002592556417568884
116,range_heat_of_vaporization_(kJ/mol)_,0.002585528714847316
106,range_Orbital_Radius(pm),0.00258406098675567
79,sum_polarizability(A^3),0.0024801554627278044
59,sum_Number_of_unfilled_d_valence_electrons,0.0022918225845204856
121,range_outer_shell_electrons,0.0022610242620892088
77,sum_number_of_valence_electrons,0.0022596646301126662
84,sum_valence_p,0.0020126033379190378
109,range_Zunger_radii_sum,0.0019945979216466547
110,range_abs_valence,0.0019193685245124663
78,sum_outer_shell_electrons,0.0019023115062715293
60,sum_Number_of_unfilled_f_valence_electrons,0.001859194196033534
42,avg_valence_s,0.001787759694831309
67,sum_abs_valence,0.0017527828509675593
19,avg_Number_of_unfilled_s_valence_electrons,0.001454467407899644
69,sum_gilmor_number_of_valence_electron,0.0013688877763657619
17,avg_Number_of_unfilled_f_valence_electrons,0.0013117135527449992
40,avg_valence_f,0.0012414401397517363
108,range_Period,0.0010269444404227743
62,sum_Number_of_unfilled_s_valence_electrons,0.0009626646892387248
103,range_Number_of_unfilled_f_valence_electrons,0.0007221200154687998
118,range_l_quantum_number,0.0006939387494786568
83,sum_valence_f,0.0006644777906516557
128,range_valence_s,0.0006636395060404568
126,range_valence_f,0.0005892504857704213
105,range_Number_of_unfilled_s_valence_electrons,0.00047585774697066967
