,Feature,Importance
33,avg_metallic_valence,0.47818711815290627
9,avg_Density_(g/mL),0.12333141282284048
39,avg_valence_d,0.0378479909859478
16,avg_Number_of_unfilled_d_valence_electrons,0.018902699138155277
82,sum_valence_d,0.018380534040352205
86,range_1st_ionization_potential_(kJ/mol),0.013999848929366093
84,sum_valence_p,0.01095348741159006
8,avg_Critical_Temperature,0.009032960694644876
101,range_Nagle_electonegativity,0.007758339596252171
100,range_Molar_Heat_Capacity(J/mol_K),0.007183553379429359
115,range_heat_of_fusion_(kJ/mol)_,0.006891592960653059
29,avg_heat_of_fusion_(kJ/mol)_,0.006743511224510697
94,range_Critical_Temperature,0.006131164175046123
38,avg_thermal_conductivity_(W/(m_K))_,0.00583229297970541
24,avg_abs_valence,0.005727875722699684
107,range_Pauling_Electronegativity,0.005448443176925989
5,avg_Boiling_Point_(K),0.005427310875336385
11,avg_Melting_point_(K),0.005362668769165827
6,avg_Cohesive_energy,0.005280423916615854
37,avg_specific_heat_(J/g_K)_,0.005122758353558351
0,avg_1st_ionization_potential_(kJ/mol),0.005114423627859315
13,avg_Molar_Denstiy_(mol/ml),0.005023001132430883
81,sum_thermal_conductivity_(W/(m_K))_,0.004784481137075662
22,avg_Period,0.004645342772577988
10,avg_Gordy_electonegativity,0.004641617208021314
14,avg_Molar_Heat_Capacity(J/mol_K),0.004484174622698622
23,avg_Zunger_radii_sum,0.004259162262081293
2,avg_Atomic_Number,0.004220036667545681
109,range_Zunger_radii_sum,0.004096223989305925
110,range_abs_valence,0.004026986452174782
4,avg_Atomic_Weight,0.003932064156152486
3,avg_Atomic_Radus,0.003895746407590129
72,sum_heat_of_fusion_(kJ/mol)_,0.003893824399493806
123,range_specific_heat_(J/g_K)_,0.0038733452058464894
28,avg_heat_atomization(kJ/mol),0.0038474427761663976
21,avg_Pauling_Electronegativity,0.003839748412366285
32,avg_l_quantum_number,0.003751332826735086
124,range_thermal_conductivity_(W/(m_K))_,0.0036971011822666227
34,avg_number_of_valence_electrons,0.0036511245666021666
97,range_Melting_point_(K),0.003504312161577732
95,range_Density_(g/mL),0.0034869897412560407
