params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 1000}",0.635009695102756,0.6731201338393653,0.6129582864216183,0.6078398166117417,0.6313446570379593,0.6317356404663075,0.6304782934073585,0.7241296376113756,0.6524962534154424,0.7129373137848954,0.651204972769882
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 3000}",0.5699903752595152,0.5850345654911554,0.5680767247322055,0.5717759168439652,0.5768660601490524,0.5290701220167977,0.5817901448982589,0.6784854634562542,0.5745639564121083,0.5990467397216133,0.5834700068980926
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5000}",0.5645530004379105,0.559047255960358,0.557044945806729,0.5600245596466493,0.5463837187214585,0.5030800980754438,0.5781472032092583,0.6679480670717086,0.559084026209556,0.5623796363181731,0.5657692511457245
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 7000}",0.5633041596767101,0.54565698548458,0.5551249459020404,0.5557340983255061,0.533002377104022,0.4881089568528768,0.5749029576420985,0.6626438813474369,0.5456330844118205,0.5443421127382557,0.5568453559485347
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 9000}",0.5644343076670075,0.5378143947702282,0.5528360825920071,0.5529207719736597,0.5245812218602834,0.4768114036580827,0.5725852700003121,0.6602474617648286,0.5384461348328105,0.5310597151522192,0.5511736764271438
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.5278520307043453,0.48937654731758395,0.5042753062050095,0.49791351766735653,0.511278092817506,0.48304510304832116,0.5357088116383385,0.6203187005949696,0.49134388871116913,0.5376647783139689,0.5198776777018569
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 3000}",0.5134554052516545,0.41484783475453524,0.4472461799008927,0.4598886507492286,0.42683192127132935,0.42907035154614726,0.5023494958594567,0.5942965412247717,0.4571365294417572,0.49332801146988103,0.47384509214696535
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5000}",0.5088739161565828,0.394585150226367,0.4339579604118088,0.44797021475503984,0.40736009923382266,0.4183098232423366,0.4958559973292268,0.5839514804472437,0.4529743619446398,0.48561523055099626,0.46294542342980644
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 7000}",0.5076824540400819,0.38949122194567076,0.43210580656646747,0.4462681735148523,0.4019645913265516,0.41717445995842556,0.4943002078725574,0.5822539835933234,0.4472195987913839,0.48276024613992974,0.4601220743749244
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 9000}",0.50728605548701,0.3868173919907787,0.43129488945289857,0.44484644575037985,0.3981825448299429,0.41627848187613925,0.49296871187062474,0.5787801719727197,0.44335576269329957,0.48124676284511514,0.4581057218768908
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",0.4769264712149423,0.430425857618701,0.4724357432592377,0.4606055022381242,0.4557841596581833,0.4284954375322167,0.49132217884081425,0.5849402604459609,0.4492304937932171,0.4775900189976386,0.4727756123599036
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 3000}",0.4736973329722228,0.4045222264557977,0.4647549868733645,0.449414186544094,0.4294174589951285,0.4165646883246203,0.4692094765753096,0.5775680087925288,0.4285381810522737,0.4608315137157674,0.45745180603011076
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5000}",0.4744217829293824,0.4034489431131404,0.46322558951854353,0.44910479166223366,0.42791221353520337,0.41637670057318127,0.46721137031788196,0.576126784340394,0.4276822041453131,0.461047668945978,0.45665580490812524
