params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 1000}",0.5109138503756521,0.5558610325565806,0.5141934224400148,0.4999043451394026,0.4997886807861882,0.49478723020247994,0.577816754470864,0.5802947612956578,0.5312828788367899,0.5560655495888079,0.5320908505692439
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 3000}",0.46230868789301643,0.511912022075676,0.48753839465642407,0.4823871310281222,0.4818398461519026,0.43550675843844777,0.5280427692679719,0.5501940029185903,0.48874041559723397,0.5079135118747878,0.4936383539902174
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5000}",0.44940062845618056,0.49201299968324125,0.48434318229180917,0.47224586131071755,0.4710842653654277,0.42821173289832776,0.5114937684727469,0.5335974800268376,0.48029618585987993,0.490035934269786,0.4812722038634954
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 7000}",0.44623875570537463,0.4800464959008554,0.481248365349649,0.4649194505502283,0.45981641134227885,0.42377371599903835,0.5015377270645156,0.5233538742243038,0.4760155049804292,0.47626748616884046,0.4733217787285514
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 9000}",0.44482083647336446,0.46934227722774774,0.47825404894873214,0.4582209742184683,0.45100412285246283,0.4196926804605161,0.4951249720966442,0.5172147194254296,0.4761615091827781,0.46759138714279963,0.4677427528028943
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.4136206394352805,0.45645862751766497,0.47727643514726203,0.41832844380606443,0.44934856074506696,0.3808451024554435,0.46906573830344533,0.5032433410502023,0.4432531291510259,0.417328041385089,0.44287680589965445
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 3000}",0.3910734733793506,0.4263683942687079,0.44459713918934646,0.3856607724085515,0.41491140445913816,0.34812053961214073,0.4530202583668506,0.46428989917614594,0.43040407842809286,0.38433693364711935,0.4142782892935443
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5000}",0.38089882947679193,0.42510129044015615,0.4415153217467687,0.3804057523661507,0.40484959504537427,0.3437574075441814,0.45148194247862244,0.45853336150474155,0.4344674438641973,0.3712355195700917,0.4092246464037076
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 7000}",0.37762827397560217,0.42588653990276065,0.43707984102402636,0.3838065313856433,0.4067592402113472,0.3414075895011146,0.4492027497250401,0.45523325149733396,0.43570401803694525,0.3644904457228541,0.4077198480982667
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 9000}",0.3770286884986785,0.4267107468526557,0.43484051844602584,0.3824735146455424,0.4086850277195479,0.3405411313587816,0.4505935642634704,0.45250116521345174,0.4366349932467623,0.3621502650688251,0.4072159615313741
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",0.39448257956477045,0.4074745508160164,0.460384001972774,0.36984657194937626,0.3784759535319605,0.3434392609715278,0.4538536490964891,0.47586986340226506,0.4175126814685491,0.3952474383092382,0.4096586551082967
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 3000}",0.3861464232742041,0.4058737735649542,0.4434022973475391,0.359736942131607,0.3640895735915901,0.3305929836957702,0.44712518200910295,0.4531510603512772,0.4201451577217117,0.3802774268342908,0.3990540820522048
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5000}",0.3855904668179796,0.4059456171892796,0.4416035232123779,0.3601506233127223,0.3626689216070161,0.3304471280078676,0.44725540396863606,0.4521892956210367,0.42137951421619413,0.3773326482984585,0.3984563142251568
