params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.5972055937616082,0.65287646170948,0.6106816237914378,0.5737632588219053,0.5783494094700751,0.6199568365405301,0.6292666056990737,0.6805802187310543,0.5954583992233125,0.7003683518858318,0.6238506759634308
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.5959214305371485,0.6516515530507824,0.6050920798449776,0.5727538502143035,0.5810772171155407,0.6154593878333338,0.6290483277076111,0.6827369488208775,0.6007410813699453,0.7060075404939312,0.6240489416988452
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300}",0.598849272853853,0.6478893805588426,0.6040281573830633,0.5752339232652594,0.582825610609269,0.6169247421262294,0.6298961861327474,0.6791907036878648,0.6022139325943886,0.7021637234898913,0.6239215632701409
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 400}",0.6019863922114733,0.6494554240586118,0.6009675455421871,0.5767785768887101,0.5830677041952442,0.6187754919976328,0.6298515845042245,0.6803192002443076,0.6013387052122758,0.706779641598824,0.6249320266453492
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",0.604120519267367,0.6512499540566763,0.6015568582549492,0.5762061055240647,0.5850546007812238,0.6194640144328385,0.6296171284207395,0.6837819878631894,0.5993485663350672,0.7091406908982022,0.6259540425834318
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 600}",0.6015811497292776,0.6519364739250066,0.5991067316053947,0.5762928514988558,0.5855689478767465,0.6209150326724565,0.6263016337745618,0.6817426858480159,0.5996656931921877,0.7114002730500105,0.6254511473172515
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 700}",0.6023377506148876,0.6498012598700209,0.598382086165494,0.5783126517947046,0.585498167509523,0.621898774310996,0.6258873649022193,0.6811293015085851,0.6004065466311471,0.7101740976631858,0.6253828000970764
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 800}",0.6021612603689996,0.6494126799000612,0.5983112955184023,0.5779142511187648,0.5855431648106381,0.6219479660225845,0.626524081587131,0.6808871900182093,0.601971238985948,0.7107929576022611,0.6255466085933
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 900}",0.6011705210958587,0.6500690134259505,0.5986220068965954,0.5774472395182269,0.5855125995190569,0.6205916956535406,0.6241714646137535,0.6804966119886527,0.6024005542383404,0.7116400888537924,0.6252121795803769
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 1000}",0.6008439867635031,0.6506761021394611,0.5986191776719724,0.5785488516314834,0.5856043169920803,0.6203912045632558,0.6226815621875318,0.6795810078514234,0.6027244886766289,0.713906458652533,0.6253577157129874
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}",0.6274861145894334,0.67677718332738,0.6085457524442539,0.5878063737619654,0.5973267354424214,0.6339542804805092,0.6513592553481119,0.7095622100513496,0.6073082145653181,0.7348211437991372,0.643494726380988
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}",0.6208091891476138,0.6758068134414414,0.6051010411298381,0.5873291011637958,0.5925927209807709,0.6337309269041989,0.6462447409739622,0.7053687328517831,0.6077923828330253,0.7273312555028378,0.6402106904929268
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 300}",0.6181250189510967,0.6741083281883045,0.6066157796575171,0.585915469568099,0.5945481015638497,0.6306990636346237,0.6411765344421737,0.7027873784366935,0.6101695229907146,0.7293426574600544,0.6393487854893126
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 400}",0.6168563974429765,0.6731737849503066,0.6049107770222028,0.5898156218433765,0.5950747852675078,0.6298395567751985,0.6372137241037608,0.7022037191546008,0.6098043768364522,0.7295188856538136,0.6388411629050197
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",0.6166252079194204,0.6757702093181486,0.6065606191387535,0.5894629205280988,0.5964555715006895,0.6313719449858877,0.6379361566360587,0.699811527370652,0.6124769572469534,0.7318046549211371,0.63982757695658
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 600}",0.6161019634452304,0.6744901785589338,0.6063262321374215,0.5894246876122649,0.5963382417993609,0.632364741188432,0.6395111899299654,0.7013204047329853,0.6121233021976259,0.7320628502114238,0.6400063791813644
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 700}",0.6165160761279095,0.674480769739525,0.6067156467096744,0.5893747842535395,0.5941346864175701,0.6322152265725907,0.6398841382759368,0.7007177538168643,0.6121746295877976,0.7319792738250303,0.6398192985326437
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 800}",0.616337877424964,0.6742459942176898,0.607354183912712,0.5891317421219093,0.5947568074270844,0.6326063475871625,0.6402711660373458,0.6995436642703015,0.6132924059601751,0.7318422109432637,0.6399382399902609
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 900}",0.6144250643668276,0.6739031503250013,0.6069457717334493,0.5896623866176751,0.5957169632074091,0.6333365023860247,0.639330835080583,0.6996192518886651,0.6123159010698908,0.7302513619844845,0.639550718866001
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 1000}",0.6149726440101666,0.6728870049723981,0.6064068197056781,0.5899924585425765,0.595952117945313,0.633732553281368,0.6403898021342495,0.7000794948334209,0.6134295592193769,0.7308505402897458,0.6398692994934294
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",0.776021523564419,0.856258459550065,0.7168682258717188,0.7005991536314683,0.675172736942318,0.7236254577102094,0.7478944065542513,0.8087843166854402,0.7452231411659967,0.8742883221052863,0.7624735743781172
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200}",0.77143842845105,0.8522059673111844,0.7096812687610448,0.7041204923772063,0.6849357694490058,0.7251874693349964,0.751732672682199,0.7989397490557936,0.7392689638095876,0.8699516346868001,0.7607462415918869
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",0.7693304306523346,0.8490046527545592,0.7017048837595858,0.7002729124965198,0.686512011513937,0.7309789356504268,0.7485421018487353,0.7976630873320523,0.7355901443159951,0.8798294790065342,0.759942863933068
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 400}",0.7742671288220362,0.8514536987014188,0.7043821237026746,0.6987064518192708,0.6897689167392859,0.73077067602701,0.7476892295275036,0.7964821086991599,0.7382335263940007,0.8767475353296561,0.7608501395762016
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 500}",0.7783937517814811,0.8548769057337031,0.7065496088043964,0.6981000878748244,0.6911331907873168,0.7285136087785655,0.7487229502308702,0.7964059446212837,0.7417410995613242,0.8784747274132755,0.7622911875587041
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 600}",0.778970935546722,0.8559267579564389,0.7066772401380754,0.7001182374487632,0.6909055304466296,0.726863727321461,0.7518995225626586,0.7982623628276125,0.7419935482886105,0.8787775794331195,0.7630395441970091
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 700}",0.7819822169605816,0.8537875724982561,0.7055838115797155,0.7001377412837025,0.6903524621806302,0.7229806692917559,0.7517358293641003,0.7984857106610905,0.742532012663008,0.8779496182649904,0.7625527644747832
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 800}",0.7827414497441478,0.8520827384382373,0.7058827170543531,0.6996750172701867,0.6898381160079738,0.7234567346533629,0.7527491391242295,0.7987824886224201,0.7433559533166635,0.87948847639841,0.7628052830629984
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 900}",0.7832269087982843,0.8551081656264475,0.7073594752383933,0.6996070870556634,0.6914220653756239,0.7243512712838189,0.7525010639833511,0.7978869464044007,0.7423488283090348,0.8782653039811896,0.7632077116056207
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 1000}",0.7844257936096622,0.8549960856184309,0.7076991735274895,0.6990761182216548,0.6928414863247323,0.7240462449639202,0.7520824579851422,0.7994434473913015,0.7432310437970554,0.8784072702121799,0.7636249121651568
"{'max_depth': 5, 'max_features': None, 'n_estimators': 100}",0.5702347996265096,0.6228908600285091,0.599387234172389,0.5619932488059513,0.6059295884053744,0.5768926475223345,0.6159399004325078,0.6607692674076505,0.6010169917958673,0.6780586247487266,0.609311316294582
"{'max_depth': 5, 'max_features': None, 'n_estimators': 200}",0.5675926199283932,0.6208621051163371,0.5967976834410565,0.5664032401203732,0.60487175597652,0.5644483561148695,0.6162074543760035,0.6536466651012196,0.5888372705672114,0.6683026026235641,0.6047969753365547
"{'max_depth': 5, 'max_features': None, 'n_estimators': 300}",0.56996047112184,0.6226788773954914,0.5959866148668175,0.5659008208392402,0.6068316596201333,0.5630535465736286,0.6164827829094668,0.6536535477836966,0.5883748669493547,0.6686634871948016,0.605158667525447
"{'max_depth': 5, 'max_features': None, 'n_estimators': 400}",0.5721269956621624,0.6226536169058638,0.5945729202382296,0.5658642951613377,0.6042293194815864,0.5630158686154666,0.6159784108374695,0.6555492638883752,0.5874343154244498,0.6697122343653368,0.6051137240580278
"{'max_depth': 5, 'max_features': None, 'n_estimators': 500}",0.5735082511917564,0.623489166299488,0.5955720327566442,0.564900468365802,0.6050559584823049,0.5607590265594283,0.6145170337097778,0.6561675650673992,0.5846529117917078,0.6684085430778353,0.6047030957302144
"{'max_depth': 5, 'max_features': None, 'n_estimators': 600}",0.5729803464028298,0.6244029732709173,0.595634018129724,0.5665310524001327,0.6056126988214566,0.5632567378533934,0.6165337097301945,0.6565155116787649,0.5841180860644576,0.6657004402574591,0.6051285574609331
"{'max_depth': 5, 'max_features': None, 'n_estimators': 700}",0.5714047019148345,0.625043225632018,0.594436479278914,0.5662166274368496,0.60474838264356,0.5648056281595418,0.6162379325536727,0.6547880731943506,0.584549794460599,0.6656714950704099,0.6047902340344751
"{'max_depth': 5, 'max_features': None, 'n_estimators': 800}",0.5711228731854595,0.6260964333997939,0.5943508355602654,0.5666969770662527,0.6049824920447661,0.5642328922173893,0.6168113432737752,0.6531511017830561,0.5842552633134894,0.6661425833517785,0.6047842795196026
"{'max_depth': 5, 'max_features': None, 'n_estimators': 900}",0.5715281873822432,0.6263972036922767,0.5938800123690214,0.567365047746053,0.6059859169588931,0.5646736515663721,0.6158692995186535,0.6536644823832605,0.5849541047098197,0.6653426778499061,0.6049660584176499
"{'max_depth': 5, 'max_features': None, 'n_estimators': 1000}",0.5712616199755757,0.6264951544944445,0.5942627779005266,0.5668328062618025,0.606118103589368,0.5648846005236914,0.6154534802888905,0.6531111060473026,0.5850055664136392,0.6656630924653595,0.6049088307960601
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.521294085684799,0.5296730026896684,0.5132640329098114,0.471916040729355,0.48184881238878435,0.503962575461163,0.5229382836993188,0.6144413393103605,0.4911590436177129,0.5865391246203763,0.523703634111135
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.5203660155378186,0.5227905780733095,0.5138099169548876,0.475092463106316,0.4848871670972258,0.5008498795252199,0.5222085544672335,0.6085895852862772,0.48979273122469674,0.5766773368016657,0.521506422807465
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300}",0.5180288031399105,0.5232661740084431,0.5178546151497525,0.48099036048158056,0.48697533973338003,0.4973178664003025,0.5261896191776807,0.6103370916164317,0.4893133144052336,0.5708866054719477,0.5221159789584663
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 400}",0.5170053374255297,0.5262860528672797,0.514374855816856,0.48175543172807,0.48759300003268796,0.49600636991941666,0.5252088337305447,0.6119758376991111,0.4898418644982238,0.571313218950584,0.5221360802668303
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",0.5176665312058564,0.5281907773264908,0.5158549698595586,0.4797232863723244,0.4899478208550929,0.49544976863446205,0.5256451234658747,0.6113706909411633,0.49050790880488465,0.5715804823944355,0.5225937359860142
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 600}",0.5157087374902926,0.5285291255538224,0.5167819909059537,0.47802973306897134,0.4902556578648048,0.49544996113527096,0.5236050881925766,0.6115923664853207,0.49261877140771565,0.569693162501805,0.5222264594606534
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 700}",0.5146542463077807,0.5279850409796824,0.5168789291316677,0.47845954395136414,0.49159185742326733,0.4967579908971724,0.5248536750835252,0.609666647566691,0.4926158788974065,0.5692376814959529,0.5222701491734509
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 800}",0.5149716492635483,0.528604997829783,0.5171368847357163,0.4786542155927573,0.49203667790124994,0.4967706934110023,0.5253373929542244,0.6072861660888625,0.49190089640980944,0.5700008155775498,0.5222700389764504
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 900}",0.5142462341648172,0.527491673025765,0.5170593274462815,0.47856038433550446,0.49186971860743217,0.496206062536025,0.5246150667755894,0.6085223851362432,0.49227446475408104,0.5694167932786616,0.5220262110060401
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 1000}",0.512715731309993,0.527279039657181,0.5168691316006655,0.47903467479035555,0.4931589765667129,0.49536243647906286,0.523950849393815,0.6089942159357131,0.4928124027583177,0.5696762581817536,0.521985371667357
"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.5441356311949638,0.5378307938751514,0.52375542850157,0.4916967399296996,0.5149803057561227,0.5047522125022867,0.528785404615841,0.6166715510776073,0.5129513825472118,0.5900104443032658,0.536556989430372
"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200}",0.5367537017709325,0.5340315074645524,0.520660620118605,0.4851075464411121,0.5070270859158897,0.5083485750684378,0.5395078377569669,0.6205715495800348,0.4997481360995297,0.5864053548042519,0.5338161915020312
