params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.49054467739955626,0.5286103080324109,0.517254514177303,0.4889473604359116,0.4560307604786792,0.4819834217432422,0.5809811917845834,0.5729030580575226,0.5112459567410308,0.5416052660861431,0.5170106514936383
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.490195016372937,0.5262968642456111,0.5140298780685051,0.48426595979199966,0.4508816681584416,0.47874469179711815,0.5843764059489324,0.5778578231632782,0.5087452461206751,0.5434625374086831,0.5158856091076182
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300}",0.48829994958985407,0.526561029546397,0.5150527380057521,0.4870659163517811,0.45364010983063313,0.4770141476299031,0.5865247072154626,0.5783190322264832,0.5083889632939509,0.5424589542100978,0.5163325547900316
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 400}",0.4871909806070341,0.5257908627511456,0.5146285923505883,0.49100217244538497,0.4517489011666482,0.4771151158786874,0.5871549047094283,0.5771655903125597,0.5087934384935893,0.5436226414543183,0.5164213200169383
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",0.4886557219740008,0.5242587549501079,0.5163309247799911,0.49152322056207215,0.4536194251574017,0.4774859156266815,0.5858209413642302,0.5776421919218218,0.5102818954488816,0.5423497437160193,0.5167968735501208
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 600}",0.4889457992181448,0.5247749688548998,0.5166366504948193,0.49180346065768865,0.4550510999343471,0.4783521701961795,0.5870009954694322,0.5771471911304199,0.5111184050145231,0.5418593735467744,0.5172690114517229
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 700}",0.48956894555436475,0.524389755163423,0.5170012762109797,0.4899486114387897,0.45523798404013843,0.47894541721062867,0.5865114692446431,0.5780215505623105,0.5115671215492643,0.5415159781102268,0.5172708109084769
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 800}",0.48929370907470116,0.5227859779715526,0.5182133399752255,0.4899043530680908,0.45599258961636085,0.47935306942902955,0.5869269081838808,0.5779791905897518,0.5105925187514742,0.5420747022713382,0.5173116358931404
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 900}",0.48964838589297854,0.5228029997296014,0.5176146661073314,0.48964244985206296,0.45575919810761806,0.4800110592001413,0.5872439901448551,0.5783422210207027,0.5117419292886077,0.5422266082106436,0.5175033507554543
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 1000}",0.4906907838882241,0.5227275510134337,0.5183709055977864,0.4889034125166803,0.4557743649607458,0.4798459172458634,0.5870509081885349,0.5785728733029036,0.5110878446829202,0.5426203481402552,0.5175644909537347
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}",0.5019555386992405,0.5475171806380229,0.5170497052923144,0.4914598120733786,0.4570265600781277,0.4957479444633296,0.6125787871784206,0.5921054225425743,0.5176597149340887,0.5710230276297805,0.5304123693529278
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}",0.504002571712221,0.537969604367486,0.5175933477872661,0.4959697608883107,0.46216025507967673,0.4960416478070357,0.6109465814491372,0.5916664433478724,0.524944383422659,0.5627798455994871,0.5304074441461151
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 300}",0.5008576844921886,0.539269896833563,0.5190644886782718,0.4955269293828848,0.4648991351300629,0.4909463600692988,0.6107466809923666,0.5928226739237141,0.5231309680057751,0.5630427833594184,0.5300307600867545
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 400}",0.4991572904414609,0.5366129384669341,0.5196336660324692,0.49437679772520166,0.4651391382433372,0.49137604263942475,0.6124022392929481,0.593594364500522,0.5226255396444011,0.5643623200943716,0.529928033708107
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",0.5018751221405361,0.5381653205761646,0.5194308084872821,0.49488775039612815,0.46528405685137736,0.49160781136806103,0.6103137645661114,0.594820159713022,0.5233303391837201,0.5651498450947553,0.5304864978377158
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 600}",0.5020069619415596,0.5400829950791477,0.5182272767580768,0.49436579636044425,0.46405257286131474,0.492932315282608,0.6104207490379422,0.5942432019708064,0.5229313934410814,0.5630388660939372,0.5302302128826918
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 700}",0.503329261373729,0.5392616803547082,0.5188151537342517,0.49433713307033056,0.46373678009340213,0.4932892428766875,0.6105595541633371,0.5941313429747855,0.5219509987410162,0.5614450813344355,0.5300856228716684
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 800}",0.5038549780578199,0.5391304800545439,0.5194020496820679,0.4950470750817784,0.4642211922780145,0.4930791327317245,0.6103176414213852,0.5932909983704977,0.5215637924977766,0.5616000075438138,0.5301507347719422
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 900}",0.502186560094612,0.5393259689146948,0.5195665732776859,0.4953704310352149,0.4633504335068572,0.4932556468513478,0.6098103380059358,0.593229944993292,0.5216063042053816,0.561533233001506,0.5299235433886527
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 1000}",0.5027094231630429,0.5388721763719408,0.5192335996761674,0.495546297259371,0.4633600779162337,0.49276209093636714,0.6104619963306954,0.5931087185561645,0.5224364181112463,0.5614436889541159,0.5299934487275345
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",0.6278002648913785,0.6504946859609095,0.5872274297560053,0.6013525795160318,0.5645388599482154,0.5945344502697372,0.724674761436066,0.7069266980796132,0.6237204189714256,0.6627087885752215,0.6343978937404604
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200}",0.6254829250008938,0.648654753628841,0.5904660107901111,0.5911571293413211,0.5652234986413338,0.5893147910336956,0.731151573220434,0.7024535151770037,0.6154910161801893,0.6602874934328785,0.6319682706446702
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",0.6309772844022071,0.6511258236811338,0.5943654833939989,0.5940307873633272,0.5615891674807933,0.5874220632558896,0.7355194697313534,0.7008774991335792,0.6183885081226995,0.6611146199331608,0.6335410706498144
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 400}",0.6302169119492709,0.6521598539045055,0.5968487438276565,0.5964133121307567,0.5627529334795388,0.5870050964343871,0.7337161383701527,0.7026917281701256,0.6175317847576092,0.6609438162303386,0.6340280319254343
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 500}",0.6278141536295998,0.6523642689472585,0.5949696786017963,0.5964269320710105,0.5658321169981512,0.5862907108914455,0.7327895354622771,0.6995958294422111,0.6181126730782247,0.6635703525097013,0.6337766251631676
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 600}",0.6297071680220562,0.6536080162716555,0.595772675390742,0.5993602880431135,0.5674871872360739,0.5886255400470556,0.735953945003361,0.69920161211135,0.6194958580495071,0.666189663255961,0.6355401953430876
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 700}",0.6318488134969708,0.6533660284897389,0.5953829526972932,0.6015106972622688,0.5673219599482848,0.5885139909500334,0.7365543148739125,0.6998391621896104,0.6197437595166128,0.6666588569741752,0.63607405363989
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 800}",0.6317240103128866,0.6524742948892415,0.5945626377772231,0.6013904888931498,0.5669907327770759,0.5880917717489585,0.7357868789001263,0.6982864112139598,0.6211114384037331,0.6674418216270299,0.6357860486543384
