params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'C': 0.1, 'gamma': 0.001}",1.033651732839672,0.9783001554461203,0.7971065966592368,0.9369307399432861,0.877833278794515,0.8626158575479964,1.0626652797142082,1.0247023908539488,0.8986649979642114,1.0217535090993364,0.9494224538862532
"{'C': 0.1, 'gamma': 0.01}",0.9332336480083989,0.8728984530648563,0.7213397720166936,0.827638561307865,0.7843454260884654,0.7719427984574179,0.9751056503492616,0.9286346942639294,0.8135657278517219,0.9212889928122201,0.854999372422083
"{'C': 0.1, 'gamma': 0.1}",0.7187551523751451,0.6767972770855744,0.5990351946215404,0.6176332906275955,0.6064423565038497,0.607887019465482,0.7818534166752413,0.7394778142762264,0.6718979997402129,0.70353381345073,0.6723313334821597
"{'C': 0.1, 'gamma': 1}",0.6094973947621605,0.5878092583092277,0.5406187296626921,0.5430091864889226,0.5336755421639489,0.5262689720906771,0.6679651084017733,0.649805438188868,0.5873549768177236,0.6115876618045026,0.5857592268690497
"{'C': 0.1, 'gamma': 10}",0.9747630042147619,0.9177962872303238,0.746434297792829,0.8760989152090518,0.8203004573302418,0.7947136027338989,1.0078109511077094,0.9646734956130609,0.8403683915011583,0.9515730303243779,0.8894532433057414
"{'C': 1, 'gamma': 0.001}",0.9317699075353162,0.8710440708183647,0.7199877702605907,0.8263814000468519,0.7831358869838564,0.7708787893012595,0.9738745445880158,0.9270605828163817,0.8121545812566008,0.9201078010902155,0.8536395334697453
"{'C': 1, 'gamma': 0.01}",0.7096432434804837,0.6728545437344762,0.597811626086158,0.6117270388608674,0.6027584967622138,0.6039765062642523,0.7755620708197369,0.7320258414583076,0.6676275858089248,0.6947752461459048,0.6668762199421325
"{'C': 1, 'gamma': 0.1}",0.612032046888444,0.5889455513253871,0.552529851612333,0.5403178704036858,0.5168044323588498,0.5189194836947126,0.6464888077837948,0.6226401957130334,0.5594654247459009,0.5907078260936874,0.5748851490619828
"{'C': 1, 'gamma': 1}",0.45625292593887795,0.44753233442547924,0.46966717967193133,0.42191932055622394,0.4173689023661551,0.408869527803434,0.4974865098684944,0.46953581622464347,0.4048717791760886,0.41869050982658795,0.4412194805857916
"{'C': 1, 'gamma': 10}",0.6948546062211594,0.6391612956972313,0.5652536913233077,0.6182295670706879,0.6020912001446868,0.534519228047455,0.7785807197568103,0.6995220033905168,0.6016388464859659,0.62296616793673,0.6356817326074552
