,var_name,importance
33,avg_metallic_valence,0.46902675268304816
9,avg_Density_(g/mL),0.32475364590608985
16,avg_Number_of_unfilled_d_valence_electrons,0.08971738279011483
8,avg_Critical_Temperature,0.07435319628562612
89,range_Atomic_Radus,0.062245241788666986
115,range_heat_of_fusion_(kJ/mol)_,0.06024970086231475
39,avg_valence_d,0.05526856727919964
86,range_1st_ionization_potential_(kJ/mol),0.05400396551681976
97,range_Melting_point_(K),0.049710315101062455
38,avg_thermal_conductivity_(W/(m_K))_,0.04940484364057194
3,avg_Atomic_Radus,0.04487216412453409
48,sum_Boiling_Point_(K),0.04426339397299657
5,avg_Boiling_Point_(K),0.04230947428527426
94,range_Critical_Temperature,0.04205650941827898
96,range_Gordy_electonegativity,0.04047886880281088
76,sum_metallic_valence,0.0402941785591606
6,avg_Cohesive_energy,0.04018172897545969
24,avg_abs_valence,0.03908697268722792
29,avg_heat_of_fusion_(kJ/mol)_,0.03906497455230369
100,range_Molar_Heat_Capacity(J/mol_K),0.03836538309149825
35,avg_outer_shell_electrons,0.037667571764038156
119,range_metallic_valence,0.03665782882898769
109,range_Zunger_radii_sum,0.034326285030544815
124,range_thermal_conductivity_(W/(m_K))_,0.03359468964478508
12,avg_Mendele_Number,0.03291350273126302
107,range_Pauling_Electronegativity,0.032706525495188966
21,avg_Pauling_Electronegativity,0.032502809234683946
11,avg_Melting_point_(K),0.03237523849618025
91,range_Boiling_Point_(K),0.032296444870418155
114,range_heat_atomization(kJ/mol),0.03226991541359535
59,sum_Number_of_unfilled_d_valence_electrons,0.030906138042665798
51,sum_Critical_Temperature,0.03054344028975216
99,range_Molar_Denstiy_(mol/ml),0.0302617386025937
32,avg_l_quantum_number,0.030084464151928024
81,sum_thermal_conductivity_(W/(m_K))_,0.029434299708135415
67,sum_abs_valence,0.02896131320012495
82,sum_valence_d,0.028481392566750773
13,avg_Molar_Denstiy_(mol/ml),0.028461223973025536
98,range_Mendele_Number,0.0274082579162009
72,sum_heat_of_fusion_(kJ/mol)_,0.027015428661965636
27,avg_group,0.027010204907438173
123,range_specific_heat_(J/g_K)_,0.026855731619663963
26,avg_gilmor_number_of_valence_electron,0.02539412307094378
116,range_heat_of_vaporization_(kJ/mol)_,0.02470374446992037
19,avg_Number_of_unfilled_s_valence_electrons,0.024697187373268162
37,avg_specific_heat_(J/g_K)_,0.024093636268593944
23,avg_Zunger_radii_sum,0.024065664047373075
46,sum_Atomic_Radus,0.02395033980747211
80,sum_specific_heat_(J/g_K)_,0.0239074476767037
36,avg_polarizability(A^3),0.023372292997851308
1,avg_Allred-Rockow_electronegativity,0.02319873094621356
0,avg_1st_ionization_potential_(kJ/mol),0.02287196408543039
10,avg_Gordy_electonegativity,0.022647704200286174
30,avg_heat_of_vaporization_(kJ/mol)_,0.02254783158117607
