,var_name,importance
33,avg_Number_of_electrons_forming_covalent_bonds,0.09814553616816615
9,avg_Density_(g/mL),0.08313210430271642
107,range_Pauling_Electronegativity,0.058733758600700445
15,avg_Nagle_electonegativity,0.05771994212857033
101,range_Nagle_electonegativity,0.056040255447204534
86,range_1st_ionization_potential_(kJ/mol),0.05069555977059106
87,range_Allred-Rockow_electronegativity,0.049782733952985186
14,avg_Molar_Heat_Capacity(J/mol_K),0.043285573876078544
0,avg_1st_ionization_potential_(kJ/mol),0.043095524907356395
1,avg_Allred-Rockow_electronegativity,0.03820883110504057
16,avg_Number_of_unfilled_d_valence_electrons,0.032325439284952226
100,range_Molar_Heat_Capacity(J/mol_K),0.029932657521720703
29,avg_heat_of_fusion_(kJ/mol)_,0.02867854407299098
39,avg_valence_d,0.02758194592602467
22,avg_Period,0.02749489590313855
51,sum_Critical_Temperature,0.02558626735799845
21,avg_Pauling_Electronegativity,0.02549442616923272
82,sum_valence_d,0.02503565437024489
52,sum_Density_(g/mL),0.023775452094715037
23,avg_Zunger_radii_sum,0.02319139740654725
76,sum_Number_of_electrons_forming_covalent_bonds,0.02273700632921724
7,avg_Covalent_Radius,0.022490125862429225
31,avg_ionic_radius,0.022390264534803313
4,avg_Atomic_Weight,0.022367983175408983
8,avg_Critical_Temperature,0.022273045385493254
37,avg_specific_heat_(J/g_K)_,0.02204575791115627
2,avg_Atomic_Number,0.021926076340190084
11,avg_Melting_point_(K),0.02162858971433104
10,avg_Gordy_electonegativity,0.020969491256939886
115,range_heat_of_fusion_(kJ/mol)_,0.020808904223073136
49,sum_Cohesive_energy,0.020304697500104794
95,range_Density_(g/mL),0.020235063913538957
3,avg_Atomic_Radus,0.020234148486347303
48,sum_Boiling_Point_(K),0.01995184556151788
20,avg_Orbital_Radius(pm),0.01937177571043034
13,avg_Molar_Denstiy_(mol/ml),0.019143418377510074
102,range_Number_of_unfilled_d_valence_electrons,0.018938929791957975
125,range_valence_d,0.018050533980716335
71,sum_heat_atomization(kJ/mol),0.01759005560584103
5,avg_Boiling_Point_(K),0.01644683542309741
119,range_Number_of_electrons_forming_covalent_bonds,0.01591149043643373
96,range_Gordy_electonegativity,0.0157979209322907
72,sum_heat_of_fusion_(kJ/mol)_,0.015511802227400765
24,avg_abs_valence,0.014938679620549197
32,avg_l_quantum_number,0.013799554936345129
93,range_Covalent_Radius,0.013739609603756281
35,avg_outer_shell_electrons,0.013658261286867238
28,avg_heat_atomization(kJ/mol),0.013607532903133499
111,range_families,0.013581707724319006
123,range_specific_heat_(J/g_K)_,0.013482941130166117
6,avg_Cohesive_energy,0.013449776394719597
94,range_Critical_Temperature,0.011766798587915855
34,avg_number_of_valence_electrons,0.011559005841508412
99,range_Molar_Denstiy_(mol/ml),0.011318975356562297
61,sum_Number_of_unfilled_p_valence_electrons,0.011052929649933266
54,sum_Melting_point_(K),0.010811949376726063
98,range_Mendele_Number,0.010569336987587663
12,avg_Mendele_Number,0.010490983977185512
92,range_Cohesive_energy,0.010181085888812575
73,sum_heat_of_vaporization_(kJ/mol)_,0.009969489711684213
18,avg_Number_of_unfilled_p_valence_electrons,0.009750526327437378
41,avg_valence_p,0.009736727169358975
36,avg_polarizability(A^3),0.009694033710436992
113,range_group,0.00958417747610971
26,avg_gilmor_number_of_valence_electron,0.009582846238155848
117,range_ionic_radius,0.009543153528319564
56,sum_Molar_Denstiy_(mol/ml),0.009340557696537449
112,range_gilmor_number_of_valence_electron,0.009132433181268742
114,range_heat_atomization(kJ/mol),0.009052971233781511
97,range_Melting_point_(K),0.008995456120787875
80,sum_specific_heat_(J/g_K)_,0.008680385565226439
116,range_heat_of_vaporization_(kJ/mol)_,0.00865865631882222
89,range_Atomic_Radus,0.008497603607858926
91,range_Boiling_Point_(K),0.008460343898933067
90,range_Atomic_Weight,0.008450969857901735
30,avg_heat_of_vaporization_(kJ/mol)_,0.00843287973427555
47,sum_Atomic_Weight,0.008406965335178276
122,range_polarizability(A^3),0.008008623931805922
25,avg_families,0.007878148545707075
27,avg_group,0.007731046577612749
38,avg_thermal_conductivity_(W/(m_K))_,0.007697356626575019
59,sum_Number_of_unfilled_d_valence_electrons,0.0074771091020986195
124,range_thermal_conductivity_(W/(m_K))_,0.007456351090680624
106,range_Orbital_Radius(pm),0.0074316291707804015
44,sum_Allred-Rockow_electronegativity,0.007280987671990572
81,sum_thermal_conductivity_(W/(m_K))_,0.007126520586898053
57,sum_Molar_Heat_Capacity(J/mol_K),0.007114043866312142
88,range_Atomic_Number,0.006948080957675981
55,sum_Mendele_Number,0.0069380428682794815
45,sum_Atomic_Number,0.006739254315769397
58,sum_Nagle_electonegativity,0.006706412954832483
68,sum_families,0.006606445851171827
64,sum_Pauling_Electronegativity,0.006581113590653717
53,sum_Gordy_electonegativity,0.006508567346422464
50,sum_Covalent_Radius,0.0064316025083689336
63,sum_Orbital_Radius(pm),0.006425992490657994
104,range_Number_of_unfilled_p_valence_electrons,0.006378870607417003
79,sum_polarizability(A^3),0.006366600184282043
127,range_valence_p,0.006342818086970442
109,range_Zunger_radii_sum,0.006122875367111971
46,sum_Atomic_Radus,0.006088278361605784
120,range_number_of_valence_electrons,0.006063193807714454
66,sum_Zunger_radii_sum,0.005857064727943737
70,sum_group,0.0054484606326678925
78,sum_outer_shell_electrons,0.005412905353869743
43,sum_1st_ionization_potential_(kJ/mol),0.005358113330374748
65,sum_Period,0.005076466929439976
40,avg_valence_f,0.004894215680096884
84,sum_valence_p,0.004856071982983814
74,sum_ionic_radius,0.0048511365308427645
17,avg_Number_of_unfilled_f_valence_electrons,0.004845492035882759
77,sum_number_of_valence_electrons,0.004620444126479936
60,sum_Number_of_unfilled_f_valence_electrons,0.004499103303748001
42,avg_valence_s,0.004482792237792341
19,avg_Number_of_unfilled_s_valence_electrons,0.004385110733194098
121,range_outer_shell_electrons,0.0043845124152004315
75,sum_l_quantum_number,0.004247354194589495
67,sum_abs_valence,0.004159658256329868
85,sum_valence_s,0.0039618205507208435
110,range_abs_valence,0.00383541210613087
69,sum_gilmor_number_of_valence_electron,0.0035399694538437916
108,range_Period,0.002923497002825215
103,range_Number_of_unfilled_f_valence_electrons,0.002874240293609623
62,sum_Number_of_unfilled_s_valence_electrons,0.0028346587565762334
126,range_valence_f,0.0022521378804904735
83,sum_valence_f,0.0019816432826380514
118,range_l_quantum_number,0.0015453289885482475
128,range_valence_s,0.0013160712506602224
105,range_Number_of_unfilled_s_valence_electrons,0.0010985001872258426
