,var_name,importance
33,avg_metallic_valence,0.459992774919818
9,avg_Density_(g/mL),0.28841281932634155
39,avg_valence_d,0.045872534666840006
86,range_1st_ionization_potential_(kJ/mol),0.03474691467373536
8,avg_Critical_Temperature,0.031982426754031304
16,avg_Number_of_unfilled_d_valence_electrons,0.027372703990994573
115,range_heat_of_fusion_(kJ/mol)_,0.021676500821168638
84,sum_valence_p,0.019927246194588268
100,range_Molar_Heat_Capacity(J/mol_K),0.019223249889238677
29,avg_heat_of_fusion_(kJ/mol)_,0.018070685998405903
82,sum_valence_d,0.017161244972636405
94,range_Critical_Temperature,0.016360087564917983
11,avg_Melting_point_(K),0.016147542137733454
38,avg_thermal_conductivity_(W/(m_K))_,0.0158945452901831
5,avg_Boiling_Point_(K),0.015487375515098475
24,avg_abs_valence,0.014904412157898148
123,range_specific_heat_(J/g_K)_,0.014804068063201841
6,avg_Cohesive_energy,0.014431827432666447
101,range_Nagle_electonegativity,0.014333277466679117
89,range_Atomic_Radus,0.013915803414491695
0,avg_1st_ionization_potential_(kJ/mol),0.013100820258432492
107,range_Pauling_Electronegativity,0.013077022734953406
14,avg_Molar_Heat_Capacity(J/mol_K),0.012711729492779369
23,avg_Zunger_radii_sum,0.012274384490176154
37,avg_specific_heat_(J/g_K)_,0.012226672431228788
3,avg_Atomic_Radus,0.011622906511316755
96,range_Gordy_electonegativity,0.011592442619217644
35,avg_outer_shell_electrons,0.011460057726549738
13,avg_Molar_Denstiy_(mol/ml),0.011158914059306807
32,avg_l_quantum_number,0.01084946001508103
21,avg_Pauling_Electronegativity,0.010626076881988633
81,sum_thermal_conductivity_(W/(m_K))_,0.010616199187433306
97,range_Melting_point_(K),0.01055644309196065
95,range_Density_(g/mL),0.010456577042738632
99,range_Molar_Denstiy_(mol/ml),0.010315357272943198
119,range_metallic_valence,0.009836270486500268
28,avg_heat_atomization(kJ/mol),0.009078939940300679
124,range_thermal_conductivity_(W/(m_K))_,0.009063292732806793
80,sum_specific_heat_(J/g_K)_,0.008862968732912094
91,range_Boiling_Point_(K),0.008754675493542214
22,avg_Period,0.00869563529293194
30,avg_heat_of_vaporization_(kJ/mol)_,0.00867289150372708
26,avg_gilmor_number_of_valence_electron,0.008600470536521448
34,avg_number_of_valence_electrons,0.008595218313641694
10,avg_Gordy_electonegativity,0.008014633809093324
12,avg_Mendele_Number,0.007971641251768843
27,avg_group,0.007608023842452819
2,avg_Atomic_Number,0.0074114222009865035
7,avg_Covalent_Radius,0.007388436708408735
25,avg_families,0.007294852281509742
110,range_abs_valence,0.0071207528177632175
1,avg_Allred-Rockow_electronegativity,0.007067195089593625
114,range_heat_atomization(kJ/mol),0.00681465035540178
18,avg_Number_of_unfilled_p_valence_electrons,0.006572172470662196
72,sum_heat_of_fusion_(kJ/mol)_,0.006520528127117872
4,avg_Atomic_Weight,0.006373334910239417
92,range_Cohesive_energy,0.006245388219702619
36,avg_polarizability(A^3),0.005906648807624431
15,avg_Nagle_electonegativity,0.005756991245565349
116,range_heat_of_vaporization_(kJ/mol)_,0.005711472704684331
109,range_Zunger_radii_sum,0.0056628319156164005
51,sum_Critical_Temperature,0.005644333651008857
20,avg_Orbital_Radius(pm),0.005488005030450341
98,range_Mendele_Number,0.005358237784718755
79,sum_polarizability(A^3),0.005345940219148695
41,avg_valence_p,0.005189828292272977
56,sum_Molar_Denstiy_(mol/ml),0.005100244390987776
90,range_Atomic_Weight,0.005081004522423096
76,sum_metallic_valence,0.004892009704536437
87,range_Allred-Rockow_electronegativity,0.004882677446684125
112,range_gilmor_number_of_valence_electron,0.0046019169239331055
88,range_Atomic_Number,0.004476741447063998
31,avg_ionic_radius,0.0044204341854752385
52,sum_Density_(g/mL),0.004205282658587997
117,range_ionic_radius,0.004204631788201604
59,sum_Number_of_unfilled_d_valence_electrons,0.003943252501301839
93,range_Covalent_Radius,0.0037865100112760173
73,sum_heat_of_vaporization_(kJ/mol)_,0.0037435872877965904
42,avg_valence_s,0.0036719989906176197
48,sum_Boiling_Point_(K),0.0035548567944219205
62,sum_Number_of_unfilled_s_valence_electrons,0.003303928784008403
71,sum_heat_atomization(kJ/mol),0.0032196518160553635
78,sum_outer_shell_electrons,0.0031925930605161803
19,avg_Number_of_unfilled_s_valence_electrons,0.00311836213957139
66,sum_Zunger_radii_sum,0.0030598785902003546
55,sum_Mendele_Number,0.003047007518682146
106,range_Orbital_Radius(pm),0.002886613304567634
111,range_families,0.0027597080994498147
122,range_polarizability(A^3),0.002759659519091373
49,sum_Cohesive_energy,0.0026862148968753163
67,sum_abs_valence,0.0024440528368277065
47,sum_Atomic_Weight,0.0024262123567942496
53,sum_Gordy_electonegativity,0.002363821878041422
54,sum_Melting_point_(K),0.0023487575914755226
120,range_number_of_valence_electrons,0.0023164198424673378
43,sum_1st_ionization_potential_(kJ/mol),0.0022947524381020075
46,sum_Atomic_Radus,0.0020951476100225935
45,sum_Atomic_Number,0.002094561555042737
