,var_name,importance
33,avg_metallic_valence,0.6577943784631375
107,range_Pauling_Electronegativity,0.6525970307082274
22,avg_Period,0.6509948517899542
9,avg_Density_(g/mL),0.6488274705716837
86,range_1st_ionization_potential_(kJ/mol),0.6482399666660437
87,range_Allred-Rockow_electronegativity,0.6470274016972911
2,avg_Atomic_Number,0.6446868922300258
4,avg_Atomic_Weight,0.6394250348470197
117,range_ionic_radius,0.6322650050853558
101,range_Nagle_electonegativity,0.6316579096265836
93,range_Covalent_Radius,0.6314330224138881
111,range_families,0.6273994213261516
96,range_Gordy_electonegativity,0.6262604237763689
31,avg_ionic_radius,0.6243023081205716
106,range_Orbital_Radius(pm),0.6230997657397525
89,range_Atomic_Radus,0.622476412756835
7,avg_Covalent_Radius,0.6224541284702741
108,range_Period,0.6216818309577671
109,range_Zunger_radii_sum,0.6170915964363981
0,avg_1st_ionization_potential_(kJ/mol),0.616552401319127
32,avg_l_quantum_number,0.6150989362807193
88,range_Atomic_Number,0.6143011903250721
21,avg_Pauling_Electronegativity,0.6142881137224256
119,range_metallic_valence,0.6140521740907448
90,range_Atomic_Weight,0.6131515271323654
23,avg_Zunger_radii_sum,0.6120980595652545
1,avg_Allred-Rockow_electronegativity,0.611002525725504
10,avg_Gordy_electonegativity,0.6109554827107088
3,avg_Atomic_Radus,0.6076749813444556
20,avg_Orbital_Radius(pm),0.6076186137565445
100,range_Molar_Heat_Capacity(J/mol_K),0.6056407236494892
15,avg_Nagle_electonegativity,0.6053335889234415
112,range_gilmor_number_of_valence_electron,0.6026994373194803
8,avg_Critical_Temperature,0.597007686939851
91,range_Boiling_Point_(K),0.593969467844685
14,avg_Molar_Heat_Capacity(J/mol_K),0.5939132293721742
24,avg_abs_valence,0.5925180014207736
116,range_heat_of_vaporization_(kJ/mol)_,0.5914196202250401
6,avg_Cohesive_energy,0.5909163439243772
122,range_polarizability(A^3),0.5883558832495664
28,avg_heat_atomization(kJ/mol),0.5857151216083124
98,range_Mendele_Number,0.5830589657161064
27,avg_group,0.5822102145645801
12,avg_Mendele_Number,0.5811269258814914
34,avg_number_of_valence_electrons,0.5790732977570139
97,range_Melting_point_(K),0.5781836374580667
13,avg_Molar_Denstiy_(mol/ml),0.5765021389924763
25,avg_families,0.5754155095445084
26,avg_gilmor_number_of_valence_electron,0.5705401621643479
16,avg_Number_of_unfilled_d_valence_electrons,0.5694002227282469
39,avg_valence_d,0.5694002227282469
102,range_Number_of_unfilled_d_valence_electrons,0.5688092708043709
125,range_valence_d,0.5688092708043709
18,avg_Number_of_unfilled_p_valence_electrons,0.5651336638187544
41,avg_valence_p,0.5651336638187544
5,avg_Boiling_Point_(K),0.5641851852008064
92,range_Cohesive_energy,0.5627889694868975
95,range_Density_(g/mL),0.5615959626932969
110,range_abs_valence,0.5615634253961076
114,range_heat_atomization(kJ/mol),0.5605531896400908
