,Feature,Importance
33,avg_Number_of_electrons_forming_covalent_bonds,0.2332444219251524
9,avg_Density_(g/mL),0.20865955337087422
16,avg_Number_of_unfilled_d_valence_electrons,0.06100762675070415
71,sum_heat_atomization(kJ/mol),0.030668736393806417
82,sum_valence_d,0.029299139516144487
61,sum_Number_of_unfilled_p_valence_electrons,0.02383425511833403
51,sum_Critical_Temperature,0.022796680666083455
49,sum_Cohesive_energy,0.019443316318978113
86,range_1st_ionization_potential_(kJ/mol),0.019232577448803204
14,avg_Molar_Heat_Capacity(J/mol_K),0.017167343533437924
52,sum_Density_(g/mL),0.016956492581725498
0,avg_1st_ionization_potential_(kJ/mol),0.015485088170427517
95,range_Density_(g/mL),0.01463702521292085
107,range_Pauling_Electronegativity,0.014431361527364378
10,avg_Gordy_electonegativity,0.012102758939493224
115,range_heat_of_fusion_(kJ/mol)_,0.01154389663271999
119,range_Number_of_electrons_forming_covalent_bonds,0.009043222327358148
24,avg_abs_valence,0.008648099349609105
26,avg_gilmor_number_of_valence_electron,0.00829816785960904
96,range_Gordy_electonegativity,0.008037157175250203
35,avg_outer_shell_electrons,0.0075140932126507125
101,range_Nagle_electonegativity,0.007198223520337579
94,range_Critical_Temperature,0.006872951255109057
76,sum_Number_of_electrons_forming_covalent_bonds,0.006018669733154236
56,sum_Molar_Denstiy_(mol/ml),0.005239916110112126
102,range_Number_of_unfilled_d_valence_electrons,0.005204896689264286
92,range_Cohesive_energy,0.00510102012311633
15,avg_Nagle_electonegativity,0.0049805162269831605
37,avg_specific_heat_(J/g_K)_,0.0046692158442455875
23,avg_Zunger_radii_sum,0.004262401938157589
116,range_heat_of_vaporization_(kJ/mol)_,0.0041005133429802025
99,range_Molar_Denstiy_(mol/ml),0.004093787629916522
72,sum_heat_of_fusion_(kJ/mol)_,0.003968770471368597
2,avg_Atomic_Number,0.0038601223905875017
125,range_valence_d,0.0037826410179066282
31,avg_ionic_radius,0.0036228258468489786
38,avg_thermal_conductivity_(W/(m_K))_,0.0035705137452398932
34,avg_number_of_valence_electrons,0.00350551349990516
29,avg_heat_of_fusion_(kJ/mol)_,0.0033490931166314845
54,sum_Melting_point_(K),0.0031393569216942733
100,range_Molar_Heat_Capacity(J/mol_K),0.0031317433759062503
32,avg_l_quantum_number,0.0031271876585498054
6,avg_Cohesive_energy,0.003115614266040183
91,range_Boiling_Point_(K),0.003070551673745124
7,avg_Covalent_Radius,0.0029770606848047486
8,avg_Critical_Temperature,0.0028520795901922358
87,range_Allred-Rockow_electronegativity,0.0028004197358572807
50,sum_Covalent_Radius,0.002749929414091848
109,range_Zunger_radii_sum,0.0026801773452262553
18,avg_Number_of_unfilled_p_valence_electrons,0.0026619661197253446
11,avg_Melting_point_(K),0.002661853260478701
112,range_gilmor_number_of_valence_electron,0.0024989491879720354
90,range_Atomic_Weight,0.0024164152693718004
123,range_specific_heat_(J/g_K)_,0.0023980764061674906
21,avg_Pauling_Electronegativity,0.00238305705226973
20,avg_Orbital_Radius(pm),0.0023456244656049883
81,sum_thermal_conductivity_(W/(m_K))_,0.0022901383078038394
66,sum_Zunger_radii_sum,0.00222647318359787
120,range_number_of_valence_electrons,0.002054210565320575
73,sum_heat_of_vaporization_(kJ/mol)_,0.0020535464418813152
28,avg_heat_atomization(kJ/mol),0.0019752382037773073
114,range_heat_atomization(kJ/mol),0.00196593305904148
63,sum_Orbital_Radius(pm),0.0019329498673525023
104,range_Number_of_unfilled_p_valence_electrons,0.0019320445307789763
30,avg_heat_of_vaporization_(kJ/mol)_,0.0018925013572734842
22,avg_Period,0.0018853206316605236
13,avg_Molar_Denstiy_(mol/ml),0.0018742879487613127
124,range_thermal_conductivity_(W/(m_K))_,0.0018657000552225948
59,sum_Number_of_unfilled_d_valence_electrons,0.001825829483522777
1,avg_Allred-Rockow_electronegativity,0.0018224245398424065
75,sum_l_quantum_number,0.0017904573965313365
41,avg_valence_p,0.0017822278083554704
127,range_valence_p,0.0017556828385186553
25,avg_families,0.0017235236480444844
105,range_Number_of_unfilled_s_valence_electrons,0.0016933045350040897
42,avg_valence_s,0.0016712175390864953
93,range_Covalent_Radius,0.0016509238569344018
36,avg_polarizability(A^3),0.0016276827206059504
97,range_Melting_point_(K),0.0015995633741392138
44,sum_Allred-Rockow_electronegativity,0.0015740195704163934
47,sum_Atomic_Weight,0.001566699014157897
4,avg_Atomic_Weight,0.0015507782901812567
48,sum_Boiling_Point_(K),0.0015134827766381822
67,sum_abs_valence,0.0015058881906778517
12,avg_Mendele_Number,0.0013678293027862168
53,sum_Gordy_electonegativity,0.0013664594711371451
128,range_valence_s,0.0012843443018331648
98,range_Mendele_Number,0.0012518697057595726
88,range_Atomic_Number,0.0012421559223262568
80,sum_specific_heat_(J/g_K)_,0.0011866891025492268
5,avg_Boiling_Point_(K),0.0011720656824708829
84,sum_valence_p,0.0011387189970731228
79,sum_polarizability(A^3),0.0010450553375566719
62,sum_Number_of_unfilled_s_valence_electrons,0.0010325423367963291
89,range_Atomic_Radus,0.0010219473994668308
118,range_l_quantum_number,0.0009447303200225155
45,sum_Atomic_Number,0.0009139334663532916
3,avg_Atomic_Radus,0.0008609822795304388
122,range_polarizability(A^3),0.0008439406335560999
17,avg_Number_of_unfilled_f_valence_electrons,0.0008269063687357136
39,avg_valence_d,0.0008021077886706674
110,range_abs_valence,0.0007404552143978798
74,sum_ionic_radius,0.0006711734927480037
55,sum_Mendele_Number,0.000645827316292875
27,avg_group,0.0005981751657415778
117,range_ionic_radius,0.000519332306030123
58,sum_Nagle_electonegativity,0.0005093302158444664
64,sum_Pauling_Electronegativity,0.0004944526521500595
57,sum_Molar_Heat_Capacity(J/mol_K),0.00048129699300903777
46,sum_Atomic_Radus,0.0004164773731901258
43,sum_1st_ionization_potential_(kJ/mol),0.00040045855903645365
77,sum_number_of_valence_electrons,0.0003710082044727888
19,avg_Number_of_unfilled_s_valence_electrons,0.0003531828236241947
106,range_Orbital_Radius(pm),0.00031511059671367024
111,range_families,0.0002582298091585335
121,range_outer_shell_electrons,0.00022833739884119125
40,avg_valence_f,0.0002040048190192424
113,range_group,0.00018367140098298078
65,sum_Period,0.00016741847135371362
70,sum_group,0.00015555987492776266
85,sum_valence_s,0.00014634519097058072
78,sum_outer_shell_electrons,0.00014600440032057745
69,sum_gilmor_number_of_valence_electron,0.00012010246011064428
126,range_valence_f,0.00011945186849727212
108,range_Period,0.00011394414219241572
83,sum_valence_f,0.0001101081363213947
103,range_Number_of_unfilled_f_valence_electrons,8.076361313796202e-05
68,sum_families,5.750739533589858e-05
60,sum_Number_of_unfilled_f_valence_electrons,2.5272992815714326e-05
