,Feature,Importance
33,avg_Number_of_electrons_forming_covalent_bonds,0.47184149484368204
9,avg_Density_(g/mL),0.11104837108274293
39,avg_valence_d,0.03507799032248542
16,avg_Number_of_unfilled_d_valence_electrons,0.0339079928040732
82,sum_valence_d,0.020899085686289044
86,range_1st_ionization_potential_(kJ/mol),0.014169994826736605
107,range_Pauling_Electronegativity,0.012861627389033289
115,range_heat_of_fusion_(kJ/mol)_,0.012185540567497273
84,sum_valence_p,0.011154195208075849
100,range_Molar_Heat_Capacity(J/mol_K),0.009191715305545113
8,avg_Critical_Temperature,0.008038303030395466
94,range_Critical_Temperature,0.007684913443829997
6,avg_Cohesive_energy,0.007294858457752199
76,sum_Number_of_electrons_forming_covalent_bonds,0.0059119499832540195
124,range_thermal_conductivity_(W/(m_K))_,0.005824490450455127
5,avg_Boiling_Point_(K),0.005805958748719049
10,avg_Gordy_electonegativity,0.005705293014951286
109,range_Zunger_radii_sum,0.0057001569056836085
96,range_Gordy_electonegativity,0.005626239444858961
29,avg_heat_of_fusion_(kJ/mol)_,0.005297407416229407
101,range_Nagle_electonegativity,0.005195791997110837
13,avg_Molar_Denstiy_(mol/ml),0.00515884267824912
35,avg_outer_shell_electrons,0.005065399247531778
97,range_Melting_point_(K),0.005033796622933476
72,sum_heat_of_fusion_(kJ/mol)_,0.005000230983569643
3,avg_Atomic_Radus,0.004941348539820346
11,avg_Melting_point_(K),0.00493781509094049
12,avg_Mendele_Number,0.004886932785512096
119,range_Number_of_electrons_forming_covalent_bonds,0.004673100491051304
38,avg_thermal_conductivity_(W/(m_K))_,0.004431717401970671
24,avg_abs_valence,0.004143806497991097
114,range_heat_atomization(kJ/mol),0.004114878158688351
89,range_Atomic_Radus,0.004025003245404699
21,avg_Pauling_Electronegativity,0.003834653174476957
110,range_abs_valence,0.0037761378475608333
7,avg_Covalent_Radius,0.0037482386498389254
15,avg_Nagle_electonegativity,0.0037313497575330256
4,avg_Atomic_Weight,0.0035114919798481135
123,range_specific_heat_(J/g_K)_,0.0034820548118650345
36,avg_polarizability(A^3),0.003430325976074671
32,avg_l_quantum_number,0.0032580229377990964
99,range_Molar_Denstiy_(mol/ml),0.003216785224445824
22,avg_Period,0.003146070098008871
95,range_Density_(g/mL),0.0031345056758251793
14,avg_Molar_Heat_Capacity(J/mol_K),0.0031195499405969546
37,avg_specific_heat_(J/g_K)_,0.00298488387127461
18,avg_Number_of_unfilled_p_valence_electrons,0.0029787721609640023
1,avg_Allred-Rockow_electronegativity,0.0028930402893296335
28,avg_heat_atomization(kJ/mol),0.002874170159731655
91,range_Boiling_Point_(K),0.0028103536962149054
41,avg_valence_p,0.0027279678879118265
23,avg_Zunger_radii_sum,0.0026611095834819126
79,sum_polarizability(A^3),0.002636934928526875
19,avg_Number_of_unfilled_s_valence_electrons,0.0026063972528710456
92,range_Cohesive_energy,0.0025853952334231817
59,sum_Number_of_unfilled_d_valence_electrons,0.002419278209764032
34,avg_number_of_valence_electrons,0.0023485578532550554
27,avg_group,0.002332766848362716
25,avg_families,0.0022789733276414965
26,avg_gilmor_number_of_valence_electron,0.0022468202862003413
