,Feature,Importance
9,avg_Density_(g/mL),0.054421466155924705
33,avg_Number_of_electrons_forming_covalent_bonds,0.049680328656337314
15,avg_Nagle_electonegativity,0.03348310488024008
0,avg_1st_ionization_potential_(kJ/mol),0.029972651931488622
76,sum_Number_of_electrons_forming_covalent_bonds,0.027847123146227903
86,range_1st_ionization_potential_(kJ/mol),0.027373561664016166
107,range_Pauling_Electronegativity,0.02671391903298277
52,sum_Density_(g/mL),0.026438286539699294
14,avg_Molar_Heat_Capacity(J/mol_K),0.025513558833636527
101,range_Nagle_electonegativity,0.024948600704734782
87,range_Allred-Rockow_electronegativity,0.021468352930202817
1,avg_Allred-Rockow_electronegativity,0.020690036679011203
49,sum_Cohesive_energy,0.017641753837754105
51,sum_Critical_Temperature,0.017079473714867878
100,range_Molar_Heat_Capacity(J/mol_K),0.0162420127495776
95,range_Density_(g/mL),0.01567496165894673
16,avg_Number_of_unfilled_d_valence_electrons,0.01567026589358932
71,sum_heat_atomization(kJ/mol),0.015470447788531976
21,avg_Pauling_Electronegativity,0.014794448403951206
82,sum_valence_d,0.01451635204906123
22,avg_Period,0.014369443967006814
48,sum_Boiling_Point_(K),0.013547792841692233
10,avg_Gordy_electonegativity,0.012455148125612256
96,range_Gordy_electonegativity,0.011976628732246315
8,avg_Critical_Temperature,0.011698387131964897
39,avg_valence_d,0.011415513998095792
125,range_valence_d,0.01081677444380112
31,avg_ionic_radius,0.010735008282563508
37,avg_specific_heat_(J/g_K)_,0.010572404358512554
4,avg_Atomic_Weight,0.01012321045986164
102,range_Number_of_unfilled_d_valence_electrons,0.009844808002719502
2,avg_Atomic_Number,0.009842250818413742
13,avg_Molar_Denstiy_(mol/ml),0.009710054626247007
23,avg_Zunger_radii_sum,0.009155434898252473
29,avg_heat_of_fusion_(kJ/mol)_,0.008907452632009785
7,avg_Covalent_Radius,0.008861648093437233
56,sum_Molar_Denstiy_(mol/ml),0.008726747268129689
72,sum_heat_of_fusion_(kJ/mol)_,0.008377106080402536
28,avg_heat_atomization(kJ/mol),0.00819853286328546
3,avg_Atomic_Radus,0.007861445105641471
32,avg_l_quantum_number,0.00765349479942422
11,avg_Melting_point_(K),0.007448437367625516
20,avg_Orbital_Radius(pm),0.007415878353762461
54,sum_Melting_point_(K),0.007362104474309104
6,avg_Cohesive_energy,0.006708911976299136
68,sum_families,0.005865991428675165
115,range_heat_of_fusion_(kJ/mol)_,0.005838494016930797
34,avg_number_of_valence_electrons,0.0057971172254341315
5,avg_Boiling_Point_(K),0.005535400239275485
61,sum_Number_of_unfilled_p_valence_electrons,0.005516755544268927
47,sum_Atomic_Weight,0.005059716767732289
119,range_Number_of_electrons_forming_covalent_bonds,0.0049712373396159845
73,sum_heat_of_vaporization_(kJ/mol)_,0.004834718555518236
123,range_specific_heat_(J/g_K)_,0.004810701524880876
24,avg_abs_valence,0.0047713712975956816
