params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 1000}",0.828968233360496,0.8395931542883146,0.8733116140062616,0.7871631751264017,0.8121623224973397,0.8072569121166105,0.8270673677670551,0.9426145679605544,0.8441684866480281,1.0403752902385415,0.8602681124009603
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 3000}",0.7708930030443402,0.7502750042954651,0.8274570193217828,0.7555457350194186,0.7429753326777108,0.716682735512009,0.7722449107223007,0.8929581328749985,0.7570871628095732,0.9059017278826667,0.7892020764160266
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5000}",0.7660167321001372,0.7148454677365741,0.8155970495650763,0.7536085594992921,0.7091644921019165,0.684472602859969,0.762028432233527,0.8783239919817483,0.7359661322612197,0.8691237701992307,0.7689147230538691
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 7000}",0.7625989098928605,0.6956890750985976,0.8132979323490762,0.7501182484689113,0.6915573806382759,0.6649628070943933,0.7559840838368054,0.8711112702417073,0.7235887090881141,0.8508966486460035,0.7579805065354744
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 9000}",0.7622373657518643,0.6835519122212983,0.8105198042372719,0.7471319109764145,0.6819831909006423,0.6527311308444669,0.7548580172080019,0.8674210817416631,0.718091113398691,0.8396515900004051,0.7518177117280719
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.707127659502231,0.6415524012153362,0.7433665945550508,0.6666001603711533,0.6831071975526019,0.6709297764560739,0.7338695656538601,0.8276568126012157,0.6720543165647002,0.8892074009248288,0.7235471885397052
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 3000}",0.7027637089988565,0.5632754151751617,0.6852171276359285,0.6186938068287453,0.5970976574504641,0.6250285873661616,0.7199465985063367,0.7925205722025986,0.6531907223184347,0.8763842218363613,0.683411841831905
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5000}",0.7047342850756333,0.547714563564022,0.6662998920751545,0.6111454013299419,0.5739371915132956,0.6155204666377025,0.7227837740314164,0.7883764929987599,0.6542449924508927,0.8724604447686358,0.6757217504445454
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 7000}",0.7069328193935529,0.538699811774152,0.6629012931388648,0.6111122078509762,0.5678719861474372,0.6092627827017458,0.7239365331659126,0.7898222813459795,0.6532922524154633,0.867866649738122,0.6731698617672206
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 9000}",0.7076858216058397,0.5378512573718348,0.6600300223001834,0.6115252969895238,0.5660259150919252,0.6073274987156971,0.7205667283611211,0.7865852757840939,0.6512482742287062,0.8683517145170694,0.6717197804965994
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",0.6745751286554363,0.5753540238422197,0.7531388852258256,0.6449939991959054,0.6532528755516069,0.6473335262567214,0.6964577404313822,0.8098409716806365,0.6423857339451005,0.9403739541066424,0.7037706838891478
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 3000}",0.6788147363457636,0.5436203453928474,0.7391006730258576,0.6434286856589136,0.6289773811513608,0.6368012299312267,0.6874752980569874,0.8103504398580323,0.6354816402350735,0.9363549118168691,0.694040534147293
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5000}",0.6801014019887033,0.5428746395017127,0.7391058743267365,0.6449764018811925,0.6284036475543364,0.6379669188378156,0.686021286410838,0.8091813119820694,0.6337593485586673,0.937406153296078,0.6939796984338151
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 7000}",0.6804598344305569,0.5428321740343383,0.7390774498825533,0.6451985690714482,0.62826591733825,0.6386891586146217,0.6855083184163621,0.8088289869364903,0.633784189411394,0.9376726727822117,0.6940317270918227
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 9000}",0.6805572947671299,0.5427311658437449,0.7390185849425144,0.6452128067677557,0.6280233594612599,0.6386503610001582,0.685523603669548,0.8087568946162452,0.6338232311077547,0.9377161167622676,0.6940013418938379
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 1000}",0.7131232254311394,0.5954466065168433,0.82701262269822,0.6586724939774501,0.7388647592040513,0.6910886324653506,0.7181069689033865,0.8288211507028665,0.6833169777440228,0.9865224941594707,0.7440975931802802
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 3000}",0.714961705421015,0.5915212820135185,0.8256550243413645,0.6577448824539546,0.734407907096792,0.6884515066193263,0.715836498339713,0.8292527890639748,0.6804376072488716,0.9841437920075744,0.7422412994606105
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 5000}",0.714938504129848,0.5914217148069799,0.8256020227026734,0.6576468624718148,0.7344791670459678,0.6883437411568827,0.7157959600082328,0.8292613448042006,0.6804690612930664,0.9841779372646248,0.7422136315684291
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 7000}",0.7149398666192831,0.5914106675395417,0.8255940497441179,0.6576386040135184,0.7344747846894972,0.6883307796388132,0.7157851970028903,0.8292632012861791,0.6804594124665161,0.9841851891750314,0.7422081752175388
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 9000}",0.7149396432488542,0.5914097808921102,0.8255938050469857,0.6576381323244657,0.7344750761156214,0.6883307568198164,0.7157855076386458,0.8292645135051684,0.6804591466491013,0.984186452692349,0.7422082814933118
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000}",0.8096015477759709,0.6162889278963454,0.882152906991669,0.6720740260863747,0.7174268891393975,0.7687464835720377,0.7727050773355532,0.8449221269624563,0.7040872175078053,1.0252800386204464,0.7813285241888055
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 3000}",0.8097055656237993,0.6156292123020287,0.8820614643117091,0.6720534630494189,0.7168949055235152,0.7685838770226248,0.7724684706841299,0.844821979595551,0.7037808592838313,1.0249800453144877,0.7810979842711097
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 5000}",0.8097055197132389,0.6156245699276076,0.8820564134227551,0.6720499810708628,0.7168930270176209,0.7685790992292776,0.7724722799827228,0.844821122096499,0.7037786118784045,1.0249832649305757,0.7810963889269564
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 7000}",0.8097055927705059,0.6156244986035199,0.8820563508468469,0.6720498718601113,0.7168930758416009,0.7685790477143585,0.7724723636997256,0.8448210529264788,0.7037785658230795,1.0249833600999267,0.7810963780186154
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 9000}",0.8097055932446463,0.6156244958120197,0.8820563497226719,0.6720498703405811,0.7168930748372088,0.7685790457859139,0.7724723681091735,0.8448210507685171,0.7037785655809836,1.0249833613617436,0.781096377556346
"{'learning_rate': 0.03, 'max_depth': 1, 'n_estimators': 1000}",0.7734046625454442,0.746085351438445,0.8260504687008934,0.7547294453808449,0.740098692689294,0.7150928280277452,0.7694780528737061,0.8922105604946178,0.7568334999505963,0.9029591300756451,0.7876942692177232
"{'learning_rate': 0.03, 'max_depth': 1, 'n_estimators': 3000}",0.7641095950653058,0.6793097273837484,0.8108572083756699,0.7466298499232584,0.6776238647805172,0.6518665390318333,0.7543757378004232,0.8664520492310456,0.7187789267599586,0.8379350738839685,0.7507938572235728
"{'learning_rate': 0.03, 'max_depth': 1, 'n_estimators': 5000}",0.7709656237769039,0.6560575960993923,0.8151221427148557,0.7404461269413402,0.6597547508002124,0.6356139346323334,0.754786866436985,0.8544613006885546,0.7138253267659126,0.8190991072126846,0.7420132776069175
"{'learning_rate': 0.03, 'max_depth': 1, 'n_estimators': 7000}",0.7773026397086377,0.6415325427323534,0.8169169767001158,0.7387096833692117,0.6469763032532183,0.6315922172063808,0.7596408595952772,0.8452225124209661,0.709291185713343,0.8124838655776264,0.737966878627713
"{'learning_rate': 0.03, 'max_depth': 1, 'n_estimators': 9000}",0.7842829944201513,0.6323801139457519,0.8205812234055825,0.7425491561069393,0.6366178039020304,0.6311965513417847,0.7624544474887969,0.8369599392513307,0.7069223178250962,0.8126211658660406,0.7366565713553505
"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 1000}",0.6909757453166278,0.5643927619167431,0.6820925853452791,0.6345415853260521,0.6018506657721601,0.6153301942079035,0.7363947346929188,0.7851439375193083,0.6441664608807619,0.874644657229567,0.6829533328207321
"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 3000}",0.6961876279790795,0.542595457887725,0.6684063601465199,0.6248344882984633,0.5824267755966208,0.6047251032137461,0.7368521121371828,0.7729516078012881,0.6347562470575472,0.8579101733642266,0.6721645953482399
"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 5000}",0.6985878870168191,0.5416908792510494,0.6695646487108489,0.6243680832961981,0.5816723014929621,0.6053460271248725,0.7358134680349872,0.7727739773259682,0.633734164096622,0.859313217349843,0.6722864653700171
"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 7000}",0.6991065751818729,0.5417185793307411,0.6697574648315998,0.6245169486373633,0.581576651017464,0.6052104687805838,0.7358239559012932,0.7732624626041406,0.6338432145627152,0.8592462289888719,0.6724062549836646
"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 9000}",0.6991531655615544,0.5415874757443024,0.6699141812047009,0.6244449788750595,0.5815924564571734,0.6050527813742734,0.7358902510320797,0.773448992884135,0.6340153257946475,0.8591250868470052,0.6724224695774931
"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 1000}",0.6694116959542918,0.5491971911847066,0.7462798486773528,0.6484825521304439,0.6505582179312575,0.6376367966023867,0.701639351031848,0.8082710061640649,0.653987092481895,0.907910734098834,0.6973374486257081
"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 3000}",0.6722211463007318,0.5467041235521044,0.7457766144421527,0.6484187689478041,0.6493481690306304,0.6365147917229832,0.7011257763415357,0.8084089297178843,0.6523714239035541,0.9077902483022223,0.6968679992261604
"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 5000}",0.6722322060544667,0.5466909499164269,0.7457897815498961,0.6484051078559208,0.6493050555333837,0.6363948812641261,0.7011246036927276,0.8084236914140738,0.6523668271335775,0.9078388690590853,0.6968571973473685
"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 7000}",0.6722312720420293,0.5466905103168629,0.7457895966553564,0.6484045312632251,0.6493052764998674,0.6363923374823034,0.7011267091140205,0.8084237018074053,0.6523681287323964,0.9078385883401189,0.6968570652253585
"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 9000}",0.6722313101909906,0.5466905166373379,0.7457895562421438,0.648404527461364,0.6493052105993756,0.6363922681530781,0.7011267820146072,0.8084236870784354,0.652368148791993,0.9078385866277604,0.6968570593797085
"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 1000}",0.7197161671583778,0.5884684540065969,0.7905153998103018,0.6537519612587952,0.7137836474815992,0.6960705227404711,0.7147217650225376,0.8241457284035391,0.6678654108547847,1.0011468249813824,0.7370185881718385
"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 3000}",0.719766946247378,0.5884837841819277,0.7905901954625069,0.6535900568238243,0.7136841895109592,0.69604165637353,0.714697701310124,0.8240974117228342,0.667730700988574,1.0010549174098509,0.736973756003151
"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 5000}",0.7197669589476738,0.5884838235424944,0.7905901296230735,0.6535900337570826,0.7136839015823269,0.6960416328843356,0.7146977662459334,0.8240973746948885,0.6677305691994235,1.0010549001893387,0.7369737090666572
"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 7000}",0.7197669589476738,0.5884838235424944,0.7905901296230735,0.6535900337570826,0.7136839016090254,0.6960416328843356,0.7146977662459334,0.8240973746948885,0.6677305691994235,1.0010549001893387,0.736973709069327
"{'learning_rate': 0.03, 'max_depth': 7, 'n_estimators': 9000}",0.7197669589476738,0.5884838235424944,0.7905901296230735,0.6535900337570826,0.7136839016090254,0.6960416328843356,0.7146977662459334,0.8240973746948885,0.6677305691994235,1.0010549001893387,0.736973709069327
"{'learning_rate': 0.03, 'max_depth': 9, 'n_estimators': 1000}",0.8015888461612902,0.6135331594605319,0.8884646424805138,0.6687481273799216,0.7171608497503827,0.7826033725130852,0.7801997946791018,0.8373130102493882,0.7023518955299732,1.0286851844629432,0.7820648882667132
"{'learning_rate': 0.03, 'max_depth': 9, 'n_estimators': 3000}",0.8015931462253504,0.613529764112448,0.8884615877082808,0.668747464798053,0.7171601331852944,0.7826042710436794,0.7802005744658524,0.8373109598105143,0.7023499844040382,1.0286831334948507,0.7820641019248361
"{'learning_rate': 0.03, 'max_depth': 9, 'n_estimators': 5000}",0.8015931462253504,0.613529764112448,0.8884615877082808,0.668747464798053,0.7171601331852944,0.7826042710436794,0.7802005744658524,0.8373109598105143,0.7023499844040382,1.0286831334948507,0.7820641019248361
"{'learning_rate': 0.03, 'max_depth': 9, 'n_estimators': 7000}",0.8015931462253504,0.613529764112448,0.8884615877082808,0.668747464798053,0.7171601331852944,0.7826042710436794,0.7802005744658524,0.8373109598105143,0.7023499844040382,1.0286831334948507,0.7820641019248361
"{'learning_rate': 0.03, 'max_depth': 9, 'n_estimators': 9000}",0.8015931462253504,0.613529764112448,0.8884615877082808,0.668747464798053,0.7171601331852944,0.7826042710436794,0.7802005744658524,0.8373109598105143,0.7023499844040382,1.0286831334948507,0.7820641019248361
"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 1000}",0.7680343964556376,0.7146907611678629,0.8112029705033521,0.755101148180077,0.7069211869027032,0.6844951117722254,0.7593950652728388,0.8784763255479072,0.732490056224291,0.8667236057396199,0.7677530627766516
"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 3000}",0.7714331608670443,0.6606055151999997,0.8109185690840657,0.7410141860171833,0.6622845540460548,0.6352848543875477,0.7550363859785229,0.8539407289187742,0.7090701170200642,0.8205412456770678,0.7420129317196323
"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 5000}",0.7848221933567519,0.6395405185982065,0.8154281244652909,0.7436230792251236,0.6428982611479419,0.6309604059825377,0.763490097808086,0.8390922306476998,0.7025152760530781,0.814121520051786,0.7376491707336502
"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 7000}",0.7926442495108856,0.6281174873182809,0.8201936268833334,0.7486223014083574,0.6313546562078751,0.6271023905498042,0.769022757169976,0.8305913797738157,0.7001570812975677,0.8106706718140574,0.7358476601933954
"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 9000}",0.796042618423134,0.6226867524724006,0.8227481014058756,0.7526526635393357,0.6238892530553695,0.6217220908029134,0.7737692306852746,0.8221297673283926,0.6983283780761085,0.8116394076010037,0.7345608263389808
