params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 1000}",0.68940607024154,0.7626797132661871,0.6881542992018836,0.6335878510956716,0.6282181233576016,0.6006618719876724,0.7686686449207029,0.7396613387238088,0.7236193505842989,0.7136222855162981,0.6948279548895664
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 3000}",0.6279124092998939,0.727605430151322,0.6611421120962497,0.6160867380100242,0.6304224294310137,0.5395242371005096,0.7126022815401637,0.7346947655572231,0.6871256695207737,0.6729797377192929,0.6610095810426466
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5000}",0.6136040336570319,0.7114263474954868,0.6649717468134199,0.6132730045732887,0.6330806393698188,0.5375858872709155,0.6957158678587239,0.7315709504345599,0.6782649363006901,0.6568535947337295,0.6536347008507665
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 7000}",0.6082064858353893,0.6997045047145056,0.6644970560299828,0.6146087643972511,0.6257797327424318,0.5379605644296337,0.6861602468745754,0.7269901989784332,0.677369919455175,0.6441366721232105,0.6485414145580588
"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 9000}",0.604217069163626,0.6896021220662804,0.6624920123576022,0.6150792915956891,0.61986016843478,0.5405961227830414,0.6794080367628255,0.7218381056527917,0.6791328754118662,0.6340848643894362,0.6446310668617938
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.5652677487877815,0.6802541453493424,0.673156878619871,0.5522272539059522,0.6023984018643964,0.4971594179868436,0.6864834977865417,0.6953908723647352,0.631740205899989,0.5640258726150619,0.6148104295180515
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 3000}",0.5441102899574092,0.6630875681130687,0.6629258987437872,0.5339737921682151,0.5821096644453636,0.485164703316898,0.6787334551365424,0.6702976261604515,0.6209696328742167,0.5346488378196207,0.5976021468735573
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5000}",0.5379088722359575,0.6638777392975108,0.6587302402581058,0.532357927710279,0.574376833396675,0.487317692766608,0.6748236088554971,0.6638121053952074,0.631017602742406,0.5307248070358438,0.5954947429694091
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 7000}",0.536916894083284,0.6660867604737035,0.658870802879345,0.5374454850744604,0.5757685678550301,0.48432711118880084,0.6681829512885268,0.6590290598263038,0.6331823023384145,0.5291240833025938,0.5948934018310463
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 9000}",0.5360717665170226,0.6685145497920985,0.6579578642246872,0.5370709630559617,0.5771985267206523,0.4834480408230094,0.6666545049842004,0.6557620195696717,0.6338408136171102,0.5286629736916312,0.5945182022996045
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",0.5448792189036127,0.6645355093557772,0.6387100894897972,0.5315979938382311,0.4962403028594073,0.4687767605519831,0.6804466272893076,0.6745166696340625,0.638962358551439,0.549037045074255,0.5887702575547873
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 3000}",0.5398565401237307,0.6632694333879177,0.6308939850063864,0.5295531567859328,0.47822845640075334,0.4590741008131989,0.6731610407088527,0.6616377077925525,0.6398113470115451,0.5369090767630901,0.581239484479396
