params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.7741392379592535,0.8128603998519207,0.8286304583126336,0.7569020180673244,0.7300886693346664,0.790546119920281,0.8360669591560289,0.8981958691710328,0.7608216236096693,1.0687367986439527,0.8256988154026764
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.7729366754370789,0.8138633713116178,0.8228094314857336,0.7630721041957946,0.7335299443892648,0.7845871921463067,0.8432962172593922,0.894365544491023,0.7690776757261978,1.0664211331251396,0.8263959289567548
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300}",0.7776087222890539,0.8108090268044243,0.8198870825569501,0.7691610145464441,0.7357224137960312,0.7869916197261874,0.8454903452940732,0.8910724284009404,0.7708927101145544,1.0580943879410132,0.826572975146967
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 400}",0.7790673046520176,0.8134309791546795,0.8143329753830035,0.7703087116312143,0.7382058672904631,0.7901451680044564,0.844559198890348,0.8934132066118965,0.7705980367470305,1.0625603096674816,0.8276621758032592
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",0.78398552380191,0.8143938031796732,0.8154165969632066,0.7700706021221309,0.7404129059866051,0.790811622383313,0.8441482501887674,0.8991012487408725,0.7699392206529899,1.0641974264325769,0.8292477200452046
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 600}",0.7801231569457467,0.8157403132195454,0.8131939122914571,0.7700122614831925,0.7411031972540396,0.7941186657762636,0.8403270778933062,0.896544323480843,0.7701702197475759,1.066273890285116,0.8287607018377086
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 700}",0.77986668449663,0.8125128642715063,0.8122501370420355,0.7725644902521284,0.7418069749502856,0.7943082281942161,0.8416988229530866,0.8963796016244315,0.769571336370436,1.0632584888721195,0.8284217629026875
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 800}",0.7791204497186515,0.8120721737864637,0.8122756115424276,0.77187025545103,0.7405512056538172,0.7949838460871312,0.8423462587769998,0.8952320360303485,0.7710737949711802,1.0644348421481744,0.8283960474166223
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 900}",0.7781463256198168,0.812226292926501,0.8130277776642739,0.7707209186461917,0.7398557898954529,0.7934417443299643,0.8397452216619817,0.895272758150398,0.7709685367023922,1.0643396621138297,0.8277745027710802
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 1000}",0.7778195276025198,0.8136702387060546,0.8128446191761834,0.7724872068233093,0.7405744325216994,0.7938064725367184,0.8392370741281924,0.8932733425032017,0.7714056673572951,1.067573208474606,0.828269178982978
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}",0.8258540113074688,0.8359528633787299,0.8254954951583159,0.7872450905185426,0.7529839581982966,0.808856816348294,0.8762822595676146,0.9117536388029411,0.7976690069621095,1.0954832535416654,0.8517576393783978
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}",0.8153648625538761,0.8374898490686454,0.823858214573424,0.7924747111627254,0.7496065385331144,0.8047468828601708,0.8736663577653754,0.9154082041187798,0.7949008638570196,1.080455227540973,0.8487971712034105
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 300}",0.8088177130172021,0.8336542073709623,0.8244974648925537,0.7904640141953975,0.7533499140090438,0.8025272504960624,0.8632727807689002,0.9145810715362425,0.7939040295482591,1.0787699140284157,0.846383835986304
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 400}",0.807074811874284,0.8332785852391144,0.8228572648362884,0.7937278214741954,0.7535043977943893,0.8029827737954929,0.8584330724662235,0.9150209114920265,0.7891779338702438,1.0794062990845927,0.845546387192685
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",0.8092272454681715,0.8358120712627353,0.8217990353579915,0.7932142544949272,0.7559849796681257,0.8051308925432916,0.861684896719824,0.9131021017172171,0.7916789243243036,1.0802453873273927,0.8467879788883981
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 600}",0.808582963204096,0.8353599812612944,0.8207481522397023,0.7930489158940811,0.756297233669426,0.8056216449846416,0.8651724611072238,0.9153668484185595,0.7914416333914702,1.082051524571881,0.8473691358742375
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 700}",0.8076184916932746,0.8352195033489006,0.8206389252986351,0.7936615754900179,0.7534240824359862,0.8048582319102984,0.864006939999546,0.9160810196437281,0.7902466550211829,1.0820299086016336,0.8467785333443205
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 800}",0.808225908666147,0.8349616547259002,0.8196360489864216,0.7932218662824568,0.7546147266457932,0.804917526739077,0.8644230304790463,0.9153662918127347,0.7916933297450603,1.0819856236956311,0.8469046007778267
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 900}",0.8055245744057442,0.833956434802229,0.819070296950598,0.7941221253059049,0.7558517658995725,0.805656379631654,0.8632345006123474,0.9166655111309461,0.7897115887268188,1.08085791399662,0.8464651091462436
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 1000}",0.8065408654679163,0.833171159960163,0.8177468033267691,0.7951555198212251,0.7563920459322936,0.8062813971199291,0.8642942483143907,0.9171479677236218,0.7898426950587372,1.0819869722533793,0.8468559674978424
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",1.0394968155489914,1.0497111435974265,0.9589544830654094,1.0200498447375825,0.875223646883553,0.9237582557003583,1.0140795445902535,1.1024554873022436,0.9903747056371872,1.2585699293872024,1.023267385645021
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200}",1.0272920533177803,1.0443051413071758,0.9426147164776172,1.0176565509488131,0.8855289568978894,0.9221035082753809,1.0139655673796772,1.0945212613143958,0.9705239911510758,1.2492551058840764,1.0167766852953881
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",1.025983936912701,1.042506606003802,0.9331248936894778,1.0112951603742921,0.8879939284726291,0.9327137761613862,1.0155599790658578,1.0923648980902032,0.9658718565127563,1.2581638473176529,1.0165578882600756
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 400}",1.03303020184492,1.0434024295418027,0.9383100760411311,1.0112607647484502,0.8922092354775184,0.9350370429965099,1.0144567146263515,1.091472010944312,0.9653658427884945,1.2591675639920255,1.0183711883001518
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 500}",1.0384957980508969,1.0453806077279073,0.9394526029179721,1.0114373253775033,0.8930094498785087,0.9319505927509604,1.0145954389608896,1.0909658903818529,0.9723880843647593,1.2603595107417704,1.019803530115302
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 600}",1.0406577207188397,1.0468524095917,0.9398821967984169,1.016022912511125,0.8921837764191028,0.9292922430002297,1.0160462767953031,1.090493323290853,0.9737322018447135,1.2589284688974893,1.0204091529867774
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 700}",1.0442506268889882,1.0433354742662047,0.9383416985491935,1.0179266572841725,0.8919448488040704,0.926228888907695,1.0148855921182416,1.0910624534706341,0.9738971677977368,1.257235746226937,1.0199109154313875
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 800}",1.0437653831691025,1.041147468818587,0.9388839271608214,1.0156307691482527,0.8899950825966119,0.9253953741832543,1.0171813088122932,1.089341973140737,0.9755828008158567,1.2603247929744275,1.0197248880819945
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 900}",1.0439062240764185,1.0453523930780322,0.9395647396969462,1.0161546056781998,0.8914784192039886,0.9269472101979765,1.0175506058132309,1.089170717162856,0.9750334549015348,1.259890767100613,1.0205049136909796
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 1000}",1.045669429501225,1.0461444057192604,0.9411121626780019,1.014773914288926,0.8935847343739767,0.926849344967219,1.0153213374723173,1.0914597333667175,0.9769390664285102,1.2588628858060238,1.0210717014602178
"{'max_depth': 5, 'max_features': None, 'n_estimators': 100}",0.7587063963011488,0.7801793434332847,0.845857119192021,0.7509190376133545,0.8221366970567502,0.7684805450628298,0.838128867736649,0.8668107651128764,0.7798846783468193,1.053741505875867,0.8264844955731601
"{'max_depth': 5, 'max_features': None, 'n_estimators': 200}",0.7512113987075579,0.7782249101111274,0.84290336494482,0.7536505973570168,0.8191455650275496,0.7574841042343691,0.8344176148686585,0.8582252903744803,0.7629762601666038,1.040143421823073,0.8198382527615257
"{'max_depth': 5, 'max_features': None, 'n_estimators': 300}",0.7535955899212319,0.7795676022036315,0.8404884720305004,0.7561672453922574,0.82148351740064,0.7559986040863932,0.8358496192664592,0.8638572813667935,0.7572655231315516,1.0363227364580752,0.8200596191257535
"{'max_depth': 5, 'max_features': None, 'n_estimators': 400}",0.7554819727964085,0.7805208795261458,0.839460761002086,0.7549899444703528,0.8153805329603615,0.7580280563020746,0.8336918688955066,0.8656735940685714,0.758990219884749,1.0354344621319236,0.819765229203818
"{'max_depth': 5, 'max_features': None, 'n_estimators': 500}",0.7578250454496968,0.7824804046065822,0.8397917720725719,0.7529987539272953,0.819606704751685,0.7565660428344873,0.831466803905981,0.869279148713389,0.7554473981628047,1.0336189162333906,0.8199080990657883
"{'max_depth': 5, 'max_features': None, 'n_estimators': 600}",0.7584270017343396,0.7838776517976653,0.8412070611257545,0.7533508341357112,0.8192145083710152,0.7601486252843511,0.8331818727332542,0.8699510484644022,0.7550470811461564,1.0316925268357633,0.8206098211628413
"{'max_depth': 5, 'max_features': None, 'n_estimators': 700}",0.7563501451704289,0.7846975340975754,0.839892935920915,0.752899511522044,0.8121784747170201,0.7616574246360507,0.8328375686963543,0.869132034772572,0.7546959149627589,1.0326786038750826,0.8197020148370802
"{'max_depth': 5, 'max_features': None, 'n_estimators': 800}",0.7563088045940337,0.7867663098942744,0.8391431725166788,0.7543125883629576,0.8152942283550304,0.7603109303920998,0.8332368694184987,0.8684888746725943,0.7551316753130306,1.0328081203100166,0.8201801573829215
"{'max_depth': 5, 'max_features': None, 'n_estimators': 900}",0.756732738377611,0.7866067336084133,0.8383443201435075,0.754691295674778,0.8163953092300474,0.7610662055346821,0.8325226719207401,0.8690281924886385,0.7551859212336923,1.0323712574956554,0.8202944645707765
"{'max_depth': 5, 'max_features': None, 'n_estimators': 1000}",0.7570490328337522,0.7866584120747224,0.8381971868095062,0.7551913746087883,0.8149887970100119,0.7621396015369972,0.8319582823188006,0.86888710156237,0.7554838047771495,1.0328911351779033,0.8203444728710002
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.7084848133157662,0.698588585433623,0.7579358015209207,0.6657155456302606,0.6374607680715326,0.6897718536659407,0.738501962426992,0.820341261010968,0.6694543401611104,0.954369581267292,0.7340624512504406
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.6976479346347714,0.68953912701349,0.7490312914473272,0.6660169378050709,0.6347137002078119,0.685612104914197,0.7368375027835081,0.8067037385735135,0.6715662361187695,0.9569232610287446,0.7294591834527205
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300}",0.6972132332027529,0.6899530288539902,0.7538344027303032,0.6739404212500905,0.6352986178280653,0.6778729198615483,0.7368824535670888,0.8150183512986272,0.6716656326764409,0.9509066272191706,0.7302585688488078
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 400}",0.6931507594516277,0.6961057482570571,0.745914537048018,0.6751931197196684,0.6358818593003391,0.676210773471629,0.7341740203633929,0.814539182037633,0.6751806478332656,0.9552731100245436,0.7301623757507174
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",0.6932971529307578,0.6994761271326566,0.7518696949724019,0.6725285715326396,0.637365485802195,0.6751636806413777,0.7355022105720587,0.8141874084312654,0.6785157177315512,0.9494569928272617,0.7307363042574165
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 600}",0.6908091779575929,0.7019586140431461,0.753479638582583,0.6701567586345898,0.637139385039774,0.6745039431513852,0.7349379979382894,0.8142290492796928,0.6805750109651563,0.9483226572296359,0.7306112232821846
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 700}",0.6876395066792642,0.6998949291449217,0.7504710951989743,0.6721857267864817,0.6387785631655402,0.6771973245028764,0.7369939569254623,0.8116721404683259,0.6805622408802845,0.94817765506898,0.7303573138821111
"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 800}",0.6875947796462317,0.700481627564848,0.7507312859726547,0.6707949365713847,0.6390814863155976,0.6781363910058293,0.7376425856246729,0.8103889384724442,0.6794060480764921,0.945069216795133,0.7299327296045288
