params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",0.6485780474612357,0.7444168689498181,0.670149388907095,0.6283470554399702,0.5838459694035009,0.5975832463206812,0.7917863378414343,0.728445768482738,0.6969673115906058,0.7061938921309946,0.6796313886528074
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.6484095155063866,0.7420416313201803,0.6665730274721264,0.621124460430085,0.5764619649984712,0.5942622895289835,0.7979764216437786,0.7363822643870873,0.6986842594558498,0.7082184576012152,0.6790134292344164
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300}",0.6428301111941453,0.743368942195634,0.6642776376090022,0.622346123150301,0.5768954736672355,0.5892523516084304,0.8002222303571735,0.7348881460308536,0.6977610000536894,0.7081512657694777,0.6779993281635942
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 400}",0.6424194929043463,0.7435496893627175,0.663419954709943,0.6254935807121275,0.5764108764613985,0.5910327888646242,0.8015271991600262,0.7327407155349931,0.6960889548676111,0.7091001599308431,0.6781783412508631
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",0.644246906189999,0.7437473255689232,0.6654404000628472,0.6266599138666104,0.5776144877486481,0.5917096694694138,0.7986527398500832,0.7341460850720449,0.6987315461742543,0.7059254559383646,0.6786874529941189
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 600}",0.644110726505921,0.7430194927175652,0.6655750512704942,0.6275835248574864,0.5783294857737619,0.5935319939083841,0.8003552429434528,0.7332271154604066,0.7019167079041697,0.706736629739127,0.6794385971080769
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 700}",0.644472798909657,0.7431030760844307,0.6671351327308599,0.6258572790983243,0.5782527238136185,0.594081478489645,0.79864673613554,0.7346042276449349,0.7032589307001481,0.7070769659457351,0.6796489349552892
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 800}",0.6449765511199548,0.7415975320499093,0.6684212718328644,0.6254651134058901,0.5798486214577684,0.5945123917836526,0.7982266014195232,0.7348502017569796,0.7031621065194248,0.7066230188171914,0.679768341016316
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 900}",0.6443554114329305,0.741756293623094,0.6675295314141951,0.6252025451468237,0.5789198816461882,0.595406487984223,0.7975877811967018,0.7353168957679301,0.7035425489877357,0.7071277265968655,0.6796745103796689
"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 1000}",0.6453962699088502,0.7426804093472912,0.6677763877377686,0.6247032981647891,0.579023695602342,0.5956688434194504,0.7982501433226484,0.7356984906352197,0.7036403788032994,0.7074428664921263,0.6800280783433786
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}",0.6668529715175289,0.7650758533316746,0.6656425728817211,0.6311061979387729,0.5770115634840547,0.6204902296712486,0.824887533375551,0.7543255956562284,0.7109613162955087,0.7413741240290278,0.6957727958181317
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}",0.6731467360753585,0.7534398586904795,0.6660565312062384,0.6369909259600498,0.5817812305628288,0.621349696838544,0.8282268398757257,0.7516490148816348,0.7166523092102536,0.7306772929500994,0.6959970436251213
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 300}",0.6659198257663691,0.751545989085954,0.668039953152021,0.6366928567988306,0.5850979029470307,0.6139827829188675,0.8282245344032216,0.7525613142935176,0.7118181736210772,0.7315854132123667,0.6945468746199257
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 400}",0.6611743706890102,0.749674775709965,0.6687404234163314,0.6348798949261945,0.5861662018897987,0.6143661737600189,0.8309573822373688,0.7547510061336015,0.7128415840608717,0.7303266847820065,0.6943878497605167
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",0.6635757075053234,0.7522176156678124,0.6689116900875509,0.6342796994548048,0.5865547629241009,0.6147521095692254,0.8292149311541451,0.7570658085252692,0.7143860119964468,0.7336795669012017,0.6954637903785881
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 600}",0.6631590668648382,0.7535457834698452,0.6676714847819782,0.6345998894750186,0.5863302565919623,0.6152053520245414,0.8295345107126706,0.7562206426891928,0.7144756569134132,0.729591681910112,0.6950334325433571
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 700}",0.6634903461948672,0.7541666057650002,0.6683612060685232,0.6353059393355762,0.5860908842646827,0.6163302312381594,0.8308618357854678,0.7560384053476384,0.7137732456608346,0.7295466877048074,0.6953965387365557
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 800}",0.6637244542862948,0.7537092083060172,0.6684015349677178,0.6350462933080834,0.5871999010933209,0.6155356898701004,0.8311297468125199,0.7552001010075159,0.7138976320083558,0.7295643527847223,0.695340891444465
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 900}",0.6627065060309021,0.753286527856361,0.668226068121847,0.6343359488134958,0.5861523108557735,0.6155021073559473,0.829362582057399,0.7545007005671883,0.7141023564954164,0.7282708101691009,0.6946445918323432
"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 1000}",0.6641564057659773,0.7518581307396578,0.6677217592600883,0.6346879660842891,0.5861158209407766,0.614852990344088,0.8305143160527595,0.7543149797522003,0.7141153849476685,0.7296817384383169,0.6948019492325822
"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",0.8711917491929382,0.8304502279964637,0.7428627663351036,0.7984731649783056,0.7291558338103942,0.7908729766933804,0.9830659564157008,0.9193720330233853,0.8431054758147306,0.8583771324347915,0.8366927316695193
