params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'C': 0.1, 'gamma': 0.001}",1.7238481791427538,1.7440221370414475,1.3700409830216578,1.6186808279048361,1.4211663247332464,1.4742194716393549,1.7285886551740663,1.6737275523377175,1.6037268832733447,2.0392594312236776,1.6397280445492104
"{'C': 0.1, 'gamma': 0.01}",1.6237006227755324,1.6330547560567288,1.2789964837116732,1.5078058838539539,1.3285184170994915,1.3940903291738076,1.6459298138507403,1.577518719808843,1.517066832220635,1.9566331974135482,1.5463315055964955
"{'C': 0.1, 'gamma': 0.1}",1.3247498258237622,1.3237780457200572,1.0705436044386845,1.1899298793032975,1.0882726258892468,1.1769556281909437,1.4021865006949217,1.3101549763259215,1.2774719957769982,1.685681319389797,1.284972440155363
"{'C': 0.1, 'gamma': 1}",1.1798224522849339,1.1944492243058005,0.993042015691304,1.0645569006790654,0.9754130343918938,1.059787316126809,1.2791180449397586,1.1784579108063549,1.1530759029134001,1.5327214885054419,1.1610444290644761
"{'C': 0.1, 'gamma': 10}",1.6663370803165616,1.673549800876481,1.3131856831029989,1.5649817747720027,1.3746125958232487,1.4115600788086344,1.6822807037254277,1.6068672643862383,1.5442817371197481,1.969990343582709,1.580764706251405
"{'C': 1, 'gamma': 0.001}",1.6220603494113486,1.6309846748138215,1.2774643489940911,1.5060516794309917,1.3272186286326295,1.3929580066040066,1.645053351409915,1.575690535864049,1.515732273700564,1.9549970552924978,1.5448210904153916
"{'C': 1, 'gamma': 0.01}",1.3058407478371492,1.3043993994328285,1.0616150673864466,1.170145301462411,1.0751224919931426,1.163012569231822,1.3879978348589062,1.296905303410017,1.2657404324650454,1.665820701286783,1.2696599849364554
"{'C': 1, 'gamma': 0.1}",1.1173260770577433,1.1370708073598172,0.9774978840549858,1.0020286586000473,0.920365138976806,1.0125701614787284,1.2006265166747108,1.1183318565926972,1.1069250106914401,1.4478036191117802,1.1040545730598759
"{'C': 1, 'gamma': 1}",0.7896029366421521,0.7647515775685426,0.8048505631344104,0.7739391936632011,0.7196235169245591,0.7494334014836359,0.859610480657085,0.8167021473367155,0.733046552220752,1.0738856043048688,0.8085445973935922
"{'C': 1, 'gamma': 10}",1.3099120975497094,1.2740462101384975,1.0447388811168974,1.2617383795354336,1.1241289852250491,1.0829644275167654,1.4146550946728957,1.2430210865838212,1.1800332939169809,1.5653250598238764,1.2500563516079928
"{'C': 10, 'gamma': 0.001}",1.3044182855359396,1.3026454121345146,1.061120091344199,1.1690377920750974,1.073987961330959,1.1620467772605168,1.3865463786355035,1.296246165736164,1.2641487874077277,1.6643411284218144,1.2684538779882435
"{'C': 10, 'gamma': 0.01}",1.1364619462114638,1.1471151032300968,0.9877162310936203,1.0171474591840957,0.9391117272299186,1.0334881200634272,1.218019393003653,1.132887456122254,1.117985193438972,1.4678516277964415,1.1197784257373944
"{'C': 10, 'gamma': 0.1}",0.850513549348028,0.8478750641863921,0.8672151514889482,0.8323218916279915,0.7591957585886935,0.8233731354235317,0.9113788061071703,0.8670279776616957,0.8260041889911514,1.1468215976612062,0.8731727121084809
"{'C': 10, 'gamma': 1}",0.7313762098468912,0.5889016810015882,0.7064906123349767,0.679685243902158,0.6116597129243188,0.6650150983962939,0.6620131278556576,0.7640891882785069,0.6454955291941524,0.9552095770898034,0.7009935980824347
"{'C': 10, 'gamma': 10}",1.041570085109682,1.001505490109994,0.9718194550932538,1.0599406778517109,0.9194068803622703,0.8594841055762017,1.15672682574108,1.0763754770987641,0.9811559296979885,1.2889366012479375,1.0356921527888885
"{'C': 100, 'gamma': 0.001}",1.138784584117672,1.1487145448840463,0.9900283768129812,1.020691570407202,0.9423422658517548,1.0351273460250865,1.2220173891634187,1.1344820495901387,1.1204707661544508,1.4707548240456452,1.1223413717052397
"{'C': 100, 'gamma': 0.01}",0.9512585921596565,0.9333280874559985,0.9054529227007149,0.9193968577184044,0.8297964975572975,0.9121359613931256,1.0359572733704627,0.9679848405053223,0.9231898041463211,1.2423596681327196,0.9620860505140023
"{'C': 100, 'gamma': 0.1}",0.7043455936567611,0.6514719609932728,0.8085542304191892,0.7529250812948736,0.7011492181656304,0.706019048129638,0.6964822002185236,0.7632976058270998,0.6381220501413125,0.9448257411635983,0.7367192730009899
"{'C': 100, 'gamma': 1}",0.8464356341447664,0.6238440378648764,0.7580674844782077,0.7341815311575982,0.7391040982392973,0.6017460413589247,0.7854940151790385,0.8006098529216191,0.7989015298201951,0.9425135702240193,0.7630897795388544
"{'C': 100, 'gamma': 10}",1.0401403060898486,1.0073304241684027,0.9702134358841596,1.0617231668557485,0.9175229236916531,0.8597501201538239,1.1568617829266234,1.0768836258691619,0.9811088971580382,1.2870459818374815,1.035858066463494
"{'C': 1000, 'gamma': 0.001}",0.9751667063069769,0.9656497374976588,0.9212369580746844,0.9452587816262722,0.8647838640646598,0.940956057230211,1.0737261464550636,1.0062232420076096,0.944647202049639,1.2744833113824523,0.9912132006695227
"{'C': 1000, 'gamma': 0.01}",0.7979928784166594,0.7520610067576597,0.8595043600933399,0.8253069208293403,0.7415546223247209,0.7694081534972111,0.8506331705305683,0.8233697316257759,0.735432472613985,1.034229211144767,0.8189492527834027
"{'C': 1000, 'gamma': 0.1}",0.7545079074052694,0.6096076774339794,0.7226949209001479,0.7190056164909142,0.7369845472285912,0.66941969087711,0.7129530605735133,0.7642074428755553,0.6810241982342309,1.001599371565419,0.737200443358473
"{'C': 1000, 'gamma': 1}",0.8915271604136518,0.7507908219770867,0.7765665818544347,0.7583984904298949,0.8284409454787783,0.6521767185433618,0.8762096213235334,0.8320185180509968,0.8726135342849267,0.9687306182860863,0.8207473010642751
"{'C': 1000, 'gamma': 10}",1.0401403060898486,1.0073304241684027,0.9702134358841596,1.0617231668557485,0.9175229236916531,0.8597501201538239,1.1568617829266234,1.0768836258691619,0.9811088971580382,1.2870459818374815,1.035858066463494
